bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,AaltoXml,1426b2069a410b69db3445be3c6841c7d078693d,31da778078ca3624abe46673529e50b4d41c327c,26,https://github.com/FasterXML/aalto-xml/issues/26,https://github.com/FasterXML/aalto-xml/tree/1426b2069a410b69db3445be3c6841c7d078693d,https://github.com/FasterXML/aalto-xml/tree/31da778078ca3624abe46673529e50b4d41c327c,https://github.com/FasterXML/aalto-xml/compare/1426b2069a410b69db3445be3c6841c7d078693d...31da778078ca3624abe46673529e50b4d41c327c
2,AaltoXml,381c2b5f80351c97a88610ebce32f101d550e326,f11b1fdd29a2ce1426c45726453bdd49e1a65a78,10,https://github.com/FasterXML/aalto-xml/issues/10,https://github.com/FasterXML/aalto-xml/tree/381c2b5f80351c97a88610ebce32f101d550e326,https://github.com/FasterXML/aalto-xml/tree/f11b1fdd29a2ce1426c45726453bdd49e1a65a78,https://github.com/FasterXML/aalto-xml/compare/381c2b5f80351c97a88610ebce32f101d550e326...f11b1fdd29a2ce1426c45726453bdd49e1a65a78
3,AaltoXml,43b5d6e9cfd746139ec663c135e7b74dd1a00593,b8fec638943b008ab424aac385d4e82a5a022484,29,https://github.com/FasterXML/aalto-xml/issues/29,https://github.com/FasterXML/aalto-xml/tree/43b5d6e9cfd746139ec663c135e7b74dd1a00593,https://github.com/FasterXML/aalto-xml/tree/b8fec638943b008ab424aac385d4e82a5a022484,https://github.com/FasterXML/aalto-xml/compare/43b5d6e9cfd746139ec663c135e7b74dd1a00593...b8fec638943b008ab424aac385d4e82a5a022484
4,AaltoXml,b8fec638943b008ab424aac385d4e82a5a022484,2750fb4be212436ab2cdc5a4d11a0c04baa99451,32,https://github.com/FasterXML/aalto-xml/issues/32,https://github.com/FasterXML/aalto-xml/tree/b8fec638943b008ab424aac385d4e82a5a022484,https://github.com/FasterXML/aalto-xml/tree/2750fb4be212436ab2cdc5a4d11a0c04baa99451,https://github.com/FasterXML/aalto-xml/compare/b8fec638943b008ab424aac385d4e82a5a022484...2750fb4be212436ab2cdc5a4d11a0c04baa99451
5,AaltoXml,745ff7facfc5f984b992e9635d770991f6e37751,9f4212f37f43bd2913a934269a3dcd7d0b2ef9f4,53,https://github.com/FasterXML/aalto-xml/issues/53,https://github.com/FasterXML/aalto-xml/tree/745ff7facfc5f984b992e9635d770991f6e37751,https://github.com/FasterXML/aalto-xml/tree/9f4212f37f43bd2913a934269a3dcd7d0b2ef9f4,https://github.com/FasterXML/aalto-xml/compare/745ff7facfc5f984b992e9635d770991f6e37751...9f4212f37f43bd2913a934269a3dcd7d0b2ef9f4
6,AaltoXml,bae728d66bc5cd0a6374d0c9a54fac4356bac2b5,3bb0dda3348563a1c7ebe8515b73859cfa1c99bf,55,https://github.com/FasterXML/aalto-xml/issues/55,https://github.com/FasterXML/aalto-xml/tree/bae728d66bc5cd0a6374d0c9a54fac4356bac2b5,https://github.com/FasterXML/aalto-xml/tree/3bb0dda3348563a1c7ebe8515b73859cfa1c99bf,https://github.com/FasterXML/aalto-xml/compare/bae728d66bc5cd0a6374d0c9a54fac4356bac2b5...3bb0dda3348563a1c7ebe8515b73859cfa1c99bf
7,AaltoXml,f5c1007442a51696b0ef05937c679422b1420540,8940d90adc7ee7efe5884228974f2a29439aa2ee,35,https://github.com/FasterXML/aalto-xml/issues/35,https://github.com/FasterXML/aalto-xml/tree/f5c1007442a51696b0ef05937c679422b1420540,https://github.com/FasterXML/aalto-xml/tree/8940d90adc7ee7efe5884228974f2a29439aa2ee,https://github.com/FasterXML/aalto-xml/compare/f5c1007442a51696b0ef05937c679422b1420540...8940d90adc7ee7efe5884228974f2a29439aa2ee
8,AaltoXml,462e2f27898dd4eb597a042fb03c2e0066b99223,4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e,45,https://github.com/FasterXML/aalto-xml/issues/45,https://github.com/FasterXML/aalto-xml/tree/462e2f27898dd4eb597a042fb03c2e0066b99223,https://github.com/FasterXML/aalto-xml/tree/4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e,https://github.com/FasterXML/aalto-xml/compare/462e2f27898dd4eb597a042fb03c2e0066b99223...4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e
9,AaltoXml,4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e,9b43cf2766b5be1234c0d0bafb07876b773eecec,46,https://github.com/FasterXML/aalto-xml/issues/46,https://github.com/FasterXML/aalto-xml/tree/4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e,https://github.com/FasterXML/aalto-xml/tree/9b43cf2766b5be1234c0d0bafb07876b773eecec,https://github.com/FasterXML/aalto-xml/compare/4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e...9b43cf2766b5be1234c0d0bafb07876b773eecec
10,AaltoXml,9b43cf2766b5be1234c0d0bafb07876b773eecec,ead5f2a1710b85cb505d492601d6dafee7d03e1b,52,https://github.com/FasterXML/aalto-xml/issues/52,https://github.com/FasterXML/aalto-xml/tree/9b43cf2766b5be1234c0d0bafb07876b773eecec,https://github.com/FasterXML/aalto-xml/tree/ead5f2a1710b85cb505d492601d6dafee7d03e1b,https://github.com/FasterXML/aalto-xml/compare/9b43cf2766b5be1234c0d0bafb07876b773eecec...ead5f2a1710b85cb505d492601d6dafee7d03e1b
