bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ActiveAdmin,95be32ce5471054382c7b6582f8e0d9df9a118c0,5fb8119133a564e9af248e72cadaa7b4c4fd68f5,18,https://github.com/activeadmin/activeadmin/issues/18,https://github.com/activeadmin/activeadmin/tree/95be32ce5471054382c7b6582f8e0d9df9a118c0,https://github.com/activeadmin/activeadmin/tree/5fb8119133a564e9af248e72cadaa7b4c4fd68f5,https://github.com/activeadmin/activeadmin/compare/95be32ce5471054382c7b6582f8e0d9df9a118c0...5fb8119133a564e9af248e72cadaa7b4c4fd68f5
2,ActiveAdmin,60ee2dea4d5b33c757b6b92cf9ad63c20de42a14,e7b4cc829ca3747ef2f00791cefbb7af32c66ef5,22,https://github.com/activeadmin/activeadmin/issues/22,https://github.com/activeadmin/activeadmin/tree/60ee2dea4d5b33c757b6b92cf9ad63c20de42a14,https://github.com/activeadmin/activeadmin/tree/e7b4cc829ca3747ef2f00791cefbb7af32c66ef5,https://github.com/activeadmin/activeadmin/compare/60ee2dea4d5b33c757b6b92cf9ad63c20de42a14...e7b4cc829ca3747ef2f00791cefbb7af32c66ef5
3,ActiveAdmin,e7b4cc829ca3747ef2f00791cefbb7af32c66ef5,033665d4345a86aa5b16da1ccb8b121b164bf266,28,https://github.com/activeadmin/activeadmin/issues/28,https://github.com/activeadmin/activeadmin/tree/e7b4cc829ca3747ef2f00791cefbb7af32c66ef5,https://github.com/activeadmin/activeadmin/tree/033665d4345a86aa5b16da1ccb8b121b164bf266,https://github.com/activeadmin/activeadmin/compare/e7b4cc829ca3747ef2f00791cefbb7af32c66ef5...033665d4345a86aa5b16da1ccb8b121b164bf266
4,ActiveAdmin,b6b08e63a04c855a1cf154f77aea97801c18bd55,b28e7fb317ada9cd84912b94862a34f780967039,48,https://github.com/activeadmin/activeadmin/issues/48,https://github.com/activeadmin/activeadmin/tree/b6b08e63a04c855a1cf154f77aea97801c18bd55,https://github.com/activeadmin/activeadmin/tree/b28e7fb317ada9cd84912b94862a34f780967039,https://github.com/activeadmin/activeadmin/compare/b6b08e63a04c855a1cf154f77aea97801c18bd55...b28e7fb317ada9cd84912b94862a34f780967039
5,ActiveAdmin,b28e7fb317ada9cd84912b94862a34f780967039,bc4e6599976343bb1b500e6d645736f4e0b095e8,54,https://github.com/activeadmin/activeadmin/issues/54,https://github.com/activeadmin/activeadmin/tree/b28e7fb317ada9cd84912b94862a34f780967039,https://github.com/activeadmin/activeadmin/tree/bc4e6599976343bb1b500e6d645736f4e0b095e8,https://github.com/activeadmin/activeadmin/compare/b28e7fb317ada9cd84912b94862a34f780967039...bc4e6599976343bb1b500e6d645736f4e0b095e8
6,ActiveAdmin,937e7d952243dd157f5f19a0504bc145ab164efc,0ec7e02907d8b01a2b788948d3409b3ff6631576,20,https://github.com/activeadmin/activeadmin/issues/20,https://github.com/activeadmin/activeadmin/tree/937e7d952243dd157f5f19a0504bc145ab164efc,https://github.com/activeadmin/activeadmin/tree/0ec7e02907d8b01a2b788948d3409b3ff6631576,https://github.com/activeadmin/activeadmin/compare/937e7d952243dd157f5f19a0504bc145ab164efc...0ec7e02907d8b01a2b788948d3409b3ff6631576
7,ActiveAdmin,fe2ce60604906f83720fdd42f136d50c4e70311f,f775c86bf5932173bcbf766a011da57ec146cec6,21,https://github.com/activeadmin/activeadmin/issues/21,https://github.com/activeadmin/activeadmin/tree/fe2ce60604906f83720fdd42f136d50c4e70311f,https://github.com/activeadmin/activeadmin/tree/f775c86bf5932173bcbf766a011da57ec146cec6,https://github.com/activeadmin/activeadmin/compare/fe2ce60604906f83720fdd42f136d50c4e70311f...f775c86bf5932173bcbf766a011da57ec146cec6
8,ActiveAdmin,7f94bddf8bc47fad09265649626f9fddab7999ae,b01cd5d1923e505a9e75fae0dd2d175630783630,38,https://github.com/activeadmin/activeadmin/issues/38,https://github.com/activeadmin/activeadmin/tree/7f94bddf8bc47fad09265649626f9fddab7999ae,https://github.com/activeadmin/activeadmin/tree/b01cd5d1923e505a9e75fae0dd2d175630783630,https://github.com/activeadmin/activeadmin/compare/7f94bddf8bc47fad09265649626f9fddab7999ae...b01cd5d1923e505a9e75fae0dd2d175630783630
9,ActiveAdmin,b01cd5d1923e505a9e75fae0dd2d175630783630,c09e349241c36ac76aab111290a4b6003f208c03,92,https://github.com/activeadmin/activeadmin/issues/92,https://github.com/activeadmin/activeadmin/tree/b01cd5d1923e505a9e75fae0dd2d175630783630,https://github.com/activeadmin/activeadmin/tree/c09e349241c36ac76aab111290a4b6003f208c03,https://github.com/activeadmin/activeadmin/compare/b01cd5d1923e505a9e75fae0dd2d175630783630...c09e349241c36ac76aab111290a4b6003f208c03
10,ActiveAdmin,c09e349241c36ac76aab111290a4b6003f208c03,0c2d77cb5d4c6d510ecf5ad2fb35d7ff193609e5,73,https://github.com/activeadmin/activeadmin/issues/73,https://github.com/activeadmin/activeadmin/tree/c09e349241c36ac76aab111290a4b6003f208c03,https://github.com/activeadmin/activeadmin/tree/0c2d77cb5d4c6d510ecf5ad2fb35d7ff193609e5,https://github.com/activeadmin/activeadmin/compare/c09e349241c36ac76aab111290a4b6003f208c03...0c2d77cb5d4c6d510ecf5ad2fb35d7ff193609e5
11,ActiveAdmin,0c2d77cb5d4c6d510ecf5ad2fb35d7ff193609e5,e167223509b389e39eae58b5c441cc776dc01237,24,https://github.com/activeadmin/activeadmin/issues/24,https://github.com/activeadmin/activeadmin/tree/0c2d77cb5d4c6d510ecf5ad2fb35d7ff193609e5,https://github.com/activeadmin/activeadmin/tree/e167223509b389e39eae58b5c441cc776dc01237,https://github.com/activeadmin/activeadmin/compare/0c2d77cb5d4c6d510ecf5ad2fb35d7ff193609e5...e167223509b389e39eae58b5c441cc776dc01237
12,ActiveAdmin,c505a57bc710c0d72f244c447a4c8b8b9325904e,60c412ed409387100a03b9f46f7ceffe0b4ffaeb,110,https://github.com/activeadmin/activeadmin/issues/110,https://github.com/activeadmin/activeadmin/tree/c505a57bc710c0d72f244c447a4c8b8b9325904e,https://github.com/activeadmin/activeadmin/tree/60c412ed409387100a03b9f46f7ceffe0b4ffaeb,https://github.com/activeadmin/activeadmin/compare/c505a57bc710c0d72f244c447a4c8b8b9325904e...60c412ed409387100a03b9f46f7ceffe0b4ffaeb
13,ActiveAdmin,76114dd7652bae5e43721ac5b16e59c50c2c02c2,995ae9a26a2e6fdf29d1956da5df0b51e2e58555,131,https://github.com/activeadmin/activeadmin/issues/131,https://github.com/activeadmin/activeadmin/tree/76114dd7652bae5e43721ac5b16e59c50c2c02c2,https://github.com/activeadmin/activeadmin/tree/995ae9a26a2e6fdf29d1956da5df0b51e2e58555,https://github.com/activeadmin/activeadmin/compare/76114dd7652bae5e43721ac5b16e59c50c2c02c2...995ae9a26a2e6fdf29d1956da5df0b51e2e58555
14,ActiveAdmin,c7e428f3eda7ce13c165096a2a1ea6a1be57ef90,3c572bd5a3fefb9845318cbc93da6ef3dcbad043,122,https://github.com/activeadmin/activeadmin/issues/122,https://github.com/activeadmin/activeadmin/tree/c7e428f3eda7ce13c165096a2a1ea6a1be57ef90,https://github.com/activeadmin/activeadmin/tree/3c572bd5a3fefb9845318cbc93da6ef3dcbad043,https://github.com/activeadmin/activeadmin/compare/c7e428f3eda7ce13c165096a2a1ea6a1be57ef90...3c572bd5a3fefb9845318cbc93da6ef3dcbad043
15,ActiveAdmin,6370ed5f426aab8c1a79f69ca366fc18a8a537f1,79466f79157981260ee49af31e8dd0e8cea077c0,104,https://github.com/activeadmin/activeadmin/issues/104,https://github.com/activeadmin/activeadmin/tree/6370ed5f426aab8c1a79f69ca366fc18a8a537f1,https://github.com/activeadmin/activeadmin/tree/79466f79157981260ee49af31e8dd0e8cea077c0,https://github.com/activeadmin/activeadmin/compare/6370ed5f426aab8c1a79f69ca366fc18a8a537f1...79466f79157981260ee49af31e8dd0e8cea077c0
16,ActiveAdmin,056f9f3c7f159e90827cc0a32e91a73d78d74be8,ccbf505190c6d7f0b1fffcf1989b80efc5367293,222,https://github.com/activeadmin/activeadmin/issues/222,https://github.com/activeadmin/activeadmin/tree/056f9f3c7f159e90827cc0a32e91a73d78d74be8,https://github.com/activeadmin/activeadmin/tree/ccbf505190c6d7f0b1fffcf1989b80efc5367293,https://github.com/activeadmin/activeadmin/compare/056f9f3c7f159e90827cc0a32e91a73d78d74be8...ccbf505190c6d7f0b1fffcf1989b80efc5367293
17,ActiveAdmin,1b6dd528231898d9368bfe523db17948e5ca4054,66e4c965c2eb96a0b99b5bbe47e778aaafb56874,104,https://github.com/activeadmin/activeadmin/issues/104,https://github.com/activeadmin/activeadmin/tree/1b6dd528231898d9368bfe523db17948e5ca4054,https://github.com/activeadmin/activeadmin/tree/66e4c965c2eb96a0b99b5bbe47e778aaafb56874,https://github.com/activeadmin/activeadmin/compare/1b6dd528231898d9368bfe523db17948e5ca4054...66e4c965c2eb96a0b99b5bbe47e778aaafb56874
18,ActiveAdmin,717401969bcc3ae594701d80b64ee5b956e5af3d,ca762915be5f42a4b225356da8b307ed95cfba04,52,https://github.com/activeadmin/activeadmin/issues/52,https://github.com/activeadmin/activeadmin/tree/717401969bcc3ae594701d80b64ee5b956e5af3d,https://github.com/activeadmin/activeadmin/tree/ca762915be5f42a4b225356da8b307ed95cfba04,https://github.com/activeadmin/activeadmin/compare/717401969bcc3ae594701d80b64ee5b956e5af3d...ca762915be5f42a4b225356da8b307ed95cfba04
19,ActiveAdmin,ca762915be5f42a4b225356da8b307ed95cfba04,5b534e1894140b83b99d39d01b7dd92979e66f3b,211,https://github.com/activeadmin/activeadmin/issues/211,https://github.com/activeadmin/activeadmin/tree/ca762915be5f42a4b225356da8b307ed95cfba04,https://github.com/activeadmin/activeadmin/tree/5b534e1894140b83b99d39d01b7dd92979e66f3b,https://github.com/activeadmin/activeadmin/compare/ca762915be5f42a4b225356da8b307ed95cfba04...5b534e1894140b83b99d39d01b7dd92979e66f3b
20,ActiveAdmin,a3cf7dc313e8c1bdcdcb2e1b2d7de4256f639b26,1365102e5b0f1d9ee03aec98356449b23c5f6532,52,https://github.com/activeadmin/activeadmin/issues/52,https://github.com/activeadmin/activeadmin/tree/a3cf7dc313e8c1bdcdcb2e1b2d7de4256f639b26,https://github.com/activeadmin/activeadmin/tree/1365102e5b0f1d9ee03aec98356449b23c5f6532,https://github.com/activeadmin/activeadmin/compare/a3cf7dc313e8c1bdcdcb2e1b2d7de4256f639b26...1365102e5b0f1d9ee03aec98356449b23c5f6532
21,ActiveAdmin,8b86a034ea64a9a6fa73b5b2614ace40c3fe5a6b,cfe45ddd998350c0ccb5e6d16ebc27e05bcf2119,246,https://github.com/activeadmin/activeadmin/issues/246,https://github.com/activeadmin/activeadmin/tree/8b86a034ea64a9a6fa73b5b2614ace40c3fe5a6b,https://github.com/activeadmin/activeadmin/tree/cfe45ddd998350c0ccb5e6d16ebc27e05bcf2119,https://github.com/activeadmin/activeadmin/compare/8b86a034ea64a9a6fa73b5b2614ace40c3fe5a6b...cfe45ddd998350c0ccb5e6d16ebc27e05bcf2119
22,ActiveAdmin,cb94ba3ab3300633b2b3405f7b93cdfd659f798f,c575fe979781bf611f607f3f8116b0358228d6c3,255,https://github.com/activeadmin/activeadmin/issues/255,https://github.com/activeadmin/activeadmin/tree/cb94ba3ab3300633b2b3405f7b93cdfd659f798f,https://github.com/activeadmin/activeadmin/tree/c575fe979781bf611f607f3f8116b0358228d6c3,https://github.com/activeadmin/activeadmin/compare/cb94ba3ab3300633b2b3405f7b93cdfd659f798f...c575fe979781bf611f607f3f8116b0358228d6c3
23,ActiveAdmin,b470a56e4d1d3907abc2a137ec3086dbcc09e49e,4d27164a176a1f6d7e516bdda8a4b78acfd4c093,235,https://github.com/activeadmin/activeadmin/issues/235,https://github.com/activeadmin/activeadmin/tree/b470a56e4d1d3907abc2a137ec3086dbcc09e49e,https://github.com/activeadmin/activeadmin/tree/4d27164a176a1f6d7e516bdda8a4b78acfd4c093,https://github.com/activeadmin/activeadmin/compare/b470a56e4d1d3907abc2a137ec3086dbcc09e49e...4d27164a176a1f6d7e516bdda8a4b78acfd4c093
24,ActiveAdmin,811f286fda3b6dfa91aa172b2471ee56346d539d,fa8f2a3ac008afafd5a10241c7c8924bea26c7b8,248,https://github.com/activeadmin/activeadmin/issues/248,https://github.com/activeadmin/activeadmin/tree/811f286fda3b6dfa91aa172b2471ee56346d539d,https://github.com/activeadmin/activeadmin/tree/fa8f2a3ac008afafd5a10241c7c8924bea26c7b8,https://github.com/activeadmin/activeadmin/compare/811f286fda3b6dfa91aa172b2471ee56346d539d...fa8f2a3ac008afafd5a10241c7c8924bea26c7b8
