bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ActiveMQ,75a6b834b9a32baff3325cb88b1cb4fbee2dab3d,bd60590273259ebbaeb6b91f2ccb6fb1d081131e,AMQ-449,https://issues.apache.org/jira/browse/AMQ-449,https://github.com/apache/activemq/tree/75a6b834b9a32baff3325cb88b1cb4fbee2dab3d,https://github.com/apache/activemq/tree/bd60590273259ebbaeb6b91f2ccb6fb1d081131e,https://github.com/apache/activemq/compare/75a6b834b9a32baff3325cb88b1cb4fbee2dab3d...bd60590273259ebbaeb6b91f2ccb6fb1d081131e
2,ActiveMQ,eac597346ca2d5d3fab8c890c24902f744892460,80f5e0ced1de75624f109466395ef57fdb6f774b,AMQ-460,https://issues.apache.org/jira/browse/AMQ-460,https://github.com/apache/activemq/tree/eac597346ca2d5d3fab8c890c24902f744892460,https://github.com/apache/activemq/tree/80f5e0ced1de75624f109466395ef57fdb6f774b,https://github.com/apache/activemq/compare/eac597346ca2d5d3fab8c890c24902f744892460...80f5e0ced1de75624f109466395ef57fdb6f774b
3,ActiveMQ,2e60c7919407299427fc3807ef445097de0747ef,d06b32bab3ad3c98c7802ce3955ab8512d449cde,AMQ-461,https://issues.apache.org/jira/browse/AMQ-461,https://github.com/apache/activemq/tree/2e60c7919407299427fc3807ef445097de0747ef,https://github.com/apache/activemq/tree/d06b32bab3ad3c98c7802ce3955ab8512d449cde,https://github.com/apache/activemq/compare/2e60c7919407299427fc3807ef445097de0747ef...d06b32bab3ad3c98c7802ce3955ab8512d449cde
4,ActiveMQ,c8d74e7113ce444f3897d5f5416859f13b0c15cc,935ce6596843f0b505a1f79dc30b9f9984853f24,AMQ-464,https://issues.apache.org/jira/browse/AMQ-464,https://github.com/apache/activemq/tree/c8d74e7113ce444f3897d5f5416859f13b0c15cc,https://github.com/apache/activemq/tree/935ce6596843f0b505a1f79dc30b9f9984853f24,https://github.com/apache/activemq/compare/c8d74e7113ce444f3897d5f5416859f13b0c15cc...935ce6596843f0b505a1f79dc30b9f9984853f24
5,ActiveMQ,f0454b1e8889e6ed06963ef4f08583332f02baaf,c68a1460baca744b565af010c459ade92bc04183,AMQ-464,https://issues.apache.org/jira/browse/AMQ-464,https://github.com/apache/activemq/tree/f0454b1e8889e6ed06963ef4f08583332f02baaf,https://github.com/apache/activemq/tree/c68a1460baca744b565af010c459ade92bc04183,https://github.com/apache/activemq/compare/f0454b1e8889e6ed06963ef4f08583332f02baaf...c68a1460baca744b565af010c459ade92bc04183
6,ActiveMQ,1c02c36bdc16e4dbf4c96c262dab72b3a8cb7f5f,fb53ad9cf32cf720699537432195b186f1e15235,AMQ-464,https://issues.apache.org/jira/browse/AMQ-464,https://github.com/apache/activemq/tree/1c02c36bdc16e4dbf4c96c262dab72b3a8cb7f5f,https://github.com/apache/activemq/tree/fb53ad9cf32cf720699537432195b186f1e15235,https://github.com/apache/activemq/compare/1c02c36bdc16e4dbf4c96c262dab72b3a8cb7f5f...fb53ad9cf32cf720699537432195b186f1e15235
7,ActiveMQ,0b629636d2e4e47847c695b75c8c8d39e1931e18,eef92026754b0cc94c2b0ba21ece0b531b518b97,AMQ-484,https://issues.apache.org/jira/browse/AMQ-484,https://github.com/apache/activemq/tree/0b629636d2e4e47847c695b75c8c8d39e1931e18,https://github.com/apache/activemq/tree/eef92026754b0cc94c2b0ba21ece0b531b518b97,https://github.com/apache/activemq/compare/0b629636d2e4e47847c695b75c8c8d39e1931e18...eef92026754b0cc94c2b0ba21ece0b531b518b97
8,ActiveMQ,71afa0ded92805e0039d74e1a8d39f34e3934c90,1c64baadeae996c30f8729479118bd0ee7bb578c,AMQ-502,https://issues.apache.org/jira/browse/AMQ-502,https://github.com/apache/activemq/tree/71afa0ded92805e0039d74e1a8d39f34e3934c90,https://github.com/apache/activemq/tree/1c64baadeae996c30f8729479118bd0ee7bb578c,https://github.com/apache/activemq/compare/71afa0ded92805e0039d74e1a8d39f34e3934c90...1c64baadeae996c30f8729479118bd0ee7bb578c
9,ActiveMQ,d2d1c6d63d67115448d9b929c2d2e2e3dcd7f0f1,f9a763586aac0b464207d3e9f7f4b2acd790db5e,AMQ-500,https://issues.apache.org/jira/browse/AMQ-500,https://github.com/apache/activemq/tree/d2d1c6d63d67115448d9b929c2d2e2e3dcd7f0f1,https://github.com/apache/activemq/tree/f9a763586aac0b464207d3e9f7f4b2acd790db5e,https://github.com/apache/activemq/compare/d2d1c6d63d67115448d9b929c2d2e2e3dcd7f0f1...f9a763586aac0b464207d3e9f7f4b2acd790db5e
10,ActiveMQ,fd156f833ab35ea89e15aab7d727f92a3068aaef,b2039fb1c2e76a68aead491c544a28921190f117,AMQ-494,https://issues.apache.org/jira/browse/AMQ-494,https://github.com/apache/activemq/tree/fd156f833ab35ea89e15aab7d727f92a3068aaef,https://github.com/apache/activemq/tree/b2039fb1c2e76a68aead491c544a28921190f117,https://github.com/apache/activemq/compare/fd156f833ab35ea89e15aab7d727f92a3068aaef...b2039fb1c2e76a68aead491c544a28921190f117
