bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ActixWeb,fd876efa68a8b568a5cb01fe3628919967a60764,492c0725640387975913f14662a855ac28c74b28,172,https://github.com/actix/actix-web/issues/172,https://github.com/actix/actix-web/tree/fd876efa68a8b568a5cb01fe3628919967a60764,https://github.com/actix/actix-web/tree/492c0725640387975913f14662a855ac28c74b28,https://github.com/actix/actix-web/compare/fd876efa68a8b568a5cb01fe3628919967a60764...492c0725640387975913f14662a855ac28c74b28
2,ActixWeb,255cd4917d0066850154085a5e63bd3beecc5933,4dcecd907b64e9cff3bd2dbc4143bf0cafb0ba72,247,https://github.com/actix/actix-web/issues/247,https://github.com/actix/actix-web/tree/255cd4917d0066850154085a5e63bd3beecc5933,https://github.com/actix/actix-web/tree/4dcecd907b64e9cff3bd2dbc4143bf0cafb0ba72,https://github.com/actix/actix-web/compare/255cd4917d0066850154085a5e63bd3beecc5933...4dcecd907b64e9cff3bd2dbc4143bf0cafb0ba72
3,ActixWeb,77becb9bc0a9610c561c9c1d6d4ab15323375a82,80965d7a9ad62fddb02f8b9dc87110448e5ef8a5,260,https://github.com/actix/actix-web/issues/260,https://github.com/actix/actix-web/tree/77becb9bc0a9610c561c9c1d6d4ab15323375a82,https://github.com/actix/actix-web/tree/80965d7a9ad62fddb02f8b9dc87110448e5ef8a5,https://github.com/actix/actix-web/compare/77becb9bc0a9610c561c9c1d6d4ab15323375a82...80965d7a9ad62fddb02f8b9dc87110448e5ef8a5
4,ActixWeb,593a66324fee5d17fb0f400c5ca3f368c4888734,fce8dd275ab0c86559a098af3c2d2b58ef17ff1f,257,https://github.com/actix/actix-web/issues/257,https://github.com/actix/actix-web/tree/593a66324fee5d17fb0f400c5ca3f368c4888734,https://github.com/actix/actix-web/tree/fce8dd275ab0c86559a098af3c2d2b58ef17ff1f,https://github.com/actix/actix-web/compare/593a66324fee5d17fb0f400c5ca3f368c4888734...fce8dd275ab0c86559a098af3c2d2b58ef17ff1f
5,ActixWeb,a9425a866bdb7d2be8cd2ab0ab9232541f93258a,0f27389e7207fb286ac47cd81f7b6a5e0622cf29,345,https://github.com/actix/actix-web/issues/345,https://github.com/actix/actix-web/tree/a9425a866bdb7d2be8cd2ab0ab9232541f93258a,https://github.com/actix/actix-web/tree/0f27389e7207fb286ac47cd81f7b6a5e0622cf29,https://github.com/actix/actix-web/compare/a9425a866bdb7d2be8cd2ab0ab9232541f93258a...0f27389e7207fb286ac47cd81f7b6a5e0622cf29
6,ActixWeb,080f232a0f675e0f9eb13cba8f57133008c7f3b5,67e4cad2819ab9c57632172d75b9c4262dad6c33,320,https://github.com/actix/actix-web/issues/320,https://github.com/actix/actix-web/tree/080f232a0f675e0f9eb13cba8f57133008c7f3b5,https://github.com/actix/actix-web/tree/67e4cad2819ab9c57632172d75b9c4262dad6c33,https://github.com/actix/actix-web/compare/080f232a0f675e0f9eb13cba8f57133008c7f3b5...67e4cad2819ab9c57632172d75b9c4262dad6c33
7,ActixWeb,2071ea053293e1f1bfde4e43bfab9137ac62ba48,aa1e75f071e0c729b217e42a93b742ace0ba6b39,432,https://github.com/actix/actix-web/issues/432,https://github.com/actix/actix-web/tree/2071ea053293e1f1bfde4e43bfab9137ac62ba48,https://github.com/actix/actix-web/tree/aa1e75f071e0c729b217e42a93b742ace0ba6b39,https://github.com/actix/actix-web/compare/2071ea053293e1f1bfde4e43bfab9137ac62ba48...aa1e75f071e0c729b217e42a93b742ace0ba6b39
8,ActixWeb,2071ea053293e1f1bfde4e43bfab9137ac62ba48,dca4c110dd0634bd864e624b475f8e7f6e3a5b36,432,https://github.com/actix/actix-web/issues/432,https://github.com/actix/actix-web/tree/2071ea053293e1f1bfde4e43bfab9137ac62ba48,https://github.com/actix/actix-web/tree/dca4c110dd0634bd864e624b475f8e7f6e3a5b36,https://github.com/actix/actix-web/compare/2071ea053293e1f1bfde4e43bfab9137ac62ba48...dca4c110dd0634bd864e624b475f8e7f6e3a5b36
9,ActixWeb,6464f96f8b5fbacc1227f85a958685fbd413de45,0425e2776f5cbcaca3489a5dd565b12e63bc688c,490,https://github.com/actix/actix-web/issues/490,https://github.com/actix/actix-web/tree/6464f96f8b5fbacc1227f85a958685fbd413de45,https://github.com/actix/actix-web/tree/0425e2776f5cbcaca3489a5dd565b12e63bc688c,https://github.com/actix/actix-web/compare/6464f96f8b5fbacc1227f85a958685fbd413de45...0425e2776f5cbcaca3489a5dd565b12e63bc688c
10,ActixWeb,782eeb5ded9bda6f41ad957315ce1e413873f83c,59deb4b40d770d53690e354cde8de071d94d86a8,511,https://github.com/actix/actix-web/issues/511,https://github.com/actix/actix-web/tree/782eeb5ded9bda6f41ad957315ce1e413873f83c,https://github.com/actix/actix-web/tree/59deb4b40d770d53690e354cde8de071d94d86a8,https://github.com/actix/actix-web/compare/782eeb5ded9bda6f41ad957315ce1e413873f83c...59deb4b40d770d53690e354cde8de071d94d86a8
11,ActixWeb,6a9317847979a17fa8d39f05d15188cbb7dde902,389cb13cd63704a024d7e668592c2aca06bcd876,597,https://github.com/actix/actix-web/issues/597,https://github.com/actix/actix-web/tree/6a9317847979a17fa8d39f05d15188cbb7dde902,https://github.com/actix/actix-web/tree/389cb13cd63704a024d7e668592c2aca06bcd876,https://github.com/actix/actix-web/compare/6a9317847979a17fa8d39f05d15188cbb7dde902...389cb13cd63704a024d7e668592c2aca06bcd876
12,ActixWeb,46db09428c2a38cab4daa8f272b36fb4112ff235,e8bdcb1c08967431c825751e5c110b37ecde512f,630,https://github.com/actix/actix-web/issues/630,https://github.com/actix/actix-web/tree/46db09428c2a38cab4daa8f272b36fb4112ff235,https://github.com/actix/actix-web/tree/e8bdcb1c08967431c825751e5c110b37ecde512f,https://github.com/actix/actix-web/compare/46db09428c2a38cab4daa8f272b36fb4112ff235...e8bdcb1c08967431c825751e5c110b37ecde512f
13,ActixWeb,d6df2e33999c01e5346705a51fc404479b9d4b4b,3431fff4d7f2c39576f8c6070df09f169abf12a8,665,https://github.com/actix/actix-web/issues/665,https://github.com/actix/actix-web/tree/d6df2e33999c01e5346705a51fc404479b9d4b4b,https://github.com/actix/actix-web/tree/3431fff4d7f2c39576f8c6070df09f169abf12a8,https://github.com/actix/actix-web/compare/d6df2e33999c01e5346705a51fc404479b9d4b4b...3431fff4d7f2c39576f8c6070df09f169abf12a8
14,ActixWeb,b36fdc46db7b606615c417d538059d30427b82fd,d03296237eb6cbfa019355eca5747032b0836539,938,https://github.com/actix/actix-web/issues/938,https://github.com/actix/actix-web/tree/b36fdc46db7b606615c417d538059d30427b82fd,https://github.com/actix/actix-web/tree/d03296237eb6cbfa019355eca5747032b0836539,https://github.com/actix/actix-web/compare/b36fdc46db7b606615c417d538059d30427b82fd...d03296237eb6cbfa019355eca5747032b0836539
15,ActixWeb,525c22de157cc379c9944672897654b27c801b7a,c5907747ad29d82c89b116a82a0aa3c214315fdf,1108,https://github.com/actix/actix-web/issues/1108,https://github.com/actix/actix-web/tree/525c22de157cc379c9944672897654b27c801b7a,https://github.com/actix/actix-web/tree/c5907747ad29d82c89b116a82a0aa3c214315fdf,https://github.com/actix/actix-web/compare/525c22de157cc379c9944672897654b27c801b7a...c5907747ad29d82c89b116a82a0aa3c214315fdf
16,ActixWeb,2e9ab0625e9e58995d8376bf3d41b62bce9d2640,a3287948d19bbdc9e7cf9957403961eeb2d8b94d,1035,https://github.com/actix/actix-web/issues/1035,https://github.com/actix/actix-web/tree/2e9ab0625e9e58995d8376bf3d41b62bce9d2640,https://github.com/actix/actix-web/tree/a3287948d19bbdc9e7cf9957403961eeb2d8b94d,https://github.com/actix/actix-web/compare/2e9ab0625e9e58995d8376bf3d41b62bce9d2640...a3287948d19bbdc9e7cf9957403961eeb2d8b94d
17,ActixWeb,3033f187d2214fdb40c815d982fbf6f8a31bcd3f,fe13789345f6307e8ac1e1545770f82a14b6588b,1321,https://github.com/actix/actix-web/issues/1321,https://github.com/actix/actix-web/tree/3033f187d2214fdb40c815d982fbf6f8a31bcd3f,https://github.com/actix/actix-web/tree/fe13789345f6307e8ac1e1545770f82a14b6588b,https://github.com/actix/actix-web/compare/3033f187d2214fdb40c815d982fbf6f8a31bcd3f...fe13789345f6307e8ac1e1545770f82a14b6588b
18,ActixWeb,df3f7225898b3a4b6ece971b82938f4c7d87d600,45e2e401401fb62d69fa90424fda45962b1d4e5d,1450,https://github.com/actix/actix-web/issues/1450,https://github.com/actix/actix-web/tree/df3f7225898b3a4b6ece971b82938f4c7d87d600,https://github.com/actix/actix-web/tree/45e2e401401fb62d69fa90424fda45962b1d4e5d,https://github.com/actix/actix-web/compare/df3f7225898b3a4b6ece971b82938f4c7d87d600...45e2e401401fb62d69fa90424fda45962b1d4e5d
19,ActixWeb,7fe426f626d2da3506533521d2fcbd33947c12f5,b0866a8a0fbdc728afa49e115934ec78cf59634d,1384,https://github.com/actix/actix-web/issues/1384,https://github.com/actix/actix-web/tree/7fe426f626d2da3506533521d2fcbd33947c12f5,https://github.com/actix/actix-web/tree/b0866a8a0fbdc728afa49e115934ec78cf59634d,https://github.com/actix/actix-web/compare/7fe426f626d2da3506533521d2fcbd33947c12f5...b0866a8a0fbdc728afa49e115934ec78cf59634d
20,ActixWeb,426a9b5d4d3fe7398690e1357d3d06ab41ef16c0,32a37b72823fee9ba4664a6f344493eeda9752d4,1439,https://github.com/actix/actix-web/issues/1439,https://github.com/actix/actix-web/tree/426a9b5d4d3fe7398690e1357d3d06ab41ef16c0,https://github.com/actix/actix-web/tree/32a37b72823fee9ba4664a6f344493eeda9752d4,https://github.com/actix/actix-web/compare/426a9b5d4d3fe7398690e1357d3d06ab41ef16c0...32a37b72823fee9ba4664a6f344493eeda9752d4
21,ActixWeb,2fd96c03e5a2d93671412252d864859e5de1b345,971ba3eee14b4191ccddd6ddae0a5c135ae789e9,1606,https://github.com/actix/actix-web/issues/1606,https://github.com/actix/actix-web/tree/2fd96c03e5a2d93671412252d864859e5de1b345,https://github.com/actix/actix-web/tree/971ba3eee14b4191ccddd6ddae0a5c135ae789e9,https://github.com/actix/actix-web/compare/2fd96c03e5a2d93671412252d864859e5de1b345...971ba3eee14b4191ccddd6ddae0a5c135ae789e9
22,ActixWeb,3fde3be3d863a42fab6799bdfd4552bcb43d7e8e,4b4c9d1b9341f1316157ed29e4f27223228f6009,1680,https://github.com/actix/actix-web/issues/1680,https://github.com/actix/actix-web/tree/3fde3be3d863a42fab6799bdfd4552bcb43d7e8e,https://github.com/actix/actix-web/tree/4b4c9d1b9341f1316157ed29e4f27223228f6009,https://github.com/actix/actix-web/compare/3fde3be3d863a42fab6799bdfd4552bcb43d7e8e...4b4c9d1b9341f1316157ed29e4f27223228f6009
23,ActixWeb,fe6ad816cc730e545cf27e26d68ba26ddc20afe6,0b5b463cfa951d96ec6b0167964ef613b0d2b091,1799,https://github.com/actix/actix-web/issues/1799,https://github.com/actix/actix-web/tree/fe6ad816cc730e545cf27e26d68ba26ddc20afe6,https://github.com/actix/actix-web/tree/0b5b463cfa951d96ec6b0167964ef613b0d2b091,https://github.com/actix/actix-web/compare/fe6ad816cc730e545cf27e26d68ba26ddc20afe6...0b5b463cfa951d96ec6b0167964ef613b0d2b091
24,ActixWeb,a2b0e866325b1492c2daa9fd0593ce5d91e40af8,909ef0344b0fb5a30ead66420a89358e867b1933,2064,https://github.com/actix/actix-web/issues/2064,https://github.com/actix/actix-web/tree/a2b0e866325b1492c2daa9fd0593ce5d91e40af8,https://github.com/actix/actix-web/tree/909ef0344b0fb5a30ead66420a89358e867b1933,https://github.com/actix/actix-web/compare/a2b0e866325b1492c2daa9fd0593ce5d91e40af8...909ef0344b0fb5a30ead66420a89358e867b1933
25,ActixWeb,34e5c7c799b88dcd18ebaf8c4b8d75132e19bf25,adf993584124f44fc07835fcd7e467184291ab38,2389,https://github.com/actix/actix-web/issues/2389,https://github.com/actix/actix-web/tree/34e5c7c799b88dcd18ebaf8c4b8d75132e19bf25,https://github.com/actix/actix-web/tree/adf993584124f44fc07835fcd7e467184291ab38,https://github.com/actix/actix-web/compare/34e5c7c799b88dcd18ebaf8c4b8d75132e19bf25...adf993584124f44fc07835fcd7e467184291ab38
