bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,AutoMapper,566a4aade3608198d49aeea190827771c2a8f517,b7eeb37582c380b44974c2a1e681acdd285635b9,25,https://github.com/LuckyPennySoftware/AutoMapper/issues/25,https://github.com/AutoMapper/AutoMapper/tree/566a4aade3608198d49aeea190827771c2a8f517,https://github.com/AutoMapper/AutoMapper/tree/b7eeb37582c380b44974c2a1e681acdd285635b9,https://github.com/AutoMapper/AutoMapper/compare/566a4aade3608198d49aeea190827771c2a8f517...b7eeb37582c380b44974c2a1e681acdd285635b9
2,AutoMapper,3abe97c64b3892c5e2b1ce12a8b8b70ded373746,098eba332b6472cd8abfc2cdf885580f58354b26,114,https://github.com/LuckyPennySoftware/AutoMapper/issues/114,https://github.com/AutoMapper/AutoMapper/tree/3abe97c64b3892c5e2b1ce12a8b8b70ded373746,https://github.com/AutoMapper/AutoMapper/tree/098eba332b6472cd8abfc2cdf885580f58354b26,https://github.com/AutoMapper/AutoMapper/compare/3abe97c64b3892c5e2b1ce12a8b8b70ded373746...098eba332b6472cd8abfc2cdf885580f58354b26
3,AutoMapper,098eba332b6472cd8abfc2cdf885580f58354b26,015aa2ce766e0414bcf6476d5c097ebb30a70a70,105,https://github.com/LuckyPennySoftware/AutoMapper/issues/105,https://github.com/AutoMapper/AutoMapper/tree/098eba332b6472cd8abfc2cdf885580f58354b26,https://github.com/AutoMapper/AutoMapper/tree/015aa2ce766e0414bcf6476d5c097ebb30a70a70,https://github.com/AutoMapper/AutoMapper/compare/098eba332b6472cd8abfc2cdf885580f58354b26...015aa2ce766e0414bcf6476d5c097ebb30a70a70
4,AutoMapper,015aa2ce766e0414bcf6476d5c097ebb30a70a70,4344a622761625ab7e275e4adae66f583fa470f2,89,https://github.com/LuckyPennySoftware/AutoMapper/issues/89,https://github.com/AutoMapper/AutoMapper/tree/015aa2ce766e0414bcf6476d5c097ebb30a70a70,https://github.com/AutoMapper/AutoMapper/tree/4344a622761625ab7e275e4adae66f583fa470f2,https://github.com/AutoMapper/AutoMapper/compare/015aa2ce766e0414bcf6476d5c097ebb30a70a70...4344a622761625ab7e275e4adae66f583fa470f2
5,AutoMapper,4344a622761625ab7e275e4adae66f583fa470f2,f3c28fe04b3cd36c99a2836a83b504233f4b9577,63,https://github.com/LuckyPennySoftware/AutoMapper/issues/63,https://github.com/AutoMapper/AutoMapper/tree/4344a622761625ab7e275e4adae66f583fa470f2,https://github.com/AutoMapper/AutoMapper/tree/f3c28fe04b3cd36c99a2836a83b504233f4b9577,https://github.com/AutoMapper/AutoMapper/compare/4344a622761625ab7e275e4adae66f583fa470f2...f3c28fe04b3cd36c99a2836a83b504233f4b9577
6,AutoMapper,f3c28fe04b3cd36c99a2836a83b504233f4b9577,3e74b9fb25587beb02d7b68eb5b4677fc950751c,44,https://github.com/LuckyPennySoftware/AutoMapper/issues/44,https://github.com/AutoMapper/AutoMapper/tree/f3c28fe04b3cd36c99a2836a83b504233f4b9577,https://github.com/AutoMapper/AutoMapper/tree/3e74b9fb25587beb02d7b68eb5b4677fc950751c,https://github.com/AutoMapper/AutoMapper/compare/f3c28fe04b3cd36c99a2836a83b504233f4b9577...3e74b9fb25587beb02d7b68eb5b4677fc950751c
7,AutoMapper,3e74b9fb25587beb02d7b68eb5b4677fc950751c,51e0c0dee7898b2d2ead0406cf6e3d6ab1a81e94,39,https://github.com/LuckyPennySoftware/AutoMapper/issues/39,https://github.com/AutoMapper/AutoMapper/tree/3e74b9fb25587beb02d7b68eb5b4677fc950751c,https://github.com/AutoMapper/AutoMapper/tree/51e0c0dee7898b2d2ead0406cf6e3d6ab1a81e94,https://github.com/AutoMapper/AutoMapper/compare/3e74b9fb25587beb02d7b68eb5b4677fc950751c...51e0c0dee7898b2d2ead0406cf6e3d6ab1a81e94
8,AutoMapper,007aec5412eef4adf1254e9f7984a799888544ca,8cb8270ae1c79a1d77ab115dea407ae1079e2cf0,136,https://github.com/LuckyPennySoftware/AutoMapper/issues/136,https://github.com/AutoMapper/AutoMapper/tree/007aec5412eef4adf1254e9f7984a799888544ca,https://github.com/AutoMapper/AutoMapper/tree/8cb8270ae1c79a1d77ab115dea407ae1079e2cf0,https://github.com/AutoMapper/AutoMapper/compare/007aec5412eef4adf1254e9f7984a799888544ca...8cb8270ae1c79a1d77ab115dea407ae1079e2cf0
9,AutoMapper,8cb8270ae1c79a1d77ab115dea407ae1079e2cf0,c0f029fa953cd862cc1875ee3b5dd02c19ae8eb1,144,https://github.com/LuckyPennySoftware/AutoMapper/issues/144,https://github.com/AutoMapper/AutoMapper/tree/8cb8270ae1c79a1d77ab115dea407ae1079e2cf0,https://github.com/AutoMapper/AutoMapper/tree/c0f029fa953cd862cc1875ee3b5dd02c19ae8eb1,https://github.com/AutoMapper/AutoMapper/compare/8cb8270ae1c79a1d77ab115dea407ae1079e2cf0...c0f029fa953cd862cc1875ee3b5dd02c19ae8eb1
10,AutoMapper,c0f029fa953cd862cc1875ee3b5dd02c19ae8eb1,cad532076f22f451f3b98447fb838dc48d824728,107,https://github.com/LuckyPennySoftware/AutoMapper/issues/107,https://github.com/AutoMapper/AutoMapper/tree/c0f029fa953cd862cc1875ee3b5dd02c19ae8eb1,https://github.com/AutoMapper/AutoMapper/tree/cad532076f22f451f3b98447fb838dc48d824728,https://github.com/AutoMapper/AutoMapper/compare/c0f029fa953cd862cc1875ee3b5dd02c19ae8eb1...cad532076f22f451f3b98447fb838dc48d824728
