bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Beam,d4dcaaa0500a6dbd314fe7119d73c461b2de17f7,5cd0589158707e93609e05b0e31e45970c993a13,BEAM-87,https://issues.apache.org/jira/browse/BEAM-87,https://github.com/apache/beam/tree/d4dcaaa0500a6dbd314fe7119d73c461b2de17f7,https://github.com/apache/beam/tree/5cd0589158707e93609e05b0e31e45970c993a13,https://github.com/apache/beam/compare/d4dcaaa0500a6dbd314fe7119d73c461b2de17f7...5cd0589158707e93609e05b0e31e45970c993a13
2,Beam,d4dcaaa0500a6dbd314fe7119d73c461b2de17f7,320a75b1da3bbdb9dc5a30c6d0f6811163bddb85,BEAM-90,https://issues.apache.org/jira/browse/BEAM-90,https://github.com/apache/beam/tree/d4dcaaa0500a6dbd314fe7119d73c461b2de17f7,https://github.com/apache/beam/tree/320a75b1da3bbdb9dc5a30c6d0f6811163bddb85,https://github.com/apache/beam/compare/d4dcaaa0500a6dbd314fe7119d73c461b2de17f7...320a75b1da3bbdb9dc5a30c6d0f6811163bddb85
3,Beam,5a817d1123d14d8756e552027347082de015b713,9ed74f1096dc028306e8d2122585a90c01834a70,BEAM-98,https://issues.apache.org/jira/browse/BEAM-98,https://github.com/apache/beam/tree/5a817d1123d14d8756e552027347082de015b713,https://github.com/apache/beam/tree/9ed74f1096dc028306e8d2122585a90c01834a70,https://github.com/apache/beam/compare/5a817d1123d14d8756e552027347082de015b713...9ed74f1096dc028306e8d2122585a90c01834a70
4,Beam,5b5c0e28ff2326b28db6e9bec4eae2af44eb92b9,81d5ff5a561ebcf323caea5bdc4363353e5e60dd,BEAM-126,https://issues.apache.org/jira/browse/BEAM-126,https://github.com/apache/beam/tree/5b5c0e28ff2326b28db6e9bec4eae2af44eb92b9,https://github.com/apache/beam/tree/81d5ff5a561ebcf323caea5bdc4363353e5e60dd,https://github.com/apache/beam/compare/5b5c0e28ff2326b28db6e9bec4eae2af44eb92b9...81d5ff5a561ebcf323caea5bdc4363353e5e60dd
5,Beam,e39b5d9afec2bfa64552a63983eaac1df5da6a8d,ac5a1e848f56916faca130c2a13ad82a960ad635,BEAM-144,https://issues.apache.org/jira/browse/BEAM-144,https://github.com/apache/beam/tree/e39b5d9afec2bfa64552a63983eaac1df5da6a8d,https://github.com/apache/beam/tree/ac5a1e848f56916faca130c2a13ad82a960ad635,https://github.com/apache/beam/compare/e39b5d9afec2bfa64552a63983eaac1df5da6a8d...ac5a1e848f56916faca130c2a13ad82a960ad635
6,Beam,9c61dd24a06f326ce4cb89cf664decf760231be1,1c21aa2d52c7491f141050b975224053b2ce8e11,BEAM-149,https://issues.apache.org/jira/browse/BEAM-149,https://github.com/apache/beam/tree/9c61dd24a06f326ce4cb89cf664decf760231be1,https://github.com/apache/beam/tree/1c21aa2d52c7491f141050b975224053b2ce8e11,https://github.com/apache/beam/compare/9c61dd24a06f326ce4cb89cf664decf760231be1...1c21aa2d52c7491f141050b975224053b2ce8e11
7,Beam,49d82baf1b2dcb81db086059d03de89336c3a65b,182426516c5184e126888d3b465dc41a1bb312aa,BEAM-109,https://issues.apache.org/jira/browse/BEAM-109,https://github.com/apache/beam/tree/49d82baf1b2dcb81db086059d03de89336c3a65b,https://github.com/apache/beam/tree/182426516c5184e126888d3b465dc41a1bb312aa,https://github.com/apache/beam/compare/49d82baf1b2dcb81db086059d03de89336c3a65b...182426516c5184e126888d3b465dc41a1bb312aa
8,Beam,fd049b52e196f1d04500470363cccbb652233610,abc397f9b9851599eff7f3e1ec5b5343005a0a94,BEAM-167,https://issues.apache.org/jira/browse/BEAM-167,https://github.com/apache/beam/tree/fd049b52e196f1d04500470363cccbb652233610,https://github.com/apache/beam/tree/abc397f9b9851599eff7f3e1ec5b5343005a0a94,https://github.com/apache/beam/compare/fd049b52e196f1d04500470363cccbb652233610...abc397f9b9851599eff7f3e1ec5b5343005a0a94
9,Beam,abc397f9b9851599eff7f3e1ec5b5343005a0a94,29dfec9d010956888ac8125f90efc383002f874f,BEAM-167,https://issues.apache.org/jira/browse/BEAM-167,https://github.com/apache/beam/tree/abc397f9b9851599eff7f3e1ec5b5343005a0a94,https://github.com/apache/beam/tree/29dfec9d010956888ac8125f90efc383002f874f,https://github.com/apache/beam/compare/abc397f9b9851599eff7f3e1ec5b5343005a0a94...29dfec9d010956888ac8125f90efc383002f874f
10,Beam,a32a26208854a0875b10026d8f659ac275e37560,1ff8948cbee07a6f9248685cc79369679e8b6a8b,BEAM-186,https://issues.apache.org/jira/browse/BEAM-186,https://github.com/apache/beam/tree/a32a26208854a0875b10026d8f659ac275e37560,https://github.com/apache/beam/tree/1ff8948cbee07a6f9248685cc79369679e8b6a8b,https://github.com/apache/beam/compare/a32a26208854a0875b10026d8f659ac275e37560...1ff8948cbee07a6f9248685cc79369679e8b6a8b
