bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Bevy,371cd69d4bacde1994b9a084a9161a1226e08e56,2847cc693394f99fd409eb539c082b2f6e25963f,11208,https://github.com/bevyengine/bevy/issues/11208,https://github.com/bevyengine/bevy/tree/371cd69d4bacde1994b9a084a9161a1226e08e56,https://github.com/bevyengine/bevy/tree/2847cc693394f99fd409eb539c082b2f6e25963f,https://github.com/bevyengine/bevy/compare/371cd69d4bacde1994b9a084a9161a1226e08e56...2847cc693394f99fd409eb539c082b2f6e25963f
2,Bevy,64a15f1b10ff5a4c0cb2ada1905baeb7125d16e4,3d996639a061bc4c543e9418e0ac7481bbaf8b73,11281,https://github.com/bevyengine/bevy/issues/11281,https://github.com/bevyengine/bevy/tree/64a15f1b10ff5a4c0cb2ada1905baeb7125d16e4,https://github.com/bevyengine/bevy/tree/3d996639a061bc4c543e9418e0ac7481bbaf8b73,https://github.com/bevyengine/bevy/compare/64a15f1b10ff5a4c0cb2ada1905baeb7125d16e4...3d996639a061bc4c543e9418e0ac7481bbaf8b73
3,Bevy,e2fd63104d7be9fca3dead4d6208d90414471c9d,99261232f1268d860143b01a80a551f8aff2c57c,11312,https://github.com/bevyengine/bevy/issues/11312,https://github.com/bevyengine/bevy/tree/e2fd63104d7be9fca3dead4d6208d90414471c9d,https://github.com/bevyengine/bevy/tree/99261232f1268d860143b01a80a551f8aff2c57c,https://github.com/bevyengine/bevy/compare/e2fd63104d7be9fca3dead4d6208d90414471c9d...99261232f1268d860143b01a80a551f8aff2c57c
4,Bevy,69760c78cff87f2a106ea6bbb5a810e994e453dc,78b5f323f87500bfd20eb5eb45a599d06324ba7b,11328,https://github.com/bevyengine/bevy/issues/11328,https://github.com/bevyengine/bevy/tree/69760c78cff87f2a106ea6bbb5a810e994e453dc,https://github.com/bevyengine/bevy/tree/78b5f323f87500bfd20eb5eb45a599d06324ba7b,https://github.com/bevyengine/bevy/compare/69760c78cff87f2a106ea6bbb5a810e994e453dc...78b5f323f87500bfd20eb5eb45a599d06324ba7b
5,Bevy,a634075a39b9d83958851fc4f857024000edbd5a,03404c48cab43b2e4a9ca16e412930341e9aa66e,11241,https://github.com/bevyengine/bevy/issues/11241,https://github.com/bevyengine/bevy/tree/a634075a39b9d83958851fc4f857024000edbd5a,https://github.com/bevyengine/bevy/tree/03404c48cab43b2e4a9ca16e412930341e9aa66e,https://github.com/bevyengine/bevy/compare/a634075a39b9d83958851fc4f857024000edbd5a...03404c48cab43b2e4a9ca16e412930341e9aa66e
6,Bevy,cd12e7c836face6378d8edca83cf902f3b7642b6,6f6269e195eb21aa04cba6c35ea362311137ed53,11209,https://github.com/bevyengine/bevy/issues/11209,https://github.com/bevyengine/bevy/tree/cd12e7c836face6378d8edca83cf902f3b7642b6,https://github.com/bevyengine/bevy/tree/6f6269e195eb21aa04cba6c35ea362311137ed53,https://github.com/bevyengine/bevy/compare/cd12e7c836face6378d8edca83cf902f3b7642b6...6f6269e195eb21aa04cba6c35ea362311137ed53
7,Bevy,01139b3472d3c52c25dbf35df6d6e9b1ff5f5787,3d628a8191b278898831bcf2c5c75082a66ab6c0,11274,https://github.com/bevyengine/bevy/issues/11274,https://github.com/bevyengine/bevy/tree/01139b3472d3c52c25dbf35df6d6e9b1ff5f5787,https://github.com/bevyengine/bevy/tree/3d628a8191b278898831bcf2c5c75082a66ab6c0,https://github.com/bevyengine/bevy/compare/01139b3472d3c52c25dbf35df6d6e9b1ff5f5787...3d628a8191b278898831bcf2c5c75082a66ab6c0
8,Bevy,3d628a8191b278898831bcf2c5c75082a66ab6c0,4695b82f6b3ce04570e752c2e6e0718d7552ee52,11352,https://github.com/bevyengine/bevy/issues/11352,https://github.com/bevyengine/bevy/tree/3d628a8191b278898831bcf2c5c75082a66ab6c0,https://github.com/bevyengine/bevy/tree/4695b82f6b3ce04570e752c2e6e0718d7552ee52,https://github.com/bevyengine/bevy/compare/3d628a8191b278898831bcf2c5c75082a66ab6c0...4695b82f6b3ce04570e752c2e6e0718d7552ee52
9,Bevy,8db4723373cbbfa224508f3ce74d3d1a90ee9504,9abf565138fc12d45c42b500f2c8fbbc1391599e,11376,https://github.com/bevyengine/bevy/issues/11376,https://github.com/bevyengine/bevy/tree/8db4723373cbbfa224508f3ce74d3d1a90ee9504,https://github.com/bevyengine/bevy/tree/9abf565138fc12d45c42b500f2c8fbbc1391599e,https://github.com/bevyengine/bevy/compare/8db4723373cbbfa224508f3ce74d3d1a90ee9504...9abf565138fc12d45c42b500f2c8fbbc1391599e
10,Bevy,9abf565138fc12d45c42b500f2c8fbbc1391599e,c9e1fcdb355b049fa3c3df8cb1cd1f4343f1b9d1,11288,https://github.com/bevyengine/bevy/issues/11288,https://github.com/bevyengine/bevy/tree/9abf565138fc12d45c42b500f2c8fbbc1391599e,https://github.com/bevyengine/bevy/tree/c9e1fcdb355b049fa3c3df8cb1cd1f4343f1b9d1,https://github.com/bevyengine/bevy/compare/9abf565138fc12d45c42b500f2c8fbbc1391599e...c9e1fcdb355b049fa3c3df8cb1cd1f4343f1b9d1
11,Bevy,c62ad4b2c49965d9224d3ee2e56572b9488ebb40,d151883f3e8b95df96c5e8bfc97d0c351dd28ecf,11390,https://github.com/bevyengine/bevy/issues/11390,https://github.com/bevyengine/bevy/tree/c62ad4b2c49965d9224d3ee2e56572b9488ebb40,https://github.com/bevyengine/bevy/tree/d151883f3e8b95df96c5e8bfc97d0c351dd28ecf,https://github.com/bevyengine/bevy/compare/c62ad4b2c49965d9224d3ee2e56572b9488ebb40...d151883f3e8b95df96c5e8bfc97d0c351dd28ecf
12,Bevy,d151883f3e8b95df96c5e8bfc97d0c351dd28ecf,056b006d4eade8f1bf75e735ed5eda33d9505c9e,11196,https://github.com/bevyengine/bevy/issues/11196,https://github.com/bevyengine/bevy/tree/d151883f3e8b95df96c5e8bfc97d0c351dd28ecf,https://github.com/bevyengine/bevy/tree/056b006d4eade8f1bf75e735ed5eda33d9505c9e,https://github.com/bevyengine/bevy/compare/d151883f3e8b95df96c5e8bfc97d0c351dd28ecf...056b006d4eade8f1bf75e735ed5eda33d9505c9e
13,Bevy,259fb6896e07bed89df2637aace547f295fc7e82,ffb6faafc295e6be44c77602c96355d10a5b4d4f,11401,https://github.com/bevyengine/bevy/issues/11401,https://github.com/bevyengine/bevy/tree/259fb6896e07bed89df2637aace547f295fc7e82,https://github.com/bevyengine/bevy/tree/ffb6faafc295e6be44c77602c96355d10a5b4d4f,https://github.com/bevyengine/bevy/compare/259fb6896e07bed89df2637aace547f295fc7e82...ffb6faafc295e6be44c77602c96355d10a5b4d4f
14,Bevy,1d17453697584e134ff5339cb02557bed684356e,593d41ce5848704296d4df8eecb8ab5b3881210e,11430,https://github.com/bevyengine/bevy/issues/11430,https://github.com/bevyengine/bevy/tree/1d17453697584e134ff5339cb02557bed684356e,https://github.com/bevyengine/bevy/tree/593d41ce5848704296d4df8eecb8ab5b3881210e,https://github.com/bevyengine/bevy/compare/1d17453697584e134ff5339cb02557bed684356e...593d41ce5848704296d4df8eecb8ab5b3881210e
15,Bevy,593d41ce5848704296d4df8eecb8ab5b3881210e,3cfcebcf74da626846d1d611c98672c57f63aa9c,11481,https://github.com/bevyengine/bevy/issues/11481,https://github.com/bevyengine/bevy/tree/593d41ce5848704296d4df8eecb8ab5b3881210e,https://github.com/bevyengine/bevy/tree/3cfcebcf74da626846d1d611c98672c57f63aa9c,https://github.com/bevyengine/bevy/compare/593d41ce5848704296d4df8eecb8ab5b3881210e...3cfcebcf74da626846d1d611c98672c57f63aa9c
16,Bevy,143066de63af897c31a1e7e8328cbf7b1e829d2a,bcbab18f373ac4e8f427a38774bdaf175a758885,11503,https://github.com/bevyengine/bevy/issues/11503,https://github.com/bevyengine/bevy/tree/143066de63af897c31a1e7e8328cbf7b1e829d2a,https://github.com/bevyengine/bevy/tree/bcbab18f373ac4e8f427a38774bdaf175a758885,https://github.com/bevyengine/bevy/compare/143066de63af897c31a1e7e8328cbf7b1e829d2a...bcbab18f373ac4e8f427a38774bdaf175a758885
17,Bevy,cd8dccb8b20b10f210e87cd4dc3896956338dbc6,79b4f26158e8c01203f02319d213462d467c42d4,11411,https://github.com/bevyengine/bevy/issues/11411,https://github.com/bevyengine/bevy/tree/cd8dccb8b20b10f210e87cd4dc3896956338dbc6,https://github.com/bevyengine/bevy/tree/79b4f26158e8c01203f02319d213462d467c42d4,https://github.com/bevyengine/bevy/compare/cd8dccb8b20b10f210e87cd4dc3896956338dbc6...79b4f26158e8c01203f02319d213462d467c42d4
18,Bevy,86e91f4368adb8d6beb355b4d53348a624fb51c3,fb367dac72155868120e96ac46146b08070e535b,11516,https://github.com/bevyengine/bevy/issues/11516,https://github.com/bevyengine/bevy/tree/86e91f4368adb8d6beb355b4d53348a624fb51c3,https://github.com/bevyengine/bevy/tree/fb367dac72155868120e96ac46146b08070e535b,https://github.com/bevyengine/bevy/compare/86e91f4368adb8d6beb355b4d53348a624fb51c3...fb367dac72155868120e96ac46146b08070e535b
19,Bevy,7ae36a99c87e0201d6d2e2586c40b703b901f190,182c21dc586e538d6545bb69b747b64d9e43da84,11533,https://github.com/bevyengine/bevy/issues/11533,https://github.com/bevyengine/bevy/tree/7ae36a99c87e0201d6d2e2586c40b703b901f190,https://github.com/bevyengine/bevy/tree/182c21dc586e538d6545bb69b747b64d9e43da84,https://github.com/bevyengine/bevy/compare/7ae36a99c87e0201d6d2e2586c40b703b901f190...182c21dc586e538d6545bb69b747b64d9e43da84
20,Bevy,d66c868e6f37e2b945320f4d8d97d2027195306a,c227fc9fada2a327d174644a3ce7e5c210aecfb6,11240,https://github.com/bevyengine/bevy/issues/11240,https://github.com/bevyengine/bevy/tree/d66c868e6f37e2b945320f4d8d97d2027195306a,https://github.com/bevyengine/bevy/tree/c227fc9fada2a327d174644a3ce7e5c210aecfb6,https://github.com/bevyengine/bevy/compare/d66c868e6f37e2b945320f4d8d97d2027195306a...c227fc9fada2a327d174644a3ce7e5c210aecfb6
21,Bevy,3851679173eeae5613b9d45844d945f1b09d5bfb,1e241fb6b4676114c2a5ab006159640a133aed13,11377,https://github.com/bevyengine/bevy/issues/11377,https://github.com/bevyengine/bevy/tree/3851679173eeae5613b9d45844d945f1b09d5bfb,https://github.com/bevyengine/bevy/tree/1e241fb6b4676114c2a5ab006159640a133aed13,https://github.com/bevyengine/bevy/compare/3851679173eeae5613b9d45844d945f1b09d5bfb...1e241fb6b4676114c2a5ab006159640a133aed13
22,Bevy,2391e44fa05ffdba4d13e585c30d8b94672a3b8e,9fcf8621146b7ae0b9f24c984f9718258880e752,11311,https://github.com/bevyengine/bevy/issues/11311,https://github.com/bevyengine/bevy/tree/2391e44fa05ffdba4d13e585c30d8b94672a3b8e,https://github.com/bevyengine/bevy/tree/9fcf8621146b7ae0b9f24c984f9718258880e752,https://github.com/bevyengine/bevy/compare/2391e44fa05ffdba4d13e585c30d8b94672a3b8e...9fcf8621146b7ae0b9f24c984f9718258880e752
23,Bevy,72727909bb1c7460717aa53b6ca4bfae6c7a3db4,59b4921827cc2c36bd44c287d0983f4f5525c28c,11453,https://github.com/bevyengine/bevy/issues/11453,https://github.com/bevyengine/bevy/tree/72727909bb1c7460717aa53b6ca4bfae6c7a3db4,https://github.com/bevyengine/bevy/tree/59b4921827cc2c36bd44c287d0983f4f5525c28c,https://github.com/bevyengine/bevy/compare/72727909bb1c7460717aa53b6ca4bfae6c7a3db4...59b4921827cc2c36bd44c287d0983f4f5525c28c
24,Bevy,755917fe4b317e1395863405392e19a30437c489,397d111ea7b4353babdf448e175c24ebad935d12,11569,https://github.com/bevyengine/bevy/issues/11569,https://github.com/bevyengine/bevy/tree/755917fe4b317e1395863405392e19a30437c489,https://github.com/bevyengine/bevy/tree/397d111ea7b4353babdf448e175c24ebad935d12,https://github.com/bevyengine/bevy/compare/755917fe4b317e1395863405392e19a30437c489...397d111ea7b4353babdf448e175c24ebad935d12
25,Bevy,6e959db134c7bf9902f486d45136aec05bff3025,069a8776f52c981dc0ed19b17448359f33c150c5,11363,https://github.com/bevyengine/bevy/issues/11363,https://github.com/bevyengine/bevy/tree/6e959db134c7bf9902f486d45136aec05bff3025,https://github.com/bevyengine/bevy/tree/069a8776f52c981dc0ed19b17448359f33c150c5,https://github.com/bevyengine/bevy/compare/6e959db134c7bf9902f486d45136aec05bff3025...069a8776f52c981dc0ed19b17448359f33c150c5
26,Bevy,88515328903172d4f3d59a38c7014496a8411148,dad379cdca45c31a9b6888f58e6950222aa6842a,11490,https://github.com/bevyengine/bevy/issues/11490,https://github.com/bevyengine/bevy/tree/88515328903172d4f3d59a38c7014496a8411148,https://github.com/bevyengine/bevy/tree/dad379cdca45c31a9b6888f58e6950222aa6842a,https://github.com/bevyengine/bevy/compare/88515328903172d4f3d59a38c7014496a8411148...dad379cdca45c31a9b6888f58e6950222aa6842a
27,Bevy,b0f5d4df580e5429bd8d4e223b47f84367a9401a,fb124c35beb96c7374764aa51517a12a3183c992,11572,https://github.com/bevyengine/bevy/issues/11572,https://github.com/bevyengine/bevy/tree/b0f5d4df580e5429bd8d4e223b47f84367a9401a,https://github.com/bevyengine/bevy/tree/fb124c35beb96c7374764aa51517a12a3183c992,https://github.com/bevyengine/bevy/compare/b0f5d4df580e5429bd8d4e223b47f84367a9401a...fb124c35beb96c7374764aa51517a12a3183c992
28,Bevy,70f7d9598a0d45f2b510252398e07cd60c2605c8,45967b03b56d1a278c6f7ca020f393dc10c199dd,11414,https://github.com/bevyengine/bevy/issues/11414,https://github.com/bevyengine/bevy/tree/70f7d9598a0d45f2b510252398e07cd60c2605c8,https://github.com/bevyengine/bevy/tree/45967b03b56d1a278c6f7ca020f393dc10c199dd,https://github.com/bevyengine/bevy/compare/70f7d9598a0d45f2b510252398e07cd60c2605c8...45967b03b56d1a278c6f7ca020f393dc10c199dd
29,Bevy,16ce8c6136ea95e421b9943ce5cf343f826be5b0,1bc293f33ab42628e74fb7d054e3b07c754e6a0e,11479,https://github.com/bevyengine/bevy/issues/11479,https://github.com/bevyengine/bevy/tree/16ce8c6136ea95e421b9943ce5cf343f826be5b0,https://github.com/bevyengine/bevy/tree/1bc293f33ab42628e74fb7d054e3b07c754e6a0e,https://github.com/bevyengine/bevy/compare/16ce8c6136ea95e421b9943ce5cf343f826be5b0...1bc293f33ab42628e74fb7d054e3b07c754e6a0e
30,Bevy,176223b4065e11440c5ebd5e7ec1ebdac675f504,8866c61161a7b988a88c9d456084d6678d8aefc1,11606,https://github.com/bevyengine/bevy/issues/11606,https://github.com/bevyengine/bevy/tree/176223b4065e11440c5ebd5e7ec1ebdac675f504,https://github.com/bevyengine/bevy/tree/8866c61161a7b988a88c9d456084d6678d8aefc1,https://github.com/bevyengine/bevy/compare/176223b4065e11440c5ebd5e7ec1ebdac675f504...8866c61161a7b988a88c9d456084d6678d8aefc1
