bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Black,76e6acb9ca1fdb0bf99ec769f0cf888ba85a42c4,e1e89091d1de878c98e2d2b0cefd81cc75e7a128,6,https://github.com/psf/black/issues/6,https://github.com/psf/black/tree/76e6acb9ca1fdb0bf99ec769f0cf888ba85a42c4,https://github.com/psf/black/tree/e1e89091d1de878c98e2d2b0cefd81cc75e7a128,https://github.com/psf/black/compare/76e6acb9ca1fdb0bf99ec769f0cf888ba85a42c4...e1e89091d1de878c98e2d2b0cefd81cc75e7a128
2,Black,e1e89091d1de878c98e2d2b0cefd81cc75e7a128,174fc47b7893b98d4a4393da849c09b6bd415764,7,https://github.com/psf/black/issues/7,https://github.com/psf/black/tree/e1e89091d1de878c98e2d2b0cefd81cc75e7a128,https://github.com/psf/black/tree/174fc47b7893b98d4a4393da849c09b6bd415764,https://github.com/psf/black/compare/e1e89091d1de878c98e2d2b0cefd81cc75e7a128...174fc47b7893b98d4a4393da849c09b6bd415764
3,Black,174fc47b7893b98d4a4393da849c09b6bd415764,da3c2f358208dc9838c63d57b66c89e164eb241a,14,https://github.com/psf/black/issues/14,https://github.com/psf/black/tree/174fc47b7893b98d4a4393da849c09b6bd415764,https://github.com/psf/black/tree/da3c2f358208dc9838c63d57b66c89e164eb241a,https://github.com/psf/black/compare/174fc47b7893b98d4a4393da849c09b6bd415764...da3c2f358208dc9838c63d57b66c89e164eb241a
4,Black,da3c2f358208dc9838c63d57b66c89e164eb241a,5370714c963fa59d84356e2841882e42ab16641e,15,https://github.com/psf/black/issues/15,https://github.com/psf/black/tree/da3c2f358208dc9838c63d57b66c89e164eb241a,https://github.com/psf/black/tree/5370714c963fa59d84356e2841882e42ab16641e,https://github.com/psf/black/compare/da3c2f358208dc9838c63d57b66c89e164eb241a...5370714c963fa59d84356e2841882e42ab16641e
5,Black,80f9b14a30916cfda24177a93176c498337fb6ef,4c480bcac288883040e6fda3c75825a0da54eb66,9,https://github.com/psf/black/issues/9,https://github.com/psf/black/tree/80f9b14a30916cfda24177a93176c498337fb6ef,https://github.com/psf/black/tree/4c480bcac288883040e6fda3c75825a0da54eb66,https://github.com/psf/black/compare/80f9b14a30916cfda24177a93176c498337fb6ef...4c480bcac288883040e6fda3c75825a0da54eb66
6,Black,c85cb48ec2cfdee2e742b59855e38431ff8ed46a,c26daa4fd50e2db13f38279ce27b51b0ae4479fe,23,https://github.com/psf/black/issues/23,https://github.com/psf/black/tree/c85cb48ec2cfdee2e742b59855e38431ff8ed46a,https://github.com/psf/black/tree/c26daa4fd50e2db13f38279ce27b51b0ae4479fe,https://github.com/psf/black/compare/c85cb48ec2cfdee2e742b59855e38431ff8ed46a...c26daa4fd50e2db13f38279ce27b51b0ae4479fe
7,Black,c26daa4fd50e2db13f38279ce27b51b0ae4479fe,5fb5cc8c2bd5a0bb1359fb69cdb705b55afade52,8,https://github.com/psf/black/issues/8,https://github.com/psf/black/tree/c26daa4fd50e2db13f38279ce27b51b0ae4479fe,https://github.com/psf/black/tree/5fb5cc8c2bd5a0bb1359fb69cdb705b55afade52,https://github.com/psf/black/compare/c26daa4fd50e2db13f38279ce27b51b0ae4479fe...5fb5cc8c2bd5a0bb1359fb69cdb705b55afade52
8,Black,907dc6c35e23a0111b140962265d08c23f97082b,fb84d8b2ee524a9b3bff51fa35054abb44740f1d,33,https://github.com/psf/black/issues/33,https://github.com/psf/black/tree/907dc6c35e23a0111b140962265d08c23f97082b,https://github.com/psf/black/tree/fb84d8b2ee524a9b3bff51fa35054abb44740f1d,https://github.com/psf/black/compare/907dc6c35e23a0111b140962265d08c23f97082b...fb84d8b2ee524a9b3bff51fa35054abb44740f1d
9,Black,9fea4780228dc8e9ceb53ddb18fe1a87f6e05546,22ce1e1fc389869696f8cfc5627b8b1b322308b4,31,https://github.com/psf/black/issues/31,https://github.com/psf/black/tree/9fea4780228dc8e9ceb53ddb18fe1a87f6e05546,https://github.com/psf/black/tree/22ce1e1fc389869696f8cfc5627b8b1b322308b4,https://github.com/psf/black/compare/9fea4780228dc8e9ceb53ddb18fe1a87f6e05546...22ce1e1fc389869696f8cfc5627b8b1b322308b4
10,Black,28547942498bbac24ba4165800382ae9b170c788,6ba615092e0b323072058f0a90bb7ab301957b7f,35,https://github.com/psf/black/issues/35,https://github.com/psf/black/tree/28547942498bbac24ba4165800382ae9b170c788,https://github.com/psf/black/tree/6ba615092e0b323072058f0a90bb7ab301957b7f,https://github.com/psf/black/compare/28547942498bbac24ba4165800382ae9b170c788...6ba615092e0b323072058f0a90bb7ab301957b7f
11,Black,28d1442d573abc9aeb567242f584f38eaec3f922,497de7fa08b5072da3cf328e6b870ce2575cb2a7,21,https://github.com/psf/black/issues/21,https://github.com/psf/black/tree/28d1442d573abc9aeb567242f584f38eaec3f922,https://github.com/psf/black/tree/497de7fa08b5072da3cf328e6b870ce2575cb2a7,https://github.com/psf/black/compare/28d1442d573abc9aeb567242f584f38eaec3f922...497de7fa08b5072da3cf328e6b870ce2575cb2a7
12,Black,6c3ce53b60b68ca2b532935aeee89729f0bd9fd9,68c71b621f5c80c243ba8a177c5a2059b3ace1d9,18,https://github.com/psf/black/issues/18,https://github.com/psf/black/tree/6c3ce53b60b68ca2b532935aeee89729f0bd9fd9,https://github.com/psf/black/tree/68c71b621f5c80c243ba8a177c5a2059b3ace1d9,https://github.com/psf/black/compare/6c3ce53b60b68ca2b532935aeee89729f0bd9fd9...68c71b621f5c80c243ba8a177c5a2059b3ace1d9
13,Black,68c71b621f5c80c243ba8a177c5a2059b3ace1d9,0c6672890ce7161b3e3484c8831ca23c55f95c5c,37,https://github.com/psf/black/issues/37,https://github.com/psf/black/tree/68c71b621f5c80c243ba8a177c5a2059b3ace1d9,https://github.com/psf/black/tree/0c6672890ce7161b3e3484c8831ca23c55f95c5c,https://github.com/psf/black/compare/68c71b621f5c80c243ba8a177c5a2059b3ace1d9...0c6672890ce7161b3e3484c8831ca23c55f95c5c
14,Black,155aa71db01a0cb22b64006082c356295e1eecfb,d9c6b9907390ca73130df1d8253481505eb2bce7,20,https://github.com/psf/black/issues/20,https://github.com/psf/black/tree/155aa71db01a0cb22b64006082c356295e1eecfb,https://github.com/psf/black/tree/d9c6b9907390ca73130df1d8253481505eb2bce7,https://github.com/psf/black/compare/155aa71db01a0cb22b64006082c356295e1eecfb...d9c6b9907390ca73130df1d8253481505eb2bce7
15,Black,d9c6b9907390ca73130df1d8253481505eb2bce7,e911c79809c4fd9b0773dea5b6a0e710b59614cf,19,https://github.com/psf/black/issues/19,https://github.com/psf/black/tree/d9c6b9907390ca73130df1d8253481505eb2bce7,https://github.com/psf/black/tree/e911c79809c4fd9b0773dea5b6a0e710b59614cf,https://github.com/psf/black/compare/d9c6b9907390ca73130df1d8253481505eb2bce7...e911c79809c4fd9b0773dea5b6a0e710b59614cf
16,Black,e911c79809c4fd9b0773dea5b6a0e710b59614cf,5bc40707afa5fb53bbc2484ed34f69b011b98172,33,https://github.com/psf/black/issues/33,https://github.com/psf/black/tree/e911c79809c4fd9b0773dea5b6a0e710b59614cf,https://github.com/psf/black/tree/5bc40707afa5fb53bbc2484ed34f69b011b98172,https://github.com/psf/black/compare/e911c79809c4fd9b0773dea5b6a0e710b59614cf...5bc40707afa5fb53bbc2484ed34f69b011b98172
17,Black,b1a7600b0a0691821926a07015f7bc66ca0ae4e9,fd3400d44c4e7ee44440146c1291a67f65b451b9,45,https://github.com/psf/black/issues/45,https://github.com/psf/black/tree/b1a7600b0a0691821926a07015f7bc66ca0ae4e9,https://github.com/psf/black/tree/fd3400d44c4e7ee44440146c1291a67f65b451b9,https://github.com/psf/black/compare/b1a7600b0a0691821926a07015f7bc66ca0ae4e9...fd3400d44c4e7ee44440146c1291a67f65b451b9
18,Black,afff418fa185b6bf9152e13aa7d65c150ee65dac,79b720ca9fef431ba03d28be3c37b67ed28aec71,57,https://github.com/psf/black/issues/57,https://github.com/psf/black/tree/afff418fa185b6bf9152e13aa7d65c150ee65dac,https://github.com/psf/black/tree/79b720ca9fef431ba03d28be3c37b67ed28aec71,https://github.com/psf/black/compare/afff418fa185b6bf9152e13aa7d65c150ee65dac...79b720ca9fef431ba03d28be3c37b67ed28aec71
19,Black,79b720ca9fef431ba03d28be3c37b67ed28aec71,c7c8c4f5018844d69edbc961c922b29f0d6ceeaf,54,https://github.com/psf/black/issues/54,https://github.com/psf/black/tree/79b720ca9fef431ba03d28be3c37b67ed28aec71,https://github.com/psf/black/tree/c7c8c4f5018844d69edbc961c922b29f0d6ceeaf,https://github.com/psf/black/compare/79b720ca9fef431ba03d28be3c37b67ed28aec71...c7c8c4f5018844d69edbc961c922b29f0d6ceeaf
20,Black,c7c8c4f5018844d69edbc961c922b29f0d6ceeaf,92b377556e24616d5980a9010cf558da7fa35d28,55,https://github.com/psf/black/issues/55,https://github.com/psf/black/tree/c7c8c4f5018844d69edbc961c922b29f0d6ceeaf,https://github.com/psf/black/tree/92b377556e24616d5980a9010cf558da7fa35d28,https://github.com/psf/black/compare/c7c8c4f5018844d69edbc961c922b29f0d6ceeaf...92b377556e24616d5980a9010cf558da7fa35d28
21,Black,92b377556e24616d5980a9010cf558da7fa35d28,df7aacb43eb16f91adcb558905625d75ee804753,46,https://github.com/psf/black/issues/46,https://github.com/psf/black/tree/92b377556e24616d5980a9010cf558da7fa35d28,https://github.com/psf/black/tree/df7aacb43eb16f91adcb558905625d75ee804753,https://github.com/psf/black/compare/92b377556e24616d5980a9010cf558da7fa35d28...df7aacb43eb16f91adcb558905625d75ee804753
22,Black,c9f8983936a3e4bf02ae4f71e9ccd0006baa5169,a970a205bcea73672e85468836b477d3262ee75e,59,https://github.com/psf/black/issues/59,https://github.com/psf/black/tree/c9f8983936a3e4bf02ae4f71e9ccd0006baa5169,https://github.com/psf/black/tree/a970a205bcea73672e85468836b477d3262ee75e,https://github.com/psf/black/compare/c9f8983936a3e4bf02ae4f71e9ccd0006baa5169...a970a205bcea73672e85468836b477d3262ee75e
23,Black,8de552eb4f0fbf1ad84812cde71489cc00d3ed1f,6316e293ac30a2837ec20eba289fd28a2a18cf89,49,https://github.com/psf/black/issues/49,https://github.com/psf/black/tree/8de552eb4f0fbf1ad84812cde71489cc00d3ed1f,https://github.com/psf/black/tree/6316e293ac30a2837ec20eba289fd28a2a18cf89,https://github.com/psf/black/compare/8de552eb4f0fbf1ad84812cde71489cc00d3ed1f...6316e293ac30a2837ec20eba289fd28a2a18cf89
24,Black,7bd6f3cb2ff11d385dbe433e2b03e9f7c94be33e,cf6f577928f5a1f4e98b02b8e723311cae830305,60,https://github.com/psf/black/issues/60,https://github.com/psf/black/tree/7bd6f3cb2ff11d385dbe433e2b03e9f7c94be33e,https://github.com/psf/black/tree/cf6f577928f5a1f4e98b02b8e723311cae830305,https://github.com/psf/black/compare/7bd6f3cb2ff11d385dbe433e2b03e9f7c94be33e...cf6f577928f5a1f4e98b02b8e723311cae830305
25,Black,cf6f577928f5a1f4e98b02b8e723311cae830305,475179a53af1948ca726de1b11d4cdbe2aa90e58,68,https://github.com/psf/black/issues/68,https://github.com/psf/black/tree/cf6f577928f5a1f4e98b02b8e723311cae830305,https://github.com/psf/black/tree/475179a53af1948ca726de1b11d4cdbe2aa90e58,https://github.com/psf/black/compare/cf6f577928f5a1f4e98b02b8e723311cae830305...475179a53af1948ca726de1b11d4cdbe2aa90e58
26,Black,8c565d86843649dc1467b5909b446021e4417bba,0677a539370b296399854e427ce7df2955ecfe57,5,https://github.com/psf/black/issues/5,https://github.com/psf/black/tree/8c565d86843649dc1467b5909b446021e4417bba,https://github.com/psf/black/tree/0677a539370b296399854e427ce7df2955ecfe57,https://github.com/psf/black/compare/8c565d86843649dc1467b5909b446021e4417bba...0677a539370b296399854e427ce7df2955ecfe57
27,Black,611737f9cc186d3e6463ef774fdbda4f77055d4c,fc869039ebcc0c0ff922ea9b2713480c119e5341,80,https://github.com/psf/black/issues/80,https://github.com/psf/black/tree/611737f9cc186d3e6463ef774fdbda4f77055d4c,https://github.com/psf/black/tree/fc869039ebcc0c0ff922ea9b2713480c119e5341,https://github.com/psf/black/compare/611737f9cc186d3e6463ef774fdbda4f77055d4c...fc869039ebcc0c0ff922ea9b2713480c119e5341
28,Black,1f445a01c8c073058ccd6ca6ceba8f527e6cbf15,e5f8251704c22b143b79474905c6c4b7e10ddb47,74,https://github.com/psf/black/issues/74,https://github.com/psf/black/tree/1f445a01c8c073058ccd6ca6ceba8f527e6cbf15,https://github.com/psf/black/tree/e5f8251704c22b143b79474905c6c4b7e10ddb47,https://github.com/psf/black/compare/1f445a01c8c073058ccd6ca6ceba8f527e6cbf15...e5f8251704c22b143b79474905c6c4b7e10ddb47
29,Black,728c56c986bc5aea4d9897d3fce3159f89991b8e,c55d08d0b96c8de8bd867ca315e380d9e9d2d7ec,22,https://github.com/psf/black/issues/22,https://github.com/psf/black/tree/728c56c986bc5aea4d9897d3fce3159f89991b8e,https://github.com/psf/black/tree/c55d08d0b96c8de8bd867ca315e380d9e9d2d7ec,https://github.com/psf/black/compare/728c56c986bc5aea4d9897d3fce3159f89991b8e...c55d08d0b96c8de8bd867ca315e380d9e9d2d7ec
30,Black,4dfec562ed3332212cb938d6d4da9671b503ac93,80bd2b3134b4f01da4e279d040a224326b3577e5,51,https://github.com/psf/black/issues/51,https://github.com/psf/black/tree/4dfec562ed3332212cb938d6d4da9671b503ac93,https://github.com/psf/black/tree/80bd2b3134b4f01da4e279d040a224326b3577e5,https://github.com/psf/black/compare/4dfec562ed3332212cb938d6d4da9671b503ac93...80bd2b3134b4f01da4e279d040a224326b3577e5
31,Black,80bd2b3134b4f01da4e279d040a224326b3577e5,3455389e486e0bb1d8a8318cb5f266b7ec8964dd,73,https://github.com/psf/black/issues/73,https://github.com/psf/black/tree/80bd2b3134b4f01da4e279d040a224326b3577e5,https://github.com/psf/black/tree/3455389e486e0bb1d8a8318cb5f266b7ec8964dd,https://github.com/psf/black/compare/80bd2b3134b4f01da4e279d040a224326b3577e5...3455389e486e0bb1d8a8318cb5f266b7ec8964dd
32,Black,a42aef780630bce97c01dbf33a1947ea108e6e29,a20a3eeb0f738d3434efe3be8932db11722757a4,87,https://github.com/psf/black/issues/87,https://github.com/psf/black/tree/a42aef780630bce97c01dbf33a1947ea108e6e29,https://github.com/psf/black/tree/a20a3eeb0f738d3434efe3be8932db11722757a4,https://github.com/psf/black/compare/a42aef780630bce97c01dbf33a1947ea108e6e29...a20a3eeb0f738d3434efe3be8932db11722757a4
33,Black,4787294622f9053525fb2373db207dd4a35520dc,2f260514f67f154d1c8f59bc9ea899406d8a2cfd,95,https://github.com/psf/black/issues/95,https://github.com/psf/black/tree/4787294622f9053525fb2373db207dd4a35520dc,https://github.com/psf/black/tree/2f260514f67f154d1c8f59bc9ea899406d8a2cfd,https://github.com/psf/black/compare/4787294622f9053525fb2373db207dd4a35520dc...2f260514f67f154d1c8f59bc9ea899406d8a2cfd
