bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Bleve,8150146dc7f0ccaa693a7cc1d4be5bd64b77ef70,2968d3538a1fb0ea288fa80e957271429c6912c6,5,https://github.com/blevesearch/bleve/issues/5,https://github.com/blevesearch/bleve/tree/8150146dc7f0ccaa693a7cc1d4be5bd64b77ef70,https://github.com/blevesearch/bleve/tree/2968d3538a1fb0ea288fa80e957271429c6912c6,https://github.com/blevesearch/bleve/compare/8150146dc7f0ccaa693a7cc1d4be5bd64b77ef70...2968d3538a1fb0ea288fa80e957271429c6912c6
2,Bleve,67ff4a97a66cecb6400e725f068ec172ad6513b1,216767953cdce473a7c2fb61e1d60ae4be36269b,23,https://github.com/blevesearch/bleve/issues/23,https://github.com/blevesearch/bleve/tree/67ff4a97a66cecb6400e725f068ec172ad6513b1,https://github.com/blevesearch/bleve/tree/216767953cdce473a7c2fb61e1d60ae4be36269b,https://github.com/blevesearch/bleve/compare/67ff4a97a66cecb6400e725f068ec172ad6513b1...216767953cdce473a7c2fb61e1d60ae4be36269b
3,Bleve,216767953cdce473a7c2fb61e1d60ae4be36269b,3eb63a887b6d9a032e5df87eabcefb696f9ddab9,19,https://github.com/blevesearch/bleve/issues/19,https://github.com/blevesearch/bleve/tree/216767953cdce473a7c2fb61e1d60ae4be36269b,https://github.com/blevesearch/bleve/tree/3eb63a887b6d9a032e5df87eabcefb696f9ddab9,https://github.com/blevesearch/bleve/compare/216767953cdce473a7c2fb61e1d60ae4be36269b...3eb63a887b6d9a032e5df87eabcefb696f9ddab9
4,Bleve,3eb63a887b6d9a032e5df87eabcefb696f9ddab9,7a174d7d05ecb7a011c06f05c82e5992846c2163,16,https://github.com/blevesearch/bleve/issues/16,https://github.com/blevesearch/bleve/tree/3eb63a887b6d9a032e5df87eabcefb696f9ddab9,https://github.com/blevesearch/bleve/tree/7a174d7d05ecb7a011c06f05c82e5992846c2163,https://github.com/blevesearch/bleve/compare/3eb63a887b6d9a032e5df87eabcefb696f9ddab9...7a174d7d05ecb7a011c06f05c82e5992846c2163
5,Bleve,07eb6311a80cc304998839becf93e0ba092bad84,78465ca6863a48b74ba977b960b46243c470655b,8,https://github.com/blevesearch/bleve/issues/8,https://github.com/blevesearch/bleve/tree/07eb6311a80cc304998839becf93e0ba092bad84,https://github.com/blevesearch/bleve/tree/78465ca6863a48b74ba977b960b46243c470655b,https://github.com/blevesearch/bleve/compare/07eb6311a80cc304998839becf93e0ba092bad84...78465ca6863a48b74ba977b960b46243c470655b
6,Bleve,65b2faeaa2df7986ed6150e951311c149350f1c1,00d6f9700b540f9cea1b7ca091eeac9dc92010ba,9,https://github.com/blevesearch/bleve/issues/9,https://github.com/blevesearch/bleve/tree/65b2faeaa2df7986ed6150e951311c149350f1c1,https://github.com/blevesearch/bleve/tree/00d6f9700b540f9cea1b7ca091eeac9dc92010ba,https://github.com/blevesearch/bleve/compare/65b2faeaa2df7986ed6150e951311c149350f1c1...00d6f9700b540f9cea1b7ca091eeac9dc92010ba
7,Bleve,0960cab0ae65b3453894bad84d4e6983c55f353a,2c0bf23faceaf680b1df1d61e2a8f6fcd0046485,25,https://github.com/blevesearch/bleve/issues/25,https://github.com/blevesearch/bleve/tree/0960cab0ae65b3453894bad84d4e6983c55f353a,https://github.com/blevesearch/bleve/tree/2c0bf23faceaf680b1df1d61e2a8f6fcd0046485,https://github.com/blevesearch/bleve/compare/0960cab0ae65b3453894bad84d4e6983c55f353a...2c0bf23faceaf680b1df1d61e2a8f6fcd0046485
8,Bleve,649a4999a16b8a8d93e62ef36c68c1590e131757,d84187fd247a4bb7d32ed1599311310c4f7c616a,27,https://github.com/blevesearch/bleve/issues/27,https://github.com/blevesearch/bleve/tree/649a4999a16b8a8d93e62ef36c68c1590e131757,https://github.com/blevesearch/bleve/tree/d84187fd247a4bb7d32ed1599311310c4f7c616a,https://github.com/blevesearch/bleve/compare/649a4999a16b8a8d93e62ef36c68c1590e131757...d84187fd247a4bb7d32ed1599311310c4f7c616a
9,Bleve,d84187fd247a4bb7d32ed1599311310c4f7c616a,41d4f67ee22901d52d98cfb066780df2464ce29f,55,https://github.com/blevesearch/bleve/issues/55,https://github.com/blevesearch/bleve/tree/d84187fd247a4bb7d32ed1599311310c4f7c616a,https://github.com/blevesearch/bleve/tree/41d4f67ee22901d52d98cfb066780df2464ce29f,https://github.com/blevesearch/bleve/compare/d84187fd247a4bb7d32ed1599311310c4f7c616a...41d4f67ee22901d52d98cfb066780df2464ce29f
10,Bleve,41d4f67ee22901d52d98cfb066780df2464ce29f,f69838d6700e1fc14914a7f414d30fc42179137c,51,https://github.com/blevesearch/bleve/issues/51,https://github.com/blevesearch/bleve/tree/41d4f67ee22901d52d98cfb066780df2464ce29f,https://github.com/blevesearch/bleve/tree/f69838d6700e1fc14914a7f414d30fc42179137c,https://github.com/blevesearch/bleve/compare/41d4f67ee22901d52d98cfb066780df2464ce29f...f69838d6700e1fc14914a7f414d30fc42179137c
