bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Camel,b18c57ca13446dfae0fed80e95f09a6f325d22bc,babdb30f14dfaa2f4eb8cb7153d8e4aa03f83ef9,CAMEL-3,https://issues.apache.org/jira/browse/CAMEL-3,https://github.com/apache/camel/tree/b18c57ca13446dfae0fed80e95f09a6f325d22bc,https://github.com/apache/camel/tree/babdb30f14dfaa2f4eb8cb7153d8e4aa03f83ef9,https://github.com/apache/camel/compare/b18c57ca13446dfae0fed80e95f09a6f325d22bc...babdb30f14dfaa2f4eb8cb7153d8e4aa03f83ef9
2,Camel,babdb30f14dfaa2f4eb8cb7153d8e4aa03f83ef9,0c8634f8e9f4ce03e403c618a2cba2b3aabdc35a,CAMEL-3,https://issues.apache.org/jira/browse/CAMEL-3,https://github.com/apache/camel/tree/babdb30f14dfaa2f4eb8cb7153d8e4aa03f83ef9,https://github.com/apache/camel/tree/0c8634f8e9f4ce03e403c618a2cba2b3aabdc35a,https://github.com/apache/camel/compare/babdb30f14dfaa2f4eb8cb7153d8e4aa03f83ef9...0c8634f8e9f4ce03e403c618a2cba2b3aabdc35a
3,Camel,e663b5478eb96396d37f1bd5122757e7be0615d3,0c8b7bce774f0ef792ae8578b2a3d1ed9a32e73a,CAMEL-72,https://issues.apache.org/jira/browse/CAMEL-72,https://github.com/apache/camel/tree/e663b5478eb96396d37f1bd5122757e7be0615d3,https://github.com/apache/camel/tree/0c8b7bce774f0ef792ae8578b2a3d1ed9a32e73a,https://github.com/apache/camel/compare/e663b5478eb96396d37f1bd5122757e7be0615d3...0c8b7bce774f0ef792ae8578b2a3d1ed9a32e73a
4,Camel,9381eec8e051b193ebd9328ba3361bcf19b6095e,e9ab74aef656503df96a179bbaee2608e72c27a8,CAMEL-81,https://issues.apache.org/jira/browse/CAMEL-81,https://github.com/apache/camel/tree/9381eec8e051b193ebd9328ba3361bcf19b6095e,https://github.com/apache/camel/tree/e9ab74aef656503df96a179bbaee2608e72c27a8,https://github.com/apache/camel/compare/9381eec8e051b193ebd9328ba3361bcf19b6095e...e9ab74aef656503df96a179bbaee2608e72c27a8
5,Camel,d4c59aabec0a54fcc13b27fc9b6a9dd120966ccd,2525c9717d753dc5e2765bfe82f1986049fb4071,CAMEL-85,https://issues.apache.org/jira/browse/CAMEL-85,https://github.com/apache/camel/tree/d4c59aabec0a54fcc13b27fc9b6a9dd120966ccd,https://github.com/apache/camel/tree/2525c9717d753dc5e2765bfe82f1986049fb4071,https://github.com/apache/camel/compare/d4c59aabec0a54fcc13b27fc9b6a9dd120966ccd...2525c9717d753dc5e2765bfe82f1986049fb4071
6,Camel,c5cbb7f7136d1c1d507260bf5ce3e6dad2010ccc,abba495754aadd5109d7ea7c83565978904182d0,CAMEL-95,https://issues.apache.org/jira/browse/CAMEL-95,https://github.com/apache/camel/tree/c5cbb7f7136d1c1d507260bf5ce3e6dad2010ccc,https://github.com/apache/camel/tree/abba495754aadd5109d7ea7c83565978904182d0,https://github.com/apache/camel/compare/c5cbb7f7136d1c1d507260bf5ce3e6dad2010ccc...abba495754aadd5109d7ea7c83565978904182d0
7,Camel,abba495754aadd5109d7ea7c83565978904182d0,24b989d489452d165aa8a71fa39ceca7b179d5af,CAMEL-80,https://issues.apache.org/jira/browse/CAMEL-80,https://github.com/apache/camel/tree/abba495754aadd5109d7ea7c83565978904182d0,https://github.com/apache/camel/tree/24b989d489452d165aa8a71fa39ceca7b179d5af,https://github.com/apache/camel/compare/abba495754aadd5109d7ea7c83565978904182d0...24b989d489452d165aa8a71fa39ceca7b179d5af
8,Camel,5bed45c278040c1e9259ddd7234e8497fc40cb76,d45649c4857234efb5ed57e3991f94cbe2dbcc98,CAMEL-96,https://issues.apache.org/jira/browse/CAMEL-96,https://github.com/apache/camel/tree/5bed45c278040c1e9259ddd7234e8497fc40cb76,https://github.com/apache/camel/tree/d45649c4857234efb5ed57e3991f94cbe2dbcc98,https://github.com/apache/camel/compare/5bed45c278040c1e9259ddd7234e8497fc40cb76...d45649c4857234efb5ed57e3991f94cbe2dbcc98
9,Camel,d45649c4857234efb5ed57e3991f94cbe2dbcc98,b80a264df992f0cfdcf8c0d317c4ffccf7d4d3df,CAMEL-96,https://issues.apache.org/jira/browse/CAMEL-96,https://github.com/apache/camel/tree/d45649c4857234efb5ed57e3991f94cbe2dbcc98,https://github.com/apache/camel/tree/b80a264df992f0cfdcf8c0d317c4ffccf7d4d3df,https://github.com/apache/camel/compare/d45649c4857234efb5ed57e3991f94cbe2dbcc98...b80a264df992f0cfdcf8c0d317c4ffccf7d4d3df
10,Camel,290d357958404b54f85e84fcd22b5a9fdc2706db,e9ffd8b238dc46d13dfd1fa0ec4e2096fb89978b,CAMEL-98,https://issues.apache.org/jira/browse/CAMEL-98,https://github.com/apache/camel/tree/290d357958404b54f85e84fcd22b5a9fdc2706db,https://github.com/apache/camel/tree/e9ffd8b238dc46d13dfd1fa0ec4e2096fb89978b,https://github.com/apache/camel/compare/290d357958404b54f85e84fcd22b5a9fdc2706db...e9ffd8b238dc46d13dfd1fa0ec4e2096fb89978b
11,Camel,e9ffd8b238dc46d13dfd1fa0ec4e2096fb89978b,00af684237c753ccba359b5c4aebebaedf26a180,CAMEL-98,https://issues.apache.org/jira/browse/CAMEL-98,https://github.com/apache/camel/tree/e9ffd8b238dc46d13dfd1fa0ec4e2096fb89978b,https://github.com/apache/camel/tree/00af684237c753ccba359b5c4aebebaedf26a180,https://github.com/apache/camel/compare/e9ffd8b238dc46d13dfd1fa0ec4e2096fb89978b...00af684237c753ccba359b5c4aebebaedf26a180
12,Camel,471f8a7093c07f6e65bdcb01f4131bb06d74cb58,76412a03930dafa0f598b6ea9f1575c5b49876d7,CAMEL-103,https://issues.apache.org/jira/browse/CAMEL-103,https://github.com/apache/camel/tree/471f8a7093c07f6e65bdcb01f4131bb06d74cb58,https://github.com/apache/camel/tree/76412a03930dafa0f598b6ea9f1575c5b49876d7,https://github.com/apache/camel/compare/471f8a7093c07f6e65bdcb01f4131bb06d74cb58...76412a03930dafa0f598b6ea9f1575c5b49876d7
13,Camel,b7891536ba89d6105682aab7d72827567e3f3275,69cdcb082ea23a3852101b01eb29700d286de1e4,CAMEL-105,https://issues.apache.org/jira/browse/CAMEL-105,https://github.com/apache/camel/tree/b7891536ba89d6105682aab7d72827567e3f3275,https://github.com/apache/camel/tree/69cdcb082ea23a3852101b01eb29700d286de1e4,https://github.com/apache/camel/compare/b7891536ba89d6105682aab7d72827567e3f3275...69cdcb082ea23a3852101b01eb29700d286de1e4
14,Camel,802a95c0e9099052211ddd37b8f7dc03741fb041,9c1357e1be4b11e695b7db25289883983c3544db,CAMEL-111,https://issues.apache.org/jira/browse/CAMEL-111,https://github.com/apache/camel/tree/802a95c0e9099052211ddd37b8f7dc03741fb041,https://github.com/apache/camel/tree/9c1357e1be4b11e695b7db25289883983c3544db,https://github.com/apache/camel/compare/802a95c0e9099052211ddd37b8f7dc03741fb041...9c1357e1be4b11e695b7db25289883983c3544db
15,Camel,f335ae9426072748d1941861a4fc10c1a689328f,d586852de173b28c6c9562f75efadca9331d75ee,CAMEL-103,https://issues.apache.org/jira/browse/CAMEL-103,https://github.com/apache/camel/tree/f335ae9426072748d1941861a4fc10c1a689328f,https://github.com/apache/camel/tree/d586852de173b28c6c9562f75efadca9331d75ee,https://github.com/apache/camel/compare/f335ae9426072748d1941861a4fc10c1a689328f...d586852de173b28c6c9562f75efadca9331d75ee
16,Camel,1e5d2774bbce0d8903d4a01f66d2eeb2d5f330bb,a978715221c1e7b4fc74bb6080b631ae2a790145,CAMEL-112,https://issues.apache.org/jira/browse/CAMEL-112,https://github.com/apache/camel/tree/1e5d2774bbce0d8903d4a01f66d2eeb2d5f330bb,https://github.com/apache/camel/tree/a978715221c1e7b4fc74bb6080b631ae2a790145,https://github.com/apache/camel/compare/1e5d2774bbce0d8903d4a01f66d2eeb2d5f330bb...a978715221c1e7b4fc74bb6080b631ae2a790145
17,Camel,deaa97a4879cfe26a86bfecd8513933e56ef4a40,7cdebf657e5ae3028c954560b025c993768d4c3a,CAMEL-80,https://issues.apache.org/jira/browse/CAMEL-80,https://github.com/apache/camel/tree/deaa97a4879cfe26a86bfecd8513933e56ef4a40,https://github.com/apache/camel/tree/7cdebf657e5ae3028c954560b025c993768d4c3a,https://github.com/apache/camel/compare/deaa97a4879cfe26a86bfecd8513933e56ef4a40...7cdebf657e5ae3028c954560b025c993768d4c3a
18,Camel,3335127493c2b7876657ea02f0a38dca4ae7e52c,b47d226858ebcd6e4f6368a3c7132897456dfdb0,CAMEL-150,https://issues.apache.org/jira/browse/CAMEL-150,https://github.com/apache/camel/tree/3335127493c2b7876657ea02f0a38dca4ae7e52c,https://github.com/apache/camel/tree/b47d226858ebcd6e4f6368a3c7132897456dfdb0,https://github.com/apache/camel/compare/3335127493c2b7876657ea02f0a38dca4ae7e52c...b47d226858ebcd6e4f6368a3c7132897456dfdb0
19,Camel,9cb33eb2c0a5da3f417415312c538d45eff94246,1f8b845dc4bd7283331beba18ab0e30a11f986ec,CAMEL-154,https://issues.apache.org/jira/browse/CAMEL-154,https://github.com/apache/camel/tree/9cb33eb2c0a5da3f417415312c538d45eff94246,https://github.com/apache/camel/tree/1f8b845dc4bd7283331beba18ab0e30a11f986ec,https://github.com/apache/camel/compare/9cb33eb2c0a5da3f417415312c538d45eff94246...1f8b845dc4bd7283331beba18ab0e30a11f986ec
20,Camel,5112cf705cfd05eb46b49e3c6d8f6adefea48b9f,b4d15c92ab3db2254195f4aeee9f1ba9b2306c39,CAMEL-158,https://issues.apache.org/jira/browse/CAMEL-158,https://github.com/apache/camel/tree/5112cf705cfd05eb46b49e3c6d8f6adefea48b9f,https://github.com/apache/camel/tree/b4d15c92ab3db2254195f4aeee9f1ba9b2306c39,https://github.com/apache/camel/compare/5112cf705cfd05eb46b49e3c6d8f6adefea48b9f...b4d15c92ab3db2254195f4aeee9f1ba9b2306c39
21,Camel,5ed93bb5ba1c84b1b5b6aeeb93ad2e3d9ec538c3,113cab347023c2415454d5a88bac24dc5730fb6e,CAMEL-160,https://issues.apache.org/jira/browse/CAMEL-160,https://github.com/apache/camel/tree/5ed93bb5ba1c84b1b5b6aeeb93ad2e3d9ec538c3,https://github.com/apache/camel/tree/113cab347023c2415454d5a88bac24dc5730fb6e,https://github.com/apache/camel/compare/5ed93bb5ba1c84b1b5b6aeeb93ad2e3d9ec538c3...113cab347023c2415454d5a88bac24dc5730fb6e
22,Camel,113cab347023c2415454d5a88bac24dc5730fb6e,093b1f8dc81290ded4b77ca679f8d346366cb096,CAMEL-161,https://issues.apache.org/jira/browse/CAMEL-161,https://github.com/apache/camel/tree/113cab347023c2415454d5a88bac24dc5730fb6e,https://github.com/apache/camel/tree/093b1f8dc81290ded4b77ca679f8d346366cb096,https://github.com/apache/camel/compare/113cab347023c2415454d5a88bac24dc5730fb6e...093b1f8dc81290ded4b77ca679f8d346366cb096
23,Camel,149eaee42035a98f6c169d2c56d467a6b24de1fd,4ed5f2c4c2ff98e69921010da54717f970436966,CAMEL-140,https://issues.apache.org/jira/browse/CAMEL-140,https://github.com/apache/camel/tree/149eaee42035a98f6c169d2c56d467a6b24de1fd,https://github.com/apache/camel/tree/4ed5f2c4c2ff98e69921010da54717f970436966,https://github.com/apache/camel/compare/149eaee42035a98f6c169d2c56d467a6b24de1fd...4ed5f2c4c2ff98e69921010da54717f970436966
24,Camel,edf3db13aeda1fa19028a55f42a73f2a433da3f2,6c9c3773bca2852cb1d78e1d5ac18f2519ce4573,CAMEL-168,https://issues.apache.org/jira/browse/CAMEL-168,https://github.com/apache/camel/tree/edf3db13aeda1fa19028a55f42a73f2a433da3f2,https://github.com/apache/camel/tree/6c9c3773bca2852cb1d78e1d5ac18f2519ce4573,https://github.com/apache/camel/compare/edf3db13aeda1fa19028a55f42a73f2a433da3f2...6c9c3773bca2852cb1d78e1d5ac18f2519ce4573
25,Camel,546dd42c93c740d1355725747a384d4760dca2b9,dea11cbc8b25b641dba0ca69519f015367ed0e82,CAMEL-166,https://issues.apache.org/jira/browse/CAMEL-166,https://github.com/apache/camel/tree/546dd42c93c740d1355725747a384d4760dca2b9,https://github.com/apache/camel/tree/dea11cbc8b25b641dba0ca69519f015367ed0e82,https://github.com/apache/camel/compare/546dd42c93c740d1355725747a384d4760dca2b9...dea11cbc8b25b641dba0ca69519f015367ed0e82
26,Camel,42c8c3d26d474d42218028b3d37e617645ff236e,ef95c6206e47586b02b3ba052012c68c780545e8,CAMEL-166,https://issues.apache.org/jira/browse/CAMEL-166,https://github.com/apache/camel/tree/42c8c3d26d474d42218028b3d37e617645ff236e,https://github.com/apache/camel/tree/ef95c6206e47586b02b3ba052012c68c780545e8,https://github.com/apache/camel/compare/42c8c3d26d474d42218028b3d37e617645ff236e...ef95c6206e47586b02b3ba052012c68c780545e8
27,Camel,cf2ec32b18da0396aadd96f5e85ab0a90c857636,8f44400203f72edfa731425fb4eeba169006a5d0,CAMEL-170,https://issues.apache.org/jira/browse/CAMEL-170,https://github.com/apache/camel/tree/cf2ec32b18da0396aadd96f5e85ab0a90c857636,https://github.com/apache/camel/tree/8f44400203f72edfa731425fb4eeba169006a5d0,https://github.com/apache/camel/compare/cf2ec32b18da0396aadd96f5e85ab0a90c857636...8f44400203f72edfa731425fb4eeba169006a5d0
28,Camel,8f44400203f72edfa731425fb4eeba169006a5d0,187d49e34bc1f8d0e7e22b3818764de490ca87a8,CAMEL-170,https://issues.apache.org/jira/browse/CAMEL-170,https://github.com/apache/camel/tree/8f44400203f72edfa731425fb4eeba169006a5d0,https://github.com/apache/camel/tree/187d49e34bc1f8d0e7e22b3818764de490ca87a8,https://github.com/apache/camel/compare/8f44400203f72edfa731425fb4eeba169006a5d0...187d49e34bc1f8d0e7e22b3818764de490ca87a8
29,Camel,1c186b99cc86c6db122c69efc479b568ebfddd09,2af1dd4bc992e61afcb0caa32695ae4b6b9c8b5d,CAMEL-187,https://issues.apache.org/jira/browse/CAMEL-187,https://github.com/apache/camel/tree/1c186b99cc86c6db122c69efc479b568ebfddd09,https://github.com/apache/camel/tree/2af1dd4bc992e61afcb0caa32695ae4b6b9c8b5d,https://github.com/apache/camel/compare/1c186b99cc86c6db122c69efc479b568ebfddd09...2af1dd4bc992e61afcb0caa32695ae4b6b9c8b5d
30,Camel,2bd75605550f74ee70a7630c52ee21bcf053678b,5e217445dfc0519761b376892e0cedc334d1ada6,CAMEL-191,https://issues.apache.org/jira/browse/CAMEL-191,https://github.com/apache/camel/tree/2bd75605550f74ee70a7630c52ee21bcf053678b,https://github.com/apache/camel/tree/5e217445dfc0519761b376892e0cedc334d1ada6,https://github.com/apache/camel/compare/2bd75605550f74ee70a7630c52ee21bcf053678b...5e217445dfc0519761b376892e0cedc334d1ada6
31,Camel,1a919790b12bd36e5a608e766bb5cec2f5c16363,89e2cb27b2eefc504d3a541c97293071c8886cb8,CAMEL-192,https://issues.apache.org/jira/browse/CAMEL-192,https://github.com/apache/camel/tree/1a919790b12bd36e5a608e766bb5cec2f5c16363,https://github.com/apache/camel/tree/89e2cb27b2eefc504d3a541c97293071c8886cb8,https://github.com/apache/camel/compare/1a919790b12bd36e5a608e766bb5cec2f5c16363...89e2cb27b2eefc504d3a541c97293071c8886cb8
32,Camel,e44fa2f016b93c72a555257f9325d03ce61a132f,639d0366d869fffa7b0186f60bf065c6484d11aa,CAMEL-197,https://issues.apache.org/jira/browse/CAMEL-197,https://github.com/apache/camel/tree/e44fa2f016b93c72a555257f9325d03ce61a132f,https://github.com/apache/camel/tree/639d0366d869fffa7b0186f60bf065c6484d11aa,https://github.com/apache/camel/compare/e44fa2f016b93c72a555257f9325d03ce61a132f...639d0366d869fffa7b0186f60bf065c6484d11aa
33,Camel,5a846ea97e3be2097897df9b4c0ca575973ce774,a868d9aeb699c4d7e379bd40ac44b3cecce89d45,CAMEL-205,https://issues.apache.org/jira/browse/CAMEL-205,https://github.com/apache/camel/tree/5a846ea97e3be2097897df9b4c0ca575973ce774,https://github.com/apache/camel/tree/a868d9aeb699c4d7e379bd40ac44b3cecce89d45,https://github.com/apache/camel/compare/5a846ea97e3be2097897df9b4c0ca575973ce774...a868d9aeb699c4d7e379bd40ac44b3cecce89d45
34,Camel,59c813f3be76c4cd2d0e3b57b68989c2e93ee0d7,82ca5d9031794e119c8ada3174a564263800604a,camel-210,https://issues.apache.org/jira/browse/CAMEL-210,https://github.com/apache/camel/tree/59c813f3be76c4cd2d0e3b57b68989c2e93ee0d7,https://github.com/apache/camel/tree/82ca5d9031794e119c8ada3174a564263800604a,https://github.com/apache/camel/compare/59c813f3be76c4cd2d0e3b57b68989c2e93ee0d7...82ca5d9031794e119c8ada3174a564263800604a
