bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Cassandra,5506a44d0a1e04a3d471b43dcf00b21608edd50f,74dcfb263ca695534ec631d8cf11f909e54a9765,CASSANDRA-9,https://issues.apache.org/jira/browse/CASSANDRA-9,https://github.com/apache/cassandra/tree/5506a44d0a1e04a3d471b43dcf00b21608edd50f,https://github.com/apache/cassandra/tree/74dcfb263ca695534ec631d8cf11f909e54a9765,https://github.com/apache/cassandra/compare/5506a44d0a1e04a3d471b43dcf00b21608edd50f...74dcfb263ca695534ec631d8cf11f909e54a9765
2,Cassandra,82f5b6072a283d6742b7783e2d856c1d2c0e1f39,af47dc8476a6e4e4856476e4acff1ac8321a6a39,CASSANDRA-9,https://issues.apache.org/jira/browse/CASSANDRA-9,https://github.com/apache/cassandra/tree/82f5b6072a283d6742b7783e2d856c1d2c0e1f39,https://github.com/apache/cassandra/tree/af47dc8476a6e4e4856476e4acff1ac8321a6a39,https://github.com/apache/cassandra/compare/82f5b6072a283d6742b7783e2d856c1d2c0e1f39...af47dc8476a6e4e4856476e4acff1ac8321a6a39
3,Cassandra,3fc381c408d933464baa5e0480616925b938ce67,d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56,CASSANDRA-37,https://issues.apache.org/jira/browse/CASSANDRA-37,https://github.com/apache/cassandra/tree/3fc381c408d933464baa5e0480616925b938ce67,https://github.com/apache/cassandra/tree/d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56,https://github.com/apache/cassandra/compare/3fc381c408d933464baa5e0480616925b938ce67...d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56
4,Cassandra,d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56,7bb094f08672a0f3400d6a7bfde05c686ab70de6,CASSANDRA-37,https://issues.apache.org/jira/browse/CASSANDRA-37,https://github.com/apache/cassandra/tree/d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56,https://github.com/apache/cassandra/tree/7bb094f08672a0f3400d6a7bfde05c686ab70de6,https://github.com/apache/cassandra/compare/d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56...7bb094f08672a0f3400d6a7bfde05c686ab70de6
5,Cassandra,5ba5c12060f87caeba31eda7605a020404ae4fa0,ec291721ddeb66c88ba2d86d45ee27de84013e95,CASSANDRA-114,https://issues.apache.org/jira/browse/CASSANDRA-114,https://github.com/apache/cassandra/tree/5ba5c12060f87caeba31eda7605a020404ae4fa0,https://github.com/apache/cassandra/tree/ec291721ddeb66c88ba2d86d45ee27de84013e95,https://github.com/apache/cassandra/compare/5ba5c12060f87caeba31eda7605a020404ae4fa0...ec291721ddeb66c88ba2d86d45ee27de84013e95
6,Cassandra,ec291721ddeb66c88ba2d86d45ee27de84013e95,48d21d8e29bf136f6ad26b1d78500974eaad3a2f,CASSANDRA-125,https://issues.apache.org/jira/browse/CASSANDRA-125,https://github.com/apache/cassandra/tree/ec291721ddeb66c88ba2d86d45ee27de84013e95,https://github.com/apache/cassandra/tree/48d21d8e29bf136f6ad26b1d78500974eaad3a2f,https://github.com/apache/cassandra/compare/ec291721ddeb66c88ba2d86d45ee27de84013e95...48d21d8e29bf136f6ad26b1d78500974eaad3a2f
7,Cassandra,090013252dfd219539fe58579cf3496317dcbd17,4a5620dea228470397cea696a75a849050efe03b,CASSANDRA-126,https://issues.apache.org/jira/browse/CASSANDRA-126,https://github.com/apache/cassandra/tree/090013252dfd219539fe58579cf3496317dcbd17,https://github.com/apache/cassandra/tree/4a5620dea228470397cea696a75a849050efe03b,https://github.com/apache/cassandra/compare/090013252dfd219539fe58579cf3496317dcbd17...4a5620dea228470397cea696a75a849050efe03b
8,Cassandra,e4e5629b13bc0df4bd4d45719498a69b1085b217,93abe8d3e5b61139c994481ad86e1b7d8d6bcd0a,CASSANDRA-34,https://issues.apache.org/jira/browse/CASSANDRA-34,https://github.com/apache/cassandra/tree/e4e5629b13bc0df4bd4d45719498a69b1085b217,https://github.com/apache/cassandra/tree/93abe8d3e5b61139c994481ad86e1b7d8d6bcd0a,https://github.com/apache/cassandra/compare/e4e5629b13bc0df4bd4d45719498a69b1085b217...93abe8d3e5b61139c994481ad86e1b7d8d6bcd0a
9,Cassandra,93abe8d3e5b61139c994481ad86e1b7d8d6bcd0a,bbe89e795bbc631c2b626766840d943498304630,CASSANDRA-124,https://issues.apache.org/jira/browse/CASSANDRA-124,https://github.com/apache/cassandra/tree/93abe8d3e5b61139c994481ad86e1b7d8d6bcd0a,https://github.com/apache/cassandra/tree/bbe89e795bbc631c2b626766840d943498304630,https://github.com/apache/cassandra/compare/93abe8d3e5b61139c994481ad86e1b7d8d6bcd0a...bbe89e795bbc631c2b626766840d943498304630
10,Cassandra,bbe89e795bbc631c2b626766840d943498304630,f70a5a0c8cff203b17285494fbbd99176bbee649,CASSANDRA-78,https://issues.apache.org/jira/browse/CASSANDRA-78,https://github.com/apache/cassandra/tree/bbe89e795bbc631c2b626766840d943498304630,https://github.com/apache/cassandra/tree/f70a5a0c8cff203b17285494fbbd99176bbee649,https://github.com/apache/cassandra/compare/bbe89e795bbc631c2b626766840d943498304630...f70a5a0c8cff203b17285494fbbd99176bbee649
