bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Catch2,b3acf45d7052efc97409db4ba2f930833cd15596,2666c96d4e407c18fe6518007d403fe05327bcbc,164,https://github.com/catchorg/Catch2/issues/164,https://github.com/catchorg/Catch2/tree/b3acf45d7052efc97409db4ba2f930833cd15596,https://github.com/catchorg/Catch2/tree/2666c96d4e407c18fe6518007d403fe05327bcbc,https://github.com/catchorg/Catch2/compare/b3acf45d7052efc97409db4ba2f930833cd15596...2666c96d4e407c18fe6518007d403fe05327bcbc
2,Catch2,503d5d0c8e6e209de18147d3f9db71e6b749d700,f3d1f08c3b563c17d5d102c3e8ce46e7081c4fe9,105,https://github.com/catchorg/Catch2/issues/105,https://github.com/catchorg/Catch2/tree/503d5d0c8e6e209de18147d3f9db71e6b749d700,https://github.com/catchorg/Catch2/tree/f3d1f08c3b563c17d5d102c3e8ce46e7081c4fe9,https://github.com/catchorg/Catch2/compare/503d5d0c8e6e209de18147d3f9db71e6b749d700...f3d1f08c3b563c17d5d102c3e8ce46e7081c4fe9
3,Catch2,ba13f3f098454a31ac62690f9eb1a1ec6dbd1b55,ce6598599b90e033698840d57cfd5f1e46539a7d,259,https://github.com/catchorg/Catch2/issues/259,https://github.com/catchorg/Catch2/tree/ba13f3f098454a31ac62690f9eb1a1ec6dbd1b55,https://github.com/catchorg/Catch2/tree/ce6598599b90e033698840d57cfd5f1e46539a7d,https://github.com/catchorg/Catch2/compare/ba13f3f098454a31ac62690f9eb1a1ec6dbd1b55...ce6598599b90e033698840d57cfd5f1e46539a7d
4,Catch2,aef6cd53320cd209f90495073b9afd447ed4d89a,f1928b7f24a3c141f545d54833b7f891ddfa7f1a,274,https://github.com/catchorg/Catch2/issues/274,https://github.com/catchorg/Catch2/tree/aef6cd53320cd209f90495073b9afd447ed4d89a,https://github.com/catchorg/Catch2/tree/f1928b7f24a3c141f545d54833b7f891ddfa7f1a,https://github.com/catchorg/Catch2/compare/aef6cd53320cd209f90495073b9afd447ed4d89a...f1928b7f24a3c141f545d54833b7f891ddfa7f1a
5,Catch2,f1928b7f24a3c141f545d54833b7f891ddfa7f1a,1a6f2a0a80797c854869b2d2e0ec277b0dd76e54,275,https://github.com/catchorg/Catch2/issues/275,https://github.com/catchorg/Catch2/tree/f1928b7f24a3c141f545d54833b7f891ddfa7f1a,https://github.com/catchorg/Catch2/tree/1a6f2a0a80797c854869b2d2e0ec277b0dd76e54,https://github.com/catchorg/Catch2/compare/f1928b7f24a3c141f545d54833b7f891ddfa7f1a...1a6f2a0a80797c854869b2d2e0ec277b0dd76e54
6,Catch2,4e044ed4b17eb7c691b757fc45ec071b1848b6e0,ad4489043b1d45476e0bdcfc046f4b8b15e1cbce,281,https://github.com/catchorg/Catch2/issues/281,https://github.com/catchorg/Catch2/tree/4e044ed4b17eb7c691b757fc45ec071b1848b6e0,https://github.com/catchorg/Catch2/tree/ad4489043b1d45476e0bdcfc046f4b8b15e1cbce,https://github.com/catchorg/Catch2/compare/4e044ed4b17eb7c691b757fc45ec071b1848b6e0...ad4489043b1d45476e0bdcfc046f4b8b15e1cbce
7,Catch2,9bf43e78755918d1930feb8dbd9f517b9dd082f0,65cc14c44e2673e028ff2e6fa3a91c426c2a914a,279,https://github.com/catchorg/Catch2/issues/279,https://github.com/catchorg/Catch2/tree/9bf43e78755918d1930feb8dbd9f517b9dd082f0,https://github.com/catchorg/Catch2/tree/65cc14c44e2673e028ff2e6fa3a91c426c2a914a,https://github.com/catchorg/Catch2/compare/9bf43e78755918d1930feb8dbd9f517b9dd082f0...65cc14c44e2673e028ff2e6fa3a91c426c2a914a
8,Catch2,d4e5f184369ce34592bb6f89e793bdb22d1d011a,81fc6d71112e8e6a3dc4a78fbaeac5b89674f786,348,https://github.com/catchorg/Catch2/issues/348,https://github.com/catchorg/Catch2/tree/d4e5f184369ce34592bb6f89e793bdb22d1d011a,https://github.com/catchorg/Catch2/tree/81fc6d71112e8e6a3dc4a78fbaeac5b89674f786,https://github.com/catchorg/Catch2/compare/d4e5f184369ce34592bb6f89e793bdb22d1d011a...81fc6d71112e8e6a3dc4a78fbaeac5b89674f786
9,Catch2,81fc6d71112e8e6a3dc4a78fbaeac5b89674f786,aaa1970a06960bc3a05865f28c4ad8ef6514bea3,348,https://github.com/catchorg/Catch2/issues/348,https://github.com/catchorg/Catch2/tree/81fc6d71112e8e6a3dc4a78fbaeac5b89674f786,https://github.com/catchorg/Catch2/tree/aaa1970a06960bc3a05865f28c4ad8ef6514bea3,https://github.com/catchorg/Catch2/compare/81fc6d71112e8e6a3dc4a78fbaeac5b89674f786...aaa1970a06960bc3a05865f28c4ad8ef6514bea3
10,Catch2,ae5ee2cf63d6d67bd1369b512d2a7b60b571c907,97e335437ea5e208be15830ba56189f3e0528a5f,600,https://github.com/catchorg/Catch2/issues/600,https://github.com/catchorg/Catch2/tree/ae5ee2cf63d6d67bd1369b512d2a7b60b571c907,https://github.com/catchorg/Catch2/tree/97e335437ea5e208be15830ba56189f3e0528a5f,https://github.com/catchorg/Catch2/compare/ae5ee2cf63d6d67bd1369b512d2a7b60b571c907...97e335437ea5e208be15830ba56189f3e0528a5f
11,Catch2,c984fc3ecde60b59efa2203e82261acac8ac8502,7544644bb47b6de6f7d8ca7ac014a559b23e4bae,633,https://github.com/catchorg/Catch2/issues/633,https://github.com/catchorg/Catch2/tree/c984fc3ecde60b59efa2203e82261acac8ac8502,https://github.com/catchorg/Catch2/tree/7544644bb47b6de6f7d8ca7ac014a559b23e4bae,https://github.com/catchorg/Catch2/compare/c984fc3ecde60b59efa2203e82261acac8ac8502...7544644bb47b6de6f7d8ca7ac014a559b23e4bae
12,Catch2,ebf9f3bb9db48148b3ee6a3b066a770e148f5ce7,7940d58a2fee08156fa310356534f1a1290408df,657,https://github.com/catchorg/Catch2/issues/657,https://github.com/catchorg/Catch2/tree/ebf9f3bb9db48148b3ee6a3b066a770e148f5ce7,https://github.com/catchorg/Catch2/tree/7940d58a2fee08156fa310356534f1a1290408df,https://github.com/catchorg/Catch2/compare/ebf9f3bb9db48148b3ee6a3b066a770e148f5ce7...7940d58a2fee08156fa310356534f1a1290408df
13,Catch2,c47c1797d262b6da07884eef490ae84d4319b90f,8c459dd207b541b68664db33026361a3ee491a44,679,https://github.com/catchorg/Catch2/issues/679,https://github.com/catchorg/Catch2/tree/c47c1797d262b6da07884eef490ae84d4319b90f,https://github.com/catchorg/Catch2/tree/8c459dd207b541b68664db33026361a3ee491a44,https://github.com/catchorg/Catch2/compare/c47c1797d262b6da07884eef490ae84d4319b90f...8c459dd207b541b68664db33026361a3ee491a44
14,Catch2,2a4dba177f9b1875339d4a2cab4bd2e49fece84b,7d2668fa15c69c6c0bed2f7548ae3b7410893216,602,https://github.com/catchorg/Catch2/issues/602,https://github.com/catchorg/Catch2/tree/2a4dba177f9b1875339d4a2cab4bd2e49fece84b,https://github.com/catchorg/Catch2/tree/7d2668fa15c69c6c0bed2f7548ae3b7410893216,https://github.com/catchorg/Catch2/compare/2a4dba177f9b1875339d4a2cab4bd2e49fece84b...7d2668fa15c69c6c0bed2f7548ae3b7410893216
15,Catch2,737f4ea77c82f2d6d48d7ac36fd63bb9f3851ed4,a1bed572be40fb74072e74b6a04846bdfb4f7aea,774,https://github.com/catchorg/Catch2/issues/774,https://github.com/catchorg/Catch2/tree/737f4ea77c82f2d6d48d7ac36fd63bb9f3851ed4,https://github.com/catchorg/Catch2/tree/a1bed572be40fb74072e74b6a04846bdfb4f7aea,https://github.com/catchorg/Catch2/compare/737f4ea77c82f2d6d48d7ac36fd63bb9f3851ed4...a1bed572be40fb74072e74b6a04846bdfb4f7aea
16,Catch2,b71a06cf989bed309e4bdf84e2fff22850f9d47c,ee0ca512eade3c3e1e0652dc5cbc4c728a21a551,574,https://github.com/catchorg/Catch2/issues/574,https://github.com/catchorg/Catch2/tree/b71a06cf989bed309e4bdf84e2fff22850f9d47c,https://github.com/catchorg/Catch2/tree/ee0ca512eade3c3e1e0652dc5cbc4c728a21a551,https://github.com/catchorg/Catch2/compare/b71a06cf989bed309e4bdf84e2fff22850f9d47c...ee0ca512eade3c3e1e0652dc5cbc4c728a21a551
17,Catch2,73872207db8b729f46e2991039eb808fdf6ebc53,c06afe438e261deac5658935a86cc9168ae4ed43,652,https://github.com/catchorg/Catch2/issues/652,https://github.com/catchorg/Catch2/tree/73872207db8b729f46e2991039eb808fdf6ebc53,https://github.com/catchorg/Catch2/tree/c06afe438e261deac5658935a86cc9168ae4ed43,https://github.com/catchorg/Catch2/compare/73872207db8b729f46e2991039eb808fdf6ebc53...c06afe438e261deac5658935a86cc9168ae4ed43
18,Catch2,60a9ac7e65a57d82a92eebb7c8c6c1111a75897e,c390c4cb9f9ae384451a5b8cda08aebf34407207,105,https://github.com/catchorg/Catch2/issues/105,https://github.com/catchorg/Catch2/tree/60a9ac7e65a57d82a92eebb7c8c6c1111a75897e,https://github.com/catchorg/Catch2/tree/c390c4cb9f9ae384451a5b8cda08aebf34407207,https://github.com/catchorg/Catch2/compare/60a9ac7e65a57d82a92eebb7c8c6c1111a75897e...c390c4cb9f9ae384451a5b8cda08aebf34407207
19,Catch2,615aa071a8f741862c325e0aab47345cc5388169,c97ada1910d149dc811b29073685ffc26e750cec,621,https://github.com/catchorg/Catch2/issues/621,https://github.com/catchorg/Catch2/tree/615aa071a8f741862c325e0aab47345cc5388169,https://github.com/catchorg/Catch2/tree/c97ada1910d149dc811b29073685ffc26e750cec,https://github.com/catchorg/Catch2/compare/615aa071a8f741862c325e0aab47345cc5388169...c97ada1910d149dc811b29073685ffc26e750cec
20,Catch2,c97ada1910d149dc811b29073685ffc26e750cec,38af8d7035af1c6c5566c9488315490ede986875,796,https://github.com/catchorg/Catch2/issues/796,https://github.com/catchorg/Catch2/tree/c97ada1910d149dc811b29073685ffc26e750cec,https://github.com/catchorg/Catch2/tree/38af8d7035af1c6c5566c9488315490ede986875,https://github.com/catchorg/Catch2/compare/c97ada1910d149dc811b29073685ffc26e750cec...38af8d7035af1c6c5566c9488315490ede986875
21,Catch2,ce37f48ffad2401e6c23a54cae3f015c01fdc200,712323ab7c0893bd505a56099a7353baa044c59b,803,https://github.com/catchorg/Catch2/issues/803,https://github.com/catchorg/Catch2/tree/ce37f48ffad2401e6c23a54cae3f015c01fdc200,https://github.com/catchorg/Catch2/tree/712323ab7c0893bd505a56099a7353baa044c59b,https://github.com/catchorg/Catch2/compare/ce37f48ffad2401e6c23a54cae3f015c01fdc200...712323ab7c0893bd505a56099a7353baa044c59b
22,Catch2,712323ab7c0893bd505a56099a7353baa044c59b,7e7c8134860dc76efffe66831ab767e42cde6cf1,399,https://github.com/catchorg/Catch2/issues/399,https://github.com/catchorg/Catch2/tree/712323ab7c0893bd505a56099a7353baa044c59b,https://github.com/catchorg/Catch2/tree/7e7c8134860dc76efffe66831ab767e42cde6cf1,https://github.com/catchorg/Catch2/compare/712323ab7c0893bd505a56099a7353baa044c59b...7e7c8134860dc76efffe66831ab767e42cde6cf1
23,Catch2,7e7c8134860dc76efffe66831ab767e42cde6cf1,e991c006b76913d22842e11f98b90d96951b5723,805,https://github.com/catchorg/Catch2/issues/805,https://github.com/catchorg/Catch2/tree/7e7c8134860dc76efffe66831ab767e42cde6cf1,https://github.com/catchorg/Catch2/tree/e991c006b76913d22842e11f98b90d96951b5723,https://github.com/catchorg/Catch2/compare/7e7c8134860dc76efffe66831ab767e42cde6cf1...e991c006b76913d22842e11f98b90d96951b5723
