bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Chalk,f7514e80552da7fce80923237b7e786b1dc9ef53,38efc4600bf197f930ca1be1315c61cea88346e9,3,https://github.com/chalk/chalk/issues/3,https://github.com/chalk/chalk/tree/f7514e80552da7fce80923237b7e786b1dc9ef53,https://github.com/chalk/chalk/tree/38efc4600bf197f930ca1be1315c61cea88346e9,https://github.com/chalk/chalk/compare/f7514e80552da7fce80923237b7e786b1dc9ef53...38efc4600bf197f930ca1be1315c61cea88346e9
2,Chalk,b0addb86d6add080d0e3d453b50e17e84d33b495,13a555ede8773d5bc6e13668573c804ab9a34404,8,https://github.com/chalk/chalk/issues/8,https://github.com/chalk/chalk/tree/b0addb86d6add080d0e3d453b50e17e84d33b495,https://github.com/chalk/chalk/tree/13a555ede8773d5bc6e13668573c804ab9a34404,https://github.com/chalk/chalk/compare/b0addb86d6add080d0e3d453b50e17e84d33b495...13a555ede8773d5bc6e13668573c804ab9a34404
3,Chalk,eff96c2c157c578f63b6041d9fecbe2705ff5a75,90bd6477d6d3e2d31dee9b2ee3e721026521bd47,23,https://github.com/chalk/chalk/issues/23,https://github.com/chalk/chalk/tree/eff96c2c157c578f63b6041d9fecbe2705ff5a75,https://github.com/chalk/chalk/tree/90bd6477d6d3e2d31dee9b2ee3e721026521bd47,https://github.com/chalk/chalk/compare/eff96c2c157c578f63b6041d9fecbe2705ff5a75...90bd6477d6d3e2d31dee9b2ee3e721026521bd47
4,Chalk,eff96c2c157c578f63b6041d9fecbe2705ff5a75,b0523a44384a29987f75540afc761f381aedd798,16,https://github.com/chalk/chalk/issues/16,https://github.com/chalk/chalk/tree/eff96c2c157c578f63b6041d9fecbe2705ff5a75,https://github.com/chalk/chalk/tree/b0523a44384a29987f75540afc761f381aedd798,https://github.com/chalk/chalk/compare/eff96c2c157c578f63b6041d9fecbe2705ff5a75...b0523a44384a29987f75540afc761f381aedd798
5,Chalk,e12289964d8d3fb697c0c12a06010a2ca1847cac,3026d71e0eea14f71d9f8779d2e12305d6aa67e2,21,https://github.com/chalk/chalk/issues/21,https://github.com/chalk/chalk/tree/e12289964d8d3fb697c0c12a06010a2ca1847cac,https://github.com/chalk/chalk/tree/3026d71e0eea14f71d9f8779d2e12305d6aa67e2,https://github.com/chalk/chalk/compare/e12289964d8d3fb697c0c12a06010a2ca1847cac...3026d71e0eea14f71d9f8779d2e12305d6aa67e2
6,Chalk,3073fa3110134e840ee79eaffb61866182b4b7fa,42918337e5503c1ec358f485dcd2cc295214b5f9,32,https://github.com/chalk/chalk/issues/32,https://github.com/chalk/chalk/tree/3073fa3110134e840ee79eaffb61866182b4b7fa,https://github.com/chalk/chalk/tree/42918337e5503c1ec358f485dcd2cc295214b5f9,https://github.com/chalk/chalk/compare/3073fa3110134e840ee79eaffb61866182b4b7fa...42918337e5503c1ec358f485dcd2cc295214b5f9
7,Chalk,bc4f81d3529bd69950419e741e215ee74042bc47,0234fe987d2c45c3efe0b61d0e9bfd123913b0d4,41,https://github.com/chalk/chalk/issues/41,https://github.com/chalk/chalk/tree/bc4f81d3529bd69950419e741e215ee74042bc47,https://github.com/chalk/chalk/tree/0234fe987d2c45c3efe0b61d0e9bfd123913b0d4,https://github.com/chalk/chalk/compare/bc4f81d3529bd69950419e741e215ee74042bc47...0234fe987d2c45c3efe0b61d0e9bfd123913b0d4
8,Chalk,2c9044cc49ddf01bfa4ed952217b502ecda222b4,32ff12e4c357ada156da6a3e0d64f2019204ca68,35,https://github.com/chalk/chalk/issues/35,https://github.com/chalk/chalk/tree/2c9044cc49ddf01bfa4ed952217b502ecda222b4,https://github.com/chalk/chalk/tree/32ff12e4c357ada156da6a3e0d64f2019204ca68,https://github.com/chalk/chalk/compare/2c9044cc49ddf01bfa4ed952217b502ecda222b4...32ff12e4c357ada156da6a3e0d64f2019204ca68
9,Chalk,0b1c65dfd3b086827819adf03035e64f419cc186,fc6a9b27dc1b58985b3eb8ae0fc712be9be42488,36,https://github.com/chalk/chalk/issues/36,https://github.com/chalk/chalk/tree/0b1c65dfd3b086827819adf03035e64f419cc186,https://github.com/chalk/chalk/tree/fc6a9b27dc1b58985b3eb8ae0fc712be9be42488,https://github.com/chalk/chalk/compare/0b1c65dfd3b086827819adf03035e64f419cc186...fc6a9b27dc1b58985b3eb8ae0fc712be9be42488
10,Chalk,4d9c98c6038b5380a95f4bab882456c485397774,72d1c11e43a00c0ea64ea3591342d68ef4b46244,46,https://github.com/chalk/chalk/issues/46,https://github.com/chalk/chalk/tree/4d9c98c6038b5380a95f4bab882456c485397774,https://github.com/chalk/chalk/tree/72d1c11e43a00c0ea64ea3591342d68ef4b46244,https://github.com/chalk/chalk/compare/4d9c98c6038b5380a95f4bab882456c485397774...72d1c11e43a00c0ea64ea3591342d68ef4b46244
11,Chalk,04cb2d21ae59037efe0db1d8418cb5662e09bead,e3272e8449989406c4abb0f171f1ae9a6e7cb103,59,https://github.com/chalk/chalk/issues/59,https://github.com/chalk/chalk/tree/04cb2d21ae59037efe0db1d8418cb5662e09bead,https://github.com/chalk/chalk/tree/e3272e8449989406c4abb0f171f1ae9a6e7cb103,https://github.com/chalk/chalk/compare/04cb2d21ae59037efe0db1d8418cb5662e09bead...e3272e8449989406c4abb0f171f1ae9a6e7cb103
12,Chalk,dde728719284a1701e69709fbf586d0a28a83f93,922ac4b0aa67c42b7e0e79ca4a5a7c33beb3e858,58,https://github.com/chalk/chalk/issues/58,https://github.com/chalk/chalk/tree/dde728719284a1701e69709fbf586d0a28a83f93,https://github.com/chalk/chalk/tree/922ac4b0aa67c42b7e0e79ca4a5a7c33beb3e858,https://github.com/chalk/chalk/compare/dde728719284a1701e69709fbf586d0a28a83f93...922ac4b0aa67c42b7e0e79ca4a5a7c33beb3e858
13,Chalk,4d23b33c9ef793ce1ff46cc0a1410b55638e4b30,ed03714ec28411c1c02fc6943a4dc224af7959c9,63,https://github.com/chalk/chalk/issues/63,https://github.com/chalk/chalk/tree/4d23b33c9ef793ce1ff46cc0a1410b55638e4b30,https://github.com/chalk/chalk/tree/ed03714ec28411c1c02fc6943a4dc224af7959c9,https://github.com/chalk/chalk/compare/4d23b33c9ef793ce1ff46cc0a1410b55638e4b30...ed03714ec28411c1c02fc6943a4dc224af7959c9
14,Chalk,6142553bb5d7b3e7fbcea76b8ccf876f373e1bf1,4006cc0b4109df1c8fd7941c4871c8f8a66fbfad,80,https://github.com/chalk/chalk/issues/80,https://github.com/chalk/chalk/tree/6142553bb5d7b3e7fbcea76b8ccf876f373e1bf1,https://github.com/chalk/chalk/tree/4006cc0b4109df1c8fd7941c4871c8f8a66fbfad,https://github.com/chalk/chalk/compare/6142553bb5d7b3e7fbcea76b8ccf876f373e1bf1...4006cc0b4109df1c8fd7941c4871c8f8a66fbfad
15,Chalk,8d599972ee20ee46840bad0916dfda155bc829ae,ed6e7d56daa9d756b3d644103e193db2a79fee9c,77,https://github.com/chalk/chalk/issues/77,https://github.com/chalk/chalk/tree/8d599972ee20ee46840bad0916dfda155bc829ae,https://github.com/chalk/chalk/tree/ed6e7d56daa9d756b3d644103e193db2a79fee9c,https://github.com/chalk/chalk/compare/8d599972ee20ee46840bad0916dfda155bc829ae...ed6e7d56daa9d756b3d644103e193db2a79fee9c
16,Chalk,ed6e7d56daa9d756b3d644103e193db2a79fee9c,83615f2ed655486641ac13814cd21b36bd9cdfd3,89,https://github.com/chalk/chalk/issues/89,https://github.com/chalk/chalk/tree/ed6e7d56daa9d756b3d644103e193db2a79fee9c,https://github.com/chalk/chalk/tree/83615f2ed655486641ac13814cd21b36bd9cdfd3,https://github.com/chalk/chalk/compare/ed6e7d56daa9d756b3d644103e193db2a79fee9c...83615f2ed655486641ac13814cd21b36bd9cdfd3
