bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ChartsSwift,b6ac19cb3a699ec9578f8c070aa30e0314489fab,ed0b97275c3f95c7fcf1ac88436893bf39ed11ca,2,https://github.com/ChartsOrg/Charts/issues/2,https://github.com/danielgindi/Charts/tree/b6ac19cb3a699ec9578f8c070aa30e0314489fab,https://github.com/danielgindi/Charts/tree/ed0b97275c3f95c7fcf1ac88436893bf39ed11ca,https://github.com/danielgindi/Charts/compare/b6ac19cb3a699ec9578f8c070aa30e0314489fab...ed0b97275c3f95c7fcf1ac88436893bf39ed11ca
2,ChartsSwift,403512fd68950be36b86aadd5cd6358ba904062f,0a1dda5321d763f03740b6253442a8af3cfc4232,30,https://github.com/ChartsOrg/Charts/issues/30,https://github.com/danielgindi/Charts/tree/403512fd68950be36b86aadd5cd6358ba904062f,https://github.com/danielgindi/Charts/tree/0a1dda5321d763f03740b6253442a8af3cfc4232,https://github.com/danielgindi/Charts/compare/403512fd68950be36b86aadd5cd6358ba904062f...0a1dda5321d763f03740b6253442a8af3cfc4232
3,ChartsSwift,3e51af35bb7e7b801a906a3dc00d2cb730d50ead,2a0e53422d6a59c5a494d12fd0178a7f50bd3bb1,249,https://github.com/ChartsOrg/Charts/issues/249,https://github.com/danielgindi/Charts/tree/3e51af35bb7e7b801a906a3dc00d2cb730d50ead,https://github.com/danielgindi/Charts/tree/2a0e53422d6a59c5a494d12fd0178a7f50bd3bb1,https://github.com/danielgindi/Charts/compare/3e51af35bb7e7b801a906a3dc00d2cb730d50ead...2a0e53422d6a59c5a494d12fd0178a7f50bd3bb1
4,ChartsSwift,a59184f46704586fbf512b00164969d47b32a281,ab9f2306778c23676b737c5d8a0e4320c88e52da,250,https://github.com/ChartsOrg/Charts/issues/250,https://github.com/danielgindi/Charts/tree/a59184f46704586fbf512b00164969d47b32a281,https://github.com/danielgindi/Charts/tree/ab9f2306778c23676b737c5d8a0e4320c88e52da,https://github.com/danielgindi/Charts/compare/a59184f46704586fbf512b00164969d47b32a281...ab9f2306778c23676b737c5d8a0e4320c88e52da
5,ChartsSwift,4d5c4f6a003f1d39db539ffb761df66ea57848fd,208d82a69056482450623ced445cd3374757097e,289,https://github.com/ChartsOrg/Charts/issues/289,https://github.com/danielgindi/Charts/tree/4d5c4f6a003f1d39db539ffb761df66ea57848fd,https://github.com/danielgindi/Charts/tree/208d82a69056482450623ced445cd3374757097e,https://github.com/danielgindi/Charts/compare/4d5c4f6a003f1d39db539ffb761df66ea57848fd...208d82a69056482450623ced445cd3374757097e
6,ChartsSwift,e9d23e2efdb0a4513933dbca44e875cd572f3a89,78e5df8ce2b32272a566454df5e91750f1532c17,266,https://github.com/ChartsOrg/Charts/issues/266,https://github.com/danielgindi/Charts/tree/e9d23e2efdb0a4513933dbca44e875cd572f3a89,https://github.com/danielgindi/Charts/tree/78e5df8ce2b32272a566454df5e91750f1532c17,https://github.com/danielgindi/Charts/compare/e9d23e2efdb0a4513933dbca44e875cd572f3a89...78e5df8ce2b32272a566454df5e91750f1532c17
7,ChartsSwift,2068a5c8969cd9fa97dccbf08648526b7fe06c8c,45daf28a6ec3fd17244c454dd2378cefa9af3642,300,https://github.com/ChartsOrg/Charts/issues/300,https://github.com/danielgindi/Charts/tree/2068a5c8969cd9fa97dccbf08648526b7fe06c8c,https://github.com/danielgindi/Charts/tree/45daf28a6ec3fd17244c454dd2378cefa9af3642,https://github.com/danielgindi/Charts/compare/2068a5c8969cd9fa97dccbf08648526b7fe06c8c...45daf28a6ec3fd17244c454dd2378cefa9af3642
8,ChartsSwift,45daf28a6ec3fd17244c454dd2378cefa9af3642,87bc7828082565ac803336f09df195071d32730a,153,https://github.com/ChartsOrg/Charts/issues/153,https://github.com/danielgindi/Charts/tree/45daf28a6ec3fd17244c454dd2378cefa9af3642,https://github.com/danielgindi/Charts/tree/87bc7828082565ac803336f09df195071d32730a,https://github.com/danielgindi/Charts/compare/45daf28a6ec3fd17244c454dd2378cefa9af3642...87bc7828082565ac803336f09df195071d32730a
9,ChartsSwift,f38ad4d965904683e03fc42b6d32625cfc26672a,6601129c2bc592b4096c44beaf0a3b9f59413e14,309,https://github.com/ChartsOrg/Charts/issues/309,https://github.com/danielgindi/Charts/tree/f38ad4d965904683e03fc42b6d32625cfc26672a,https://github.com/danielgindi/Charts/tree/6601129c2bc592b4096c44beaf0a3b9f59413e14,https://github.com/danielgindi/Charts/compare/f38ad4d965904683e03fc42b6d32625cfc26672a...6601129c2bc592b4096c44beaf0a3b9f59413e14
10,ChartsSwift,f38ad4d965904683e03fc42b6d32625cfc26672a,aa8645c2c921d61f01927e3fe44aa516eb892a5c,320,https://github.com/ChartsOrg/Charts/issues/320,https://github.com/danielgindi/Charts/tree/f38ad4d965904683e03fc42b6d32625cfc26672a,https://github.com/danielgindi/Charts/tree/aa8645c2c921d61f01927e3fe44aa516eb892a5c,https://github.com/danielgindi/Charts/compare/f38ad4d965904683e03fc42b6d32625cfc26672a...aa8645c2c921d61f01927e3fe44aa516eb892a5c
