bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Click,45be1caa7e09688fbae58e39d0846e6b19c3e6ac,a25bf1300142bc30369920e3bca740efb92c4575,53,https://github.com/pallets/click/issues/53,https://github.com/pallets/click/tree/45be1caa7e09688fbae58e39d0846e6b19c3e6ac,https://github.com/pallets/click/tree/a25bf1300142bc30369920e3bca740efb92c4575,https://github.com/pallets/click/compare/45be1caa7e09688fbae58e39d0846e6b19c3e6ac...a25bf1300142bc30369920e3bca740efb92c4575
2,Click,065ce06128f678e91ba0022ce565b9ee52c5adf5,e77783dcd9b9b74f0f53c3b5857407cef07fba87,42,https://github.com/pallets/click/issues/42,https://github.com/pallets/click/tree/065ce06128f678e91ba0022ce565b9ee52c5adf5,https://github.com/pallets/click/tree/e77783dcd9b9b74f0f53c3b5857407cef07fba87,https://github.com/pallets/click/compare/065ce06128f678e91ba0022ce565b9ee52c5adf5...e77783dcd9b9b74f0f53c3b5857407cef07fba87
3,Click,ed9594d32060466a1c5763fb36e39e5dbec51306,4fd19ce097576072020084a61b6172bfb9b07f26,77,https://github.com/pallets/click/issues/77,https://github.com/pallets/click/tree/ed9594d32060466a1c5763fb36e39e5dbec51306,https://github.com/pallets/click/tree/4fd19ce097576072020084a61b6172bfb9b07f26,https://github.com/pallets/click/compare/ed9594d32060466a1c5763fb36e39e5dbec51306...4fd19ce097576072020084a61b6172bfb9b07f26
4,Click,955beb8fd0657c6c3c59b27dfeebb8e6d0d17ce7,817ef38339a1495f8d6cab90239db1d1c45c3577,87,https://github.com/pallets/click/issues/87,https://github.com/pallets/click/tree/955beb8fd0657c6c3c59b27dfeebb8e6d0d17ce7,https://github.com/pallets/click/tree/817ef38339a1495f8d6cab90239db1d1c45c3577,https://github.com/pallets/click/compare/955beb8fd0657c6c3c59b27dfeebb8e6d0d17ce7...817ef38339a1495f8d6cab90239db1d1c45c3577
5,Click,88c97ef2f9c9831f7677886e203fca33b79010d7,ae0572b668b47ecf41e613b9e3e0c14fd9c06f4b,103,https://github.com/pallets/click/issues/103,https://github.com/pallets/click/tree/88c97ef2f9c9831f7677886e203fca33b79010d7,https://github.com/pallets/click/tree/ae0572b668b47ecf41e613b9e3e0c14fd9c06f4b,https://github.com/pallets/click/compare/88c97ef2f9c9831f7677886e203fca33b79010d7...ae0572b668b47ecf41e613b9e3e0c14fd9c06f4b
6,Click,3982fbe5e4210fa40aea8ff77c54223cc9df41d9,9877d9a2a7f53d83d107393a5ce9a930791b8933,107,https://github.com/pallets/click/issues/107,https://github.com/pallets/click/tree/3982fbe5e4210fa40aea8ff77c54223cc9df41d9,https://github.com/pallets/click/tree/9877d9a2a7f53d83d107393a5ce9a930791b8933,https://github.com/pallets/click/compare/3982fbe5e4210fa40aea8ff77c54223cc9df41d9...9877d9a2a7f53d83d107393a5ce9a930791b8933
7,Click,a6136b4079f52f4384fc8321672cf95b780527f8,264fa24d40725f3278d9a783c84cf8bf2d333300,120,https://github.com/pallets/click/issues/120,https://github.com/pallets/click/tree/a6136b4079f52f4384fc8321672cf95b780527f8,https://github.com/pallets/click/tree/264fa24d40725f3278d9a783c84cf8bf2d333300,https://github.com/pallets/click/compare/a6136b4079f52f4384fc8321672cf95b780527f8...264fa24d40725f3278d9a783c84cf8bf2d333300
8,Click,7d776de4eb89a58058567d9992371f58c71c3ad4,fd401cd761a2cf15fbb9a54404860b636a5b558d,122,https://github.com/pallets/click/issues/122,https://github.com/pallets/click/tree/7d776de4eb89a58058567d9992371f58c71c3ad4,https://github.com/pallets/click/tree/fd401cd761a2cf15fbb9a54404860b636a5b558d,https://github.com/pallets/click/compare/7d776de4eb89a58058567d9992371f58c71c3ad4...fd401cd761a2cf15fbb9a54404860b636a5b558d
9,Click,13aa9c53485e53032c658aa47fa7c834cceaa5c7,2b08764844db45d531d400ca4d76af5f91ef3a3f,142,https://github.com/pallets/click/issues/142,https://github.com/pallets/click/tree/13aa9c53485e53032c658aa47fa7c834cceaa5c7,https://github.com/pallets/click/tree/2b08764844db45d531d400ca4d76af5f91ef3a3f,https://github.com/pallets/click/compare/13aa9c53485e53032c658aa47fa7c834cceaa5c7...2b08764844db45d531d400ca4d76af5f91ef3a3f
10,Click,49e1f77a3499a339e8e8b511b433cfce6c6a1fa8,924ea9d09bcd59f4e044366772ffd136cd8f0567,164,https://github.com/pallets/click/issues/164,https://github.com/pallets/click/tree/49e1f77a3499a339e8e8b511b433cfce6c6a1fa8,https://github.com/pallets/click/tree/924ea9d09bcd59f4e044366772ffd136cd8f0567,https://github.com/pallets/click/compare/49e1f77a3499a339e8e8b511b433cfce6c6a1fa8...924ea9d09bcd59f4e044366772ffd136cd8f0567
