bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Codec,81d3e3d2faf883e03354c82d3fe9521d2c172026,c50e0968c219085d042c8d64d30c716830a3622c,CODEC-51,https://issues.apache.org/jira/browse/CODEC-51,https://github.com/apache/commons-codec/tree/81d3e3d2faf883e03354c82d3fe9521d2c172026,https://github.com/apache/commons-codec/tree/c50e0968c219085d042c8d64d30c716830a3622c,https://github.com/apache/commons-codec/compare/81d3e3d2faf883e03354c82d3fe9521d2c172026...c50e0968c219085d042c8d64d30c716830a3622c
2,Codec,fb5e3f403b8483627d9661fcf2985e78c8640c83,e65d67e1c41746e811503255fadacef6de645eec,CODEC-57,https://issues.apache.org/jira/browse/CODEC-57,https://github.com/apache/commons-codec/tree/fb5e3f403b8483627d9661fcf2985e78c8640c83,https://github.com/apache/commons-codec/tree/e65d67e1c41746e811503255fadacef6de645eec,https://github.com/apache/commons-codec/compare/fb5e3f403b8483627d9661fcf2985e78c8640c83...e65d67e1c41746e811503255fadacef6de645eec
3,Codec,e65d67e1c41746e811503255fadacef6de645eec,a50a203248662d2b4fe6f5b6952d3066ab3ab8ba,CODEC-56,https://issues.apache.org/jira/browse/CODEC-56,https://github.com/apache/commons-codec/tree/e65d67e1c41746e811503255fadacef6de645eec,https://github.com/apache/commons-codec/tree/a50a203248662d2b4fe6f5b6952d3066ab3ab8ba,https://github.com/apache/commons-codec/compare/e65d67e1c41746e811503255fadacef6de645eec...a50a203248662d2b4fe6f5b6952d3066ab3ab8ba
4,Codec,3b398a0715d4848a6b71506615b9d230fbf3e60e,f5185b0229f93097be2433386c2d4022e70545d1,CODEC-61,https://issues.apache.org/jira/browse/CODEC-61,https://github.com/apache/commons-codec/tree/3b398a0715d4848a6b71506615b9d230fbf3e60e,https://github.com/apache/commons-codec/tree/f5185b0229f93097be2433386c2d4022e70545d1,https://github.com/apache/commons-codec/compare/3b398a0715d4848a6b71506615b9d230fbf3e60e...f5185b0229f93097be2433386c2d4022e70545d1
5,Codec,292322e9b3e14e4b560ff1ba0b8648a533d064b8,9c0cabead7cf075308b11362172ae1a48d41321c,CODEC-57,https://issues.apache.org/jira/browse/CODEC-57,https://github.com/apache/commons-codec/tree/292322e9b3e14e4b560ff1ba0b8648a533d064b8,https://github.com/apache/commons-codec/tree/9c0cabead7cf075308b11362172ae1a48d41321c,https://github.com/apache/commons-codec/compare/292322e9b3e14e4b560ff1ba0b8648a533d064b8...9c0cabead7cf075308b11362172ae1a48d41321c
6,Codec,9c0cabead7cf075308b11362172ae1a48d41321c,52d82d1dfff8c2b2ded9d843e0b03017af6d747c,CODEC-65,https://issues.apache.org/jira/browse/CODEC-65,https://github.com/apache/commons-codec/tree/9c0cabead7cf075308b11362172ae1a48d41321c,https://github.com/apache/commons-codec/tree/52d82d1dfff8c2b2ded9d843e0b03017af6d747c,https://github.com/apache/commons-codec/compare/9c0cabead7cf075308b11362172ae1a48d41321c...52d82d1dfff8c2b2ded9d843e0b03017af6d747c
7,Codec,52d82d1dfff8c2b2ded9d843e0b03017af6d747c,dce4ad64d1a0b9b62eea667ba4c7c58cea435d2d,CODEC-57,https://issues.apache.org/jira/browse/CODEC-57,https://github.com/apache/commons-codec/tree/52d82d1dfff8c2b2ded9d843e0b03017af6d747c,https://github.com/apache/commons-codec/tree/dce4ad64d1a0b9b62eea667ba4c7c58cea435d2d,https://github.com/apache/commons-codec/compare/52d82d1dfff8c2b2ded9d843e0b03017af6d747c...dce4ad64d1a0b9b62eea667ba4c7c58cea435d2d
8,Codec,8e90d4892135355d6dc65443a2039429d8e34e9a,0148ae493e7a0462e13ea595f2be1dfcc819adba,CODEC-68,https://issues.apache.org/jira/browse/CODEC-68,https://github.com/apache/commons-codec/tree/8e90d4892135355d6dc65443a2039429d8e34e9a,https://github.com/apache/commons-codec/tree/0148ae493e7a0462e13ea595f2be1dfcc819adba,https://github.com/apache/commons-codec/compare/8e90d4892135355d6dc65443a2039429d8e34e9a...0148ae493e7a0462e13ea595f2be1dfcc819adba
9,Codec,981c0002d5accb9ebc056b7a34025fd814c4e17f,cb63f4a959e30de6882b20af10d189c7307a6da2,CODEC-72,https://issues.apache.org/jira/browse/CODEC-72,https://github.com/apache/commons-codec/tree/981c0002d5accb9ebc056b7a34025fd814c4e17f,https://github.com/apache/commons-codec/tree/cb63f4a959e30de6882b20af10d189c7307a6da2,https://github.com/apache/commons-codec/compare/981c0002d5accb9ebc056b7a34025fd814c4e17f...cb63f4a959e30de6882b20af10d189c7307a6da2
10,Codec,2f7454a01e4c2992bffc3d86137e632e80c5027f,b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e,CODEC-77,https://issues.apache.org/jira/browse/CODEC-77,https://github.com/apache/commons-codec/tree/2f7454a01e4c2992bffc3d86137e632e80c5027f,https://github.com/apache/commons-codec/tree/b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e,https://github.com/apache/commons-codec/compare/2f7454a01e4c2992bffc3d86137e632e80c5027f...b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e
