bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Coveralls_maven_plugin,65eaf4303ae476c057dae0f947033629b2b4b4b4,25e2326cb29c032e82cb48076321a71e31a0fe51,1,https://github.com/trautonen/coveralls-maven-plugin/issues/1,https://github.com/trautonen/coveralls-maven-plugin/tree/65eaf4303ae476c057dae0f947033629b2b4b4b4,https://github.com/trautonen/coveralls-maven-plugin/tree/25e2326cb29c032e82cb48076321a71e31a0fe51,https://github.com/trautonen/coveralls-maven-plugin/compare/65eaf4303ae476c057dae0f947033629b2b4b4b4...25e2326cb29c032e82cb48076321a71e31a0fe51
2,Coveralls_maven_plugin,25e2326cb29c032e82cb48076321a71e31a0fe51,c9e3af0fc817f33afc9fa7e7062058d490e06b21,1,https://github.com/trautonen/coveralls-maven-plugin/issues/1,https://github.com/trautonen/coveralls-maven-plugin/tree/25e2326cb29c032e82cb48076321a71e31a0fe51,https://github.com/trautonen/coveralls-maven-plugin/tree/c9e3af0fc817f33afc9fa7e7062058d490e06b21,https://github.com/trautonen/coveralls-maven-plugin/compare/25e2326cb29c032e82cb48076321a71e31a0fe51...c9e3af0fc817f33afc9fa7e7062058d490e06b21
3,Coveralls_maven_plugin,95da85ccd189a3282f58aa63c11781c1b108c2a5,07d7eeb2ccb70d36a0487ace0cde3de29de7eed9,4,https://github.com/trautonen/coveralls-maven-plugin/issues/4,https://github.com/trautonen/coveralls-maven-plugin/tree/95da85ccd189a3282f58aa63c11781c1b108c2a5,https://github.com/trautonen/coveralls-maven-plugin/tree/07d7eeb2ccb70d36a0487ace0cde3de29de7eed9,https://github.com/trautonen/coveralls-maven-plugin/compare/95da85ccd189a3282f58aa63c11781c1b108c2a5...07d7eeb2ccb70d36a0487ace0cde3de29de7eed9
4,Coveralls_maven_plugin,8aaaa5d67916b021fd1fa1116527510938486d5e,9e16d800cddd58be07b9c746c454a2f8556ae98d,10,https://github.com/trautonen/coveralls-maven-plugin/issues/10,https://github.com/trautonen/coveralls-maven-plugin/tree/8aaaa5d67916b021fd1fa1116527510938486d5e,https://github.com/trautonen/coveralls-maven-plugin/tree/9e16d800cddd58be07b9c746c454a2f8556ae98d,https://github.com/trautonen/coveralls-maven-plugin/compare/8aaaa5d67916b021fd1fa1116527510938486d5e...9e16d800cddd58be07b9c746c454a2f8556ae98d
5,Coveralls_maven_plugin,126c8e0d3875e4c78eac4f0ab53d96781af91da6,a69c6087815e8a76b6018cc25d05324341fb6366,8,https://github.com/trautonen/coveralls-maven-plugin/issues/8,https://github.com/trautonen/coveralls-maven-plugin/tree/126c8e0d3875e4c78eac4f0ab53d96781af91da6,https://github.com/trautonen/coveralls-maven-plugin/tree/a69c6087815e8a76b6018cc25d05324341fb6366,https://github.com/trautonen/coveralls-maven-plugin/compare/126c8e0d3875e4c78eac4f0ab53d96781af91da6...a69c6087815e8a76b6018cc25d05324341fb6366
6,Coveralls_maven_plugin,c62da6c45ff37ae8c45bb1469f053a3f534ae8ab,cbbd1e3e0ce1ad2702e78b99b7bf44517346f5f8,13,https://github.com/trautonen/coveralls-maven-plugin/issues/13,https://github.com/trautonen/coveralls-maven-plugin/tree/c62da6c45ff37ae8c45bb1469f053a3f534ae8ab,https://github.com/trautonen/coveralls-maven-plugin/tree/cbbd1e3e0ce1ad2702e78b99b7bf44517346f5f8,https://github.com/trautonen/coveralls-maven-plugin/compare/c62da6c45ff37ae8c45bb1469f053a3f534ae8ab...cbbd1e3e0ce1ad2702e78b99b7bf44517346f5f8
7,Coveralls_maven_plugin,cbbd1e3e0ce1ad2702e78b99b7bf44517346f5f8,b42861ae147755ba6a4f35de2739840a332be1fb,13,https://github.com/trautonen/coveralls-maven-plugin/issues/13,https://github.com/trautonen/coveralls-maven-plugin/tree/cbbd1e3e0ce1ad2702e78b99b7bf44517346f5f8,https://github.com/trautonen/coveralls-maven-plugin/tree/b42861ae147755ba6a4f35de2739840a332be1fb,https://github.com/trautonen/coveralls-maven-plugin/compare/cbbd1e3e0ce1ad2702e78b99b7bf44517346f5f8...b42861ae147755ba6a4f35de2739840a332be1fb
8,Coveralls_maven_plugin,b42861ae147755ba6a4f35de2739840a332be1fb,ca4de7eaa63dd14bedc8406c8a75a3d1aeaccd7a,12,https://github.com/trautonen/coveralls-maven-plugin/issues/12,https://github.com/trautonen/coveralls-maven-plugin/tree/b42861ae147755ba6a4f35de2739840a332be1fb,https://github.com/trautonen/coveralls-maven-plugin/tree/ca4de7eaa63dd14bedc8406c8a75a3d1aeaccd7a,https://github.com/trautonen/coveralls-maven-plugin/compare/b42861ae147755ba6a4f35de2739840a332be1fb...ca4de7eaa63dd14bedc8406c8a75a3d1aeaccd7a
9,Coveralls_maven_plugin,4a752cb75726c020680baa187748a292b71c226c,d557ab8d06f10e85bbc9d017e9e785f7c2517939,9,https://github.com/trautonen/coveralls-maven-plugin/issues/9,https://github.com/trautonen/coveralls-maven-plugin/tree/4a752cb75726c020680baa187748a292b71c226c,https://github.com/trautonen/coveralls-maven-plugin/tree/d557ab8d06f10e85bbc9d017e9e785f7c2517939,https://github.com/trautonen/coveralls-maven-plugin/compare/4a752cb75726c020680baa187748a292b71c226c...d557ab8d06f10e85bbc9d017e9e785f7c2517939
10,Coveralls_maven_plugin,e5202f2463bbc7723911cbe57a7aacc22162d2e1,43f52a0c3b18c024e8bac603ae5c95ecf331aa1b,15,https://github.com/trautonen/coveralls-maven-plugin/issues/15,https://github.com/trautonen/coveralls-maven-plugin/tree/e5202f2463bbc7723911cbe57a7aacc22162d2e1,https://github.com/trautonen/coveralls-maven-plugin/tree/43f52a0c3b18c024e8bac603ae5c95ecf331aa1b,https://github.com/trautonen/coveralls-maven-plugin/compare/e5202f2463bbc7723911cbe57a7aacc22162d2e1...43f52a0c3b18c024e8bac603ae5c95ecf331aa1b
11,Coveralls_maven_plugin,43f52a0c3b18c024e8bac603ae5c95ecf331aa1b,ab542ceaf9fb9824c063035da11550d1b6c6d397,15,https://github.com/trautonen/coveralls-maven-plugin/issues/15,https://github.com/trautonen/coveralls-maven-plugin/tree/43f52a0c3b18c024e8bac603ae5c95ecf331aa1b,https://github.com/trautonen/coveralls-maven-plugin/tree/ab542ceaf9fb9824c063035da11550d1b6c6d397,https://github.com/trautonen/coveralls-maven-plugin/compare/43f52a0c3b18c024e8bac603ae5c95ecf331aa1b...ab542ceaf9fb9824c063035da11550d1b6c6d397
12,Coveralls_maven_plugin,78fac3d88634ba96d66a4f98b9c73ae48b802948,4168307f266187e061620aa517d3351e72278c96,24,https://github.com/trautonen/coveralls-maven-plugin/issues/24,https://github.com/trautonen/coveralls-maven-plugin/tree/78fac3d88634ba96d66a4f98b9c73ae48b802948,https://github.com/trautonen/coveralls-maven-plugin/tree/4168307f266187e061620aa517d3351e72278c96,https://github.com/trautonen/coveralls-maven-plugin/compare/78fac3d88634ba96d66a4f98b9c73ae48b802948...4168307f266187e061620aa517d3351e72278c96
13,Coveralls_maven_plugin,60bebecd258672b12ecb2b90cfaf2139f51bf71f,cd746de62edec253481b175d65513ae588f2edda,22,https://github.com/trautonen/coveralls-maven-plugin/issues/22,https://github.com/trautonen/coveralls-maven-plugin/tree/60bebecd258672b12ecb2b90cfaf2139f51bf71f,https://github.com/trautonen/coveralls-maven-plugin/tree/cd746de62edec253481b175d65513ae588f2edda,https://github.com/trautonen/coveralls-maven-plugin/compare/60bebecd258672b12ecb2b90cfaf2139f51bf71f...cd746de62edec253481b175d65513ae588f2edda
14,Coveralls_maven_plugin,504a51f7ede5aea9c07f276879bccd8408ed0d3c,9adf868ca72912d54d75675f41bacffcf7b4810f,28,https://github.com/trautonen/coveralls-maven-plugin/issues/28,https://github.com/trautonen/coveralls-maven-plugin/tree/504a51f7ede5aea9c07f276879bccd8408ed0d3c,https://github.com/trautonen/coveralls-maven-plugin/tree/9adf868ca72912d54d75675f41bacffcf7b4810f,https://github.com/trautonen/coveralls-maven-plugin/compare/504a51f7ede5aea9c07f276879bccd8408ed0d3c...9adf868ca72912d54d75675f41bacffcf7b4810f
15,Coveralls_maven_plugin,9adf868ca72912d54d75675f41bacffcf7b4810f,c24d6ddfc14b33619929845d7bf0bf835f023514,30,https://github.com/trautonen/coveralls-maven-plugin/issues/30,https://github.com/trautonen/coveralls-maven-plugin/tree/9adf868ca72912d54d75675f41bacffcf7b4810f,https://github.com/trautonen/coveralls-maven-plugin/tree/c24d6ddfc14b33619929845d7bf0bf835f023514,https://github.com/trautonen/coveralls-maven-plugin/compare/9adf868ca72912d54d75675f41bacffcf7b4810f...c24d6ddfc14b33619929845d7bf0bf835f023514
16,Coveralls_maven_plugin,bb450dd410dbec199c1f05630cc1b0e1c8000e15,bf09c8d6dd5aac8d6eae17495173892d11da8342,31,https://github.com/trautonen/coveralls-maven-plugin/issues/31,https://github.com/trautonen/coveralls-maven-plugin/tree/bb450dd410dbec199c1f05630cc1b0e1c8000e15,https://github.com/trautonen/coveralls-maven-plugin/tree/bf09c8d6dd5aac8d6eae17495173892d11da8342,https://github.com/trautonen/coveralls-maven-plugin/compare/bb450dd410dbec199c1f05630cc1b0e1c8000e15...bf09c8d6dd5aac8d6eae17495173892d11da8342
17,Coveralls_maven_plugin,b072b3091419303ed84e6338bbbe52497b39dda5,19b562fd86154a0188c393c476390724fc641b33,46,https://github.com/trautonen/coveralls-maven-plugin/issues/46,https://github.com/trautonen/coveralls-maven-plugin/tree/b072b3091419303ed84e6338bbbe52497b39dda5,https://github.com/trautonen/coveralls-maven-plugin/tree/19b562fd86154a0188c393c476390724fc641b33,https://github.com/trautonen/coveralls-maven-plugin/compare/b072b3091419303ed84e6338bbbe52497b39dda5...19b562fd86154a0188c393c476390724fc641b33
