bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Cypress,3b5a245ec4aa9bf9f348fbc4bc2f0decc7c4a692,309c31f89905809d9a4122a86e5d289e9f6c95a1,22034,https://github.com/cypress-io/cypress/issues/22034,https://github.com/cypress-io/cypress/tree/3b5a245ec4aa9bf9f348fbc4bc2f0decc7c4a692,https://github.com/cypress-io/cypress/tree/309c31f89905809d9a4122a86e5d289e9f6c95a1,https://github.com/cypress-io/cypress/compare/3b5a245ec4aa9bf9f348fbc4bc2f0decc7c4a692...309c31f89905809d9a4122a86e5d289e9f6c95a1
2,Cypress,eab950bec013f9caf5836e3fa58670fde25e2684,f272c635c68cc183f1a6beb0002636021e277dbd,21815,https://github.com/cypress-io/cypress/issues/21815,https://github.com/cypress-io/cypress/tree/eab950bec013f9caf5836e3fa58670fde25e2684,https://github.com/cypress-io/cypress/tree/f272c635c68cc183f1a6beb0002636021e277dbd,https://github.com/cypress-io/cypress/compare/eab950bec013f9caf5836e3fa58670fde25e2684...f272c635c68cc183f1a6beb0002636021e277dbd
3,Cypress,a869d5dd2890666220efea807e9a65f787d256bf,af6be6f27d8547bbfbed60cd3a7524861d842548,23673,https://github.com/cypress-io/cypress/issues/23673,https://github.com/cypress-io/cypress/tree/a869d5dd2890666220efea807e9a65f787d256bf,https://github.com/cypress-io/cypress/tree/af6be6f27d8547bbfbed60cd3a7524861d842548,https://github.com/cypress-io/cypress/compare/a869d5dd2890666220efea807e9a65f787d256bf...af6be6f27d8547bbfbed60cd3a7524861d842548
4,Cypress,6209b91865d2d1de8a1d7fbb8597bfb09419d33a,067e4fa304ef16b6efcc0ff2ff7b64c6ce65a01d,23153,https://github.com/cypress-io/cypress/issues/23153,https://github.com/cypress-io/cypress/tree/6209b91865d2d1de8a1d7fbb8597bfb09419d33a,https://github.com/cypress-io/cypress/tree/067e4fa304ef16b6efcc0ff2ff7b64c6ce65a01d,https://github.com/cypress-io/cypress/compare/6209b91865d2d1de8a1d7fbb8597bfb09419d33a...067e4fa304ef16b6efcc0ff2ff7b64c6ce65a01d
5,Cypress,f3348bcb75fa8f87ee96dc1b82cab54ba957ccd8,3e5fabce2cc02cbb7cc78fe511965112171a939c,28789,https://github.com/cypress-io/cypress/issues/28789,https://github.com/cypress-io/cypress/tree/f3348bcb75fa8f87ee96dc1b82cab54ba957ccd8,https://github.com/cypress-io/cypress/tree/3e5fabce2cc02cbb7cc78fe511965112171a939c,https://github.com/cypress-io/cypress/compare/f3348bcb75fa8f87ee96dc1b82cab54ba957ccd8...3e5fabce2cc02cbb7cc78fe511965112171a939c
6,Cypress,3e5fabce2cc02cbb7cc78fe511965112171a939c,5d42406610295e0c4f7033c943bcbe44fa675f08,28788,https://github.com/cypress-io/cypress/issues/28788,https://github.com/cypress-io/cypress/tree/3e5fabce2cc02cbb7cc78fe511965112171a939c,https://github.com/cypress-io/cypress/tree/5d42406610295e0c4f7033c943bcbe44fa675f08,https://github.com/cypress-io/cypress/compare/3e5fabce2cc02cbb7cc78fe511965112171a939c...5d42406610295e0c4f7033c943bcbe44fa675f08
7,Cypress,f3bdb9f5920834b87fb7c8efa45c9ce781d0f9c7,972c55514d43e34bcf8c060497c64d5cf0677166,29034,https://github.com/cypress-io/cypress/issues/29034,https://github.com/cypress-io/cypress/tree/f3bdb9f5920834b87fb7c8efa45c9ce781d0f9c7,https://github.com/cypress-io/cypress/tree/972c55514d43e34bcf8c060497c64d5cf0677166,https://github.com/cypress-io/cypress/compare/f3bdb9f5920834b87fb7c8efa45c9ce781d0f9c7...972c55514d43e34bcf8c060497c64d5cf0677166
8,Cypress,297abbbd52fd93b326074f914c7ae751f3ee7cb7,3a3d877980c91a5a492eb65df7f43a81503b4d08,25839,https://github.com/cypress-io/cypress/issues/25839,https://github.com/cypress-io/cypress/tree/297abbbd52fd93b326074f914c7ae751f3ee7cb7,https://github.com/cypress-io/cypress/tree/3a3d877980c91a5a492eb65df7f43a81503b4d08,https://github.com/cypress-io/cypress/compare/297abbbd52fd93b326074f914c7ae751f3ee7cb7...3a3d877980c91a5a492eb65df7f43a81503b4d08
9,Cypress,59323fb46efaff5ce4829a9b824a4c1439b14502,971b7ae3d7d3aa0fd608550e9d896b3d2b8c8634,31303,https://github.com/cypress-io/cypress/issues/31303,https://github.com/cypress-io/cypress/tree/59323fb46efaff5ce4829a9b824a4c1439b14502,https://github.com/cypress-io/cypress/tree/971b7ae3d7d3aa0fd608550e9d896b3d2b8c8634,https://github.com/cypress-io/cypress/compare/59323fb46efaff5ce4829a9b824a4c1439b14502...971b7ae3d7d3aa0fd608550e9d896b3d2b8c8634
10,Cypress,60d4517465de29d4253e25c4bfd9907c0cd1c9f4,cabdae708d43464f4f7e86e6f400823dcc95abe6,26827,https://github.com/cypress-io/cypress/issues/26827,https://github.com/cypress-io/cypress/tree/60d4517465de29d4253e25c4bfd9907c0cd1c9f4,https://github.com/cypress-io/cypress/tree/cabdae708d43464f4f7e86e6f400823dcc95abe6,https://github.com/cypress-io/cypress/compare/60d4517465de29d4253e25c4bfd9907c0cd1c9f4...cabdae708d43464f4f7e86e6f400823dcc95abe6
11,Cypress,6e8dc8e56b985e5a05cddf53cdbdb6dc1ccb0e6b,1804d35316fd7184d223f155d39b126d54cf3ad4,32476,https://github.com/cypress-io/cypress/issues/32476,https://github.com/cypress-io/cypress/tree/6e8dc8e56b985e5a05cddf53cdbdb6dc1ccb0e6b,https://github.com/cypress-io/cypress/tree/1804d35316fd7184d223f155d39b126d54cf3ad4,https://github.com/cypress-io/cypress/compare/6e8dc8e56b985e5a05cddf53cdbdb6dc1ccb0e6b...1804d35316fd7184d223f155d39b126d54cf3ad4
