bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,CypressTestingLibrary,c1bce2831b508b49afaf8578fc70537d47f23ea9,f6131493d64629b1f89c3a5bb4c477bfb0e82d45,12,https://github.com/testing-library/cypress-testing-library/issues/12,https://github.com/testing-library/cypress-testing-library/tree/c1bce2831b508b49afaf8578fc70537d47f23ea9,https://github.com/testing-library/cypress-testing-library/tree/f6131493d64629b1f89c3a5bb4c477bfb0e82d45,https://github.com/testing-library/cypress-testing-library/compare/c1bce2831b508b49afaf8578fc70537d47f23ea9...f6131493d64629b1f89c3a5bb4c477bfb0e82d45
2,CypressTestingLibrary,f6131493d64629b1f89c3a5bb4c477bfb0e82d45,d2598dc4cef49fbf21ed5bdef4ee21de4eef3e14,17,https://github.com/testing-library/cypress-testing-library/issues/17,https://github.com/testing-library/cypress-testing-library/tree/f6131493d64629b1f89c3a5bb4c477bfb0e82d45,https://github.com/testing-library/cypress-testing-library/tree/d2598dc4cef49fbf21ed5bdef4ee21de4eef3e14,https://github.com/testing-library/cypress-testing-library/compare/f6131493d64629b1f89c3a5bb4c477bfb0e82d45...d2598dc4cef49fbf21ed5bdef4ee21de4eef3e14
3,CypressTestingLibrary,d782f0328a64276e18dbbb15bfe63fae2162c319,16f8c653f08a8f8d345bbf6403604370db6554c6,19,https://github.com/testing-library/cypress-testing-library/issues/19,https://github.com/testing-library/cypress-testing-library/tree/d782f0328a64276e18dbbb15bfe63fae2162c319,https://github.com/testing-library/cypress-testing-library/tree/16f8c653f08a8f8d345bbf6403604370db6554c6,https://github.com/testing-library/cypress-testing-library/compare/d782f0328a64276e18dbbb15bfe63fae2162c319...16f8c653f08a8f8d345bbf6403604370db6554c6
4,CypressTestingLibrary,f918436431e2936df707016e3d1b8cb6d18a0c0d,fd3b321b46680ecbf8e8eff1c3e535472a1d3b82,42,https://github.com/testing-library/cypress-testing-library/issues/42,https://github.com/testing-library/cypress-testing-library/tree/f918436431e2936df707016e3d1b8cb6d18a0c0d,https://github.com/testing-library/cypress-testing-library/tree/fd3b321b46680ecbf8e8eff1c3e535472a1d3b82,https://github.com/testing-library/cypress-testing-library/compare/f918436431e2936df707016e3d1b8cb6d18a0c0d...fd3b321b46680ecbf8e8eff1c3e535472a1d3b82
5,CypressTestingLibrary,5f282c74e531af335b126210f151d2f80e705ebe,c0059e3ce72af05d29b203ef075ac31619e40b69,68,https://github.com/testing-library/cypress-testing-library/issues/68,https://github.com/testing-library/cypress-testing-library/tree/5f282c74e531af335b126210f151d2f80e705ebe,https://github.com/testing-library/cypress-testing-library/tree/c0059e3ce72af05d29b203ef075ac31619e40b69,https://github.com/testing-library/cypress-testing-library/compare/5f282c74e531af335b126210f151d2f80e705ebe...c0059e3ce72af05d29b203ef075ac31619e40b69
6,CypressTestingLibrary,e5cb2a584b572afc56efe6ed8ef9860c6661ea27,547389d8605b699687546567914a4598da5a0797,103,https://github.com/testing-library/cypress-testing-library/issues/103,https://github.com/testing-library/cypress-testing-library/tree/e5cb2a584b572afc56efe6ed8ef9860c6661ea27,https://github.com/testing-library/cypress-testing-library/tree/547389d8605b699687546567914a4598da5a0797,https://github.com/testing-library/cypress-testing-library/compare/e5cb2a584b572afc56efe6ed8ef9860c6661ea27...547389d8605b699687546567914a4598da5a0797
7,CypressTestingLibrary,5664b09a01f49c33998111e37dbab48b4283f28e,e052ecee58219a2f1e8515c44e375529309edc64,118,https://github.com/testing-library/cypress-testing-library/issues/118,https://github.com/testing-library/cypress-testing-library/tree/5664b09a01f49c33998111e37dbab48b4283f28e,https://github.com/testing-library/cypress-testing-library/tree/e052ecee58219a2f1e8515c44e375529309edc64,https://github.com/testing-library/cypress-testing-library/compare/5664b09a01f49c33998111e37dbab48b4283f28e...e052ecee58219a2f1e8515c44e375529309edc64
8,CypressTestingLibrary,d871be2bfbf6cb3d4c2dbcafbd4a44cec22e95cd,ab34b09c5bb7938ff15e2f3f0d2460419a94acac,117,https://github.com/testing-library/cypress-testing-library/issues/117,https://github.com/testing-library/cypress-testing-library/tree/d871be2bfbf6cb3d4c2dbcafbd4a44cec22e95cd,https://github.com/testing-library/cypress-testing-library/tree/ab34b09c5bb7938ff15e2f3f0d2460419a94acac,https://github.com/testing-library/cypress-testing-library/compare/d871be2bfbf6cb3d4c2dbcafbd4a44cec22e95cd...ab34b09c5bb7938ff15e2f3f0d2460419a94acac
9,CypressTestingLibrary,77487843cc1f571603ddc2988c23e95145a6b328,6cdcfc2a95934dc064a2c4fbd14d168c0c490e97,113,https://github.com/testing-library/cypress-testing-library/issues/113,https://github.com/testing-library/cypress-testing-library/tree/77487843cc1f571603ddc2988c23e95145a6b328,https://github.com/testing-library/cypress-testing-library/tree/6cdcfc2a95934dc064a2c4fbd14d168c0c490e97,https://github.com/testing-library/cypress-testing-library/compare/77487843cc1f571603ddc2988c23e95145a6b328...6cdcfc2a95934dc064a2c4fbd14d168c0c490e97
10,CypressTestingLibrary,5df5dd5b3769eb06d13bbac793b1714175b5860e,5fe96661570ec1cfafe7890baaa091c27603d92e,188,https://github.com/testing-library/cypress-testing-library/issues/188,https://github.com/testing-library/cypress-testing-library/tree/5df5dd5b3769eb06d13bbac793b1714175b5860e,https://github.com/testing-library/cypress-testing-library/tree/5fe96661570ec1cfafe7890baaa091c27603d92e,https://github.com/testing-library/cypress-testing-library/compare/5df5dd5b3769eb06d13bbac793b1714175b5860e...5fe96661570ec1cfafe7890baaa091c27603d92e
11,CypressTestingLibrary,1d62d1b115c35f09c1d7307f252630c77328f9dd,e9fdfae6e6b0ec4fc277b22f947e6aeb21f07669,232,https://github.com/testing-library/cypress-testing-library/issues/232,https://github.com/testing-library/cypress-testing-library/tree/1d62d1b115c35f09c1d7307f252630c77328f9dd,https://github.com/testing-library/cypress-testing-library/tree/e9fdfae6e6b0ec4fc277b22f947e6aeb21f07669,https://github.com/testing-library/cypress-testing-library/compare/1d62d1b115c35f09c1d7307f252630c77328f9dd...e9fdfae6e6b0ec4fc277b22f947e6aeb21f07669
12,CypressTestingLibrary,e9fdfae6e6b0ec4fc277b22f947e6aeb21f07669,8d66009f1dc2a41743c20114fe94c6bfc4c53b50,217,https://github.com/testing-library/cypress-testing-library/issues/217,https://github.com/testing-library/cypress-testing-library/tree/e9fdfae6e6b0ec4fc277b22f947e6aeb21f07669,https://github.com/testing-library/cypress-testing-library/tree/8d66009f1dc2a41743c20114fe94c6bfc4c53b50,https://github.com/testing-library/cypress-testing-library/compare/e9fdfae6e6b0ec4fc277b22f947e6aeb21f07669...8d66009f1dc2a41743c20114fe94c6bfc4c53b50
