bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Deft,dca36d10a7de7ff4c1000719cb8f868506d9ac61,94e95df77ad17489ee5e94a0ee1dcbc66dc0aa29,9,https://github.com/rschildmeijer/deft/issues/9,https://github.com/rschildmeijer/def/tree/dca36d10a7de7ff4c1000719cb8f868506d9ac61,https://github.com/rschildmeijer/def/tree/94e95df77ad17489ee5e94a0ee1dcbc66dc0aa29,https://github.com/rschildmeijer/def/compare/dca36d10a7de7ff4c1000719cb8f868506d9ac61...94e95df77ad17489ee5e94a0ee1dcbc66dc0aa29
2,Deft,ad9ad2e196f97237a0bef61f43bacbc06256973e,8909b956df4c7d8296003b0fc31edce2cc20e781,4,https://github.com/rschildmeijer/deft/issues/4,https://github.com/rschildmeijer/def/tree/ad9ad2e196f97237a0bef61f43bacbc06256973e,https://github.com/rschildmeijer/def/tree/8909b956df4c7d8296003b0fc31edce2cc20e781,https://github.com/rschildmeijer/def/compare/ad9ad2e196f97237a0bef61f43bacbc06256973e...8909b956df4c7d8296003b0fc31edce2cc20e781
3,Deft,8909b956df4c7d8296003b0fc31edce2cc20e781,5f4b647d3a14556c363a2de98344acc9ed995592,17,https://github.com/rschildmeijer/deft/issues/17,https://github.com/rschildmeijer/def/tree/8909b956df4c7d8296003b0fc31edce2cc20e781,https://github.com/rschildmeijer/def/tree/5f4b647d3a14556c363a2de98344acc9ed995592,https://github.com/rschildmeijer/def/compare/8909b956df4c7d8296003b0fc31edce2cc20e781...5f4b647d3a14556c363a2de98344acc9ed995592
4,Deft,5f4b647d3a14556c363a2de98344acc9ed995592,51b61ad8714f30ff5f34a76954c553bf2569e228,11,https://github.com/rschildmeijer/deft/issues/11,https://github.com/rschildmeijer/def/tree/5f4b647d3a14556c363a2de98344acc9ed995592,https://github.com/rschildmeijer/def/tree/51b61ad8714f30ff5f34a76954c553bf2569e228,https://github.com/rschildmeijer/def/compare/5f4b647d3a14556c363a2de98344acc9ed995592...51b61ad8714f30ff5f34a76954c553bf2569e228
5,Deft,f7efbe636c3774b2d72df0b262d5629ea9f25cb4,bd5b67a11e0aed842b88344cedfd5d3136e2a801,26,https://github.com/rschildmeijer/deft/issues/26,https://github.com/rschildmeijer/def/tree/f7efbe636c3774b2d72df0b262d5629ea9f25cb4,https://github.com/rschildmeijer/def/tree/bd5b67a11e0aed842b88344cedfd5d3136e2a801,https://github.com/rschildmeijer/def/compare/f7efbe636c3774b2d72df0b262d5629ea9f25cb4...bd5b67a11e0aed842b88344cedfd5d3136e2a801
6,Deft,bd5b67a11e0aed842b88344cedfd5d3136e2a801,d0630135eaca3fea2720a3dcd3e95e4401a8e5d2,11,https://github.com/rschildmeijer/deft/issues/11,https://github.com/rschildmeijer/def/tree/bd5b67a11e0aed842b88344cedfd5d3136e2a801,https://github.com/rschildmeijer/def/tree/d0630135eaca3fea2720a3dcd3e95e4401a8e5d2,https://github.com/rschildmeijer/def/compare/bd5b67a11e0aed842b88344cedfd5d3136e2a801...d0630135eaca3fea2720a3dcd3e95e4401a8e5d2
7,Deft,b926172efb5ac921679f9ce1c30eeb935b87fa91,2e71b0578f223583ab56536084746304351dc12b,29,https://github.com/rschildmeijer/deft/issues/29,https://github.com/rschildmeijer/def/tree/b926172efb5ac921679f9ce1c30eeb935b87fa91,https://github.com/rschildmeijer/def/tree/2e71b0578f223583ab56536084746304351dc12b,https://github.com/rschildmeijer/def/compare/b926172efb5ac921679f9ce1c30eeb935b87fa91...2e71b0578f223583ab56536084746304351dc12b
8,Deft,21e78897c45140003cdabf04294d8931f05461c8,700c8f362c03dbf6af0f785c361ada72a67053cd,24,https://github.com/rschildmeijer/deft/issues/24,https://github.com/rschildmeijer/def/tree/21e78897c45140003cdabf04294d8931f05461c8,https://github.com/rschildmeijer/def/tree/700c8f362c03dbf6af0f785c361ada72a67053cd,https://github.com/rschildmeijer/def/compare/21e78897c45140003cdabf04294d8931f05461c8...700c8f362c03dbf6af0f785c361ada72a67053cd
9,Deft,1bca70a6722911d101ab5cd0b347f2a85cd83941,5d14cd50e0bbf93898c49d3f1186194713c90b39,34,https://github.com/rschildmeijer/deft/issues/34,https://github.com/rschildmeijer/def/tree/1bca70a6722911d101ab5cd0b347f2a85cd83941,https://github.com/rschildmeijer/def/tree/5d14cd50e0bbf93898c49d3f1186194713c90b39,https://github.com/rschildmeijer/def/compare/1bca70a6722911d101ab5cd0b347f2a85cd83941...5d14cd50e0bbf93898c49d3f1186194713c90b39
10,Deft,058dcee388483cbd186799292379510f11547585,6c43d6965f6440696bab371a2615b295c2ef897e,37,https://github.com/rschildmeijer/deft/issues/37,https://github.com/rschildmeijer/def/tree/058dcee388483cbd186799292379510f11547585,https://github.com/rschildmeijer/def/tree/6c43d6965f6440696bab371a2615b295c2ef897e,https://github.com/rschildmeijer/def/compare/058dcee388483cbd186799292379510f11547585...6c43d6965f6440696bab371a2615b295c2ef897e
