bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Deltaspike_api,e92ba1c5ff155a1908f7b2cca87db0d75a06bafd,e9cfab5b735264bd40cb2719442d728cf09ddf6f,DELTASPIKE-63,https://issues.apache.org/jira/browse/DELTASPIKE-63,https://github.com/apache/deltaspike/tree/e92ba1c5ff155a1908f7b2cca87db0d75a06bafd,https://github.com/apache/deltaspike/tree/e9cfab5b735264bd40cb2719442d728cf09ddf6f,https://github.com/apache/deltaspike/compare/e92ba1c5ff155a1908f7b2cca87db0d75a06bafd...e9cfab5b735264bd40cb2719442d728cf09ddf6f
2,Deltaspike_api,53bbc13cfa2012d16371badc855d5dff126d6060,1e2dd6712241cdfad81786f10015cf2a7b96d723,DELTASPIKE-95,https://issues.apache.org/jira/browse/DELTASPIKE-95,https://github.com/apache/deltaspike/tree/53bbc13cfa2012d16371badc855d5dff126d6060,https://github.com/apache/deltaspike/tree/1e2dd6712241cdfad81786f10015cf2a7b96d723,https://github.com/apache/deltaspike/compare/53bbc13cfa2012d16371badc855d5dff126d6060...1e2dd6712241cdfad81786f10015cf2a7b96d723
3,Deltaspike_api,973586980f1cfc0902e9824f5c63e1d976015812,35eb438923bb817dae17f75026d108641ff6aabb,DELTASPIKE-167,https://issues.apache.org/jira/browse/DELTASPIKE-167,https://github.com/apache/deltaspike/tree/973586980f1cfc0902e9824f5c63e1d976015812,https://github.com/apache/deltaspike/tree/35eb438923bb817dae17f75026d108641ff6aabb,https://github.com/apache/deltaspike/compare/973586980f1cfc0902e9824f5c63e1d976015812...35eb438923bb817dae17f75026d108641ff6aabb
4,Deltaspike_api,d8e7dc003abbd59049f1383028219dcc5eef84ae,d1273355f53340e08ae306d4e50888b7e454fb26,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/d8e7dc003abbd59049f1383028219dcc5eef84ae,https://github.com/apache/deltaspike/tree/d1273355f53340e08ae306d4e50888b7e454fb26,https://github.com/apache/deltaspike/compare/d8e7dc003abbd59049f1383028219dcc5eef84ae...d1273355f53340e08ae306d4e50888b7e454fb26
5,Deltaspike_api,d1273355f53340e08ae306d4e50888b7e454fb26,5ef267be3e0f7b39d4c430e7e588259551a82284,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/d1273355f53340e08ae306d4e50888b7e454fb26,https://github.com/apache/deltaspike/tree/5ef267be3e0f7b39d4c430e7e588259551a82284,https://github.com/apache/deltaspike/compare/d1273355f53340e08ae306d4e50888b7e454fb26...5ef267be3e0f7b39d4c430e7e588259551a82284
6,Deltaspike_api,5ef267be3e0f7b39d4c430e7e588259551a82284,94d0b8f129e8ecd6ab7a3c582f7e8fec7478a934,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/5ef267be3e0f7b39d4c430e7e588259551a82284,https://github.com/apache/deltaspike/tree/94d0b8f129e8ecd6ab7a3c582f7e8fec7478a934,https://github.com/apache/deltaspike/compare/5ef267be3e0f7b39d4c430e7e588259551a82284...94d0b8f129e8ecd6ab7a3c582f7e8fec7478a934
7,Deltaspike_api,94d0b8f129e8ecd6ab7a3c582f7e8fec7478a934,617bece9b867912b6e868b086f0604a13721191e,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/94d0b8f129e8ecd6ab7a3c582f7e8fec7478a934,https://github.com/apache/deltaspike/tree/617bece9b867912b6e868b086f0604a13721191e,https://github.com/apache/deltaspike/compare/94d0b8f129e8ecd6ab7a3c582f7e8fec7478a934...617bece9b867912b6e868b086f0604a13721191e
8,Deltaspike_api,74016a168f9805f4a6449e93a2fcb630f6316f4c,1b7e45112cbddf4904914a4ab6b094cc570fd040,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/74016a168f9805f4a6449e93a2fcb630f6316f4c,https://github.com/apache/deltaspike/tree/1b7e45112cbddf4904914a4ab6b094cc570fd040,https://github.com/apache/deltaspike/compare/74016a168f9805f4a6449e93a2fcb630f6316f4c...1b7e45112cbddf4904914a4ab6b094cc570fd040
9,Deltaspike_api,1b7e45112cbddf4904914a4ab6b094cc570fd040,81c12d4f13b0b238091f7d7672db0b5cfc0f9e85,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/1b7e45112cbddf4904914a4ab6b094cc570fd040,https://github.com/apache/deltaspike/tree/81c12d4f13b0b238091f7d7672db0b5cfc0f9e85,https://github.com/apache/deltaspike/compare/1b7e45112cbddf4904914a4ab6b094cc570fd040...81c12d4f13b0b238091f7d7672db0b5cfc0f9e85
10,Deltaspike_api,6d7f4c93634c49da917ad9c75e1622eaba3dcc79,c0f45e4ba2c89cb4318f43bbf3d21ef66eed4261,DELTASPIKE-191,https://issues.apache.org/jira/browse/DELTASPIKE-191,https://github.com/apache/deltaspike/tree/6d7f4c93634c49da917ad9c75e1622eaba3dcc79,https://github.com/apache/deltaspike/tree/c0f45e4ba2c89cb4318f43bbf3d21ef66eed4261,https://github.com/apache/deltaspike/compare/6d7f4c93634c49da917ad9c75e1622eaba3dcc79...c0f45e4ba2c89cb4318f43bbf3d21ef66eed4261
