bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Devise,cbfeb59fb37f2f40c649125b80eb09a1c4f6aded,4e674ab9a0945da7a0cf0590c15c606e533a7c59,200,https://github.com/heartcombo/devise/issues/200,https://github.com/heartcombo/devise/tree/cbfeb59fb37f2f40c649125b80eb09a1c4f6aded,https://github.com/heartcombo/devise/tree/4e674ab9a0945da7a0cf0590c15c606e533a7c59,https://github.com/heartcombo/devise/compare/cbfeb59fb37f2f40c649125b80eb09a1c4f6aded...4e674ab9a0945da7a0cf0590c15c606e533a7c59
2,Devise,4e674ab9a0945da7a0cf0590c15c606e533a7c59,6bd0c7fc2bf1173bf061c914817876ec797f3ae1,199,https://github.com/heartcombo/devise/issues/199,https://github.com/heartcombo/devise/tree/4e674ab9a0945da7a0cf0590c15c606e533a7c59,https://github.com/heartcombo/devise/tree/6bd0c7fc2bf1173bf061c914817876ec797f3ae1,https://github.com/heartcombo/devise/compare/4e674ab9a0945da7a0cf0590c15c606e533a7c59...6bd0c7fc2bf1173bf061c914817876ec797f3ae1
3,Devise,6bd0c7fc2bf1173bf061c914817876ec797f3ae1,b2a50db1df91da7d0f0cac56f62a02b38d8b44c6,195,https://github.com/heartcombo/devise/issues/195,https://github.com/heartcombo/devise/tree/6bd0c7fc2bf1173bf061c914817876ec797f3ae1,https://github.com/heartcombo/devise/tree/b2a50db1df91da7d0f0cac56f62a02b38d8b44c6,https://github.com/heartcombo/devise/compare/6bd0c7fc2bf1173bf061c914817876ec797f3ae1...b2a50db1df91da7d0f0cac56f62a02b38d8b44c6
4,Devise,b2a50db1df91da7d0f0cac56f62a02b38d8b44c6,731f156f5046c536dab832154b4766a97cd14671,204,https://github.com/heartcombo/devise/issues/204,https://github.com/heartcombo/devise/tree/b2a50db1df91da7d0f0cac56f62a02b38d8b44c6,https://github.com/heartcombo/devise/tree/731f156f5046c536dab832154b4766a97cd14671,https://github.com/heartcombo/devise/compare/b2a50db1df91da7d0f0cac56f62a02b38d8b44c6...731f156f5046c536dab832154b4766a97cd14671
5,Devise,1db86a08101e6bd71b0191e18be1b2302fb14797,9291ab55b895724d4608f7e3e2d771a8f92d87eb,206,https://github.com/heartcombo/devise/issues/206,https://github.com/heartcombo/devise/tree/1db86a08101e6bd71b0191e18be1b2302fb14797,https://github.com/heartcombo/devise/tree/9291ab55b895724d4608f7e3e2d771a8f92d87eb,https://github.com/heartcombo/devise/compare/1db86a08101e6bd71b0191e18be1b2302fb14797...9291ab55b895724d4608f7e3e2d771a8f92d87eb
6,Devise,b5f892bcdb275c38e444914d417494b6d5d06a4e,4da63c539534364670bfa0e3ff497afc0d661a90,212,https://github.com/heartcombo/devise/issues/212,https://github.com/heartcombo/devise/tree/b5f892bcdb275c38e444914d417494b6d5d06a4e,https://github.com/heartcombo/devise/tree/4da63c539534364670bfa0e3ff497afc0d661a90,https://github.com/heartcombo/devise/compare/b5f892bcdb275c38e444914d417494b6d5d06a4e...4da63c539534364670bfa0e3ff497afc0d661a90
7,Devise,41311eb38d171ecd0e8c6d186834f2071bb79e3d,708fe78d860609f7688b5594a37b2cb8fdc8507c,228,https://github.com/heartcombo/devise/issues/228,https://github.com/heartcombo/devise/tree/41311eb38d171ecd0e8c6d186834f2071bb79e3d,https://github.com/heartcombo/devise/tree/708fe78d860609f7688b5594a37b2cb8fdc8507c,https://github.com/heartcombo/devise/compare/41311eb38d171ecd0e8c6d186834f2071bb79e3d...708fe78d860609f7688b5594a37b2cb8fdc8507c
8,Devise,708fe78d860609f7688b5594a37b2cb8fdc8507c,d750b48879ea8f5087d8205869146dfd6e8f86c0,227,https://github.com/heartcombo/devise/issues/227,https://github.com/heartcombo/devise/tree/708fe78d860609f7688b5594a37b2cb8fdc8507c,https://github.com/heartcombo/devise/tree/d750b48879ea8f5087d8205869146dfd6e8f86c0,https://github.com/heartcombo/devise/compare/708fe78d860609f7688b5594a37b2cb8fdc8507c...d750b48879ea8f5087d8205869146dfd6e8f86c0
9,Devise,d750b48879ea8f5087d8205869146dfd6e8f86c0,c582e9cb0f2b8c4fef755531361d5e7cc87f816b,229,https://github.com/heartcombo/devise/issues/229,https://github.com/heartcombo/devise/tree/d750b48879ea8f5087d8205869146dfd6e8f86c0,https://github.com/heartcombo/devise/tree/c582e9cb0f2b8c4fef755531361d5e7cc87f816b,https://github.com/heartcombo/devise/compare/d750b48879ea8f5087d8205869146dfd6e8f86c0...c582e9cb0f2b8c4fef755531361d5e7cc87f816b
10,Devise,c582e9cb0f2b8c4fef755531361d5e7cc87f816b,57712737b2f26685bb6bf206f56193f5998fa192,226,https://github.com/heartcombo/devise/issues/226,https://github.com/heartcombo/devise/tree/c582e9cb0f2b8c4fef755531361d5e7cc87f816b,https://github.com/heartcombo/devise/tree/57712737b2f26685bb6bf206f56193f5998fa192,https://github.com/heartcombo/devise/compare/c582e9cb0f2b8c4fef755531361d5e7cc87f816b...57712737b2f26685bb6bf206f56193f5998fa192
11,Devise,6162e1f5ff063af918941e928d57dc1ae6e17107,d38421dde8522f9b962dd8460e4fd7165bd5a549,261,https://github.com/heartcombo/devise/issues/261,https://github.com/heartcombo/devise/tree/6162e1f5ff063af918941e928d57dc1ae6e17107,https://github.com/heartcombo/devise/tree/d38421dde8522f9b962dd8460e4fd7165bd5a549,https://github.com/heartcombo/devise/compare/6162e1f5ff063af918941e928d57dc1ae6e17107...d38421dde8522f9b962dd8460e4fd7165bd5a549
