bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,DockerCLI,147b04ce2b1d41e832ffccf051ca9073f3575aa2,ce220ef43bad5d6b5c5ad24175144bb613a50c9f,1919,https://github.com/docker/cli/issues/1919,https://github.com/docker/cl/tree/147b04ce2b1d41e832ffccf051ca9073f3575aa2,https://github.com/docker/cl/tree/ce220ef43bad5d6b5c5ad24175144bb613a50c9f,https://github.com/docker/cl/compare/147b04ce2b1d41e832ffccf051ca9073f3575aa2...ce220ef43bad5d6b5c5ad24175144bb613a50c9f
2,DockerCLI,5bfb9bf093d871c8320442f34973790ae99d3434,c0468283923363855efe7297deac70bb6a6f82a3,3723,https://github.com/docker/cli/issues/3723,https://github.com/docker/cl/tree/5bfb9bf093d871c8320442f34973790ae99d3434,https://github.com/docker/cl/tree/c0468283923363855efe7297deac70bb6a6f82a3,https://github.com/docker/cl/compare/5bfb9bf093d871c8320442f34973790ae99d3434...c0468283923363855efe7297deac70bb6a6f82a3
3,DockerCLI,d45a91a56b4de9b9fe74f8b1f07101c639fcae3f,41429fd72773f32b4cd8ede6235ea5a904037524,3565,https://github.com/docker/cli/issues/3565,https://github.com/docker/cl/tree/d45a91a56b4de9b9fe74f8b1f07101c639fcae3f,https://github.com/docker/cl/tree/41429fd72773f32b4cd8ede6235ea5a904037524,https://github.com/docker/cl/compare/d45a91a56b4de9b9fe74f8b1f07101c639fcae3f...41429fd72773f32b4cd8ede6235ea5a904037524
4,DockerCLI,ed49f5cab17fe1d99e0def5cda2c9470b03d1ab4,0e82ab713b00201d5dc4304c2e308c24254f7662,3636,https://github.com/docker/cli/issues/3636,https://github.com/docker/cl/tree/ed49f5cab17fe1d99e0def5cda2c9470b03d1ab4,https://github.com/docker/cl/tree/0e82ab713b00201d5dc4304c2e308c24254f7662,https://github.com/docker/cl/compare/ed49f5cab17fe1d99e0def5cda2c9470b03d1ab4...0e82ab713b00201d5dc4304c2e308c24254f7662
5,DockerCLI,b45a49c83fc4a79b1f5de343d48e5b8d27bc72e5,a2d0b6e122021cfac87a99a46d3d02339552d281,512,https://github.com/docker/cli/issues/512,https://github.com/docker/cl/tree/b45a49c83fc4a79b1f5de343d48e5b8d27bc72e5,https://github.com/docker/cl/tree/a2d0b6e122021cfac87a99a46d3d02339552d281,https://github.com/docker/cl/compare/b45a49c83fc4a79b1f5de343d48e5b8d27bc72e5...a2d0b6e122021cfac87a99a46d3d02339552d281
6,DockerCLI,824a0b4db9e08055e5b82cd54997a766d15d1f5f,b6cf6d87ae19015675ed48085b3a1a5e09bbdb35,1089,https://github.com/docker/cli/issues/1089,https://github.com/docker/cl/tree/824a0b4db9e08055e5b82cd54997a766d15d1f5f,https://github.com/docker/cl/tree/b6cf6d87ae19015675ed48085b3a1a5e09bbdb35,https://github.com/docker/cl/compare/824a0b4db9e08055e5b82cd54997a766d15d1f5f...b6cf6d87ae19015675ed48085b3a1a5e09bbdb35
7,DockerCLI,a8ee42ad531ce61eebe4f570e534dd5075d3df6e,c003ed1f35ebcfcf95079df3ed45cf9f8d14334a,1099,https://github.com/docker/cli/issues/1099,https://github.com/docker/cl/tree/a8ee42ad531ce61eebe4f570e534dd5075d3df6e,https://github.com/docker/cl/tree/c003ed1f35ebcfcf95079df3ed45cf9f8d14334a,https://github.com/docker/cl/compare/a8ee42ad531ce61eebe4f570e534dd5075d3df6e...c003ed1f35ebcfcf95079df3ed45cf9f8d14334a
8,DockerCLI,001c8f2f7fc75731d8247c2e41cc9b44636fe60c,f4b0780e20b0bfaa44185dc2e9549fb9b72fac0f,1113,https://github.com/docker/cli/issues/1113,https://github.com/docker/cl/tree/001c8f2f7fc75731d8247c2e41cc9b44636fe60c,https://github.com/docker/cl/tree/f4b0780e20b0bfaa44185dc2e9549fb9b72fac0f,https://github.com/docker/cl/compare/001c8f2f7fc75731d8247c2e41cc9b44636fe60c...f4b0780e20b0bfaa44185dc2e9549fb9b72fac0f
9,DockerCLI,0198955105aff26cebe8d89f6a2ab5afdefe86ea,a22853e64db4001d9b477a380e84baaca744ff5d,1336,https://github.com/docker/cli/issues/1336,https://github.com/docker/cl/tree/0198955105aff26cebe8d89f6a2ab5afdefe86ea,https://github.com/docker/cl/tree/a22853e64db4001d9b477a380e84baaca744ff5d,https://github.com/docker/cl/compare/0198955105aff26cebe8d89f6a2ab5afdefe86ea...a22853e64db4001d9b477a380e84baaca744ff5d
10,DockerCLI,b4180e8757e9d5f9b38813e10c4f4a1c0f6643b5,d57adbc034a69d14b1c88c63cdf07b58fb8eb253,1358,https://github.com/docker/cli/issues/1358,https://github.com/docker/cl/tree/b4180e8757e9d5f9b38813e10c4f4a1c0f6643b5,https://github.com/docker/cl/tree/d57adbc034a69d14b1c88c63cdf07b58fb8eb253,https://github.com/docker/cl/compare/b4180e8757e9d5f9b38813e10c4f4a1c0f6643b5...d57adbc034a69d14b1c88c63cdf07b58fb8eb253
