bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Dosgi_common,79bb9a437f1aba99e213ffc2d00d5f3300d9bcc0,d2a3c75f3a6496ec52961ee7238fcf519bd9a8a5,DOSGI-242,https://issues.apache.org/jira/browse/DOSGI-242,https://github.com/apache/cxf-dos/tree/79bb9a437f1aba99e213ffc2d00d5f3300d9bcc0,https://github.com/apache/cxf-dos/tree/d2a3c75f3a6496ec52961ee7238fcf519bd9a8a5,https://github.com/apache/cxf-dos/compare/79bb9a437f1aba99e213ffc2d00d5f3300d9bcc0...d2a3c75f3a6496ec52961ee7238fcf519bd9a8a5
2,Dosgi_common,a738fce695403ba8a1adca2448976a6097d1278d,951f7c8dbb47e078c0c452197a3b18e97e6c233b,DOSGI-242,https://issues.apache.org/jira/browse/DOSGI-242,https://github.com/apache/cxf-dos/tree/a738fce695403ba8a1adca2448976a6097d1278d,https://github.com/apache/cxf-dos/tree/951f7c8dbb47e078c0c452197a3b18e97e6c233b,https://github.com/apache/cxf-dos/compare/a738fce695403ba8a1adca2448976a6097d1278d...951f7c8dbb47e078c0c452197a3b18e97e6c233b
3,Dosgi_common,951f7c8dbb47e078c0c452197a3b18e97e6c233b,ccf5a7a73be73c8549c2e199ac104b2d81f7260c,DOSGI-242,https://issues.apache.org/jira/browse/DOSGI-242,https://github.com/apache/cxf-dos/tree/951f7c8dbb47e078c0c452197a3b18e97e6c233b,https://github.com/apache/cxf-dos/tree/ccf5a7a73be73c8549c2e199ac104b2d81f7260c,https://github.com/apache/cxf-dos/compare/951f7c8dbb47e078c0c452197a3b18e97e6c233b...ccf5a7a73be73c8549c2e199ac104b2d81f7260c
4,Dosgi_common,a109b28facacc3f61ec37a84fd1b3a449e20deb6,6813d4c0c8ae249ef3337757fd272a4e2d4432b6,dosgi-2,https://issues.apache.org/jira/browse/DOSGI-2,https://github.com/apache/cxf-dos/tree/a109b28facacc3f61ec37a84fd1b3a449e20deb6,https://github.com/apache/cxf-dos/tree/6813d4c0c8ae249ef3337757fd272a4e2d4432b6,https://github.com/apache/cxf-dos/compare/a109b28facacc3f61ec37a84fd1b3a449e20deb6...6813d4c0c8ae249ef3337757fd272a4e2d4432b6
5,Dosgi_common,bec02202129f3bcb740c2f9762592f0cc79d7cc3,f33a997179e36871861a119339dc7e04ebebd7c8,dosgi-2,https://issues.apache.org/jira/browse/DOSGI-2,https://github.com/apache/cxf-dos/tree/bec02202129f3bcb740c2f9762592f0cc79d7cc3,https://github.com/apache/cxf-dos/tree/f33a997179e36871861a119339dc7e04ebebd7c8,https://github.com/apache/cxf-dos/compare/bec02202129f3bcb740c2f9762592f0cc79d7cc3...f33a997179e36871861a119339dc7e04ebebd7c8
6,Dosgi_common,ce82b08e88e590739c5eaf56c6a6a01cdb52a9ec,29ba65206423796312a9da0dd6344296ab6390d5,DOSGI-262,https://issues.apache.org/jira/browse/DOSGI-262,https://github.com/apache/cxf-dos/tree/ce82b08e88e590739c5eaf56c6a6a01cdb52a9ec,https://github.com/apache/cxf-dos/tree/29ba65206423796312a9da0dd6344296ab6390d5,https://github.com/apache/cxf-dos/compare/ce82b08e88e590739c5eaf56c6a6a01cdb52a9ec...29ba65206423796312a9da0dd6344296ab6390d5
7,Dosgi_common,29ba65206423796312a9da0dd6344296ab6390d5,2e016b755d4919226960db753ffeea0ab782e8a3,DOSGI-262,https://issues.apache.org/jira/browse/DOSGI-262,https://github.com/apache/cxf-dos/tree/29ba65206423796312a9da0dd6344296ab6390d5,https://github.com/apache/cxf-dos/tree/2e016b755d4919226960db753ffeea0ab782e8a3,https://github.com/apache/cxf-dos/compare/29ba65206423796312a9da0dd6344296ab6390d5...2e016b755d4919226960db753ffeea0ab782e8a3
8,Dosgi_common,43ec6113775c4293c3c72780899a21a38ee05e14,a3a97938043a250fcf1e3c76b861600e4a9ee83f,DOSGI-262,https://issues.apache.org/jira/browse/DOSGI-262,https://github.com/apache/cxf-dos/tree/43ec6113775c4293c3c72780899a21a38ee05e14,https://github.com/apache/cxf-dos/tree/a3a97938043a250fcf1e3c76b861600e4a9ee83f,https://github.com/apache/cxf-dos/compare/43ec6113775c4293c3c72780899a21a38ee05e14...a3a97938043a250fcf1e3c76b861600e4a9ee83f
9,Dosgi_common,042b8a784de8428f37c5bb19ec3cc1f430f7e559,1fbc19490f2af1d29905e90993c13e4215790110,DOSGI-262,https://issues.apache.org/jira/browse/DOSGI-262,https://github.com/apache/cxf-dos/tree/042b8a784de8428f37c5bb19ec3cc1f430f7e559,https://github.com/apache/cxf-dos/tree/1fbc19490f2af1d29905e90993c13e4215790110,https://github.com/apache/cxf-dos/compare/042b8a784de8428f37c5bb19ec3cc1f430f7e559...1fbc19490f2af1d29905e90993c13e4215790110
10,Dosgi_common,82dc00f345a84488a6cd17033502f0867d76ff6d,24b29813427e24734a108cd93f8bc0bc8de0f926,dosgi-2,https://issues.apache.org/jira/browse/DOSGI-2,https://github.com/apache/cxf-dos/tree/82dc00f345a84488a6cd17033502f0867d76ff6d,https://github.com/apache/cxf-dos/tree/24b29813427e24734a108cd93f8bc0bc8de0f926,https://github.com/apache/cxf-dos/compare/82dc00f345a84488a6cd17033502f0867d76ff6d...24b29813427e24734a108cd93f8bc0bc8de0f926
