bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Doxia_module_apt,67be1d93ddef3816d2c8a5e5a002ee95925f8df1,54bcb2ac121df6a811915a8c6a4e927056a89029,DOXIA-115,https://issues.apache.org/jira/browse/DOXIA-115,https://www.github.com/apache/maven-doxia/tree/67be1d93ddef3816d2c8a5e5a002ee95925f8df1,https://www.github.com/apache/maven-doxia/tree/54bcb2ac121df6a811915a8c6a4e927056a89029,https://www.github.com/apache/maven-doxia/compare/67be1d93ddef3816d2c8a5e5a002ee95925f8df1...54bcb2ac121df6a811915a8c6a4e927056a89029
2,Doxia_module_apt,15fdde0193afd1a21a4979533237b9fd5ad5652f,1ae3ff74261b177f3ef7b9ecee82e5f45fc3a057,DOXIA-134,https://issues.apache.org/jira/browse/DOXIA-134,https://www.github.com/apache/maven-doxia/tree/15fdde0193afd1a21a4979533237b9fd5ad5652f,https://www.github.com/apache/maven-doxia/tree/1ae3ff74261b177f3ef7b9ecee82e5f45fc3a057,https://www.github.com/apache/maven-doxia/compare/15fdde0193afd1a21a4979533237b9fd5ad5652f...1ae3ff74261b177f3ef7b9ecee82e5f45fc3a057
3,Doxia_module_apt,b31ba3ff926e2bd20d85f1059fd55c5535abf443,e4485b05d389b1b912ee0111331b5e1c77433669,DOXIA-131,https://issues.apache.org/jira/browse/DOXIA-131,https://www.github.com/apache/maven-doxia/tree/b31ba3ff926e2bd20d85f1059fd55c5535abf443,https://www.github.com/apache/maven-doxia/tree/e4485b05d389b1b912ee0111331b5e1c77433669,https://www.github.com/apache/maven-doxia/compare/b31ba3ff926e2bd20d85f1059fd55c5535abf443...e4485b05d389b1b912ee0111331b5e1c77433669
4,Doxia_module_apt,92b58d4ad2f636283ac6239aa9166e9f63b2c557,34bb1cdc967ddb2ab11a7113388e8acfce8d5553,DOXIA-59,https://issues.apache.org/jira/browse/DOXIA-59,https://www.github.com/apache/maven-doxia/tree/92b58d4ad2f636283ac6239aa9166e9f63b2c557,https://www.github.com/apache/maven-doxia/tree/34bb1cdc967ddb2ab11a7113388e8acfce8d5553,https://www.github.com/apache/maven-doxia/compare/92b58d4ad2f636283ac6239aa9166e9f63b2c557...34bb1cdc967ddb2ab11a7113388e8acfce8d5553
5,Doxia_module_apt,484e70eeaa481591965ccbe655d4e26983a6265d,76c6d607f8a31bb111e5f05f358aaf74fa86bf8b,DOXIA-222,https://issues.apache.org/jira/browse/DOXIA-222,https://www.github.com/apache/maven-doxia/tree/484e70eeaa481591965ccbe655d4e26983a6265d,https://www.github.com/apache/maven-doxia/tree/76c6d607f8a31bb111e5f05f358aaf74fa86bf8b,https://www.github.com/apache/maven-doxia/compare/484e70eeaa481591965ccbe655d4e26983a6265d...76c6d607f8a31bb111e5f05f358aaf74fa86bf8b
6,Doxia_module_apt,caa248aaa316ccbec6ebac1a7da8cd25e789b9fd,1d3332bafebfa7d9fa8d238abec1d576e832a8a6,DOXIA-259,https://issues.apache.org/jira/browse/DOXIA-259,https://www.github.com/apache/maven-doxia/tree/caa248aaa316ccbec6ebac1a7da8cd25e789b9fd,https://www.github.com/apache/maven-doxia/tree/1d3332bafebfa7d9fa8d238abec1d576e832a8a6,https://www.github.com/apache/maven-doxia/compare/caa248aaa316ccbec6ebac1a7da8cd25e789b9fd...1d3332bafebfa7d9fa8d238abec1d576e832a8a6
7,Doxia_module_apt,3c3488c530b875234b2bca166cbaf8e443af299b,81b08e7844afb088b12535fe9e34fe34737e93d4,DOXIA-294,https://issues.apache.org/jira/browse/DOXIA-294,https://www.github.com/apache/maven-doxia/tree/3c3488c530b875234b2bca166cbaf8e443af299b,https://www.github.com/apache/maven-doxia/tree/81b08e7844afb088b12535fe9e34fe34737e93d4,https://www.github.com/apache/maven-doxia/compare/3c3488c530b875234b2bca166cbaf8e443af299b...81b08e7844afb088b12535fe9e34fe34737e93d4
8,Doxia_module_apt,0a097a07bae24d9a04d0837484cc85efd87de462,463ade4cc0cc61b08f3f334718687c47fef201a4,DOXIA-134,https://issues.apache.org/jira/browse/DOXIA-134,https://www.github.com/apache/maven-doxia/tree/0a097a07bae24d9a04d0837484cc85efd87de462,https://www.github.com/apache/maven-doxia/tree/463ade4cc0cc61b08f3f334718687c47fef201a4,https://www.github.com/apache/maven-doxia/compare/0a097a07bae24d9a04d0837484cc85efd87de462...463ade4cc0cc61b08f3f334718687c47fef201a4
9,Doxia_module_apt,08000e42d8bf8b81be328b35bc71f781ad93fd96,5a10879482fb2826abd776f8c78a08b07d6e47c7,DOXIA-323,https://issues.apache.org/jira/browse/DOXIA-323,https://www.github.com/apache/maven-doxia/tree/08000e42d8bf8b81be328b35bc71f781ad93fd96,https://www.github.com/apache/maven-doxia/tree/5a10879482fb2826abd776f8c78a08b07d6e47c7,https://www.github.com/apache/maven-doxia/compare/08000e42d8bf8b81be328b35bc71f781ad93fd96...5a10879482fb2826abd776f8c78a08b07d6e47c7
10,Doxia_module_apt,d94bb9bf60de336b132aa2777cd0491b1c74ce12,87198fdcc80d1de47bcce745a7fcefe98198cbbb,DOXIA-323,https://issues.apache.org/jira/browse/DOXIA-323,https://www.github.com/apache/maven-doxia/tree/d94bb9bf60de336b132aa2777cd0491b1c74ce12,https://www.github.com/apache/maven-doxia/tree/87198fdcc80d1de47bcce745a7fcefe98198cbbb,https://www.github.com/apache/maven-doxia/compare/d94bb9bf60de336b132aa2777cd0491b1c74ce12...87198fdcc80d1de47bcce745a7fcefe98198cbbb
