bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,EFCore,241c4ee85ef023662907c7f3d662857202619a77,13bb9b0832b9a65bd50b4a17fd6c69d89cc869e0,27097,https://github.com/dotnet/efcore/issues/27097,https://github.com/dotnet/efcore/tree/241c4ee85ef023662907c7f3d662857202619a77,https://github.com/dotnet/efcore/tree/13bb9b0832b9a65bd50b4a17fd6c69d89cc869e0,https://github.com/dotnet/efcore/compare/241c4ee85ef023662907c7f3d662857202619a77...13bb9b0832b9a65bd50b4a17fd6c69d89cc869e0
2,EFCore,5f904957c166a0e4a594b385d189303cbee2b2c3,16e179506d4014b0a8d287ab2c86e5b936a1dad5,27059,https://github.com/dotnet/efcore/issues/27059,https://github.com/dotnet/efcore/tree/5f904957c166a0e4a594b385d189303cbee2b2c3,https://github.com/dotnet/efcore/tree/16e179506d4014b0a8d287ab2c86e5b936a1dad5,https://github.com/dotnet/efcore/compare/5f904957c166a0e4a594b385d189303cbee2b2c3...16e179506d4014b0a8d287ab2c86e5b936a1dad5
3,EFCore,16e179506d4014b0a8d287ab2c86e5b936a1dad5,100b2078f414cd2f86e7caf7ec713263725e68e5,27105,https://github.com/dotnet/efcore/issues/27105,https://github.com/dotnet/efcore/tree/16e179506d4014b0a8d287ab2c86e5b936a1dad5,https://github.com/dotnet/efcore/tree/100b2078f414cd2f86e7caf7ec713263725e68e5,https://github.com/dotnet/efcore/compare/16e179506d4014b0a8d287ab2c86e5b936a1dad5...100b2078f414cd2f86e7caf7ec713263725e68e5
4,EFCore,100b2078f414cd2f86e7caf7ec713263725e68e5,4907571899eda7a51d1586f6c2c37d59f83757e6,27102,https://github.com/dotnet/efcore/issues/27102,https://github.com/dotnet/efcore/tree/100b2078f414cd2f86e7caf7ec713263725e68e5,https://github.com/dotnet/efcore/tree/4907571899eda7a51d1586f6c2c37d59f83757e6,https://github.com/dotnet/efcore/compare/100b2078f414cd2f86e7caf7ec713263725e68e5...4907571899eda7a51d1586f6c2c37d59f83757e6
5,EFCore,28025a518994a4c479d36801bb2f54186de9a7c3,f5f4d62b087525211f65254c3787233175185a30,27100,https://github.com/dotnet/efcore/issues/27100,https://github.com/dotnet/efcore/tree/28025a518994a4c479d36801bb2f54186de9a7c3,https://github.com/dotnet/efcore/tree/f5f4d62b087525211f65254c3787233175185a30,https://github.com/dotnet/efcore/compare/28025a518994a4c479d36801bb2f54186de9a7c3...f5f4d62b087525211f65254c3787233175185a30
6,EFCore,4907571899eda7a51d1586f6c2c37d59f83757e6,8a7bf4bee3576fb475329c2d187762f557c3d3a4,27083,https://github.com/dotnet/efcore/issues/27083,https://github.com/dotnet/efcore/tree/4907571899eda7a51d1586f6c2c37d59f83757e6,https://github.com/dotnet/efcore/tree/8a7bf4bee3576fb475329c2d187762f557c3d3a4,https://github.com/dotnet/efcore/compare/4907571899eda7a51d1586f6c2c37d59f83757e6...8a7bf4bee3576fb475329c2d187762f557c3d3a4
7,EFCore,8a7bf4bee3576fb475329c2d187762f557c3d3a4,22a1094fe41623ec4424b5540d0bd233af113074,27094,https://github.com/dotnet/efcore/issues/27094,https://github.com/dotnet/efcore/tree/8a7bf4bee3576fb475329c2d187762f557c3d3a4,https://github.com/dotnet/efcore/tree/22a1094fe41623ec4424b5540d0bd233af113074,https://github.com/dotnet/efcore/compare/8a7bf4bee3576fb475329c2d187762f557c3d3a4...22a1094fe41623ec4424b5540d0bd233af113074
8,EFCore,e7fa1513d716a90c995d2923ffb8e369e4bda8ed,10b44333478c896433b71951dfe7f494af962a8e,27163,https://github.com/dotnet/efcore/issues/27163,https://github.com/dotnet/efcore/tree/e7fa1513d716a90c995d2923ffb8e369e4bda8ed,https://github.com/dotnet/efcore/tree/10b44333478c896433b71951dfe7f494af962a8e,https://github.com/dotnet/efcore/compare/e7fa1513d716a90c995d2923ffb8e369e4bda8ed...10b44333478c896433b71951dfe7f494af962a8e
9,EFCore,bb7c910644aab1930d29d94e604dfb163d916452,a482bd19b1f460a357b12bf86e34462be3cc9eed,27074,https://github.com/dotnet/efcore/issues/27074,https://github.com/dotnet/efcore/tree/bb7c910644aab1930d29d94e604dfb163d916452,https://github.com/dotnet/efcore/tree/a482bd19b1f460a357b12bf86e34462be3cc9eed,https://github.com/dotnet/efcore/compare/bb7c910644aab1930d29d94e604dfb163d916452...a482bd19b1f460a357b12bf86e34462be3cc9eed
10,EFCore,9e8ec9f299cee38d9f0721bd67eb648a3fa0712c,d95657ad9ff9e3682021ba42bcf491f8f5f96adc,27257,https://github.com/dotnet/efcore/issues/27257,https://github.com/dotnet/efcore/tree/9e8ec9f299cee38d9f0721bd67eb648a3fa0712c,https://github.com/dotnet/efcore/tree/d95657ad9ff9e3682021ba42bcf491f8f5f96adc,https://github.com/dotnet/efcore/compare/9e8ec9f299cee38d9f0721bd67eb648a3fa0712c...d95657ad9ff9e3682021ba42bcf491f8f5f96adc
11,EFCore,3c7c302cc6d64813c1a37942acb15e382556d395,afe299fa586ea35eba6c937e1addf136e31410c4,27155,https://github.com/dotnet/efcore/issues/27155,https://github.com/dotnet/efcore/tree/3c7c302cc6d64813c1a37942acb15e382556d395,https://github.com/dotnet/efcore/tree/afe299fa586ea35eba6c937e1addf136e31410c4,https://github.com/dotnet/efcore/compare/3c7c302cc6d64813c1a37942acb15e382556d395...afe299fa586ea35eba6c937e1addf136e31410c4
12,EFCore,97ce8ac883cead2355920c04b9c86cee07d35833,7afa38a1c7ace1a87672878281a970af7e9cc87e,27229,https://github.com/dotnet/efcore/issues/27229,https://github.com/dotnet/efcore/tree/97ce8ac883cead2355920c04b9c86cee07d35833,https://github.com/dotnet/efcore/tree/7afa38a1c7ace1a87672878281a970af7e9cc87e,https://github.com/dotnet/efcore/compare/97ce8ac883cead2355920c04b9c86cee07d35833...7afa38a1c7ace1a87672878281a970af7e9cc87e
