bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Eslint,e6b115c40178ed7066410049f9440db23f2138a2,d6e436f49d94bb3df6c6837e7a548f9515a6f2a5,9140,https://github.com/eslint/eslint/issues/9140,https://github.com/eslint/eslin/tree/e6b115c40178ed7066410049f9440db23f2138a2,https://github.com/eslint/eslin/tree/d6e436f49d94bb3df6c6837e7a548f9515a6f2a5,https://github.com/eslint/eslin/compare/e6b115c40178ed7066410049f9440db23f2138a2...d6e436f49d94bb3df6c6837e7a548f9515a6f2a5
2,Eslint,c147b97729313f7021c84cbc91c2d83a8f17e7f3,5ab043491b7ca54f2feeb479ca5638dbb1a81184,9157,https://github.com/eslint/eslint/issues/9157,https://github.com/eslint/eslin/tree/c147b97729313f7021c84cbc91c2d83a8f17e7f3,https://github.com/eslint/eslin/tree/5ab043491b7ca54f2feeb479ca5638dbb1a81184,https://github.com/eslint/eslin/compare/c147b97729313f7021c84cbc91c2d83a8f17e7f3...5ab043491b7ca54f2feeb479ca5638dbb1a81184
3,Eslint,3e8b70a44cf8cf5d914682980ca13f6140f2bdde,1bbac511548c5bda166b093b57a50ba997d46138,9193,https://github.com/eslint/eslint/issues/9193,https://github.com/eslint/eslin/tree/3e8b70a44cf8cf5d914682980ca13f6140f2bdde,https://github.com/eslint/eslin/tree/1bbac511548c5bda166b093b57a50ba997d46138,https://github.com/eslint/eslin/compare/3e8b70a44cf8cf5d914682980ca13f6140f2bdde...1bbac511548c5bda166b093b57a50ba997d46138
4,Eslint,8f01a99aa248e5b0b2134cab1e9344e4b9014c45,e5c5e83eddde20da3cd4a9612845b33ee5010df8,9199,https://github.com/eslint/eslint/issues/9199,https://github.com/eslint/eslin/tree/8f01a99aa248e5b0b2134cab1e9344e4b9014c45,https://github.com/eslint/eslin/tree/e5c5e83eddde20da3cd4a9612845b33ee5010df8,https://github.com/eslint/eslin/compare/8f01a99aa248e5b0b2134cab1e9344e4b9014c45...e5c5e83eddde20da3cd4a9612845b33ee5010df8
5,Eslint,f9b7544a449cf7ce9748f9316b535f29352130c4,cb74b8774db269ad75acf5f2a035a2cf6016b4a4,9202,https://github.com/eslint/eslint/issues/9202,https://github.com/eslint/eslin/tree/f9b7544a449cf7ce9748f9316b535f29352130c4,https://github.com/eslint/eslin/tree/cb74b8774db269ad75acf5f2a035a2cf6016b4a4,https://github.com/eslint/eslin/compare/f9b7544a449cf7ce9748f9316b535f29352130c4...cb74b8774db269ad75acf5f2a035a2cf6016b4a4
6,Eslint,8f6546cda9ca86e5091255dfe7f7985ec3a545d2,7ba46e6add05d1a6a6f20a45a9b8244092f4849e,9238,https://github.com/eslint/eslint/issues/9238,https://github.com/eslint/eslin/tree/8f6546cda9ca86e5091255dfe7f7985ec3a545d2,https://github.com/eslint/eslin/tree/7ba46e6add05d1a6a6f20a45a9b8244092f4849e,https://github.com/eslint/eslin/compare/8f6546cda9ca86e5091255dfe7f7985ec3a545d2...7ba46e6add05d1a6a6f20a45a9b8244092f4849e
7,Eslint,88d5d4dbd09dd7f23e9fff79087bc13adaac051b,51132d6a0729b8e54326e9b8f5c8c1f487c8bd31,9154,https://github.com/eslint/eslint/issues/9154,https://github.com/eslint/eslin/tree/88d5d4dbd09dd7f23e9fff79087bc13adaac051b,https://github.com/eslint/eslin/tree/51132d6a0729b8e54326e9b8f5c8c1f487c8bd31,https://github.com/eslint/eslin/compare/88d5d4dbd09dd7f23e9fff79087bc13adaac051b...51132d6a0729b8e54326e9b8f5c8c1f487c8bd31
8,Eslint,7c95d5d0a44b7f4f7f885621deb7007a7faa3a4b,7685fed33b15763ee3cf7dbe1facfc5ba85173f3,9126,https://github.com/eslint/eslint/issues/9126,https://github.com/eslint/eslin/tree/7c95d5d0a44b7f4f7f885621deb7007a7faa3a4b,https://github.com/eslint/eslin/tree/7685fed33b15763ee3cf7dbe1facfc5ba85173f3,https://github.com/eslint/eslin/compare/7c95d5d0a44b7f4f7f885621deb7007a7faa3a4b...7685fed33b15763ee3cf7dbe1facfc5ba85173f3
9,Eslint,002e199c7b579a760dc87e61be7430aa9ad0f601,e220687fa58a09a51eaa09815788638f94babea6,9231,https://github.com/eslint/eslint/issues/9231,https://github.com/eslint/eslin/tree/002e199c7b579a760dc87e61be7430aa9ad0f601,https://github.com/eslint/eslin/tree/e220687fa58a09a51eaa09815788638f94babea6,https://github.com/eslint/eslin/compare/002e199c7b579a760dc87e61be7430aa9ad0f601...e220687fa58a09a51eaa09815788638f94babea6
10,Eslint,e220687fa58a09a51eaa09815788638f94babea6,f12def6b875d9dc9cd5c900dc8ec866eb0659940,9285,https://github.com/eslint/eslint/issues/9285,https://github.com/eslint/eslin/tree/e220687fa58a09a51eaa09815788638f94babea6,https://github.com/eslint/eslin/tree/f12def6b875d9dc9cd5c900dc8ec866eb0659940,https://github.com/eslint/eslin/compare/e220687fa58a09a51eaa09815788638f94babea6...f12def6b875d9dc9cd5c900dc8ec866eb0659940
11,Eslint,0c720a301ed3136bc98dcf848bcd30bfda91a3d5,ce1f08477fd5d03484c2081ff4bd0b67eb23b4b4,9156,https://github.com/eslint/eslint/issues/9156,https://github.com/eslint/eslin/tree/0c720a301ed3136bc98dcf848bcd30bfda91a3d5,https://github.com/eslint/eslin/tree/ce1f08477fd5d03484c2081ff4bd0b67eb23b4b4,https://github.com/eslint/eslin/compare/0c720a301ed3136bc98dcf848bcd30bfda91a3d5...ce1f08477fd5d03484c2081ff4bd0b67eb23b4b4
12,Eslint,1488b511f3be3220d6f187f48c8b22075c6bbd30,787b78bb61944ef6cc0e653f9c1fe10213c6fdc8,9153,https://github.com/eslint/eslint/issues/9153,https://github.com/eslint/eslin/tree/1488b511f3be3220d6f187f48c8b22075c6bbd30,https://github.com/eslint/eslin/tree/787b78bb61944ef6cc0e653f9c1fe10213c6fdc8,https://github.com/eslint/eslin/compare/1488b511f3be3220d6f187f48c8b22075c6bbd30...787b78bb61944ef6cc0e653f9c1fe10213c6fdc8
13,Eslint,439e8e697f761bebeb3dab085ba85139829397b2,9226495f6866b57e55f202bcf2c3e6fc627e4747,9153,https://github.com/eslint/eslint/issues/9153,https://github.com/eslint/eslin/tree/439e8e697f761bebeb3dab085ba85139829397b2,https://github.com/eslint/eslin/tree/9226495f6866b57e55f202bcf2c3e6fc627e4747,https://github.com/eslint/eslin/compare/439e8e697f761bebeb3dab085ba85139829397b2...9226495f6866b57e55f202bcf2c3e6fc627e4747
14,Eslint,9226495f6866b57e55f202bcf2c3e6fc627e4747,08656dbe8bbb5869febe435b2d52bd072c9c319d,9318,https://github.com/eslint/eslint/issues/9318,https://github.com/eslint/eslin/tree/9226495f6866b57e55f202bcf2c3e6fc627e4747,https://github.com/eslint/eslin/tree/08656dbe8bbb5869febe435b2d52bd072c9c319d,https://github.com/eslint/eslin/compare/9226495f6866b57e55f202bcf2c3e6fc627e4747...08656dbe8bbb5869febe435b2d52bd072c9c319d
15,Eslint,2f064d91a8514416542cc0a36c99f64610b7fc0e,4f8773227b193b865fa8776a8f74536095bda974,9331,https://github.com/eslint/eslint/issues/9331,https://github.com/eslint/eslin/tree/2f064d91a8514416542cc0a36c99f64610b7fc0e,https://github.com/eslint/eslin/tree/4f8773227b193b865fa8776a8f74536095bda974,https://github.com/eslint/eslin/compare/2f064d91a8514416542cc0a36c99f64610b7fc0e...4f8773227b193b865fa8776a8f74536095bda974
16,Eslint,1c6bc67ab87913308416f6c01411b7eb1426ae07,458ca67962ed1a4eb90fbfccc73816407ddb06a6,9337,https://github.com/eslint/eslint/issues/9337,https://github.com/eslint/eslin/tree/1c6bc67ab87913308416f6c01411b7eb1426ae07,https://github.com/eslint/eslin/tree/458ca67962ed1a4eb90fbfccc73816407ddb06a6,https://github.com/eslint/eslin/compare/1c6bc67ab87913308416f6c01411b7eb1426ae07...458ca67962ed1a4eb90fbfccc73816407ddb06a6
