bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Etcd,7a5acb4a43aa06bd9e32ab59a46271ab88d497e4,56f1bce161489bc6b2e04d755fafab6cb8a43102,10491,https://github.com/etcd-io/etcd/issues/10491,https://github.com/etcd-io/etcd/tree/7a5acb4a43aa06bd9e32ab59a46271ab88d497e4,https://github.com/etcd-io/etcd/tree/56f1bce161489bc6b2e04d755fafab6cb8a43102,https://github.com/etcd-io/etcd/compare/7a5acb4a43aa06bd9e32ab59a46271ab88d497e4...56f1bce161489bc6b2e04d755fafab6cb8a43102
2,Etcd,caee28a88e9037a2422eab44c26a5dd11ba8dfa5,51035bfd8469c6ccf5289086bfac138906684581,10688,https://github.com/etcd-io/etcd/issues/10688,https://github.com/etcd-io/etcd/tree/caee28a88e9037a2422eab44c26a5dd11ba8dfa5,https://github.com/etcd-io/etcd/tree/51035bfd8469c6ccf5289086bfac138906684581,https://github.com/etcd-io/etcd/compare/caee28a88e9037a2422eab44c26a5dd11ba8dfa5...51035bfd8469c6ccf5289086bfac138906684581
3,Etcd,d8c89021d70da7adfa4ab8625569a134434cb7bb,a44a281ac3378c4e050e08b1c45c500c731a78eb,10669,https://github.com/etcd-io/etcd/issues/10669,https://github.com/etcd-io/etcd/tree/d8c89021d70da7adfa4ab8625569a134434cb7bb,https://github.com/etcd-io/etcd/tree/a44a281ac3378c4e050e08b1c45c500c731a78eb,https://github.com/etcd-io/etcd/compare/d8c89021d70da7adfa4ab8625569a134434cb7bb...a44a281ac3378c4e050e08b1c45c500c731a78eb
4,Etcd,2ff2755528372bae36ede36ddccd1a77bd118887,69553319010f135679899e68d4afed7c6f47d106,10747,https://github.com/etcd-io/etcd/issues/10747,https://github.com/etcd-io/etcd/tree/2ff2755528372bae36ede36ddccd1a77bd118887,https://github.com/etcd-io/etcd/tree/69553319010f135679899e68d4afed7c6f47d106,https://github.com/etcd-io/etcd/compare/2ff2755528372bae36ede36ddccd1a77bd118887...69553319010f135679899e68d4afed7c6f47d106
5,Etcd,948e276ca73d3eb09391829d8ac317dbda8c07a1,c34de2aef4cb7c1592cf7487e6e6314571c3bf65,10849,https://github.com/etcd-io/etcd/issues/10849,https://github.com/etcd-io/etcd/tree/948e276ca73d3eb09391829d8ac317dbda8c07a1,https://github.com/etcd-io/etcd/tree/c34de2aef4cb7c1592cf7487e6e6314571c3bf65,https://github.com/etcd-io/etcd/compare/948e276ca73d3eb09391829d8ac317dbda8c07a1...c34de2aef4cb7c1592cf7487e6e6314571c3bf65
6,Etcd,9fba06ba3b832a6cb6d3342eb719132ad2da4fd6,d87bd2c87cbc791dd45a13cf1f9ea6022e92723c,10886,https://github.com/etcd-io/etcd/issues/10886,https://github.com/etcd-io/etcd/tree/9fba06ba3b832a6cb6d3342eb719132ad2da4fd6,https://github.com/etcd-io/etcd/tree/d87bd2c87cbc791dd45a13cf1f9ea6022e92723c,https://github.com/etcd-io/etcd/compare/9fba06ba3b832a6cb6d3342eb719132ad2da4fd6...d87bd2c87cbc791dd45a13cf1f9ea6022e92723c
7,Etcd,1782469a764256c0f2ad6449f0413d5603fad485,222314268598cc1fb784681a5ab0d41c3a2cc712,10932,https://github.com/etcd-io/etcd/issues/10932,https://github.com/etcd-io/etcd/tree/1782469a764256c0f2ad6449f0413d5603fad485,https://github.com/etcd-io/etcd/tree/222314268598cc1fb784681a5ab0d41c3a2cc712,https://github.com/etcd-io/etcd/compare/1782469a764256c0f2ad6449f0413d5603fad485...222314268598cc1fb784681a5ab0d41c3a2cc712
8,Etcd,e36e3ac6a78c9927556bee1443eda8d9d887eb32,222dcc8d13b532a205f62ee8703cc6d0249b3bb0,10937,https://github.com/etcd-io/etcd/issues/10937,https://github.com/etcd-io/etcd/tree/e36e3ac6a78c9927556bee1443eda8d9d887eb32,https://github.com/etcd-io/etcd/tree/222dcc8d13b532a205f62ee8703cc6d0249b3bb0,https://github.com/etcd-io/etcd/compare/e36e3ac6a78c9927556bee1443eda8d9d887eb32...222dcc8d13b532a205f62ee8703cc6d0249b3bb0
9,Etcd,14624b7d642d357eac5f1cbe46271e790d68177b,04ddfa8b8dab4ac50dfac8386364d07b79496daf,10493,https://github.com/etcd-io/etcd/issues/10493,https://github.com/etcd-io/etcd/tree/14624b7d642d357eac5f1cbe46271e790d68177b,https://github.com/etcd-io/etcd/tree/04ddfa8b8dab4ac50dfac8386364d07b79496daf,https://github.com/etcd-io/etcd/compare/14624b7d642d357eac5f1cbe46271e790d68177b...04ddfa8b8dab4ac50dfac8386364d07b79496daf
10,Etcd,1e7e66727e290fc6b6087155e0c0cc801cc7ba83,e8660c0ceca6eecee472e6d5fd0583f6a3d406b8,11144,https://github.com/etcd-io/etcd/issues/11144,https://github.com/etcd-io/etcd/tree/1e7e66727e290fc6b6087155e0c0cc801cc7ba83,https://github.com/etcd-io/etcd/tree/e8660c0ceca6eecee472e6d5fd0583f6a3d406b8,https://github.com/etcd-io/etcd/compare/1e7e66727e290fc6b6087155e0c0cc801cc7ba83...e8660c0ceca6eecee472e6d5fd0583f6a3d406b8
11,Etcd,9ff762857712c9c5c2037e6ddd9a692a488224bf,0dd10cf6b8e1643b65cd9931777491137225c1fa,11013,https://github.com/etcd-io/etcd/issues/11013,https://github.com/etcd-io/etcd/tree/9ff762857712c9c5c2037e6ddd9a692a488224bf,https://github.com/etcd-io/etcd/tree/0dd10cf6b8e1643b65cd9931777491137225c1fa,https://github.com/etcd-io/etcd/compare/9ff762857712c9c5c2037e6ddd9a692a488224bf...0dd10cf6b8e1643b65cd9931777491137225c1fa
12,Etcd,589ab747f77cff7c23666b37902c34288ef0f13a,e4cb346c3ae8388656165842a1d28ad361caaf1c,11132,https://github.com/etcd-io/etcd/issues/11132,https://github.com/etcd-io/etcd/tree/589ab747f77cff7c23666b37902c34288ef0f13a,https://github.com/etcd-io/etcd/tree/e4cb346c3ae8388656165842a1d28ad361caaf1c,https://github.com/etcd-io/etcd/compare/589ab747f77cff7c23666b37902c34288ef0f13a...e4cb346c3ae8388656165842a1d28ad361caaf1c
13,Etcd,cbc1340af53f50728181f97f6bce442ac33d8993,65a497dded2847e20436c1ffcc8bc9c3bc50e98f,11329,https://github.com/etcd-io/etcd/issues/11329,https://github.com/etcd-io/etcd/tree/cbc1340af53f50728181f97f6bce442ac33d8993,https://github.com/etcd-io/etcd/tree/65a497dded2847e20436c1ffcc8bc9c3bc50e98f,https://github.com/etcd-io/etcd/compare/cbc1340af53f50728181f97f6bce442ac33d8993...65a497dded2847e20436c1ffcc8bc9c3bc50e98f
14,Etcd,4e5314e9b530cfb2b4017b752d996effc1ded7bc,bc4adb8b5c91c46495aa1e6af19033d8062aafe4,11581,https://github.com/etcd-io/etcd/issues/11581,https://github.com/etcd-io/etcd/tree/4e5314e9b530cfb2b4017b752d996effc1ded7bc,https://github.com/etcd-io/etcd/tree/bc4adb8b5c91c46495aa1e6af19033d8062aafe4,https://github.com/etcd-io/etcd/compare/4e5314e9b530cfb2b4017b752d996effc1ded7bc...bc4adb8b5c91c46495aa1e6af19033d8062aafe4
15,Etcd,747ff75c96df87530bcd8b6b02d1160c5500bf4e,66cb045d47cca597266fc246c7e8ce9b4bd105ba,11930,https://github.com/etcd-io/etcd/issues/11930,https://github.com/etcd-io/etcd/tree/747ff75c96df87530bcd8b6b02d1160c5500bf4e,https://github.com/etcd-io/etcd/tree/66cb045d47cca597266fc246c7e8ce9b4bd105ba,https://github.com/etcd-io/etcd/compare/747ff75c96df87530bcd8b6b02d1160c5500bf4e...66cb045d47cca597266fc246c7e8ce9b4bd105ba
16,Etcd,76e769ce95ca0d4d0e3486712d96956260db04b8,7af82417640a36279196f0f2b7796155ea224925,12285,https://github.com/etcd-io/etcd/issues/12285,https://github.com/etcd-io/etcd/tree/76e769ce95ca0d4d0e3486712d96956260db04b8,https://github.com/etcd-io/etcd/tree/7af82417640a36279196f0f2b7796155ea224925,https://github.com/etcd-io/etcd/compare/76e769ce95ca0d4d0e3486712d96956260db04b8...7af82417640a36279196f0f2b7796155ea224925
17,Etcd,3e1a64913ad9ff9534775f2d8a2b971de3fa6722,3b92b9f88438fc5341b92f37793df5bc28dcf87a,11956,https://github.com/etcd-io/etcd/issues/11956,https://github.com/etcd-io/etcd/tree/3e1a64913ad9ff9534775f2d8a2b971de3fa6722,https://github.com/etcd-io/etcd/tree/3b92b9f88438fc5341b92f37793df5bc28dcf87a,https://github.com/etcd-io/etcd/compare/3e1a64913ad9ff9534775f2d8a2b971de3fa6722...3b92b9f88438fc5341b92f37793df5bc28dcf87a
18,Etcd,51bdeb39e6987bfb5901c351d5bf766ca01bc6a1,ff516e3a36e6fcb4053ce512560f684d30f2356b,12295,https://github.com/etcd-io/etcd/issues/12295,https://github.com/etcd-io/etcd/tree/51bdeb39e6987bfb5901c351d5bf766ca01bc6a1,https://github.com/etcd-io/etcd/tree/ff516e3a36e6fcb4053ce512560f684d30f2356b,https://github.com/etcd-io/etcd/compare/51bdeb39e6987bfb5901c351d5bf766ca01bc6a1...ff516e3a36e6fcb4053ce512560f684d30f2356b
19,Etcd,a3174d0f8ec6ec58827d7d86448bb4df08ae69e4,af4ef4ec04551229f59fbc4daec211a20bb0189c,12385,https://github.com/etcd-io/etcd/issues/12385,https://github.com/etcd-io/etcd/tree/a3174d0f8ec6ec58827d7d86448bb4df08ae69e4,https://github.com/etcd-io/etcd/tree/af4ef4ec04551229f59fbc4daec211a20bb0189c,https://github.com/etcd-io/etcd/compare/a3174d0f8ec6ec58827d7d86448bb4df08ae69e4...af4ef4ec04551229f59fbc4daec211a20bb0189c
20,Etcd,96a9860b6097a83011a4e07e73cd5657ccc66824,2ae3e82f0751f117914706866d1fdf0c4778392f,12676,https://github.com/etcd-io/etcd/issues/12676,https://github.com/etcd-io/etcd/tree/96a9860b6097a83011a4e07e73cd5657ccc66824,https://github.com/etcd-io/etcd/tree/2ae3e82f0751f117914706866d1fdf0c4778392f,https://github.com/etcd-io/etcd/compare/96a9860b6097a83011a4e07e73cd5657ccc66824...2ae3e82f0751f117914706866d1fdf0c4778392f
21,Etcd,d06d93d5b14b7f3aafd96da5703d55f15638c16f,7d02ce2073c32098375b906f62075938aa66faf3,12718,https://github.com/etcd-io/etcd/issues/12718,https://github.com/etcd-io/etcd/tree/d06d93d5b14b7f3aafd96da5703d55f15638c16f,https://github.com/etcd-io/etcd/tree/7d02ce2073c32098375b906f62075938aa66faf3,https://github.com/etcd-io/etcd/compare/d06d93d5b14b7f3aafd96da5703d55f15638c16f...7d02ce2073c32098375b906f62075938aa66faf3
22,Etcd,7d02ce2073c32098375b906f62075938aa66faf3,6998c5641ccadca8e95ee2154cf8fdce85b4d306,12718,https://github.com/etcd-io/etcd/issues/12718,https://github.com/etcd-io/etcd/tree/7d02ce2073c32098375b906f62075938aa66faf3,https://github.com/etcd-io/etcd/tree/6998c5641ccadca8e95ee2154cf8fdce85b4d306,https://github.com/etcd-io/etcd/compare/7d02ce2073c32098375b906f62075938aa66faf3...6998c5641ccadca8e95ee2154cf8fdce85b4d306
23,Etcd,aefbd226b8a7b50f4d645f744d2356e0a5d3231a,432fde88a92b8f9e95f546be503c08767cf15975,12731,https://github.com/etcd-io/etcd/issues/12731,https://github.com/etcd-io/etcd/tree/aefbd226b8a7b50f4d645f744d2356e0a5d3231a,https://github.com/etcd-io/etcd/tree/432fde88a92b8f9e95f546be503c08767cf15975,https://github.com/etcd-io/etcd/compare/aefbd226b8a7b50f4d645f744d2356e0a5d3231a...432fde88a92b8f9e95f546be503c08767cf15975
24,Etcd,456e1294220ba438166f0c986f4b5fec3bedb484,758ff0163ccd6efd08365d4ecd8070b4b3b7bc43,12680,https://github.com/etcd-io/etcd/issues/12680,https://github.com/etcd-io/etcd/tree/456e1294220ba438166f0c986f4b5fec3bedb484,https://github.com/etcd-io/etcd/tree/758ff0163ccd6efd08365d4ecd8070b4b3b7bc43,https://github.com/etcd-io/etcd/compare/456e1294220ba438166f0c986f4b5fec3bedb484...758ff0163ccd6efd08365d4ecd8070b4b3b7bc43
25,Etcd,bad0b4d5131629f0d7fe3d572cb7953548f54afd,28a490b09ca508335da6f3c89379522faaf26231,12837,https://github.com/etcd-io/etcd/issues/12837,https://github.com/etcd-io/etcd/tree/bad0b4d5131629f0d7fe3d572cb7953548f54afd,https://github.com/etcd-io/etcd/tree/28a490b09ca508335da6f3c89379522faaf26231,https://github.com/etcd-io/etcd/compare/bad0b4d5131629f0d7fe3d572cb7953548f54afd...28a490b09ca508335da6f3c89379522faaf26231
26,Etcd,5744cdf199e02bf01df917b6278fbbc31ce9a6c5,80586c5b4718556c19ba4b239d1bf0411d9e70fc,12835,https://github.com/etcd-io/etcd/issues/12835,https://github.com/etcd-io/etcd/tree/5744cdf199e02bf01df917b6278fbbc31ce9a6c5,https://github.com/etcd-io/etcd/tree/80586c5b4718556c19ba4b239d1bf0411d9e70fc,https://github.com/etcd-io/etcd/compare/5744cdf199e02bf01df917b6278fbbc31ce9a6c5...80586c5b4718556c19ba4b239d1bf0411d9e70fc
27,Etcd,2f77a1ac679380b64fac2e0a9e26021845f99b80,2cbd86b102f57a5510a38eed8bff38120b5c4d84,12875,https://github.com/etcd-io/etcd/issues/12875,https://github.com/etcd-io/etcd/tree/2f77a1ac679380b64fac2e0a9e26021845f99b80,https://github.com/etcd-io/etcd/tree/2cbd86b102f57a5510a38eed8bff38120b5c4d84,https://github.com/etcd-io/etcd/compare/2f77a1ac679380b64fac2e0a9e26021845f99b80...2cbd86b102f57a5510a38eed8bff38120b5c4d84
