bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Fabric,1fed64b485845cf387be3cc73982a1d562bf4ba1,83b07cf67f17f5d496fa304afbdfc23611ad954f,1620,https://github.com/fabric/fabric/issues/1620,https://github.com/fabric/fabric/tree/1fed64b485845cf387be3cc73982a1d562bf4ba1,https://github.com/fabric/fabric/tree/83b07cf67f17f5d496fa304afbdfc23611ad954f,https://github.com/fabric/fabric/compare/1fed64b485845cf387be3cc73982a1d562bf4ba1...83b07cf67f17f5d496fa304afbdfc23611ad954f
2,Fabric,c135ce7b6777fa313e9a2c37824f3fdc72f49566,766d2c0be9bb0b77935f75bd37e3030ac052ae78,1740,https://github.com/fabric/fabric/issues/1740,https://github.com/fabric/fabric/tree/c135ce7b6777fa313e9a2c37824f3fdc72f49566,https://github.com/fabric/fabric/tree/766d2c0be9bb0b77935f75bd37e3030ac052ae78,https://github.com/fabric/fabric/compare/c135ce7b6777fa313e9a2c37824f3fdc72f49566...766d2c0be9bb0b77935f75bd37e3030ac052ae78
3,Fabric,7ae25325f2ddece13399746b22b46b53a902b8c4,04f15755804ebbae0b0d9a41efc4003e59e8983f,1740,https://github.com/fabric/fabric/issues/1740,https://github.com/fabric/fabric/tree/7ae25325f2ddece13399746b22b46b53a902b8c4,https://github.com/fabric/fabric/tree/04f15755804ebbae0b0d9a41efc4003e59e8983f,https://github.com/fabric/fabric/compare/7ae25325f2ddece13399746b22b46b53a902b8c4...04f15755804ebbae0b0d9a41efc4003e59e8983f
4,Fabric,d5b7ce26d036d690cf96e06bf2a7c3f34c0596a5,295d03272b9386f419169609dcb1acd83cbbcb99,1753,https://github.com/fabric/fabric/issues/1753,https://github.com/fabric/fabric/tree/d5b7ce26d036d690cf96e06bf2a7c3f34c0596a5,https://github.com/fabric/fabric/tree/295d03272b9386f419169609dcb1acd83cbbcb99,https://github.com/fabric/fabric/compare/d5b7ce26d036d690cf96e06bf2a7c3f34c0596a5...295d03272b9386f419169609dcb1acd83cbbcb99
5,Fabric,32ac474b7c8db684560d97709f7582723072fcae,a11e747665b4b3e91544c574f0266c88577b3aff,1777,https://github.com/fabric/fabric/issues/1777,https://github.com/fabric/fabric/tree/32ac474b7c8db684560d97709f7582723072fcae,https://github.com/fabric/fabric/tree/a11e747665b4b3e91544c574f0266c88577b3aff,https://github.com/fabric/fabric/compare/32ac474b7c8db684560d97709f7582723072fcae...a11e747665b4b3e91544c574f0266c88577b3aff
6,Fabric,6643eb546e06e02f165ea6d71b8de06720501d2d,2026b816bca48b3b842396a705f513f55d19474d,1824,https://github.com/fabric/fabric/issues/1824,https://github.com/fabric/fabric/tree/6643eb546e06e02f165ea6d71b8de06720501d2d,https://github.com/fabric/fabric/tree/2026b816bca48b3b842396a705f513f55d19474d,https://github.com/fabric/fabric/compare/6643eb546e06e02f165ea6d71b8de06720501d2d...2026b816bca48b3b842396a705f513f55d19474d
7,Fabric,cd2541bd87c0ca612c3f2f8802bb3a60147ba096,e8e99009872a1d0a8f25319244340c2e99173142,1776,https://github.com/fabric/fabric/issues/1776,https://github.com/fabric/fabric/tree/cd2541bd87c0ca612c3f2f8802bb3a60147ba096,https://github.com/fabric/fabric/tree/e8e99009872a1d0a8f25319244340c2e99173142,https://github.com/fabric/fabric/compare/cd2541bd87c0ca612c3f2f8802bb3a60147ba096...e8e99009872a1d0a8f25319244340c2e99173142
8,Fabric,20785e86f97f03740800281a1b492cb97943ad85,a880d05c83161dc89ee84677b821b2e84f6249f4,1852,https://github.com/fabric/fabric/issues/1852,https://github.com/fabric/fabric/tree/20785e86f97f03740800281a1b492cb97943ad85,https://github.com/fabric/fabric/tree/a880d05c83161dc89ee84677b821b2e84f6249f4,https://github.com/fabric/fabric/compare/20785e86f97f03740800281a1b492cb97943ad85...a880d05c83161dc89ee84677b821b2e84f6249f4
9,Fabric,2ae1ab8a06c957dcfc70494cf57ce220326bbb06,75ed2f5d1112b1730ba934e6817cb81d0648fef1,1780,https://github.com/fabric/fabric/issues/1780,https://github.com/fabric/fabric/tree/2ae1ab8a06c957dcfc70494cf57ce220326bbb06,https://github.com/fabric/fabric/tree/75ed2f5d1112b1730ba934e6817cb81d0648fef1,https://github.com/fabric/fabric/compare/2ae1ab8a06c957dcfc70494cf57ce220326bbb06...75ed2f5d1112b1730ba934e6817cb81d0648fef1
10,Fabric,50d9d907f350098fc8ccc78b5d9808fb13562249,160de4ece313249aa4d4ebac0d87cfe8ae2cfa87,1985,https://github.com/fabric/fabric/issues/1985,https://github.com/fabric/fabric/tree/50d9d907f350098fc8ccc78b5d9808fb13562249,https://github.com/fabric/fabric/tree/160de4ece313249aa4d4ebac0d87cfe8ae2cfa87,https://github.com/fabric/fabric/compare/50d9d907f350098fc8ccc78b5d9808fb13562249...160de4ece313249aa4d4ebac0d87cfe8ae2cfa87
