bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Fastify,f60e5b5a8bc1caa4d68e01e9887702f73fe72601,54c09303c57da420aee43d6219c60bab00dd8d3f,129,https://github.com/fastify/fastify/issues/129,https://github.com/fastify/fastify/tree/f60e5b5a8bc1caa4d68e01e9887702f73fe72601,https://github.com/fastify/fastify/tree/54c09303c57da420aee43d6219c60bab00dd8d3f,https://github.com/fastify/fastify/compare/f60e5b5a8bc1caa4d68e01e9887702f73fe72601...54c09303c57da420aee43d6219c60bab00dd8d3f
2,Fastify,4c65c38b0dd5f2422c6f5267e7b66d65951e7872,06a47890aa4e2fc9250714f6219cd1e0177587a9,188,https://github.com/fastify/fastify/issues/188,https://github.com/fastify/fastify/tree/4c65c38b0dd5f2422c6f5267e7b66d65951e7872,https://github.com/fastify/fastify/tree/06a47890aa4e2fc9250714f6219cd1e0177587a9,https://github.com/fastify/fastify/compare/4c65c38b0dd5f2422c6f5267e7b66d65951e7872...06a47890aa4e2fc9250714f6219cd1e0177587a9
3,Fastify,e87fe8d03c0d3f1e491638a8dc3e8b4e431ed809,27f93f1e7ab6d065b2352fff48b3c53d9b3b7a5c,211,https://github.com/fastify/fastify/issues/211,https://github.com/fastify/fastify/tree/e87fe8d03c0d3f1e491638a8dc3e8b4e431ed809,https://github.com/fastify/fastify/tree/27f93f1e7ab6d065b2352fff48b3c53d9b3b7a5c,https://github.com/fastify/fastify/compare/e87fe8d03c0d3f1e491638a8dc3e8b4e431ed809...27f93f1e7ab6d065b2352fff48b3c53d9b3b7a5c
4,Fastify,f620418d5df222f90e1e5f8706c6c61b7f95fcd7,9ea0451c1e98f30bf0de02c3b354b0e324493a55,245,https://github.com/fastify/fastify/issues/245,https://github.com/fastify/fastify/tree/f620418d5df222f90e1e5f8706c6c61b7f95fcd7,https://github.com/fastify/fastify/tree/9ea0451c1e98f30bf0de02c3b354b0e324493a55,https://github.com/fastify/fastify/compare/f620418d5df222f90e1e5f8706c6c61b7f95fcd7...9ea0451c1e98f30bf0de02c3b354b0e324493a55
5,Fastify,29d0bdf9f6fd0013ce51e7cfed35f262cfb5ed47,bd7880c7548946dcf72881bd5a573fbd3436cdf4,263,https://github.com/fastify/fastify/issues/263,https://github.com/fastify/fastify/tree/29d0bdf9f6fd0013ce51e7cfed35f262cfb5ed47,https://github.com/fastify/fastify/tree/bd7880c7548946dcf72881bd5a573fbd3436cdf4,https://github.com/fastify/fastify/compare/29d0bdf9f6fd0013ce51e7cfed35f262cfb5ed47...bd7880c7548946dcf72881bd5a573fbd3436cdf4
6,Fastify,ff40e9a3a95b956ee9a4fbc468cf81f97d9c7e41,161d627d0035e83c58e57014541a1e477ee3e1b2,451,https://github.com/fastify/fastify/issues/451,https://github.com/fastify/fastify/tree/ff40e9a3a95b956ee9a4fbc468cf81f97d9c7e41,https://github.com/fastify/fastify/tree/161d627d0035e83c58e57014541a1e477ee3e1b2,https://github.com/fastify/fastify/compare/ff40e9a3a95b956ee9a4fbc468cf81f97d9c7e41...161d627d0035e83c58e57014541a1e477ee3e1b2
7,Fastify,61e35c83ab78384b38ee95b0467f229a5f7175ec,810709a362289c2e0c70a20b3a32df529c3e75a2,505,https://github.com/fastify/fastify/issues/505,https://github.com/fastify/fastify/tree/61e35c83ab78384b38ee95b0467f229a5f7175ec,https://github.com/fastify/fastify/tree/810709a362289c2e0c70a20b3a32df529c3e75a2,https://github.com/fastify/fastify/compare/61e35c83ab78384b38ee95b0467f229a5f7175ec...810709a362289c2e0c70a20b3a32df529c3e75a2
8,Fastify,ecaec39f46e627d8bdb6fd74965ad46df8ff6780,f80e1c4954a19607c8e401ba0219b25257c2309f,513,https://github.com/fastify/fastify/issues/513,https://github.com/fastify/fastify/tree/ecaec39f46e627d8bdb6fd74965ad46df8ff6780,https://github.com/fastify/fastify/tree/f80e1c4954a19607c8e401ba0219b25257c2309f,https://github.com/fastify/fastify/compare/ecaec39f46e627d8bdb6fd74965ad46df8ff6780...f80e1c4954a19607c8e401ba0219b25257c2309f
9,Fastify,7ea405de387e1102914fa5ad76f14b6157bea5d8,a285fe15b0b20564c710bcadb29421640bb9699a,501,https://github.com/fastify/fastify/issues/501,https://github.com/fastify/fastify/tree/7ea405de387e1102914fa5ad76f14b6157bea5d8,https://github.com/fastify/fastify/tree/a285fe15b0b20564c710bcadb29421640bb9699a,https://github.com/fastify/fastify/compare/7ea405de387e1102914fa5ad76f14b6157bea5d8...a285fe15b0b20564c710bcadb29421640bb9699a
10,Fastify,7ea405de387e1102914fa5ad76f14b6157bea5d8,9c76480e36252ddda5ead1ac0d9bb60d28a26ae8,492,https://github.com/fastify/fastify/issues/492,https://github.com/fastify/fastify/tree/7ea405de387e1102914fa5ad76f14b6157bea5d8,https://github.com/fastify/fastify/tree/9c76480e36252ddda5ead1ac0d9bb60d28a26ae8,https://github.com/fastify/fastify/compare/7ea405de387e1102914fa5ad76f14b6157bea5d8...9c76480e36252ddda5ead1ac0d9bb60d28a26ae8
11,Fastify,4a6396e8a3f1ba0292f5a52e220122e382e0440f,7dcebbd0084cacc9ff5c86551e5e03882ca04518,540,https://github.com/fastify/fastify/issues/540,https://github.com/fastify/fastify/tree/4a6396e8a3f1ba0292f5a52e220122e382e0440f,https://github.com/fastify/fastify/tree/7dcebbd0084cacc9ff5c86551e5e03882ca04518,https://github.com/fastify/fastify/compare/4a6396e8a3f1ba0292f5a52e220122e382e0440f...7dcebbd0084cacc9ff5c86551e5e03882ca04518
12,Fastify,67e111e8bc4e5f47d4aa93468a71bccdb8664037,3e158917256d01e7f462d4ae412236b8d3bfd798,514,https://github.com/fastify/fastify/issues/514,https://github.com/fastify/fastify/tree/67e111e8bc4e5f47d4aa93468a71bccdb8664037,https://github.com/fastify/fastify/tree/3e158917256d01e7f462d4ae412236b8d3bfd798,https://github.com/fastify/fastify/compare/67e111e8bc4e5f47d4aa93468a71bccdb8664037...3e158917256d01e7f462d4ae412236b8d3bfd798
13,Fastify,5ac50d37550ee0e5218e47d19fa724299da0ed71,402edbfb5fde015791f805155b1354829ebe48b6,589,https://github.com/fastify/fastify/issues/589,https://github.com/fastify/fastify/tree/5ac50d37550ee0e5218e47d19fa724299da0ed71,https://github.com/fastify/fastify/tree/402edbfb5fde015791f805155b1354829ebe48b6,https://github.com/fastify/fastify/compare/5ac50d37550ee0e5218e47d19fa724299da0ed71...402edbfb5fde015791f805155b1354829ebe48b6
14,Fastify,3372cf54b30315f8ddeefe4380b9b0c00ac59ded,e6ec14645b1b55ff03d8bc2f09ed7c0eaa68b8c8,659,https://github.com/fastify/fastify/issues/659,https://github.com/fastify/fastify/tree/3372cf54b30315f8ddeefe4380b9b0c00ac59ded,https://github.com/fastify/fastify/tree/e6ec14645b1b55ff03d8bc2f09ed7c0eaa68b8c8,https://github.com/fastify/fastify/compare/3372cf54b30315f8ddeefe4380b9b0c00ac59ded...e6ec14645b1b55ff03d8bc2f09ed7c0eaa68b8c8
