bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Felix,303a0732ddc7c3bb9afd1486e590153490749db2,826b7fc4e9cdeef29ba0834fe9ba6fb09c95622b,FELIX-51,https://issues.apache.org/jira/browse/FELIX-51,https://github.com/apache/felix/tree/303a0732ddc7c3bb9afd1486e590153490749db2,https://github.com/apache/felix/tree/826b7fc4e9cdeef29ba0834fe9ba6fb09c95622b,https://github.com/apache/felix/compare/303a0732ddc7c3bb9afd1486e590153490749db2...826b7fc4e9cdeef29ba0834fe9ba6fb09c95622b
2,Felix,4ecb31433f9c6b091ecd697b236127643e123c4a,da3bf6ee4c8aeb3f90a49e3ad14f77722842e3c1,FELIX-53,https://issues.apache.org/jira/browse/FELIX-53,https://github.com/apache/felix/tree/4ecb31433f9c6b091ecd697b236127643e123c4a,https://github.com/apache/felix/tree/da3bf6ee4c8aeb3f90a49e3ad14f77722842e3c1,https://github.com/apache/felix/compare/4ecb31433f9c6b091ecd697b236127643e123c4a...da3bf6ee4c8aeb3f90a49e3ad14f77722842e3c1
3,Felix,16ec493b1688f8eda698ced71fb4ad81e527591c,391fd8fd9f34002ff65632e4e405141ff28f60ac,FELIX-81,https://issues.apache.org/jira/browse/FELIX-81,https://github.com/apache/felix/tree/16ec493b1688f8eda698ced71fb4ad81e527591c,https://github.com/apache/felix/tree/391fd8fd9f34002ff65632e4e405141ff28f60ac,https://github.com/apache/felix/compare/16ec493b1688f8eda698ced71fb4ad81e527591c...391fd8fd9f34002ff65632e4e405141ff28f60ac
4,Felix,6955bcfe63dc2c19e74c7f6c5be0c79e6990ca8d,9a2b265c812da2cbd921532cbff0a78c0cff756b,FELIX-82,https://issues.apache.org/jira/browse/FELIX-82,https://github.com/apache/felix/tree/6955bcfe63dc2c19e74c7f6c5be0c79e6990ca8d,https://github.com/apache/felix/tree/9a2b265c812da2cbd921532cbff0a78c0cff756b,https://github.com/apache/felix/compare/6955bcfe63dc2c19e74c7f6c5be0c79e6990ca8d...9a2b265c812da2cbd921532cbff0a78c0cff756b
5,Felix,44c6faf5b2c7b280102dc6180450bccb18675f98,514bc668e9a6a1c3cfd019c3bbe1974893777e8e,FELIX-88,https://issues.apache.org/jira/browse/FELIX-88,https://github.com/apache/felix/tree/44c6faf5b2c7b280102dc6180450bccb18675f98,https://github.com/apache/felix/tree/514bc668e9a6a1c3cfd019c3bbe1974893777e8e,https://github.com/apache/felix/compare/44c6faf5b2c7b280102dc6180450bccb18675f98...514bc668e9a6a1c3cfd019c3bbe1974893777e8e
6,Felix,e975abbdec8c0f583bfb1cf50d4f19138295402a,68988f941f34f3d5684f4312e261cda344822fbd,FELIX-89,https://issues.apache.org/jira/browse/FELIX-89,https://github.com/apache/felix/tree/e975abbdec8c0f583bfb1cf50d4f19138295402a,https://github.com/apache/felix/tree/68988f941f34f3d5684f4312e261cda344822fbd,https://github.com/apache/felix/compare/e975abbdec8c0f583bfb1cf50d4f19138295402a...68988f941f34f3d5684f4312e261cda344822fbd
7,Felix,f5df892b5b8834be7272d524f8943ce1423f8ae0,b42c3bc0a43cd2149902a960d454b826a2812764,FELIX-96,https://issues.apache.org/jira/browse/FELIX-96,https://github.com/apache/felix/tree/f5df892b5b8834be7272d524f8943ce1423f8ae0,https://github.com/apache/felix/tree/b42c3bc0a43cd2149902a960d454b826a2812764,https://github.com/apache/felix/compare/f5df892b5b8834be7272d524f8943ce1423f8ae0...b42c3bc0a43cd2149902a960d454b826a2812764
8,Felix,87f8fcba4803ccd2ad138da369ed21093702cd3b,829905b8fe2a180340e944b50e59cc3e5a0a0f00,FELIX-99,https://issues.apache.org/jira/browse/FELIX-99,https://github.com/apache/felix/tree/87f8fcba4803ccd2ad138da369ed21093702cd3b,https://github.com/apache/felix/tree/829905b8fe2a180340e944b50e59cc3e5a0a0f00,https://github.com/apache/felix/compare/87f8fcba4803ccd2ad138da369ed21093702cd3b...829905b8fe2a180340e944b50e59cc3e5a0a0f00
9,Felix,b46aa6fa0802d87b71dfc0b8419df1aef65454cf,d64965620accd9e91c308399a03cd32ec31276a9,FELIX-99,https://issues.apache.org/jira/browse/FELIX-99,https://github.com/apache/felix/tree/b46aa6fa0802d87b71dfc0b8419df1aef65454cf,https://github.com/apache/felix/tree/d64965620accd9e91c308399a03cd32ec31276a9,https://github.com/apache/felix/compare/b46aa6fa0802d87b71dfc0b8419df1aef65454cf...d64965620accd9e91c308399a03cd32ec31276a9
10,Felix,bbbf89c0617302e224f30a9a57255a57005d456e,6c00c749ac2ae2d6f98cde2a935de79ace3103e1,FELIX-103,https://issues.apache.org/jira/browse/FELIX-103,https://github.com/apache/felix/tree/bbbf89c0617302e224f30a9a57255a57005d456e,https://github.com/apache/felix/tree/6c00c749ac2ae2d6f98cde2a935de79ace3103e1,https://github.com/apache/felix/compare/bbbf89c0617302e224f30a9a57255a57005d456e...6c00c749ac2ae2d6f98cde2a935de79ace3103e1
