bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Flake8,2249538ba87bbfbb75ccf5862590dde2c78886f2,df9d60ff733b3e846b923b05da4a7daf664966a0,46,https://github.com/PyCQA/flake8/issues/46,https://github.com/PyCQA/flake8/tree/2249538ba87bbfbb75ccf5862590dde2c78886f2,https://github.com/PyCQA/flake8/tree/df9d60ff733b3e846b923b05da4a7daf664966a0,https://github.com/PyCQA/flake8/compare/2249538ba87bbfbb75ccf5862590dde2c78886f2...df9d60ff733b3e846b923b05da4a7daf664966a0
2,Flake8,d79a2e5bc72e6e3c1a6e3d1a590c9a74fa28c00a,625694094c51272910d8025725cd4de979ca9525,50,https://github.com/PyCQA/flake8/issues/50,https://github.com/PyCQA/flake8/tree/d79a2e5bc72e6e3c1a6e3d1a590c9a74fa28c00a,https://github.com/PyCQA/flake8/tree/625694094c51272910d8025725cd4de979ca9525,https://github.com/PyCQA/flake8/compare/d79a2e5bc72e6e3c1a6e3d1a590c9a74fa28c00a...625694094c51272910d8025725cd4de979ca9525
3,Flake8,0d3cc25400c771d3f7f24ef8bb3e6d585852b5c6,8eec1e5e116feaaa1587a37b5974d664728fff51,57,https://github.com/PyCQA/flake8/issues/57,https://github.com/PyCQA/flake8/tree/0d3cc25400c771d3f7f24ef8bb3e6d585852b5c6,https://github.com/PyCQA/flake8/tree/8eec1e5e116feaaa1587a37b5974d664728fff51,https://github.com/PyCQA/flake8/compare/0d3cc25400c771d3f7f24ef8bb3e6d585852b5c6...8eec1e5e116feaaa1587a37b5974d664728fff51
4,Flake8,8eec1e5e116feaaa1587a37b5974d664728fff51,e236b7f6b33590b49b87462b199d16fee2e8fd55,55,https://github.com/PyCQA/flake8/issues/55,https://github.com/PyCQA/flake8/tree/8eec1e5e116feaaa1587a37b5974d664728fff51,https://github.com/PyCQA/flake8/tree/e236b7f6b33590b49b87462b199d16fee2e8fd55,https://github.com/PyCQA/flake8/compare/8eec1e5e116feaaa1587a37b5974d664728fff51...e236b7f6b33590b49b87462b199d16fee2e8fd55
5,Flake8,264bc0370ac3fc82f22b0f370c91bd0a12603c10,e9366a904ee05844b33e0858075018aa6652cd6e,54,https://github.com/PyCQA/flake8/issues/54,https://github.com/PyCQA/flake8/tree/264bc0370ac3fc82f22b0f370c91bd0a12603c10,https://github.com/PyCQA/flake8/tree/e9366a904ee05844b33e0858075018aa6652cd6e,https://github.com/PyCQA/flake8/compare/264bc0370ac3fc82f22b0f370c91bd0a12603c10...e9366a904ee05844b33e0858075018aa6652cd6e
6,Flake8,a88ec88c62ab08b92d8dc55e3a4c807e4d31f4fa,1d247709a0f61afe222a330ed0e2f0342bf61e63,56,https://github.com/PyCQA/flake8/issues/56,https://github.com/PyCQA/flake8/tree/a88ec88c62ab08b92d8dc55e3a4c807e4d31f4fa,https://github.com/PyCQA/flake8/tree/1d247709a0f61afe222a330ed0e2f0342bf61e63,https://github.com/PyCQA/flake8/compare/a88ec88c62ab08b92d8dc55e3a4c807e4d31f4fa...1d247709a0f61afe222a330ed0e2f0342bf61e63
7,Flake8,8a325260227dc1791f804374ace3a71f2d0517e1,42231ff1ecd5459402afebf3d5d2f21e579cd161,58,https://github.com/PyCQA/flake8/issues/58,https://github.com/PyCQA/flake8/tree/8a325260227dc1791f804374ace3a71f2d0517e1,https://github.com/PyCQA/flake8/tree/42231ff1ecd5459402afebf3d5d2f21e579cd161,https://github.com/PyCQA/flake8/compare/8a325260227dc1791f804374ace3a71f2d0517e1...42231ff1ecd5459402afebf3d5d2f21e579cd161
8,Flake8,42231ff1ecd5459402afebf3d5d2f21e579cd161,5ab98117ba9fdab39a288e5922cdfbebf6031afd,66,https://github.com/PyCQA/flake8/issues/66,https://github.com/PyCQA/flake8/tree/42231ff1ecd5459402afebf3d5d2f21e579cd161,https://github.com/PyCQA/flake8/tree/5ab98117ba9fdab39a288e5922cdfbebf6031afd,https://github.com/PyCQA/flake8/compare/42231ff1ecd5459402afebf3d5d2f21e579cd161...5ab98117ba9fdab39a288e5922cdfbebf6031afd
9,Flake8,10cc0f3391cfa3ef952d79b899bacfbaded6709f,064f986d9a42201442e5d9cf2186afdcaa106bbf,69,https://github.com/PyCQA/flake8/issues/69,https://github.com/PyCQA/flake8/tree/10cc0f3391cfa3ef952d79b899bacfbaded6709f,https://github.com/PyCQA/flake8/tree/064f986d9a42201442e5d9cf2186afdcaa106bbf,https://github.com/PyCQA/flake8/compare/10cc0f3391cfa3ef952d79b899bacfbaded6709f...064f986d9a42201442e5d9cf2186afdcaa106bbf
10,Flake8,eb327cafb117cb405f924ad2603057eb4d275ef5,ea1c29ca2e2322653b96c28f4912eb5765f99921,86,https://github.com/PyCQA/flake8/issues/86,https://github.com/PyCQA/flake8/tree/eb327cafb117cb405f924ad2603057eb4d275ef5,https://github.com/PyCQA/flake8/tree/ea1c29ca2e2322653b96c28f4912eb5765f99921,https://github.com/PyCQA/flake8/compare/eb327cafb117cb405f924ad2603057eb4d275ef5...ea1c29ca2e2322653b96c28f4912eb5765f99921
11,Flake8,ea1c29ca2e2322653b96c28f4912eb5765f99921,98441425286c39a63d32ec9217763e843afac354,87,https://github.com/PyCQA/flake8/issues/87,https://github.com/PyCQA/flake8/tree/ea1c29ca2e2322653b96c28f4912eb5765f99921,https://github.com/PyCQA/flake8/tree/98441425286c39a63d32ec9217763e843afac354,https://github.com/PyCQA/flake8/compare/ea1c29ca2e2322653b96c28f4912eb5765f99921...98441425286c39a63d32ec9217763e843afac354
12,Flake8,8935e0f5c1cad72a19904b171ae0ca714dcd59d8,4efd19ce093fd7875bfd8f14dce2c584bc06cd30,91,https://github.com/PyCQA/flake8/issues/91,https://github.com/PyCQA/flake8/tree/8935e0f5c1cad72a19904b171ae0ca714dcd59d8,https://github.com/PyCQA/flake8/tree/4efd19ce093fd7875bfd8f14dce2c584bc06cd30,https://github.com/PyCQA/flake8/compare/8935e0f5c1cad72a19904b171ae0ca714dcd59d8...4efd19ce093fd7875bfd8f14dce2c584bc06cd30
13,Flake8,4efd19ce093fd7875bfd8f14dce2c584bc06cd30,d29f822b10221aedb55fdb53089f8b5deed16396,83,https://github.com/PyCQA/flake8/issues/83,https://github.com/PyCQA/flake8/tree/4efd19ce093fd7875bfd8f14dce2c584bc06cd30,https://github.com/PyCQA/flake8/tree/d29f822b10221aedb55fdb53089f8b5deed16396,https://github.com/PyCQA/flake8/compare/4efd19ce093fd7875bfd8f14dce2c584bc06cd30...d29f822b10221aedb55fdb53089f8b5deed16396
14,Flake8,19252c0404a175b93a8a5826892379f241d4863e,45c7138907f7289a2f34394d4ca0a7bbccdcbec0,88,https://github.com/PyCQA/flake8/issues/88,https://github.com/PyCQA/flake8/tree/19252c0404a175b93a8a5826892379f241d4863e,https://github.com/PyCQA/flake8/tree/45c7138907f7289a2f34394d4ca0a7bbccdcbec0,https://github.com/PyCQA/flake8/compare/19252c0404a175b93a8a5826892379f241d4863e...45c7138907f7289a2f34394d4ca0a7bbccdcbec0
15,Flake8,6073c7ad8962f5868e8104079d5ec5183bcecfb2,a6027498a0cf4f9a26ed2531e3d0b66b7fa5afb5,109,https://github.com/PyCQA/flake8/issues/109,https://github.com/PyCQA/flake8/tree/6073c7ad8962f5868e8104079d5ec5183bcecfb2,https://github.com/PyCQA/flake8/tree/a6027498a0cf4f9a26ed2531e3d0b66b7fa5afb5,https://github.com/PyCQA/flake8/compare/6073c7ad8962f5868e8104079d5ec5183bcecfb2...a6027498a0cf4f9a26ed2531e3d0b66b7fa5afb5
16,Flake8,5772f274aacb8ff85675436d5ded2843f0febdec,eb6025ebff4fd3db0899c6a9c6143e70e1285193,144,https://github.com/PyCQA/flake8/issues/144,https://github.com/PyCQA/flake8/tree/5772f274aacb8ff85675436d5ded2843f0febdec,https://github.com/PyCQA/flake8/tree/eb6025ebff4fd3db0899c6a9c6143e70e1285193,https://github.com/PyCQA/flake8/compare/5772f274aacb8ff85675436d5ded2843f0febdec...eb6025ebff4fd3db0899c6a9c6143e70e1285193
