bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Flink,24d00598ab85186dd75f263563273cb3402304c7,c0e76bc0cc296b23df98491ea730a73b43577ddf,FLINK-708,https://issues.apache.org/jira/browse/FLINK-708,https://github.com/apache/flink/tree/24d00598ab85186dd75f263563273cb3402304c7,https://github.com/apache/flink/tree/c0e76bc0cc296b23df98491ea730a73b43577ddf,https://github.com/apache/flink/compare/24d00598ab85186dd75f263563273cb3402304c7...c0e76bc0cc296b23df98491ea730a73b43577ddf
2,Flink,95b0cadc896a8837a417e8eca47ba092166b7c47,e43c165f06f82340aefe00e15909607178450dd9,FLINK-927,https://issues.apache.org/jira/browse/FLINK-927,https://github.com/apache/flink/tree/95b0cadc896a8837a417e8eca47ba092166b7c47,https://github.com/apache/flink/tree/e43c165f06f82340aefe00e15909607178450dd9,https://github.com/apache/flink/compare/95b0cadc896a8837a417e8eca47ba092166b7c47...e43c165f06f82340aefe00e15909607178450dd9
3,Flink,8a5579342a1042781b1f44ae3db0406e6adc5533,c81d7b02e0affb875af2851fc7c611a1976d69a1,FLINK-917,https://issues.apache.org/jira/browse/FLINK-917,https://github.com/apache/flink/tree/8a5579342a1042781b1f44ae3db0406e6adc5533,https://github.com/apache/flink/tree/c81d7b02e0affb875af2851fc7c611a1976d69a1,https://github.com/apache/flink/compare/8a5579342a1042781b1f44ae3db0406e6adc5533...c81d7b02e0affb875af2851fc7c611a1976d69a1
4,Flink,229754d20076fd24f97c3c0b87cbf18828de8e08,31a373930bce27a0d4abc2cbcff4284d5af9002a,FLINK-935,https://issues.apache.org/jira/browse/FLINK-935,https://github.com/apache/flink/tree/229754d20076fd24f97c3c0b87cbf18828de8e08,https://github.com/apache/flink/tree/31a373930bce27a0d4abc2cbcff4284d5af9002a,https://github.com/apache/flink/compare/229754d20076fd24f97c3c0b87cbf18828de8e08...31a373930bce27a0d4abc2cbcff4284d5af9002a
5,Flink,ed7c3f156ec632af6f5764fad8650a771b69c1d7,ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,FLINK-935,https://issues.apache.org/jira/browse/FLINK-935,https://github.com/apache/flink/tree/ed7c3f156ec632af6f5764fad8650a771b69c1d7,https://github.com/apache/flink/tree/ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,https://github.com/apache/flink/compare/ed7c3f156ec632af6f5764fad8650a771b69c1d7...ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f
6,Flink,ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,6a549325f3c1e98b4c353e9bec6f951affb95bc9,FLINK-942,https://issues.apache.org/jira/browse/FLINK-942,https://github.com/apache/flink/tree/ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,https://github.com/apache/flink/tree/6a549325f3c1e98b4c353e9bec6f951affb95bc9,https://github.com/apache/flink/compare/ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f...6a549325f3c1e98b4c353e9bec6f951affb95bc9
7,Flink,6a549325f3c1e98b4c353e9bec6f951affb95bc9,a70de7e3faef8afea0134c8fed1240d742cccb3d,FLINK-930,https://issues.apache.org/jira/browse/FLINK-930,https://github.com/apache/flink/tree/6a549325f3c1e98b4c353e9bec6f951affb95bc9,https://github.com/apache/flink/tree/a70de7e3faef8afea0134c8fed1240d742cccb3d,https://github.com/apache/flink/compare/6a549325f3c1e98b4c353e9bec6f951affb95bc9...a70de7e3faef8afea0134c8fed1240d742cccb3d
8,Flink,3c152760cacb759e6730d15863f1e7fb94b872c9,4b9c71d35fb4a630a4f5024e37c8c1396721ba4e,FLINK-919,https://issues.apache.org/jira/browse/FLINK-919,https://github.com/apache/flink/tree/3c152760cacb759e6730d15863f1e7fb94b872c9,https://github.com/apache/flink/tree/4b9c71d35fb4a630a4f5024e37c8c1396721ba4e,https://github.com/apache/flink/compare/3c152760cacb759e6730d15863f1e7fb94b872c9...4b9c71d35fb4a630a4f5024e37c8c1396721ba4e
9,Flink,1a1a13e06511b5877f909c43f4d4320855490fc8,7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2,FLINK-940,https://issues.apache.org/jira/browse/FLINK-940,https://github.com/apache/flink/tree/1a1a13e06511b5877f909c43f4d4320855490fc8,https://github.com/apache/flink/tree/7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2,https://github.com/apache/flink/compare/1a1a13e06511b5877f909c43f4d4320855490fc8...7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2
10,Flink,7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2,3a452e5bbabe1967ffc04aa34f2959d1efece282,FLINk-941,https://issues.apache.org/jira/browse/FLINK-941,https://github.com/apache/flink/tree/7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2,https://github.com/apache/flink/tree/3a452e5bbabe1967ffc04aa34f2959d1efece282,https://github.com/apache/flink/compare/7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2...3a452e5bbabe1967ffc04aa34f2959d1efece282
