bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,FluentValidation,0b90e50d1a1d61f1d7c3a8a8a0fb53c6ab67b8fe,7de438d9c70e43972e3ca93a03381a7ae1929c29,66,https://github.com/FluentValidation/FluentValidation/issues/66,https://github.com/FluentValidation/FluentValidation/tree/0b90e50d1a1d61f1d7c3a8a8a0fb53c6ab67b8fe,https://github.com/FluentValidation/FluentValidation/tree/7de438d9c70e43972e3ca93a03381a7ae1929c29,https://github.com/FluentValidation/FluentValidation/compare/0b90e50d1a1d61f1d7c3a8a8a0fb53c6ab67b8fe...7de438d9c70e43972e3ca93a03381a7ae1929c29
2,FluentValidation,461976f29553d5e7f02c81bd7562f491d76173a6,40dc6328c6dc58782858658254c7e07e4426f08b,92,https://github.com/FluentValidation/FluentValidation/issues/92,https://github.com/FluentValidation/FluentValidation/tree/461976f29553d5e7f02c81bd7562f491d76173a6,https://github.com/FluentValidation/FluentValidation/tree/40dc6328c6dc58782858658254c7e07e4426f08b,https://github.com/FluentValidation/FluentValidation/compare/461976f29553d5e7f02c81bd7562f491d76173a6...40dc6328c6dc58782858658254c7e07e4426f08b
3,FluentValidation,1f70fd325ad1f2dde683a4233ef61746f280cbd1,10ed5e62f11857aea2ac91fa21955276faff1732,744,https://github.com/FluentValidation/FluentValidation/issues/744,https://github.com/FluentValidation/FluentValidation/tree/1f70fd325ad1f2dde683a4233ef61746f280cbd1,https://github.com/FluentValidation/FluentValidation/tree/10ed5e62f11857aea2ac91fa21955276faff1732,https://github.com/FluentValidation/FluentValidation/compare/1f70fd325ad1f2dde683a4233ef61746f280cbd1...10ed5e62f11857aea2ac91fa21955276faff1732
4,FluentValidation,d83a0d0e65e7c2f6aac94a10fe4cec7c497ca9ea,598f05d44eccc87032da4f86b734f40172de89da,858,https://github.com/FluentValidation/FluentValidation/issues/858,https://github.com/FluentValidation/FluentValidation/tree/d83a0d0e65e7c2f6aac94a10fe4cec7c497ca9ea,https://github.com/FluentValidation/FluentValidation/tree/598f05d44eccc87032da4f86b734f40172de89da,https://github.com/FluentValidation/FluentValidation/compare/d83a0d0e65e7c2f6aac94a10fe4cec7c497ca9ea...598f05d44eccc87032da4f86b734f40172de89da
5,FluentValidation,7daf5e069aec03a195731210ecaa38233df33e33,0718c5e885277286a91628c80ec1fb05cdce5cc0,1470,https://github.com/FluentValidation/FluentValidation/issues/1470,https://github.com/FluentValidation/FluentValidation/tree/7daf5e069aec03a195731210ecaa38233df33e33,https://github.com/FluentValidation/FluentValidation/tree/0718c5e885277286a91628c80ec1fb05cdce5cc0,https://github.com/FluentValidation/FluentValidation/compare/7daf5e069aec03a195731210ecaa38233df33e33...0718c5e885277286a91628c80ec1fb05cdce5cc0
6,FluentValidation,6aeb6b619fa82309443d7b3a5d95a2f18ad1e974,be6a295364ef604dd55c25639f77d6957501f3bd,1528,https://github.com/FluentValidation/FluentValidation/issues/1528,https://github.com/FluentValidation/FluentValidation/tree/6aeb6b619fa82309443d7b3a5d95a2f18ad1e974,https://github.com/FluentValidation/FluentValidation/tree/be6a295364ef604dd55c25639f77d6957501f3bd,https://github.com/FluentValidation/FluentValidation/compare/6aeb6b619fa82309443d7b3a5d95a2f18ad1e974...be6a295364ef604dd55c25639f77d6957501f3bd
7,FluentValidation,a147ef467f9053921b6afab345b581a8d321f201,be10c61ddcfa8725b5b3f9412e1f98a79d8a85ea,1597,https://github.com/FluentValidation/FluentValidation/issues/1597,https://github.com/FluentValidation/FluentValidation/tree/a147ef467f9053921b6afab345b581a8d321f201,https://github.com/FluentValidation/FluentValidation/tree/be10c61ddcfa8725b5b3f9412e1f98a79d8a85ea,https://github.com/FluentValidation/FluentValidation/compare/a147ef467f9053921b6afab345b581a8d321f201...be10c61ddcfa8725b5b3f9412e1f98a79d8a85ea
8,FluentValidation,dbf842fef3df1bfefc456db59b8b40a9c5e2ca7a,1656d84f4d0fa1f244dc0f661f8107e827f6dcfe,1561,https://github.com/FluentValidation/FluentValidation/issues/1561,https://github.com/FluentValidation/FluentValidation/tree/dbf842fef3df1bfefc456db59b8b40a9c5e2ca7a,https://github.com/FluentValidation/FluentValidation/tree/1656d84f4d0fa1f244dc0f661f8107e827f6dcfe,https://github.com/FluentValidation/FluentValidation/compare/dbf842fef3df1bfefc456db59b8b40a9c5e2ca7a...1656d84f4d0fa1f244dc0f661f8107e827f6dcfe
9,FluentValidation,cdf59044b603b4ce07a9c0a74ed60a7737457b8b,34230f457d9058bbf7293d6b16055b7f180a8745,1477,https://github.com/FluentValidation/FluentValidation/issues/1477,https://github.com/FluentValidation/FluentValidation/tree/cdf59044b603b4ce07a9c0a74ed60a7737457b8b,https://github.com/FluentValidation/FluentValidation/tree/34230f457d9058bbf7293d6b16055b7f180a8745,https://github.com/FluentValidation/FluentValidation/compare/cdf59044b603b4ce07a9c0a74ed60a7737457b8b...34230f457d9058bbf7293d6b16055b7f180a8745
10,FluentValidation,f7c334e8ff5bce072bb9edbf2a8962ba581995e4,46a4c418016b8efaa5cbb1f0960b1aa952e5be43,1674,https://github.com/FluentValidation/FluentValidation/issues/1674,https://github.com/FluentValidation/FluentValidation/tree/f7c334e8ff5bce072bb9edbf2a8962ba581995e4,https://github.com/FluentValidation/FluentValidation/tree/46a4c418016b8efaa5cbb1f0960b1aa952e5be43,https://github.com/FluentValidation/FluentValidation/compare/f7c334e8ff5bce072bb9edbf2a8962ba581995e4...46a4c418016b8efaa5cbb1f0960b1aa952e5be43
