bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Fmt,079c6442e1139c959c4253ee294feefbff1ddfb7,921f1bae460ad34a0933b810a694eef1a1868be1,165,https://github.com/fmtlib/fmt/issues/165,https://github.com/fmtlib/fm/tree/079c6442e1139c959c4253ee294feefbff1ddfb7,https://github.com/fmtlib/fm/tree/921f1bae460ad34a0933b810a694eef1a1868be1,https://github.com/fmtlib/fm/compare/079c6442e1139c959c4253ee294feefbff1ddfb7...921f1bae460ad34a0933b810a694eef1a1868be1
2,Fmt,4d521064cf68ce4b8ccca5c70f3b0e2a3ef7544c,d311927c644ce4fe5a32cfbce239b650992052d4,125,https://github.com/fmtlib/fmt/issues/125,https://github.com/fmtlib/fm/tree/4d521064cf68ce4b8ccca5c70f3b0e2a3ef7544c,https://github.com/fmtlib/fm/tree/d311927c644ce4fe5a32cfbce239b650992052d4,https://github.com/fmtlib/fm/compare/4d521064cf68ce4b8ccca5c70f3b0e2a3ef7544c...d311927c644ce4fe5a32cfbce239b650992052d4
3,Fmt,4797ca025eef17b8df42edd8c9bde83c43806bf1,77d3761b5081aa94175af5686371e958e2c249fc,248,https://github.com/fmtlib/fmt/issues/248,https://github.com/fmtlib/fm/tree/4797ca025eef17b8df42edd8c9bde83c43806bf1,https://github.com/fmtlib/fm/tree/77d3761b5081aa94175af5686371e958e2c249fc,https://github.com/fmtlib/fm/compare/4797ca025eef17b8df42edd8c9bde83c43806bf1...77d3761b5081aa94175af5686371e958e2c249fc
4,Fmt,49ccb2e4497ce3d2acae9c0cca81756aa341627d,6c0125785bc39a57a424164dd07393d733c3982c,413,https://github.com/fmtlib/fmt/issues/413,https://github.com/fmtlib/fm/tree/49ccb2e4497ce3d2acae9c0cca81756aa341627d,https://github.com/fmtlib/fm/tree/6c0125785bc39a57a424164dd07393d733c3982c,https://github.com/fmtlib/fm/compare/49ccb2e4497ce3d2acae9c0cca81756aa341627d...6c0125785bc39a57a424164dd07393d733c3982c
5,Fmt,cbac016cced41bdb885fd3b51cecac73a431d966,73ca9948fec907e118c973700b34ae96c69791c0,491,https://github.com/fmtlib/fmt/issues/491,https://github.com/fmtlib/fm/tree/cbac016cced41bdb885fd3b51cecac73a431d966,https://github.com/fmtlib/fm/tree/73ca9948fec907e118c973700b34ae96c69791c0,https://github.com/fmtlib/fm/compare/cbac016cced41bdb885fd3b51cecac73a431d966...73ca9948fec907e118c973700b34ae96c69791c0
6,Fmt,4423490d0b7b84be3457f74032e9fe1bf96d2914,52aabbe7efe9c71c24ef1b1397de16c9844eea5d,505,https://github.com/fmtlib/fmt/issues/505,https://github.com/fmtlib/fm/tree/4423490d0b7b84be3457f74032e9fe1bf96d2914,https://github.com/fmtlib/fm/tree/52aabbe7efe9c71c24ef1b1397de16c9844eea5d,https://github.com/fmtlib/fm/compare/4423490d0b7b84be3457f74032e9fe1bf96d2914...52aabbe7efe9c71c24ef1b1397de16c9844eea5d
7,Fmt,7bab90e52d110d81b5e48f829af89b717d99fe9a,9c5f54a723bbfeba78d9a4767ec950370a5d81fe,2,https://github.com/fmtlib/fmt/issues/2,https://github.com/fmtlib/fm/tree/7bab90e52d110d81b5e48f829af89b717d99fe9a,https://github.com/fmtlib/fm/tree/9c5f54a723bbfeba78d9a4767ec950370a5d81fe,https://github.com/fmtlib/fm/compare/7bab90e52d110d81b5e48f829af89b717d99fe9a...9c5f54a723bbfeba78d9a4767ec950370a5d81fe
8,Fmt,9c5f54a723bbfeba78d9a4767ec950370a5d81fe,400667857788337b2548629a35068bcd5cec782e,678,https://github.com/fmtlib/fmt/issues/678,https://github.com/fmtlib/fm/tree/9c5f54a723bbfeba78d9a4767ec950370a5d81fe,https://github.com/fmtlib/fm/tree/400667857788337b2548629a35068bcd5cec782e,https://github.com/fmtlib/fm/compare/9c5f54a723bbfeba78d9a4767ec950370a5d81fe...400667857788337b2548629a35068bcd5cec782e
9,Fmt,4fea018b2d3de314120a79e638499319f183429b,7a41d61d798a5cb7f56007e20c9fc8bf0a635f4d,687,https://github.com/fmtlib/fmt/issues/687,https://github.com/fmtlib/fm/tree/4fea018b2d3de314120a79e638499319f183429b,https://github.com/fmtlib/fm/tree/7a41d61d798a5cb7f56007e20c9fc8bf0a635f4d,https://github.com/fmtlib/fm/compare/4fea018b2d3de314120a79e638499319f183429b...7a41d61d798a5cb7f56007e20c9fc8bf0a635f4d
10,Fmt,b1f68c43b5e3296a957773efede63e5b511c1a53,90ff31b38e68f9c2b680131bc8cbbb6c0653dac3,715,https://github.com/fmtlib/fmt/issues/715,https://github.com/fmtlib/fm/tree/b1f68c43b5e3296a957773efede63e5b511c1a53,https://github.com/fmtlib/fm/tree/90ff31b38e68f9c2b680131bc8cbbb6c0653dac3,https://github.com/fmtlib/fm/compare/b1f68c43b5e3296a957773efede63e5b511c1a53...90ff31b38e68f9c2b680131bc8cbbb6c0653dac3
