bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,GRPC,0cde9a7550f22542a994e2e9f844023fb103d85d,e81002cfdac59870de1909617c9cc63d612f2c78,32486,https://github.com/grpc/grpc/issues/32486,https://github.com/grpc/grpc/tree/0cde9a7550f22542a994e2e9f844023fb103d85d,https://github.com/grpc/grpc/tree/e81002cfdac59870de1909617c9cc63d612f2c78,https://github.com/grpc/grpc/compare/0cde9a7550f22542a994e2e9f844023fb103d85d...e81002cfdac59870de1909617c9cc63d612f2c78
2,GRPC,1b479bdda30fa4da965fcf46eba9c62bfcc9582a,2c423d277c9dccb762debe6aa16cd2df59aad915,32967,https://github.com/grpc/grpc/issues/32967,https://github.com/grpc/grpc/tree/1b479bdda30fa4da965fcf46eba9c62bfcc9582a,https://github.com/grpc/grpc/tree/2c423d277c9dccb762debe6aa16cd2df59aad915,https://github.com/grpc/grpc/compare/1b479bdda30fa4da965fcf46eba9c62bfcc9582a...2c423d277c9dccb762debe6aa16cd2df59aad915
3,GRPC,1b01336504774ae515f600018ac582d590ab6e21,74d00f2c9c483bebcc4e347d3286fea20889ec9a,32899,https://github.com/grpc/grpc/issues/32899,https://github.com/grpc/grpc/tree/1b01336504774ae515f600018ac582d590ab6e21,https://github.com/grpc/grpc/tree/74d00f2c9c483bebcc4e347d3286fea20889ec9a,https://github.com/grpc/grpc/compare/1b01336504774ae515f600018ac582d590ab6e21...74d00f2c9c483bebcc4e347d3286fea20889ec9a
4,GRPC,272a89ad2b99d4cfb17e8a259b6d8435b85bbf34,9d765860efc2ab80676d183ff366a4dce174ca41,32738,https://github.com/grpc/grpc/issues/32738,https://github.com/grpc/grpc/tree/272a89ad2b99d4cfb17e8a259b6d8435b85bbf34,https://github.com/grpc/grpc/tree/9d765860efc2ab80676d183ff366a4dce174ca41,https://github.com/grpc/grpc/compare/272a89ad2b99d4cfb17e8a259b6d8435b85bbf34...9d765860efc2ab80676d183ff366a4dce174ca41
5,GRPC,de6ed9ba9fd59f753bbfd4c9a88ff15e03a89de7,c450a9d4eb691ebeb0f417c2bdf372d8eabe377b,33308,https://github.com/grpc/grpc/issues/33308,https://github.com/grpc/grpc/tree/de6ed9ba9fd59f753bbfd4c9a88ff15e03a89de7,https://github.com/grpc/grpc/tree/c450a9d4eb691ebeb0f417c2bdf372d8eabe377b,https://github.com/grpc/grpc/compare/de6ed9ba9fd59f753bbfd4c9a88ff15e03a89de7...c450a9d4eb691ebeb0f417c2bdf372d8eabe377b
6,GRPC,d8db05a068d124d4452284b287bdeb15c85d7590,1b31c6e0ba711787c05e8e78719896a682fca102,32977,https://github.com/grpc/grpc/issues/32977,https://github.com/grpc/grpc/tree/d8db05a068d124d4452284b287bdeb15c85d7590,https://github.com/grpc/grpc/tree/1b31c6e0ba711787c05e8e78719896a682fca102,https://github.com/grpc/grpc/compare/d8db05a068d124d4452284b287bdeb15c85d7590...1b31c6e0ba711787c05e8e78719896a682fca102
7,GRPC,297db35a58da39462eb36ad75e497a97a65d0efd,6076825390164c51a0017cb2893de708a0e3b338,33483,https://github.com/grpc/grpc/issues/33483,https://github.com/grpc/grpc/tree/297db35a58da39462eb36ad75e497a97a65d0efd,https://github.com/grpc/grpc/tree/6076825390164c51a0017cb2893de708a0e3b338,https://github.com/grpc/grpc/compare/297db35a58da39462eb36ad75e497a97a65d0efd...6076825390164c51a0017cb2893de708a0e3b338
8,GRPC,b32d94de05550ed15f4394b9e4b33bee733dfd89,a1ce2538263ffe02fcbfa42a9129a38010dc7973,32322,https://github.com/grpc/grpc/issues/32322,https://github.com/grpc/grpc/tree/b32d94de05550ed15f4394b9e4b33bee733dfd89,https://github.com/grpc/grpc/tree/a1ce2538263ffe02fcbfa42a9129a38010dc7973,https://github.com/grpc/grpc/compare/b32d94de05550ed15f4394b9e4b33bee733dfd89...a1ce2538263ffe02fcbfa42a9129a38010dc7973
9,GRPC,430d358f70eeec4f3c9f6e146531c814df7fcc66,157d8e23c814936d60e55e96bf650db240883d57,34113,https://github.com/grpc/grpc/issues/34113,https://github.com/grpc/grpc/tree/430d358f70eeec4f3c9f6e146531c814df7fcc66,https://github.com/grpc/grpc/tree/157d8e23c814936d60e55e96bf650db240883d57,https://github.com/grpc/grpc/compare/430d358f70eeec4f3c9f6e146531c814df7fcc66...157d8e23c814936d60e55e96bf650db240883d57
10,GRPC,ab806f4219d3c2772846a4f247593f8a12a56204,d0d826750f3f5eeb8d37de9448341d462944ebf4,32848,https://github.com/grpc/grpc/issues/32848,https://github.com/grpc/grpc/tree/ab806f4219d3c2772846a4f247593f8a12a56204,https://github.com/grpc/grpc/tree/d0d826750f3f5eeb8d37de9448341d462944ebf4,https://github.com/grpc/grpc/compare/ab806f4219d3c2772846a4f247593f8a12a56204...d0d826750f3f5eeb8d37de9448341d462944ebf4
