bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,GoRedis,7cda614ca1cc29050ad11a3547b177b0baf1d9e5,4ef326c3abf62f64d37ecdfe6933f12fe5a41de2,1,https://github.com/redis/go-redis/issues/1,https://github.com/redis/go-redis/tree/7cda614ca1cc29050ad11a3547b177b0baf1d9e5,https://github.com/redis/go-redis/tree/4ef326c3abf62f64d37ecdfe6933f12fe5a41de2,https://github.com/redis/go-redis/compare/7cda614ca1cc29050ad11a3547b177b0baf1d9e5...4ef326c3abf62f64d37ecdfe6933f12fe5a41de2
2,GoRedis,af4ea559fe79147506d23412c12568e645f2408a,82a41314a092edf9560e068d2c320da1fc6fba2a,18,https://github.com/redis/go-redis/issues/18,https://github.com/redis/go-redis/tree/af4ea559fe79147506d23412c12568e645f2408a,https://github.com/redis/go-redis/tree/82a41314a092edf9560e068d2c320da1fc6fba2a,https://github.com/redis/go-redis/compare/af4ea559fe79147506d23412c12568e645f2408a...82a41314a092edf9560e068d2c320da1fc6fba2a
3,GoRedis,62e78627c138e723597049d60375f3157a67f5c8,3e63a8337d9c12d7996fee65a7e4ef48509fdfb5,22,https://github.com/redis/go-redis/issues/22,https://github.com/redis/go-redis/tree/62e78627c138e723597049d60375f3157a67f5c8,https://github.com/redis/go-redis/tree/3e63a8337d9c12d7996fee65a7e4ef48509fdfb5,https://github.com/redis/go-redis/compare/62e78627c138e723597049d60375f3157a67f5c8...3e63a8337d9c12d7996fee65a7e4ef48509fdfb5
4,GoRedis,9d23f2cf26bd12c58937129e08d68f5ab78f0582,75754ff436e4e94f24b01eb46cf0dec5a42f6507,25,https://github.com/redis/go-redis/issues/25,https://github.com/redis/go-redis/tree/9d23f2cf26bd12c58937129e08d68f5ab78f0582,https://github.com/redis/go-redis/tree/75754ff436e4e94f24b01eb46cf0dec5a42f6507,https://github.com/redis/go-redis/compare/9d23f2cf26bd12c58937129e08d68f5ab78f0582...75754ff436e4e94f24b01eb46cf0dec5a42f6507
5,GoRedis,f76984bbcf9cc19b0dbba74d85937307ea8509a5,df12cdcfafdc2b427acbca3d11e9967577867307,28,https://github.com/redis/go-redis/issues/28,https://github.com/redis/go-redis/tree/f76984bbcf9cc19b0dbba74d85937307ea8509a5,https://github.com/redis/go-redis/tree/df12cdcfafdc2b427acbca3d11e9967577867307,https://github.com/redis/go-redis/compare/f76984bbcf9cc19b0dbba74d85937307ea8509a5...df12cdcfafdc2b427acbca3d11e9967577867307
6,GoRedis,dc9bffa57da5d18e5a1e852784a8c0cfd570072f,537971dca135946da69e1ab31cf74e3db819b2e9,31,https://github.com/redis/go-redis/issues/31,https://github.com/redis/go-redis/tree/dc9bffa57da5d18e5a1e852784a8c0cfd570072f,https://github.com/redis/go-redis/tree/537971dca135946da69e1ab31cf74e3db819b2e9,https://github.com/redis/go-redis/compare/dc9bffa57da5d18e5a1e852784a8c0cfd570072f...537971dca135946da69e1ab31cf74e3db819b2e9
7,GoRedis,f790046fea2a4a65a5d9a18fe106aa531381b639,6f79953aa52c08581a5ce5a9a0dafa89d79ba390,48,https://github.com/redis/go-redis/issues/48,https://github.com/redis/go-redis/tree/f790046fea2a4a65a5d9a18fe106aa531381b639,https://github.com/redis/go-redis/tree/6f79953aa52c08581a5ce5a9a0dafa89d79ba390,https://github.com/redis/go-redis/compare/f790046fea2a4a65a5d9a18fe106aa531381b639...6f79953aa52c08581a5ce5a9a0dafa89d79ba390
8,GoRedis,66cbad53a1466a9d072701a9ee7cc9e067fde5c8,78cf6f5eae2489a9dd3ab63fc0ce598f35194dc7,57,https://github.com/redis/go-redis/issues/57,https://github.com/redis/go-redis/tree/66cbad53a1466a9d072701a9ee7cc9e067fde5c8,https://github.com/redis/go-redis/tree/78cf6f5eae2489a9dd3ab63fc0ce598f35194dc7,https://github.com/redis/go-redis/compare/66cbad53a1466a9d072701a9ee7cc9e067fde5c8...78cf6f5eae2489a9dd3ab63fc0ce598f35194dc7
9,GoRedis,2dc0bd1c0a67b1c6109038f018f7fef8f55854d1,026823f334a30ff7f63ccd38ad96d4e91bd8ab88,56,https://github.com/redis/go-redis/issues/56,https://github.com/redis/go-redis/tree/2dc0bd1c0a67b1c6109038f018f7fef8f55854d1,https://github.com/redis/go-redis/tree/026823f334a30ff7f63ccd38ad96d4e91bd8ab88,https://github.com/redis/go-redis/compare/2dc0bd1c0a67b1c6109038f018f7fef8f55854d1...026823f334a30ff7f63ccd38ad96d4e91bd8ab88
10,GoRedis,2507be6cd22036082eb3ece887a237afd75cbea6,8c67e00efc41fac0745675b2ec90c0ee24a2dbc0,84,https://github.com/redis/go-redis/issues/84,https://github.com/redis/go-redis/tree/2507be6cd22036082eb3ece887a237afd75cbea6,https://github.com/redis/go-redis/tree/8c67e00efc41fac0745675b2ec90c0ee24a2dbc0,https://github.com/redis/go-redis/compare/2507be6cd22036082eb3ece887a237afd75cbea6...8c67e00efc41fac0745675b2ec90c0ee24a2dbc0
11,GoRedis,7baacea8fb3cb99899582abb6fa2b5c280ce015d,029065eb68819816ef5da0343397d4cefbba7ad0,135,https://github.com/redis/go-redis/issues/135,https://github.com/redis/go-redis/tree/7baacea8fb3cb99899582abb6fa2b5c280ce015d,https://github.com/redis/go-redis/tree/029065eb68819816ef5da0343397d4cefbba7ad0,https://github.com/redis/go-redis/compare/7baacea8fb3cb99899582abb6fa2b5c280ce015d...029065eb68819816ef5da0343397d4cefbba7ad0
12,GoRedis,0e6443b1ac44a67023a14449e3079f4ecb4aaa20,c0b0c99ec5ebf3d86f93db4e4ab929dadf74667d,143,https://github.com/redis/go-redis/issues/143,https://github.com/redis/go-redis/tree/0e6443b1ac44a67023a14449e3079f4ecb4aaa20,https://github.com/redis/go-redis/tree/c0b0c99ec5ebf3d86f93db4e4ab929dadf74667d,https://github.com/redis/go-redis/compare/0e6443b1ac44a67023a14449e3079f4ecb4aaa20...c0b0c99ec5ebf3d86f93db4e4ab929dadf74667d
13,GoRedis,5a3d095460ed7b8a253e137d8c86463fda33135c,37782aca57a983ce94dd1d70fdca32af956120a7,149,https://github.com/redis/go-redis/issues/149,https://github.com/redis/go-redis/tree/5a3d095460ed7b8a253e137d8c86463fda33135c,https://github.com/redis/go-redis/tree/37782aca57a983ce94dd1d70fdca32af956120a7,https://github.com/redis/go-redis/compare/5a3d095460ed7b8a253e137d8c86463fda33135c...37782aca57a983ce94dd1d70fdca32af956120a7
14,GoRedis,391c319c78e87e39ef51639b69d20216837c30bf,b7e0e5aa0d1796710c80dc4c135308e6be95533b,151,https://github.com/redis/go-redis/issues/151,https://github.com/redis/go-redis/tree/391c319c78e87e39ef51639b69d20216837c30bf,https://github.com/redis/go-redis/tree/b7e0e5aa0d1796710c80dc4c135308e6be95533b,https://github.com/redis/go-redis/compare/391c319c78e87e39ef51639b69d20216837c30bf...b7e0e5aa0d1796710c80dc4c135308e6be95533b
15,GoRedis,73e1e9f501e946d35387e30f49ef58adda82b4ee,9ead45f9e902067a5690758f6138234b08a0db13,155,https://github.com/redis/go-redis/issues/155,https://github.com/redis/go-redis/tree/73e1e9f501e946d35387e30f49ef58adda82b4ee,https://github.com/redis/go-redis/tree/9ead45f9e902067a5690758f6138234b08a0db13,https://github.com/redis/go-redis/compare/73e1e9f501e946d35387e30f49ef58adda82b4ee...9ead45f9e902067a5690758f6138234b08a0db13
16,GoRedis,02154c3b3a1dfb783d9ceb94e10f0fc8451bddfc,c809246d8b39d8bbe9d03b67fee954081a863f32,166,https://github.com/redis/go-redis/issues/166,https://github.com/redis/go-redis/tree/02154c3b3a1dfb783d9ceb94e10f0fc8451bddfc,https://github.com/redis/go-redis/tree/c809246d8b39d8bbe9d03b67fee954081a863f32,https://github.com/redis/go-redis/compare/02154c3b3a1dfb783d9ceb94e10f0fc8451bddfc...c809246d8b39d8bbe9d03b67fee954081a863f32
17,GoRedis,a2dba7df0c45894cc382ca0e6d5b9ec8ff0cee56,d0d3920e69467352e1ea1b3edf28e2aa2c6e9b4a,166,https://github.com/redis/go-redis/issues/166,https://github.com/redis/go-redis/tree/a2dba7df0c45894cc382ca0e6d5b9ec8ff0cee56,https://github.com/redis/go-redis/tree/d0d3920e69467352e1ea1b3edf28e2aa2c6e9b4a,https://github.com/redis/go-redis/compare/a2dba7df0c45894cc382ca0e6d5b9ec8ff0cee56...d0d3920e69467352e1ea1b3edf28e2aa2c6e9b4a
18,GoRedis,22ed1e8f5bd4a601ec1915b4b61dd1b000e8ef0b,fb44c891ddccc854c418bca59d23bc58f751761a,195,https://github.com/redis/go-redis/issues/195,https://github.com/redis/go-redis/tree/22ed1e8f5bd4a601ec1915b4b61dd1b000e8ef0b,https://github.com/redis/go-redis/tree/fb44c891ddccc854c418bca59d23bc58f751761a,https://github.com/redis/go-redis/compare/22ed1e8f5bd4a601ec1915b4b61dd1b000e8ef0b...fb44c891ddccc854c418bca59d23bc58f751761a
19,GoRedis,54a9acc11fe8e6aa91905e3c032aa8b4f871bc9b,83b8c0a9c04292433a8fafe784958a28939a5073,206,https://github.com/redis/go-redis/issues/206,https://github.com/redis/go-redis/tree/54a9acc11fe8e6aa91905e3c032aa8b4f871bc9b,https://github.com/redis/go-redis/tree/83b8c0a9c04292433a8fafe784958a28939a5073,https://github.com/redis/go-redis/compare/54a9acc11fe8e6aa91905e3c032aa8b4f871bc9b...83b8c0a9c04292433a8fafe784958a28939a5073
20,GoRedis,dd1ac33826064181d7abaa20d976eab31ec12b58,3ed364e92ae4c5a756349a48f0eba281ebe01180,246,https://github.com/redis/go-redis/issues/246,https://github.com/redis/go-redis/tree/dd1ac33826064181d7abaa20d976eab31ec12b58,https://github.com/redis/go-redis/tree/3ed364e92ae4c5a756349a48f0eba281ebe01180,https://github.com/redis/go-redis/compare/dd1ac33826064181d7abaa20d976eab31ec12b58...3ed364e92ae4c5a756349a48f0eba281ebe01180
21,GoRedis,538069c33f3d10eef8d385146714016465162ce7,d3ee281748d0ffc71c4c9d36e9c3f7d6eecdde2b,250,https://github.com/redis/go-redis/issues/250,https://github.com/redis/go-redis/tree/538069c33f3d10eef8d385146714016465162ce7,https://github.com/redis/go-redis/tree/d3ee281748d0ffc71c4c9d36e9c3f7d6eecdde2b,https://github.com/redis/go-redis/compare/538069c33f3d10eef8d385146714016465162ce7...d3ee281748d0ffc71c4c9d36e9c3f7d6eecdde2b
22,GoRedis,298fdec44579d427ee4c50483e5ccda1ebdcc204,e750d2b7e27a245b1cb64af101cc4b1005d38fe4,256,https://github.com/redis/go-redis/issues/256,https://github.com/redis/go-redis/tree/298fdec44579d427ee4c50483e5ccda1ebdcc204,https://github.com/redis/go-redis/tree/e750d2b7e27a245b1cb64af101cc4b1005d38fe4,https://github.com/redis/go-redis/compare/298fdec44579d427ee4c50483e5ccda1ebdcc204...e750d2b7e27a245b1cb64af101cc4b1005d38fe4
23,GoRedis,0382d1e980729491f4b0909b5a3309a98d49f718,110e93a8e4e53c2a60d662d414afbdc5b21dff70,260,https://github.com/redis/go-redis/issues/260,https://github.com/redis/go-redis/tree/0382d1e980729491f4b0909b5a3309a98d49f718,https://github.com/redis/go-redis/tree/110e93a8e4e53c2a60d662d414afbdc5b21dff70,https://github.com/redis/go-redis/compare/0382d1e980729491f4b0909b5a3309a98d49f718...110e93a8e4e53c2a60d662d414afbdc5b21dff70
24,GoRedis,a4e4d1da06952ce90d8ec6604261c8a74432b282,78d40d5bd72d988b912c8a32b4ff2505de86c1a8,263,https://github.com/redis/go-redis/issues/263,https://github.com/redis/go-redis/tree/a4e4d1da06952ce90d8ec6604261c8a74432b282,https://github.com/redis/go-redis/tree/78d40d5bd72d988b912c8a32b4ff2505de86c1a8,https://github.com/redis/go-redis/compare/a4e4d1da06952ce90d8ec6604261c8a74432b282...78d40d5bd72d988b912c8a32b4ff2505de86c1a8
25,GoRedis,7116858f6796e0e82dd41581e8fe2988dddc1d4c,43aade818abc9807d0d44017cf56d3705b8c3541,263,https://github.com/redis/go-redis/issues/263,https://github.com/redis/go-redis/tree/7116858f6796e0e82dd41581e8fe2988dddc1d4c,https://github.com/redis/go-redis/tree/43aade818abc9807d0d44017cf56d3705b8c3541,https://github.com/redis/go-redis/compare/7116858f6796e0e82dd41581e8fe2988dddc1d4c...43aade818abc9807d0d44017cf56d3705b8c3541
26,GoRedis,b3514029955f38f2a1120b5c3ad59f241d9eecca,5e5a540eb124a8994ad7302b741e89f1a1f2ef4b,243,https://github.com/redis/go-redis/issues/243,https://github.com/redis/go-redis/tree/b3514029955f38f2a1120b5c3ad59f241d9eecca,https://github.com/redis/go-redis/tree/5e5a540eb124a8994ad7302b741e89f1a1f2ef4b,https://github.com/redis/go-redis/compare/b3514029955f38f2a1120b5c3ad59f241d9eecca...5e5a540eb124a8994ad7302b741e89f1a1f2ef4b
27,GoRedis,b3514029955f38f2a1120b5c3ad59f241d9eecca,7a03514d7fecc92d138a1e4d39358de1c1f87a0d,194,https://github.com/redis/go-redis/issues/194,https://github.com/redis/go-redis/tree/b3514029955f38f2a1120b5c3ad59f241d9eecca,https://github.com/redis/go-redis/tree/7a03514d7fecc92d138a1e4d39358de1c1f87a0d,https://github.com/redis/go-redis/compare/b3514029955f38f2a1120b5c3ad59f241d9eecca...7a03514d7fecc92d138a1e4d39358de1c1f87a0d
28,GoRedis,dd76391eb986c2ea0aba41e9edde61ff7e0d4b28,2e4944712d9d049bf534f94e6d91fe25c8e1b8df,536,https://github.com/redis/go-redis/issues/536,https://github.com/redis/go-redis/tree/dd76391eb986c2ea0aba41e9edde61ff7e0d4b28,https://github.com/redis/go-redis/tree/2e4944712d9d049bf534f94e6d91fe25c8e1b8df,https://github.com/redis/go-redis/compare/dd76391eb986c2ea0aba41e9edde61ff7e0d4b28...2e4944712d9d049bf534f94e6d91fe25c8e1b8df
29,GoRedis,eb066030c08c254136a0dbfe9f7a3625a0871beb,5132e15c9341645161a2a67613de96a134480ee3,578,https://github.com/redis/go-redis/issues/578,https://github.com/redis/go-redis/tree/eb066030c08c254136a0dbfe9f7a3625a0871beb,https://github.com/redis/go-redis/tree/5132e15c9341645161a2a67613de96a134480ee3,https://github.com/redis/go-redis/compare/eb066030c08c254136a0dbfe9f7a3625a0871beb...5132e15c9341645161a2a67613de96a134480ee3
30,GoRedis,8860475391b6b0c2b412b5dbc8b8fb01031fcc6f,55da68487fef554f4dddce83df20916e3558b495,575,https://github.com/redis/go-redis/issues/575,https://github.com/redis/go-redis/tree/8860475391b6b0c2b412b5dbc8b8fb01031fcc6f,https://github.com/redis/go-redis/tree/55da68487fef554f4dddce83df20916e3558b495,https://github.com/redis/go-redis/compare/8860475391b6b0c2b412b5dbc8b8fb01031fcc6f...55da68487fef554f4dddce83df20916e3558b495
31,GoRedis,bd542089bb6e776e6fced5038edac8a0f526aa53,ac9e1abf54f65c2c11acdc67a2dc593b11ecda52,977,https://github.com/redis/go-redis/issues/977,https://github.com/redis/go-redis/tree/bd542089bb6e776e6fced5038edac8a0f526aa53,https://github.com/redis/go-redis/tree/ac9e1abf54f65c2c11acdc67a2dc593b11ecda52,https://github.com/redis/go-redis/compare/bd542089bb6e776e6fced5038edac8a0f526aa53...ac9e1abf54f65c2c11acdc67a2dc593b11ecda52
