bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Google_java_format_core,67c6a53a94e16c97f8dac98eae79df4818f8360b,a7cd9c54024e7170fc58864b0826f84f4a162afd,1,https://github.com/google/google-java-format/issues/1,https://github.com/google/google-java-forma/tree/67c6a53a94e16c97f8dac98eae79df4818f8360b,https://github.com/google/google-java-forma/tree/a7cd9c54024e7170fc58864b0826f84f4a162afd,https://github.com/google/google-java-forma/compare/67c6a53a94e16c97f8dac98eae79df4818f8360b...a7cd9c54024e7170fc58864b0826f84f4a162afd
2,Google_java_format_core,2a6c5f4ba94fe57dd804229fe33f51849d93314d,f2670a9579df1fb94d345d65392bb0cfc55d8d4e,2,https://github.com/google/google-java-format/issues/2,https://github.com/google/google-java-forma/tree/2a6c5f4ba94fe57dd804229fe33f51849d93314d,https://github.com/google/google-java-forma/tree/f2670a9579df1fb94d345d65392bb0cfc55d8d4e,https://github.com/google/google-java-forma/compare/2a6c5f4ba94fe57dd804229fe33f51849d93314d...f2670a9579df1fb94d345d65392bb0cfc55d8d4e
3,Google_java_format_core,3ac8cd841229da83897a5352e90440c8366ee379,332808059c8bf8883f6151430f0f929a8238c09d,12,https://github.com/google/google-java-format/issues/12,https://github.com/google/google-java-forma/tree/3ac8cd841229da83897a5352e90440c8366ee379,https://github.com/google/google-java-forma/tree/332808059c8bf8883f6151430f0f929a8238c09d,https://github.com/google/google-java-forma/compare/3ac8cd841229da83897a5352e90440c8366ee379...332808059c8bf8883f6151430f0f929a8238c09d
4,Google_java_format_core,c4c5df7737b08839491bf9c0c116df56d3f3efb4,1d28d382fc316f27ae455254277e9d33f245ee96,20,https://github.com/google/google-java-format/issues/20,https://github.com/google/google-java-forma/tree/c4c5df7737b08839491bf9c0c116df56d3f3efb4,https://github.com/google/google-java-forma/tree/1d28d382fc316f27ae455254277e9d33f245ee96,https://github.com/google/google-java-forma/compare/c4c5df7737b08839491bf9c0c116df56d3f3efb4...1d28d382fc316f27ae455254277e9d33f245ee96
5,Google_java_format_core,8562aa4659d81e5512ed0c3410154cd7c96cab13,22dd47f5d57d6bc6c4f1b86e95a7e3377c6fca86,23,https://github.com/google/google-java-format/issues/23,https://github.com/google/google-java-forma/tree/8562aa4659d81e5512ed0c3410154cd7c96cab13,https://github.com/google/google-java-forma/tree/22dd47f5d57d6bc6c4f1b86e95a7e3377c6fca86,https://github.com/google/google-java-forma/compare/8562aa4659d81e5512ed0c3410154cd7c96cab13...22dd47f5d57d6bc6c4f1b86e95a7e3377c6fca86
6,Google_java_format_core,19021dc84a5d2066a0f7b1b45e9eb2069b9142d2,9159a98f8040ca40dcaddb577ffcf65af06af56f,25,https://github.com/google/google-java-format/issues/25,https://github.com/google/google-java-forma/tree/19021dc84a5d2066a0f7b1b45e9eb2069b9142d2,https://github.com/google/google-java-forma/tree/9159a98f8040ca40dcaddb577ffcf65af06af56f,https://github.com/google/google-java-forma/compare/19021dc84a5d2066a0f7b1b45e9eb2069b9142d2...9159a98f8040ca40dcaddb577ffcf65af06af56f
7,Google_java_format_core,cf9ce2da6af56fec899c80573fcc33e89c50f990,d695242b7a107b131ee9083d6b29c42fe8e7de4a,47,https://github.com/google/google-java-format/issues/47,https://github.com/google/google-java-forma/tree/cf9ce2da6af56fec899c80573fcc33e89c50f990,https://github.com/google/google-java-forma/tree/d695242b7a107b131ee9083d6b29c42fe8e7de4a,https://github.com/google/google-java-forma/compare/cf9ce2da6af56fec899c80573fcc33e89c50f990...d695242b7a107b131ee9083d6b29c42fe8e7de4a
8,Google_java_format_core,f5f325dea9cf1972dde512da919c87c93baf70a7,7857c33c714062dfcd78bd31b71be433611e7824,7,https://github.com/google/google-java-format/issues/7,https://github.com/google/google-java-forma/tree/f5f325dea9cf1972dde512da919c87c93baf70a7,https://github.com/google/google-java-forma/tree/7857c33c714062dfcd78bd31b71be433611e7824,https://github.com/google/google-java-forma/compare/f5f325dea9cf1972dde512da919c87c93baf70a7...7857c33c714062dfcd78bd31b71be433611e7824
9,Google_java_format_core,70ab4ace7056d50fcfca8a59b63cb5dfb8da095f,9a7a8b43223eae0c1c2f3c0e0ceaeb82f958852f,58,https://github.com/google/google-java-format/issues/58,https://github.com/google/google-java-forma/tree/70ab4ace7056d50fcfca8a59b63cb5dfb8da095f,https://github.com/google/google-java-forma/tree/9a7a8b43223eae0c1c2f3c0e0ceaeb82f958852f,https://github.com/google/google-java-forma/compare/70ab4ace7056d50fcfca8a59b63cb5dfb8da095f...9a7a8b43223eae0c1c2f3c0e0ceaeb82f958852f
10,Google_java_format_core,6c4174aac38802094f2ad5d78044786f001be441,d143f0719b72f48a814ed642a66010e6f7ba7ff4,55,https://github.com/google/google-java-format/issues/55,https://github.com/google/google-java-forma/tree/6c4174aac38802094f2ad5d78044786f001be441,https://github.com/google/google-java-forma/tree/d143f0719b72f48a814ed642a66010e6f7ba7ff4,https://github.com/google/google-java-forma/compare/6c4174aac38802094f2ad5d78044786f001be441...d143f0719b72f48a814ed642a66010e6f7ba7ff4
11,Google_java_format_core,1b28017e453aa1ee4bffb9783d1223d15b54948a,430f9555906158ad7b908a9d3d0905bc86bc5404,65,https://github.com/google/google-java-format/issues/65,https://github.com/google/google-java-forma/tree/1b28017e453aa1ee4bffb9783d1223d15b54948a,https://github.com/google/google-java-forma/tree/430f9555906158ad7b908a9d3d0905bc86bc5404,https://github.com/google/google-java-forma/compare/1b28017e453aa1ee4bffb9783d1223d15b54948a...430f9555906158ad7b908a9d3d0905bc86bc5404
12,Google_java_format_core,430f9555906158ad7b908a9d3d0905bc86bc5404,f24424db94a98c51335b67bac9a590d4e78630ab,66,https://github.com/google/google-java-format/issues/66,https://github.com/google/google-java-forma/tree/430f9555906158ad7b908a9d3d0905bc86bc5404,https://github.com/google/google-java-forma/tree/f24424db94a98c51335b67bac9a590d4e78630ab,https://github.com/google/google-java-forma/compare/430f9555906158ad7b908a9d3d0905bc86bc5404...f24424db94a98c51335b67bac9a590d4e78630ab
13,Google_java_format_core,f24424db94a98c51335b67bac9a590d4e78630ab,dd500c84a9671dab716d6af7c5d5dd9523371cee,68,https://github.com/google/google-java-format/issues/68,https://github.com/google/google-java-forma/tree/f24424db94a98c51335b67bac9a590d4e78630ab,https://github.com/google/google-java-forma/tree/dd500c84a9671dab716d6af7c5d5dd9523371cee,https://github.com/google/google-java-forma/compare/f24424db94a98c51335b67bac9a590d4e78630ab...dd500c84a9671dab716d6af7c5d5dd9523371cee
14,Google_java_format_core,db5aec22b7d6c7c692b369e4372079943377ed5c,3b7ec93449cd45edb7a7e741b88027a9de386503,71,https://github.com/google/google-java-format/issues/71,https://github.com/google/google-java-forma/tree/db5aec22b7d6c7c692b369e4372079943377ed5c,https://github.com/google/google-java-forma/tree/3b7ec93449cd45edb7a7e741b88027a9de386503,https://github.com/google/google-java-forma/compare/db5aec22b7d6c7c692b369e4372079943377ed5c...3b7ec93449cd45edb7a7e741b88027a9de386503
15,Google_java_format_core,428f95bc3e58aa522feb78adef996a768dc84fe3,23822436ae372c6b1a5758952a8b6641fb3adadf,78,https://github.com/google/google-java-format/issues/78,https://github.com/google/google-java-forma/tree/428f95bc3e58aa522feb78adef996a768dc84fe3,https://github.com/google/google-java-forma/tree/23822436ae372c6b1a5758952a8b6641fb3adadf,https://github.com/google/google-java-forma/compare/428f95bc3e58aa522feb78adef996a768dc84fe3...23822436ae372c6b1a5758952a8b6641fb3adadf
16,Google_java_format_core,ba2a958fc7b2452779f99c9246ee0feb07f52815,ddecf1722f162f4f7821f34cb2710c6e73e69d38,81,https://github.com/google/google-java-format/issues/81,https://github.com/google/google-java-forma/tree/ba2a958fc7b2452779f99c9246ee0feb07f52815,https://github.com/google/google-java-forma/tree/ddecf1722f162f4f7821f34cb2710c6e73e69d38,https://github.com/google/google-java-forma/compare/ba2a958fc7b2452779f99c9246ee0feb07f52815...ddecf1722f162f4f7821f34cb2710c6e73e69d38
17,Google_java_format_core,13f608bbd6f3f26c3eec05807b3a37bef9bb7670,0eb220d153f5d7b89b97850078a9a0b8bd00507e,89,https://github.com/google/google-java-format/issues/89,https://github.com/google/google-java-forma/tree/13f608bbd6f3f26c3eec05807b3a37bef9bb7670,https://github.com/google/google-java-forma/tree/0eb220d153f5d7b89b97850078a9a0b8bd00507e,https://github.com/google/google-java-forma/compare/13f608bbd6f3f26c3eec05807b3a37bef9bb7670...0eb220d153f5d7b89b97850078a9a0b8bd00507e
18,Google_java_format_core,3c3dcaebd34108772d7a5b3785a8021fdd017103,ba12d25a08708e8ed641ff286d79b5d6359447df,95,https://github.com/google/google-java-format/issues/95,https://github.com/google/google-java-forma/tree/3c3dcaebd34108772d7a5b3785a8021fdd017103,https://github.com/google/google-java-forma/tree/ba12d25a08708e8ed641ff286d79b5d6359447df,https://github.com/google/google-java-forma/compare/3c3dcaebd34108772d7a5b3785a8021fdd017103...ba12d25a08708e8ed641ff286d79b5d6359447df
19,Google_java_format_core,946e01cc1440cd5f6fdcad11225b62357f1ed910,04b5839cabe473d3d388eb4f2684aa96c621ea3a,98,https://github.com/google/google-java-format/issues/98,https://github.com/google/google-java-forma/tree/946e01cc1440cd5f6fdcad11225b62357f1ed910,https://github.com/google/google-java-forma/tree/04b5839cabe473d3d388eb4f2684aa96c621ea3a,https://github.com/google/google-java-forma/compare/946e01cc1440cd5f6fdcad11225b62357f1ed910...04b5839cabe473d3d388eb4f2684aa96c621ea3a
20,Google_java_format_core,04b5839cabe473d3d388eb4f2684aa96c621ea3a,9fbc6e23de8d4ae1a85187f2ed416dd142c45d6b,101,https://github.com/google/google-java-format/issues/101,https://github.com/google/google-java-forma/tree/04b5839cabe473d3d388eb4f2684aa96c621ea3a,https://github.com/google/google-java-forma/tree/9fbc6e23de8d4ae1a85187f2ed416dd142c45d6b,https://github.com/google/google-java-forma/compare/04b5839cabe473d3d388eb4f2684aa96c621ea3a...9fbc6e23de8d4ae1a85187f2ed416dd142c45d6b
21,Google_java_format_core,9fbc6e23de8d4ae1a85187f2ed416dd142c45d6b,ca17cb5bcfb720c5bf04fd758bf1285df7186ee8,100,https://github.com/google/google-java-format/issues/100,https://github.com/google/google-java-forma/tree/9fbc6e23de8d4ae1a85187f2ed416dd142c45d6b,https://github.com/google/google-java-forma/tree/ca17cb5bcfb720c5bf04fd758bf1285df7186ee8,https://github.com/google/google-java-forma/compare/9fbc6e23de8d4ae1a85187f2ed416dd142c45d6b...ca17cb5bcfb720c5bf04fd758bf1285df7186ee8
22,Google_java_format_core,e6a5660e1bb29c96312aee77908b8d1048b462cb,fee1ed2685f0b4b60cafde2b5204b11ad5bc69c5,169,https://github.com/google/google-java-format/issues/169,https://github.com/google/google-java-forma/tree/e6a5660e1bb29c96312aee77908b8d1048b462cb,https://github.com/google/google-java-forma/tree/fee1ed2685f0b4b60cafde2b5204b11ad5bc69c5,https://github.com/google/google-java-forma/compare/e6a5660e1bb29c96312aee77908b8d1048b462cb...fee1ed2685f0b4b60cafde2b5204b11ad5bc69c5
23,Google_java_format_core,1651bf6c4de9aabe09e3da175127f2ca8b62bc2a,386244c16ac09f8a31367123c47b0a64693cc407,155,https://github.com/google/google-java-format/issues/155,https://github.com/google/google-java-forma/tree/1651bf6c4de9aabe09e3da175127f2ca8b62bc2a,https://github.com/google/google-java-forma/tree/386244c16ac09f8a31367123c47b0a64693cc407,https://github.com/google/google-java-forma/compare/1651bf6c4de9aabe09e3da175127f2ca8b62bc2a...386244c16ac09f8a31367123c47b0a64693cc407
24,Google_java_format_core,57eb2b75c6a2beaf087c59b579c6d1359cf5906e,c31bb191022d549eb612d02129f6fbb70e9d55fe,75,https://github.com/google/google-java-format/issues/75,https://github.com/google/google-java-forma/tree/57eb2b75c6a2beaf087c59b579c6d1359cf5906e,https://github.com/google/google-java-forma/tree/c31bb191022d549eb612d02129f6fbb70e9d55fe,https://github.com/google/google-java-forma/compare/57eb2b75c6a2beaf087c59b579c6d1359cf5906e...c31bb191022d549eb612d02129f6fbb70e9d55fe
