bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Goreleaser,33a1d9479cb9cbc99aa60eadd17df14d0a64eea4,b96da03622a98cdc885805a574579fd53bcf4d36,3,https://github.com/goreleaser/goreleaser/issues/3,https://github.com/goreleaser/goreleaser/tree/33a1d9479cb9cbc99aa60eadd17df14d0a64eea4,https://github.com/goreleaser/goreleaser/tree/b96da03622a98cdc885805a574579fd53bcf4d36,https://github.com/goreleaser/goreleaser/compare/33a1d9479cb9cbc99aa60eadd17df14d0a64eea4...b96da03622a98cdc885805a574579fd53bcf4d36
2,Goreleaser,8e4a5ef322fdcba2e07f14b1f007a32155d38077,5f6df39badc40679b335533b0359fee4c01c7ceb,1,https://github.com/goreleaser/goreleaser/issues/1,https://github.com/goreleaser/goreleaser/tree/8e4a5ef322fdcba2e07f14b1f007a32155d38077,https://github.com/goreleaser/goreleaser/tree/5f6df39badc40679b335533b0359fee4c01c7ceb,https://github.com/goreleaser/goreleaser/compare/8e4a5ef322fdcba2e07f14b1f007a32155d38077...5f6df39badc40679b335533b0359fee4c01c7ceb
3,Goreleaser,bfa4d55db9b39c65dbf912c321981d5df7755178,9203df58df509bc9a99605c3b7071f48e8c573ca,20,https://github.com/goreleaser/goreleaser/issues/20,https://github.com/goreleaser/goreleaser/tree/bfa4d55db9b39c65dbf912c321981d5df7755178,https://github.com/goreleaser/goreleaser/tree/9203df58df509bc9a99605c3b7071f48e8c573ca,https://github.com/goreleaser/goreleaser/compare/bfa4d55db9b39c65dbf912c321981d5df7755178...9203df58df509bc9a99605c3b7071f48e8c573ca
4,Goreleaser,5c5c37897b6960ab5a8c2ee92abdfc9900887315,4369eb3235f9ebf649f05f38f78ea80d642da7fd,37,https://github.com/goreleaser/goreleaser/issues/37,https://github.com/goreleaser/goreleaser/tree/5c5c37897b6960ab5a8c2ee92abdfc9900887315,https://github.com/goreleaser/goreleaser/tree/4369eb3235f9ebf649f05f38f78ea80d642da7fd,https://github.com/goreleaser/goreleaser/compare/5c5c37897b6960ab5a8c2ee92abdfc9900887315...4369eb3235f9ebf649f05f38f78ea80d642da7fd
5,Goreleaser,ef5a7a2fd92b03d5e7010956d36bb61d144b280f,d2b1cb5d263f9982b07f265a5811fe640abf10c2,58,https://github.com/goreleaser/goreleaser/issues/58,https://github.com/goreleaser/goreleaser/tree/ef5a7a2fd92b03d5e7010956d36bb61d144b280f,https://github.com/goreleaser/goreleaser/tree/d2b1cb5d263f9982b07f265a5811fe640abf10c2,https://github.com/goreleaser/goreleaser/compare/ef5a7a2fd92b03d5e7010956d36bb61d144b280f...d2b1cb5d263f9982b07f265a5811fe640abf10c2
6,Goreleaser,3962989f0e8ae383443b4158a6f63ce7d2bb470c,87c5d8651bf6a981ef6b86af5a918f2dfad04a87,16,https://github.com/goreleaser/goreleaser/issues/16,https://github.com/goreleaser/goreleaser/tree/3962989f0e8ae383443b4158a6f63ce7d2bb470c,https://github.com/goreleaser/goreleaser/tree/87c5d8651bf6a981ef6b86af5a918f2dfad04a87,https://github.com/goreleaser/goreleaser/compare/3962989f0e8ae383443b4158a6f63ce7d2bb470c...87c5d8651bf6a981ef6b86af5a918f2dfad04a87
7,Goreleaser,87c5d8651bf6a981ef6b86af5a918f2dfad04a87,446db716b17e1c0032c70812654347caef31c90e,57,https://github.com/goreleaser/goreleaser/issues/57,https://github.com/goreleaser/goreleaser/tree/87c5d8651bf6a981ef6b86af5a918f2dfad04a87,https://github.com/goreleaser/goreleaser/tree/446db716b17e1c0032c70812654347caef31c90e,https://github.com/goreleaser/goreleaser/compare/87c5d8651bf6a981ef6b86af5a918f2dfad04a87...446db716b17e1c0032c70812654347caef31c90e
8,Goreleaser,8c48420367e51d606ea9e513f9476912cfb53c89,04227e950b90cf44e1d2beb283505f3503277901,39,https://github.com/goreleaser/goreleaser/issues/39,https://github.com/goreleaser/goreleaser/tree/8c48420367e51d606ea9e513f9476912cfb53c89,https://github.com/goreleaser/goreleaser/tree/04227e950b90cf44e1d2beb283505f3503277901,https://github.com/goreleaser/goreleaser/compare/8c48420367e51d606ea9e513f9476912cfb53c89...04227e950b90cf44e1d2beb283505f3503277901
9,Goreleaser,82369d5a6e15e250a876b46b73b950dcba112ba5,0d832e01977da30febf47da9a54323f9b1cd403b,68,https://github.com/goreleaser/goreleaser/issues/68,https://github.com/goreleaser/goreleaser/tree/82369d5a6e15e250a876b46b73b950dcba112ba5,https://github.com/goreleaser/goreleaser/tree/0d832e01977da30febf47da9a54323f9b1cd403b,https://github.com/goreleaser/goreleaser/compare/82369d5a6e15e250a876b46b73b950dcba112ba5...0d832e01977da30febf47da9a54323f9b1cd403b
10,Goreleaser,22dd16df81be895f9767516bfd93645e8e13cc77,655e64b4bf4c64443cba86d3a179c5bc9b6d5cfa,72,https://github.com/goreleaser/goreleaser/issues/72,https://github.com/goreleaser/goreleaser/tree/22dd16df81be895f9767516bfd93645e8e13cc77,https://github.com/goreleaser/goreleaser/tree/655e64b4bf4c64443cba86d3a179c5bc9b6d5cfa,https://github.com/goreleaser/goreleaser/compare/22dd16df81be895f9767516bfd93645e8e13cc77...655e64b4bf4c64443cba86d3a179c5bc9b6d5cfa
