bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Gorm,3500dfa1b613500a01a4798d8d17fb4d13d90ad4,fef286a7bccc00174f51522e8c292ec6443a0a89,335,https://github.com/go-gorm/gorm/issues/335,https://github.com/go-gorm/gorm/tree/3500dfa1b613500a01a4798d8d17fb4d13d90ad4,https://github.com/go-gorm/gorm/tree/fef286a7bccc00174f51522e8c292ec6443a0a89,https://github.com/go-gorm/gorm/compare/3500dfa1b613500a01a4798d8d17fb4d13d90ad4...fef286a7bccc00174f51522e8c292ec6443a0a89
2,Gorm,fd9e42655f382e76a4c755a676be827947f23b81,6d91f300f52efe28fbd03d8e5c77d6f6868ad13b,593,https://github.com/go-gorm/gorm/issues/593,https://github.com/go-gorm/gorm/tree/fd9e42655f382e76a4c755a676be827947f23b81,https://github.com/go-gorm/gorm/tree/6d91f300f52efe28fbd03d8e5c77d6f6868ad13b,https://github.com/go-gorm/gorm/compare/fd9e42655f382e76a4c755a676be827947f23b81...6d91f300f52efe28fbd03d8e5c77d6f6868ad13b
3,Gorm,ab1832b9a5db1c1ad60e000e89ac0d7cf99dc973,ff3c23c9e9ec09ce5a3b2c64c5e65567df515355,593,https://github.com/go-gorm/gorm/issues/593,https://github.com/go-gorm/gorm/tree/ab1832b9a5db1c1ad60e000e89ac0d7cf99dc973,https://github.com/go-gorm/gorm/tree/ff3c23c9e9ec09ce5a3b2c64c5e65567df515355,https://github.com/go-gorm/gorm/compare/ab1832b9a5db1c1ad60e000e89ac0d7cf99dc973...ff3c23c9e9ec09ce5a3b2c64c5e65567df515355
4,Gorm,611e613459953787a01c2afc82835aa0ba01a045,a3c1fda7575a4b624bd26aadc9040200c262481d,679,https://github.com/go-gorm/gorm/issues/679,https://github.com/go-gorm/gorm/tree/611e613459953787a01c2afc82835aa0ba01a045,https://github.com/go-gorm/gorm/tree/a3c1fda7575a4b624bd26aadc9040200c262481d,https://github.com/go-gorm/gorm/compare/611e613459953787a01c2afc82835aa0ba01a045...a3c1fda7575a4b624bd26aadc9040200c262481d
5,Gorm,d209be3138acbe304daffee637bc495499c1e70e,5ba59aec5f98be6d48a66448491a4e63658726cf,723,https://github.com/go-gorm/gorm/issues/723,https://github.com/go-gorm/gorm/tree/d209be3138acbe304daffee637bc495499c1e70e,https://github.com/go-gorm/gorm/tree/5ba59aec5f98be6d48a66448491a4e63658726cf,https://github.com/go-gorm/gorm/compare/d209be3138acbe304daffee637bc495499c1e70e...5ba59aec5f98be6d48a66448491a4e63658726cf
6,Gorm,94fb0dd1d4be273b578bb026108d340f0028272d,a7097106b18f4e88ae2c3d5d0c5b927b52cf21a5,784,https://github.com/go-gorm/gorm/issues/784,https://github.com/go-gorm/gorm/tree/94fb0dd1d4be273b578bb026108d340f0028272d,https://github.com/go-gorm/gorm/tree/a7097106b18f4e88ae2c3d5d0c5b927b52cf21a5,https://github.com/go-gorm/gorm/compare/94fb0dd1d4be273b578bb026108d340f0028272d...a7097106b18f4e88ae2c3d5d0c5b927b52cf21a5
7,Gorm,a7097106b18f4e88ae2c3d5d0c5b927b52cf21a5,6546ec3b5e52d1bd9952da38095185132f218bb7,59,https://github.com/go-gorm/gorm/issues/59,https://github.com/go-gorm/gorm/tree/a7097106b18f4e88ae2c3d5d0c5b927b52cf21a5,https://github.com/go-gorm/gorm/tree/6546ec3b5e52d1bd9952da38095185132f218bb7,https://github.com/go-gorm/gorm/compare/a7097106b18f4e88ae2c3d5d0c5b927b52cf21a5...6546ec3b5e52d1bd9952da38095185132f218bb7
8,Gorm,7d5d171168efb5818858569ca9f9fca47677fdbf,2530dcbccd9c9ff7ce5a903e01bbf8601b726112,918,https://github.com/go-gorm/gorm/issues/918,https://github.com/go-gorm/gorm/tree/7d5d171168efb5818858569ca9f9fca47677fdbf,https://github.com/go-gorm/gorm/tree/2530dcbccd9c9ff7ce5a903e01bbf8601b726112,https://github.com/go-gorm/gorm/compare/7d5d171168efb5818858569ca9f9fca47677fdbf...2530dcbccd9c9ff7ce5a903e01bbf8601b726112
9,Gorm,9fd05d1badb059abde5fd97458929dc999f432fd,5174cc5c242a728b435ea2be8a2f7f998e15429b,912,https://github.com/go-gorm/gorm/issues/912,https://github.com/go-gorm/gorm/tree/9fd05d1badb059abde5fd97458929dc999f432fd,https://github.com/go-gorm/gorm/tree/5174cc5c242a728b435ea2be8a2f7f998e15429b,https://github.com/go-gorm/gorm/compare/9fd05d1badb059abde5fd97458929dc999f432fd...5174cc5c242a728b435ea2be8a2f7f998e15429b
10,Gorm,465f8ea05b5638e508d29985eed6615402a9c2eb,3b85ddcc9a9a301b593cffcb92072268eeb5e7cf,979,https://github.com/go-gorm/gorm/issues/979,https://github.com/go-gorm/gorm/tree/465f8ea05b5638e508d29985eed6615402a9c2eb,https://github.com/go-gorm/gorm/tree/3b85ddcc9a9a301b593cffcb92072268eeb5e7cf,https://github.com/go-gorm/gorm/compare/465f8ea05b5638e508d29985eed6615402a9c2eb...3b85ddcc9a9a301b593cffcb92072268eeb5e7cf
11,Gorm,27522453dea253cf90dcb5345286a5fcf0fbed7c,fcf8dd4e2341496a257d2832b2db182c99806581,1051,https://github.com/go-gorm/gorm/issues/1051,https://github.com/go-gorm/gorm/tree/27522453dea253cf90dcb5345286a5fcf0fbed7c,https://github.com/go-gorm/gorm/tree/fcf8dd4e2341496a257d2832b2db182c99806581,https://github.com/go-gorm/gorm/compare/27522453dea253cf90dcb5345286a5fcf0fbed7c...fcf8dd4e2341496a257d2832b2db182c99806581
