bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Graph,3249c5fd606cda769a8c0bbb5788403f57f9d82f,808c1c7512778204b72424bb6a72a6181af4176e,SANDBOX-334,https://issues.apache.org/jira/browse/SANDBOX-334,https://github.com/apache/commons-graph/tree/3249c5fd606cda769a8c0bbb5788403f57f9d82f,https://github.com/apache/commons-graph/tree/808c1c7512778204b72424bb6a72a6181af4176e,https://github.com/apache/commons-graph/compare/3249c5fd606cda769a8c0bbb5788403f57f9d82f...808c1c7512778204b72424bb6a72a6181af4176e
2,Graph,ec6f19a481f194bf40aa1d65551205557e3cdf25,f4b84058e9b50c24302a326857a12fcfc75e67b7,SANDBOX-337,https://issues.apache.org/jira/browse/SANDBOX-337,https://github.com/apache/commons-graph/tree/ec6f19a481f194bf40aa1d65551205557e3cdf25,https://github.com/apache/commons-graph/tree/f4b84058e9b50c24302a326857a12fcfc75e67b7,https://github.com/apache/commons-graph/compare/ec6f19a481f194bf40aa1d65551205557e3cdf25...f4b84058e9b50c24302a326857a12fcfc75e67b7
3,Graph,f1990e8942ec548c3e52e2be8382def91884d31b,7b6463ac2eeadf3d73d457e8ff18ea444b6159e5,SANDBOX-337,https://issues.apache.org/jira/browse/SANDBOX-337,https://github.com/apache/commons-graph/tree/f1990e8942ec548c3e52e2be8382def91884d31b,https://github.com/apache/commons-graph/tree/7b6463ac2eeadf3d73d457e8ff18ea444b6159e5,https://github.com/apache/commons-graph/compare/f1990e8942ec548c3e52e2be8382def91884d31b...7b6463ac2eeadf3d73d457e8ff18ea444b6159e5
4,Graph,7b6463ac2eeadf3d73d457e8ff18ea444b6159e5,8a89bffddac4dd221525ba00b764a66fce9033b2,SANDBOX-336,https://issues.apache.org/jira/browse/SANDBOX-336,https://github.com/apache/commons-graph/tree/7b6463ac2eeadf3d73d457e8ff18ea444b6159e5,https://github.com/apache/commons-graph/tree/8a89bffddac4dd221525ba00b764a66fce9033b2,https://github.com/apache/commons-graph/compare/7b6463ac2eeadf3d73d457e8ff18ea444b6159e5...8a89bffddac4dd221525ba00b764a66fce9033b2
5,Graph,7ca7c50257eb5b161882bf8d86f8fecc1ab55bce,5b5d280a23acc00de2193930152bc70cc1240335,SANDBOX-368,https://issues.apache.org/jira/browse/SANDBOX-368,https://github.com/apache/commons-graph/tree/7ca7c50257eb5b161882bf8d86f8fecc1ab55bce,https://github.com/apache/commons-graph/tree/5b5d280a23acc00de2193930152bc70cc1240335,https://github.com/apache/commons-graph/compare/7ca7c50257eb5b161882bf8d86f8fecc1ab55bce...5b5d280a23acc00de2193930152bc70cc1240335
6,Graph,b81f4a3f2ae58ecd8da9fcae159593399e83b658,3591641cc0de280d9b8135ec6caba1a3417bd5da,SANDBOX-374,https://issues.apache.org/jira/browse/SANDBOX-374,https://github.com/apache/commons-graph/tree/b81f4a3f2ae58ecd8da9fcae159593399e83b658,https://github.com/apache/commons-graph/tree/3591641cc0de280d9b8135ec6caba1a3417bd5da,https://github.com/apache/commons-graph/compare/b81f4a3f2ae58ecd8da9fcae159593399e83b658...3591641cc0de280d9b8135ec6caba1a3417bd5da
7,Graph,1640e343030f51962425ff2dad32e4ea0a5665c5,b650fd96c05d96635a22e33f1eec83ad1db37971,SANDBOX-388,https://issues.apache.org/jira/browse/SANDBOX-388,https://github.com/apache/commons-graph/tree/1640e343030f51962425ff2dad32e4ea0a5665c5,https://github.com/apache/commons-graph/tree/b650fd96c05d96635a22e33f1eec83ad1db37971,https://github.com/apache/commons-graph/compare/1640e343030f51962425ff2dad32e4ea0a5665c5...b650fd96c05d96635a22e33f1eec83ad1db37971
8,Graph,cb0c6b7e7c9316fe89217e40010958e30cd7cfc7,28443c5378e12745049f5cca70935a1d7c4e185a,SANDBOX-391,https://issues.apache.org/jira/browse/SANDBOX-391,https://github.com/apache/commons-graph/tree/cb0c6b7e7c9316fe89217e40010958e30cd7cfc7,https://github.com/apache/commons-graph/tree/28443c5378e12745049f5cca70935a1d7c4e185a,https://github.com/apache/commons-graph/compare/cb0c6b7e7c9316fe89217e40010958e30cd7cfc7...28443c5378e12745049f5cca70935a1d7c4e185a
9,Graph,82837d3a758e84763d3b18c31b3ff688c19fcb49,78adf5ff62084f6eae4fe0f37fc45e382e3888d3,SANDBOX-391,https://issues.apache.org/jira/browse/SANDBOX-391,https://github.com/apache/commons-graph/tree/82837d3a758e84763d3b18c31b3ff688c19fcb49,https://github.com/apache/commons-graph/tree/78adf5ff62084f6eae4fe0f37fc45e382e3888d3,https://github.com/apache/commons-graph/compare/82837d3a758e84763d3b18c31b3ff688c19fcb49...78adf5ff62084f6eae4fe0f37fc45e382e3888d3
10,Graph,832eb9bb0114e354bd910cef1ea2b5f6e0f63b1c,026e464e445eb655b3b745bddaba2d80c12c589b,SANDBOX-425,https://issues.apache.org/jira/browse/SANDBOX-425,https://github.com/apache/commons-graph/tree/832eb9bb0114e354bd910cef1ea2b5f6e0f63b1c,https://github.com/apache/commons-graph/tree/026e464e445eb655b3b745bddaba2d80c12c589b,https://github.com/apache/commons-graph/compare/832eb9bb0114e354bd910cef1ea2b5f6e0f63b1c...026e464e445eb655b3b745bddaba2d80c12c589b
