bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Gson,77e31ed999bfe49aac9981dc661a64b5bba41986,1867457030d3c149566e95a019033cce4ff3cf90,680,https://github.com/google/gson/issues/680,https://github.com/google/gson/tree/77e31ed999bfe49aac9981dc661a64b5bba41986,https://github.com/google/gson/tree/1867457030d3c149566e95a019033cce4ff3cf90,https://github.com/google/gson/compare/77e31ed999bfe49aac9981dc661a64b5bba41986...1867457030d3c149566e95a019033cce4ff3cf90
2,Gson,2271525dd5d50311bd6b9bf8930ef8bb789928cd,74f4f74b8b752d13c14aef448a883a297fe3f764,925,https://github.com/google/gson/issues/925,https://github.com/google/gson/tree/2271525dd5d50311bd6b9bf8930ef8bb789928cd,https://github.com/google/gson/tree/74f4f74b8b752d13c14aef448a883a297fe3f764,https://github.com/google/gson/compare/2271525dd5d50311bd6b9bf8930ef8bb789928cd...74f4f74b8b752d13c14aef448a883a297fe3f764
3,Gson,0aaef0fd1bb1b9729543dc40168adfb829eb75a4,ada597e69a78b8b99f79f79493cbf51e16045202,1090,https://github.com/google/gson/issues/1090,https://github.com/google/gson/tree/0aaef0fd1bb1b9729543dc40168adfb829eb75a4,https://github.com/google/gson/tree/ada597e69a78b8b99f79f79493cbf51e16045202,https://github.com/google/gson/compare/0aaef0fd1bb1b9729543dc40168adfb829eb75a4...ada597e69a78b8b99f79f79493cbf51e16045202
4,Gson,3f4ac29f9112799a7374a99b18acabd0232ff075,e2296f42d553e3f299c7dd2f4d1a4efd60007ade,1390,https://github.com/google/gson/issues/1390,https://github.com/google/gson/tree/3f4ac29f9112799a7374a99b18acabd0232ff075,https://github.com/google/gson/tree/e2296f42d553e3f299c7dd2f4d1a4efd60007ade,https://github.com/google/gson/compare/3f4ac29f9112799a7374a99b18acabd0232ff075...e2296f42d553e3f299c7dd2f4d1a4efd60007ade
5,Gson,27c933527572bf861b8cb45774b0ceaa48b8805c,5bbc768fa6cd3e8a3a7bebf52b0ac1e4c6e0bd12,1315,https://github.com/google/gson/issues/1315,https://github.com/google/gson/tree/27c933527572bf861b8cb45774b0ceaa48b8805c,https://github.com/google/gson/tree/5bbc768fa6cd3e8a3a7bebf52b0ac1e4c6e0bd12,https://github.com/google/gson/compare/27c933527572bf861b8cb45774b0ceaa48b8805c...5bbc768fa6cd3e8a3a7bebf52b0ac1e4c6e0bd12
6,Gson,521fab2dd5e829b51cff6813d0b5405d4ab2d1ee,4109aaa6a92f3f9725c5e2f98308816761f0123e,1606,https://github.com/google/gson/issues/1606,https://github.com/google/gson/tree/521fab2dd5e829b51cff6813d0b5405d4ab2d1ee,https://github.com/google/gson/tree/4109aaa6a92f3f9725c5e2f98308816761f0123e,https://github.com/google/gson/compare/521fab2dd5e829b51cff6813d0b5405d4ab2d1ee...4109aaa6a92f3f9725c5e2f98308816761f0123e
7,Gson,15b9fa9c31d4137ad6d46f746524a5aa43eefd28,96ab171eb48dcea94fd9b8f425f65c531e6c3aad,1127,https://github.com/google/gson/issues/1127,https://github.com/google/gson/tree/15b9fa9c31d4137ad6d46f746524a5aa43eefd28,https://github.com/google/gson/tree/96ab171eb48dcea94fd9b8f425f65c531e6c3aad,https://github.com/google/gson/compare/15b9fa9c31d4137ad6d46f746524a5aa43eefd28...96ab171eb48dcea94fd9b8f425f65c531e6c3aad
8,Gson,4552db2630b6d506ac7e212b337f818169f3c03b,a1d2ebc8b51a3a0df8b15c98f47d5ac95cf7f7b0,1702,https://github.com/google/gson/issues/1702,https://github.com/google/gson/tree/4552db2630b6d506ac7e212b337f818169f3c03b,https://github.com/google/gson/tree/a1d2ebc8b51a3a0df8b15c98f47d5ac95cf7f7b0,https://github.com/google/gson/compare/4552db2630b6d506ac7e212b337f818169f3c03b...a1d2ebc8b51a3a0df8b15c98f47d5ac95cf7f7b0
9,Gson,98f2bbf4c12d24421d2b65e4926263afe26f1265,46b97bf15633929e7db6c43007a6b03e852e2aee,1553,https://github.com/google/gson/issues/1553,https://github.com/google/gson/tree/98f2bbf4c12d24421d2b65e4926263afe26f1265,https://github.com/google/gson/tree/46b97bf15633929e7db6c43007a6b03e852e2aee,https://github.com/google/gson/compare/98f2bbf4c12d24421d2b65e4926263afe26f1265...46b97bf15633929e7db6c43007a6b03e852e2aee
10,Gson,f2f53fbe8e54020656de67e2511e9b36932963e3,6c12ded70ddfe47b0412fbb6d8a3ff970518ce2b,2199,https://github.com/google/gson/issues/2199,https://github.com/google/gson/tree/f2f53fbe8e54020656de67e2511e9b36932963e3,https://github.com/google/gson/tree/6c12ded70ddfe47b0412fbb6d8a3ff970518ce2b,https://github.com/google/gson/compare/f2f53fbe8e54020656de67e2511e9b36932963e3...6c12ded70ddfe47b0412fbb6d8a3ff970518ce2b
11,Gson,af2179843601c73aa96062208d8f324a45243e47,19f54ee6ed33b7517c729c801bc57c8c0478be7d,776,https://github.com/google/gson/issues/776,https://github.com/google/gson/tree/af2179843601c73aa96062208d8f324a45243e47,https://github.com/google/gson/tree/19f54ee6ed33b7517c729c801bc57c8c0478be7d,https://github.com/google/gson/compare/af2179843601c73aa96062208d8f324a45243e47...19f54ee6ed33b7517c729c801bc57c8c0478be7d
12,Gson,0adcdc80d5ef3a40086a8abd6e2f55164a7c2597,85ebaf7c3553a5d5c058fd6067824a7c5258d07f,2334,https://github.com/google/gson/issues/2334,https://github.com/google/gson/tree/0adcdc80d5ef3a40086a8abd6e2f55164a7c2597,https://github.com/google/gson/tree/85ebaf7c3553a5d5c058fd6067824a7c5258d07f,https://github.com/google/gson/compare/0adcdc80d5ef3a40086a8abd6e2f55164a7c2597...85ebaf7c3553a5d5c058fd6067824a7c5258d07f
13,Gson,3d241ca0a6435cbf1fa1cdaed2af8480b99fecde,b3dce2dc17086c72bd1f8ccf508874849f9631bb,37,https://github.com/google/gson/issues/37,https://github.com/google/gson/tree/3d241ca0a6435cbf1fa1cdaed2af8480b99fecde,https://github.com/google/gson/tree/b3dce2dc17086c72bd1f8ccf508874849f9631bb,https://github.com/google/gson/compare/3d241ca0a6435cbf1fa1cdaed2af8480b99fecde...b3dce2dc17086c72bd1f8ccf508874849f9631bb
14,Gson,48889dba12f20c7e828469f2617e1bb49b6cfe30,61609323da441e057e711362f93bc748f340f6cc,2739,https://github.com/google/gson/issues/2739,https://github.com/google/gson/tree/48889dba12f20c7e828469f2617e1bb49b6cfe30,https://github.com/google/gson/tree/61609323da441e057e711362f93bc748f340f6cc,https://github.com/google/gson/compare/48889dba12f20c7e828469f2617e1bb49b6cfe30...61609323da441e057e711362f93bc748f340f6cc
