bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Guava,69a42c5e6fcdba03e1445a8eb9acad7177c6a714,0a686a644ca5cefb9e7bf4a38b34bf4ede9e75aa,2101,https://github.com/google/guava/issues/2101,https://github.com/google/guava/tree/69a42c5e6fcdba03e1445a8eb9acad7177c6a714,https://github.com/google/guava/tree/0a686a644ca5cefb9e7bf4a38b34bf4ede9e75aa,https://github.com/google/guava/compare/69a42c5e6fcdba03e1445a8eb9acad7177c6a714...0a686a644ca5cefb9e7bf4a38b34bf4ede9e75aa
2,Guava,6439299ec90bf6af70e7651ca4cc8a5a468edbd2,8319b5479afdf51629b8a08144604c40fbd6141a,2526,https://github.com/google/guava/issues/2526,https://github.com/google/guava/tree/6439299ec90bf6af70e7651ca4cc8a5a468edbd2,https://github.com/google/guava/tree/8319b5479afdf51629b8a08144604c40fbd6141a,https://github.com/google/guava/compare/6439299ec90bf6af70e7651ca4cc8a5a468edbd2...8319b5479afdf51629b8a08144604c40fbd6141a
3,Guava,484e083653bef124948c449edc56195323b8d00a,af1dabf1b37fd74bfe074ad6d7a7fe8da5a61d12,1819,https://github.com/google/guava/issues/1819,https://github.com/google/guava/tree/484e083653bef124948c449edc56195323b8d00a,https://github.com/google/guava/tree/af1dabf1b37fd74bfe074ad6d7a7fe8da5a61d12,https://github.com/google/guava/compare/484e083653bef124948c449edc56195323b8d00a...af1dabf1b37fd74bfe074ad6d7a7fe8da5a61d12
4,Guava,3978c76e0d8aa8018266c6f6581a7a3064c37a9f,790362755a65efab7c0133060e6f2bded4d6c9a9,2610,https://github.com/google/guava/issues/2610,https://github.com/google/guava/tree/3978c76e0d8aa8018266c6f6581a7a3064c37a9f,https://github.com/google/guava/tree/790362755a65efab7c0133060e6f2bded4d6c9a9,https://github.com/google/guava/compare/3978c76e0d8aa8018266c6f6581a7a3064c37a9f...790362755a65efab7c0133060e6f2bded4d6c9a9
5,Guava,5367a2d0687ec4c1901f693559cd4d2d14ca65d1,55524c66de8db4c2e44727b69421c7d0e4f30be0,1190,https://github.com/google/guava/issues/1190,https://github.com/google/guava/tree/5367a2d0687ec4c1901f693559cd4d2d14ca65d1,https://github.com/google/guava/tree/55524c66de8db4c2e44727b69421c7d0e4f30be0,https://github.com/google/guava/compare/5367a2d0687ec4c1901f693559cd4d2d14ca65d1...55524c66de8db4c2e44727b69421c7d0e4f30be0
6,Guava,a70ab0168d75db566d7e974220a0d0b17e514cf8,c34433a6d6062ffb23eb3878355024ae08517495,2479,https://github.com/google/guava/issues/2479,https://github.com/google/guava/tree/a70ab0168d75db566d7e974220a0d0b17e514cf8,https://github.com/google/guava/tree/c34433a6d6062ffb23eb3878355024ae08517495,https://github.com/google/guava/compare/a70ab0168d75db566d7e974220a0d0b17e514cf8...c34433a6d6062ffb23eb3878355024ae08517495
7,Guava,82cf44994fa37cd79d0f2c3a7de3038df5b51843,d7f2dddae1f04e5040faca34819cb5d1c700d48f,2755,https://github.com/google/guava/issues/2755,https://github.com/google/guava/tree/82cf44994fa37cd79d0f2c3a7de3038df5b51843,https://github.com/google/guava/tree/d7f2dddae1f04e5040faca34819cb5d1c700d48f,https://github.com/google/guava/compare/82cf44994fa37cd79d0f2c3a7de3038df5b51843...d7f2dddae1f04e5040faca34819cb5d1c700d48f
8,Guava,7e4b3875c63758b1a91bb3a82d7240f414e8ae49,a3da73204a12c81331e5dc21bfcf709e0a4a9b07,2905,https://github.com/google/guava/issues/2905,https://github.com/google/guava/tree/7e4b3875c63758b1a91bb3a82d7240f414e8ae49,https://github.com/google/guava/tree/a3da73204a12c81331e5dc21bfcf709e0a4a9b07,https://github.com/google/guava/compare/7e4b3875c63758b1a91bb3a82d7240f414e8ae49...a3da73204a12c81331e5dc21bfcf709e0a4a9b07
9,Guava,a33e717b645e1d15357e7a8c4df37d798214d897,ae70a5c3968a49cc122f106ac44e3a14c4896801,3022,https://github.com/google/guava/issues/3022,https://github.com/google/guava/tree/a33e717b645e1d15357e7a8c4df37d798214d897,https://github.com/google/guava/tree/ae70a5c3968a49cc122f106ac44e3a14c4896801,https://github.com/google/guava/compare/a33e717b645e1d15357e7a8c4df37d798214d897...ae70a5c3968a49cc122f106ac44e3a14c4896801
10,Guava,0cd4e9faa1360da4a343f84cb275d6eda0c5e732,438d6d9d34b5005e4d034709531bc08fefdc7ff8,2467,https://github.com/google/guava/issues/2467,https://github.com/google/guava/tree/0cd4e9faa1360da4a343f84cb275d6eda0c5e732,https://github.com/google/guava/tree/438d6d9d34b5005e4d034709531bc08fefdc7ff8,https://github.com/google/guava/compare/0cd4e9faa1360da4a343f84cb275d6eda0c5e732...438d6d9d34b5005e4d034709531bc08fefdc7ff8
11,Guava,daed909a0b4e1e6039441077357793c1a3ea7913,dc416181af160fd43d07485fe63c71c43a687c86,3396,https://github.com/google/guava/issues/3396,https://github.com/google/guava/tree/daed909a0b4e1e6039441077357793c1a3ea7913,https://github.com/google/guava/tree/dc416181af160fd43d07485fe63c71c43a687c86,https://github.com/google/guava/compare/daed909a0b4e1e6039441077357793c1a3ea7913...dc416181af160fd43d07485fe63c71c43a687c86
12,Guava,ac43113d540647787155996a3e7ca4ebccb9be93,e2ee9b73506eee7b15cdd9011b82ad88f432c615,1973,https://github.com/google/guava/issues/1973,https://github.com/google/guava/tree/ac43113d540647787155996a3e7ca4ebccb9be93,https://github.com/google/guava/tree/e2ee9b73506eee7b15cdd9011b82ad88f432c615,https://github.com/google/guava/compare/ac43113d540647787155996a3e7ca4ebccb9be93...e2ee9b73506eee7b15cdd9011b82ad88f432c615
13,Guava,7ab65d08c22fa95adb987d3b3849e5cab60a1c72,0007cb257b593400097f37cf5fa9c8d5fb598c62,3570,https://github.com/google/guava/issues/3570,https://github.com/google/guava/tree/7ab65d08c22fa95adb987d3b3849e5cab60a1c72,https://github.com/google/guava/tree/0007cb257b593400097f37cf5fa9c8d5fb598c62,https://github.com/google/guava/compare/7ab65d08c22fa95adb987d3b3849e5cab60a1c72...0007cb257b593400097f37cf5fa9c8d5fb598c62
14,Guava,4276ecb1e6f53b3c7460d2c599b4bcdab6f493af,2fdb5194fbdf139c93d49c03d41d359cd1693b92,1661,https://github.com/google/guava/issues/1661,https://github.com/google/guava/tree/4276ecb1e6f53b3c7460d2c599b4bcdab6f493af,https://github.com/google/guava/tree/2fdb5194fbdf139c93d49c03d41d359cd1693b92,https://github.com/google/guava/compare/4276ecb1e6f53b3c7460d2c599b4bcdab6f493af...2fdb5194fbdf139c93d49c03d41d359cd1693b92
15,Guava,4ef2111641f149876dbf45bf9c3c221f30639670,9bd98d1d19e5a5e659d01f9e4aaf7c0b803e79ce,3210,https://github.com/google/guava/issues/3210,https://github.com/google/guava/tree/4ef2111641f149876dbf45bf9c3c221f30639670,https://github.com/google/guava/tree/9bd98d1d19e5a5e659d01f9e4aaf7c0b803e79ce,https://github.com/google/guava/compare/4ef2111641f149876dbf45bf9c3c221f30639670...9bd98d1d19e5a5e659d01f9e4aaf7c0b803e79ce
16,Guava,2b5c096ddf412241c320edccd207d089d5b79b21,2d346856c76dc80aac3be2fbe3fe58b99c64f210,3911,https://github.com/google/guava/issues/3911,https://github.com/google/guava/tree/2b5c096ddf412241c320edccd207d089d5b79b21,https://github.com/google/guava/tree/2d346856c76dc80aac3be2fbe3fe58b99c64f210,https://github.com/google/guava/compare/2b5c096ddf412241c320edccd207d089d5b79b21...2d346856c76dc80aac3be2fbe3fe58b99c64f210
17,Guava,62ea9014fcd19711dd235a3036650518f91fe017,be1c0d8a4fd00e6c5cc362cc0021db5e9e3d4fef,3679,https://github.com/google/guava/issues/3679,https://github.com/google/guava/tree/62ea9014fcd19711dd235a3036650518f91fe017,https://github.com/google/guava/tree/be1c0d8a4fd00e6c5cc362cc0021db5e9e3d4fef,https://github.com/google/guava/compare/62ea9014fcd19711dd235a3036650518f91fe017...be1c0d8a4fd00e6c5cc362cc0021db5e9e3d4fef
18,Guava,7e01b017e1dff7c0005748d7139c8d96a5d69206,fbbec2bf00619d88b83e4a5a3fd007765c08a172,3945,https://github.com/google/guava/issues/3945,https://github.com/google/guava/tree/7e01b017e1dff7c0005748d7139c8d96a5d69206,https://github.com/google/guava/tree/fbbec2bf00619d88b83e4a5a3fd007765c08a172,https://github.com/google/guava/compare/7e01b017e1dff7c0005748d7139c8d96a5d69206...fbbec2bf00619d88b83e4a5a3fd007765c08a172
19,Guava,769e1e9c5ea1c6bddf14cec66b71d6824a8d28a6,b1a86797e10d18a59ad2a6a3fb20900d2ebb96fd,3203,https://github.com/google/guava/issues/3203,https://github.com/google/guava/tree/769e1e9c5ea1c6bddf14cec66b71d6824a8d28a6,https://github.com/google/guava/tree/b1a86797e10d18a59ad2a6a3fb20900d2ebb96fd,https://github.com/google/guava/compare/769e1e9c5ea1c6bddf14cec66b71d6824a8d28a6...b1a86797e10d18a59ad2a6a3fb20900d2ebb96fd
20,Guava,be95256020f4f2d047a3a38d9165c28d5e41d5f6,ac4c56b550b183abded6af8e0c1a21892e268e61,5618,https://github.com/google/guava/issues/5618,https://github.com/google/guava/tree/be95256020f4f2d047a3a38d9165c28d5e41d5f6,https://github.com/google/guava/tree/ac4c56b550b183abded6af8e0c1a21892e268e61,https://github.com/google/guava/compare/be95256020f4f2d047a3a38d9165c28d5e41d5f6...ac4c56b550b183abded6af8e0c1a21892e268e61
21,Guava,a197d99b96d69ea75a2c4a15ecd8a730dd3270d6,3072f4fe6dd57678886ba800efc9da4667abc366,5457,https://github.com/google/guava/issues/5457,https://github.com/google/guava/tree/a197d99b96d69ea75a2c4a15ecd8a730dd3270d6,https://github.com/google/guava/tree/3072f4fe6dd57678886ba800efc9da4667abc366,https://github.com/google/guava/compare/a197d99b96d69ea75a2c4a15ecd8a730dd3270d6...3072f4fe6dd57678886ba800efc9da4667abc366
