bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Gulp,fe122ea391968f05c186f7767fd1ddc8d5bda17c,a706c8b4498c186a6122cac8fcff48930f318ede,2,https://github.com/gulpjs/gulp/issues/2,https://github.com/gulpjs/gulp/tree/fe122ea391968f05c186f7767fd1ddc8d5bda17c,https://github.com/gulpjs/gulp/tree/a706c8b4498c186a6122cac8fcff48930f318ede,https://github.com/gulpjs/gulp/compare/fe122ea391968f05c186f7767fd1ddc8d5bda17c...a706c8b4498c186a6122cac8fcff48930f318ede
2,Gulp,2230d059f8c5b76d6d7bf6fa931375b2d3ef7193,4a61954b69f6ad06af27377c79dad1a8a75e703c,4,https://github.com/gulpjs/gulp/issues/4,https://github.com/gulpjs/gulp/tree/2230d059f8c5b76d6d7bf6fa931375b2d3ef7193,https://github.com/gulpjs/gulp/tree/4a61954b69f6ad06af27377c79dad1a8a75e703c,https://github.com/gulpjs/gulp/compare/2230d059f8c5b76d6d7bf6fa931375b2d3ef7193...4a61954b69f6ad06af27377c79dad1a8a75e703c
3,Gulp,5b073af0108e48dd387243bf6ef020ef04def53b,9ae65c7e325ec9d8aa502c588fe1e112cff80e34,15,https://github.com/gulpjs/gulp/issues/15,https://github.com/gulpjs/gulp/tree/5b073af0108e48dd387243bf6ef020ef04def53b,https://github.com/gulpjs/gulp/tree/9ae65c7e325ec9d8aa502c588fe1e112cff80e34,https://github.com/gulpjs/gulp/compare/5b073af0108e48dd387243bf6ef020ef04def53b...9ae65c7e325ec9d8aa502c588fe1e112cff80e34
4,Gulp,9ae65c7e325ec9d8aa502c588fe1e112cff80e34,4d4175340481bdcf46a6a3d3181fdaebb4a36062,14,https://github.com/gulpjs/gulp/issues/14,https://github.com/gulpjs/gulp/tree/9ae65c7e325ec9d8aa502c588fe1e112cff80e34,https://github.com/gulpjs/gulp/tree/4d4175340481bdcf46a6a3d3181fdaebb4a36062,https://github.com/gulpjs/gulp/compare/9ae65c7e325ec9d8aa502c588fe1e112cff80e34...4d4175340481bdcf46a6a3d3181fdaebb4a36062
5,Gulp,51a5b214b9a9b795543258d6884d33b26a8f67bd,ab5eec0cd23fa03e69fec331501828f93acf0ab7,44,https://github.com/gulpjs/gulp/issues/44,https://github.com/gulpjs/gulp/tree/51a5b214b9a9b795543258d6884d33b26a8f67bd,https://github.com/gulpjs/gulp/tree/ab5eec0cd23fa03e69fec331501828f93acf0ab7,https://github.com/gulpjs/gulp/compare/51a5b214b9a9b795543258d6884d33b26a8f67bd...ab5eec0cd23fa03e69fec331501828f93acf0ab7
6,Gulp,0ed611943f970afc2749930a82c6772435c39f0b,c17cbf9369ef1814c344beb9f5e5658fd4bbe62d,43,https://github.com/gulpjs/gulp/issues/43,https://github.com/gulpjs/gulp/tree/0ed611943f970afc2749930a82c6772435c39f0b,https://github.com/gulpjs/gulp/tree/c17cbf9369ef1814c344beb9f5e5658fd4bbe62d,https://github.com/gulpjs/gulp/compare/0ed611943f970afc2749930a82c6772435c39f0b...c17cbf9369ef1814c344beb9f5e5658fd4bbe62d
7,Gulp,0fc29e6af2dddefeb771deba9955c52480ca475f,abfdfb8fd89e628d32de30a5264495cf0672042a,57,https://github.com/gulpjs/gulp/issues/57,https://github.com/gulpjs/gulp/tree/0fc29e6af2dddefeb771deba9955c52480ca475f,https://github.com/gulpjs/gulp/tree/abfdfb8fd89e628d32de30a5264495cf0672042a,https://github.com/gulpjs/gulp/compare/0fc29e6af2dddefeb771deba9955c52480ca475f...abfdfb8fd89e628d32de30a5264495cf0672042a
8,Gulp,970db51a98f8e2f65e9f52cdc30cb9bffbc85bbf,1425017a46d83a7263cf110d04ce4723930e7d7b,88,https://github.com/gulpjs/gulp/issues/88,https://github.com/gulpjs/gulp/tree/970db51a98f8e2f65e9f52cdc30cb9bffbc85bbf,https://github.com/gulpjs/gulp/tree/1425017a46d83a7263cf110d04ce4723930e7d7b,https://github.com/gulpjs/gulp/compare/970db51a98f8e2f65e9f52cdc30cb9bffbc85bbf...1425017a46d83a7263cf110d04ce4723930e7d7b
9,Gulp,0135244f5aa89af4215542dae0a9b0b098fb9b01,cde327ac05a89475ae25e075d21c34eccf3b4305,112,https://github.com/gulpjs/gulp/issues/112,https://github.com/gulpjs/gulp/tree/0135244f5aa89af4215542dae0a9b0b098fb9b01,https://github.com/gulpjs/gulp/tree/cde327ac05a89475ae25e075d21c34eccf3b4305,https://github.com/gulpjs/gulp/compare/0135244f5aa89af4215542dae0a9b0b098fb9b01...cde327ac05a89475ae25e075d21c34eccf3b4305
10,Gulp,03c44aeeb378ec310a3b2d068d9286e4541c2069,9712a877f97ca67a35892906187bcd0aab286c3b,122,https://github.com/gulpjs/gulp/issues/122,https://github.com/gulpjs/gulp/tree/03c44aeeb378ec310a3b2d068d9286e4541c2069,https://github.com/gulpjs/gulp/tree/9712a877f97ca67a35892906187bcd0aab286c3b,https://github.com/gulpjs/gulp/compare/03c44aeeb378ec310a3b2d068d9286e4541c2069...9712a877f97ca67a35892906187bcd0aab286c3b
