bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Gwtmockito,754ec50c90e99bec373647cee3a2485f5146dce6,bfee374c88e4675f2a0a73b809611bb3927d8022,24,https://github.com/google/gwtmockito/issues/24,https://github.com/google/gwtmockito/tree/754ec50c90e99bec373647cee3a2485f5146dce6,https://github.com/google/gwtmockito/tree/bfee374c88e4675f2a0a73b809611bb3927d8022,https://github.com/google/gwtmockito/compare/754ec50c90e99bec373647cee3a2485f5146dce6...bfee374c88e4675f2a0a73b809611bb3927d8022
2,Gwtmockito,bfee374c88e4675f2a0a73b809611bb3927d8022,1e5d08521f6131bdbec2ba3992a611282f9b7fab,23,https://github.com/google/gwtmockito/issues/23,https://github.com/google/gwtmockito/tree/bfee374c88e4675f2a0a73b809611bb3927d8022,https://github.com/google/gwtmockito/tree/1e5d08521f6131bdbec2ba3992a611282f9b7fab,https://github.com/google/gwtmockito/compare/bfee374c88e4675f2a0a73b809611bb3927d8022...1e5d08521f6131bdbec2ba3992a611282f9b7fab
3,Gwtmockito,bcef4289b37e1e2cdde8ab459adb6bf62cd15ee2,363d7d14029629207bb11059104e7effea5e4e84,26,https://github.com/google/gwtmockito/issues/26,https://github.com/google/gwtmockito/tree/bcef4289b37e1e2cdde8ab459adb6bf62cd15ee2,https://github.com/google/gwtmockito/tree/363d7d14029629207bb11059104e7effea5e4e84,https://github.com/google/gwtmockito/compare/bcef4289b37e1e2cdde8ab459adb6bf62cd15ee2...363d7d14029629207bb11059104e7effea5e4e84
4,Gwtmockito,a5ac8bc10a2b7f631aa0ed9b437da43008bd864d,76935fef45b10de7982469fbe6427ec59533210c,42,https://github.com/google/gwtmockito/issues/42,https://github.com/google/gwtmockito/tree/a5ac8bc10a2b7f631aa0ed9b437da43008bd864d,https://github.com/google/gwtmockito/tree/76935fef45b10de7982469fbe6427ec59533210c,https://github.com/google/gwtmockito/compare/a5ac8bc10a2b7f631aa0ed9b437da43008bd864d...76935fef45b10de7982469fbe6427ec59533210c
5,Gwtmockito,76935fef45b10de7982469fbe6427ec59533210c,14349e24257db53cb15dc0b72a34744c74932e58,40,https://github.com/google/gwtmockito/issues/40,https://github.com/google/gwtmockito/tree/76935fef45b10de7982469fbe6427ec59533210c,https://github.com/google/gwtmockito/tree/14349e24257db53cb15dc0b72a34744c74932e58,https://github.com/google/gwtmockito/compare/76935fef45b10de7982469fbe6427ec59533210c...14349e24257db53cb15dc0b72a34744c74932e58
6,Gwtmockito,52ee2c9892ca8248d2b655b6d2f5c4ceb0575c60,eb7a1c21ed0954c96c7756b4cb0e0845a845a13b,4,https://github.com/google/gwtmockito/issues/4,https://github.com/google/gwtmockito/tree/52ee2c9892ca8248d2b655b6d2f5c4ceb0575c60,https://github.com/google/gwtmockito/tree/eb7a1c21ed0954c96c7756b4cb0e0845a845a13b,https://github.com/google/gwtmockito/compare/52ee2c9892ca8248d2b655b6d2f5c4ceb0575c60...eb7a1c21ed0954c96c7756b4cb0e0845a845a13b
7,Gwtmockito,eb7a1c21ed0954c96c7756b4cb0e0845a845a13b,cc394435a6c822980d58baa28b1951d19dca185a,49,https://github.com/google/gwtmockito/issues/49,https://github.com/google/gwtmockito/tree/eb7a1c21ed0954c96c7756b4cb0e0845a845a13b,https://github.com/google/gwtmockito/tree/cc394435a6c822980d58baa28b1951d19dca185a,https://github.com/google/gwtmockito/compare/eb7a1c21ed0954c96c7756b4cb0e0845a845a13b...cc394435a6c822980d58baa28b1951d19dca185a
8,Gwtmockito,cc394435a6c822980d58baa28b1951d19dca185a,9df188599cb001c849e4984ef33d81a0fae4aecb,33,https://github.com/google/gwtmockito/issues/33,https://github.com/google/gwtmockito/tree/cc394435a6c822980d58baa28b1951d19dca185a,https://github.com/google/gwtmockito/tree/9df188599cb001c849e4984ef33d81a0fae4aecb,https://github.com/google/gwtmockito/compare/cc394435a6c822980d58baa28b1951d19dca185a...9df188599cb001c849e4984ef33d81a0fae4aecb
9,Gwtmockito,093374a2e7b2537e70ae3678d7b0e680cda0250a,7464dfb9b42f7839b95385297d4b9665664eb2c7,5,https://github.com/google/gwtmockito/issues/5,https://github.com/google/gwtmockito/tree/093374a2e7b2537e70ae3678d7b0e680cda0250a,https://github.com/google/gwtmockito/tree/7464dfb9b42f7839b95385297d4b9665664eb2c7,https://github.com/google/gwtmockito/compare/093374a2e7b2537e70ae3678d7b0e680cda0250a...7464dfb9b42f7839b95385297d4b9665664eb2c7
10,Gwtmockito,cbda1ffbfa15afe6390d884245465a3b32deac8c,d1ce2f718b65582cecde0deb1707feefedfbb40c,57,https://github.com/google/gwtmockito/issues/57,https://github.com/google/gwtmockito/tree/cbda1ffbfa15afe6390d884245465a3b32deac8c,https://github.com/google/gwtmockito/tree/d1ce2f718b65582cecde0deb1707feefedfbb40c,https://github.com/google/gwtmockito/compare/cbda1ffbfa15afe6390d884245465a3b32deac8c...d1ce2f718b65582cecde0deb1707feefedfbb40c
11,Gwtmockito,d1ce2f718b65582cecde0deb1707feefedfbb40c,dc26c843ce2b1de29dd0404ecbe90c6f62e63fff,55,https://github.com/google/gwtmockito/issues/55,https://github.com/google/gwtmockito/tree/d1ce2f718b65582cecde0deb1707feefedfbb40c,https://github.com/google/gwtmockito/tree/dc26c843ce2b1de29dd0404ecbe90c6f62e63fff,https://github.com/google/gwtmockito/compare/d1ce2f718b65582cecde0deb1707feefedfbb40c...dc26c843ce2b1de29dd0404ecbe90c6f62e63fff
12,Gwtmockito,b6fd772a0298749bc5b23d38ad714dc83983fde3,a6ea4b597dbaf16f78575f114c21667dc09753d0,2,https://github.com/google/gwtmockito/issues/2,https://github.com/google/gwtmockito/tree/b6fd772a0298749bc5b23d38ad714dc83983fde3,https://github.com/google/gwtmockito/tree/a6ea4b597dbaf16f78575f114c21667dc09753d0,https://github.com/google/gwtmockito/compare/b6fd772a0298749bc5b23d38ad714dc83983fde3...a6ea4b597dbaf16f78575f114c21667dc09753d0
