bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Hadoop,2c372c70cff22102ca8102a288e1110aa08e4ecf,84541f6f91ba21b551db7c0c340737d0bd893104,HADOOP-6096,https://issues.apache.org/jira/browse/HADOOP-6096,https://github.com/apache/hadoop/tree/2c372c70cff22102ca8102a288e1110aa08e4ecf,https://github.com/apache/hadoop/tree/84541f6f91ba21b551db7c0c340737d0bd893104,https://github.com/apache/hadoop/compare/2c372c70cff22102ca8102a288e1110aa08e4ecf...84541f6f91ba21b551db7c0c340737d0bd893104
2,Hadoop,80bc92ac350566065dd8e075e7c3b9818aca2470,a13237975d02b3db913b95845d4b8d6d22f2bac7,HADOOP-2366,https://issues.apache.org/jira/browse/HADOOP-2366,https://github.com/apache/hadoop/tree/80bc92ac350566065dd8e075e7c3b9818aca2470,https://github.com/apache/hadoop/tree/a13237975d02b3db913b95845d4b8d6d22f2bac7,https://github.com/apache/hadoop/compare/80bc92ac350566065dd8e075e7c3b9818aca2470...a13237975d02b3db913b95845d4b8d6d22f2bac7
3,Hadoop,a13237975d02b3db913b95845d4b8d6d22f2bac7,b8d9ca281dd2345a7a0acf85f0161b17bc677cf0,HADOOP-6122,https://issues.apache.org/jira/browse/HADOOP-6122,https://github.com/apache/hadoop/tree/a13237975d02b3db913b95845d4b8d6d22f2bac7,https://github.com/apache/hadoop/tree/b8d9ca281dd2345a7a0acf85f0161b17bc677cf0,https://github.com/apache/hadoop/compare/a13237975d02b3db913b95845d4b8d6d22f2bac7...b8d9ca281dd2345a7a0acf85f0161b17bc677cf0
4,Hadoop,b8d9ca281dd2345a7a0acf85f0161b17bc677cf0,cf3d3a0643ace6f4b4bc2c6ff434bbff249e92a3,HADOOP-6114,https://issues.apache.org/jira/browse/HADOOP-6114,https://github.com/apache/hadoop/tree/b8d9ca281dd2345a7a0acf85f0161b17bc677cf0,https://github.com/apache/hadoop/tree/cf3d3a0643ace6f4b4bc2c6ff434bbff249e92a3,https://github.com/apache/hadoop/compare/b8d9ca281dd2345a7a0acf85f0161b17bc677cf0...cf3d3a0643ace6f4b4bc2c6ff434bbff249e92a3
5,Hadoop,708f3fc7819ec0039dcdc36aaf39644659ed6f42,da8cf6702a722aec98c893dbce667d13f4d2e39c,HADOOP-6131,https://issues.apache.org/jira/browse/HADOOP-6131,https://github.com/apache/hadoop/tree/708f3fc7819ec0039dcdc36aaf39644659ed6f42,https://github.com/apache/hadoop/tree/da8cf6702a722aec98c893dbce667d13f4d2e39c,https://github.com/apache/hadoop/compare/708f3fc7819ec0039dcdc36aaf39644659ed6f42...da8cf6702a722aec98c893dbce667d13f4d2e39c
6,Hadoop,da8cf6702a722aec98c893dbce667d13f4d2e39c,127254f4a5936444c0f4b7f6d5ea7cb15e10ccc8,HADOOP-6137,https://issues.apache.org/jira/browse/HADOOP-6137,https://github.com/apache/hadoop/tree/da8cf6702a722aec98c893dbce667d13f4d2e39c,https://github.com/apache/hadoop/tree/127254f4a5936444c0f4b7f6d5ea7cb15e10ccc8,https://github.com/apache/hadoop/compare/da8cf6702a722aec98c893dbce667d13f4d2e39c...127254f4a5936444c0f4b7f6d5ea7cb15e10ccc8
7,Hadoop,c38c5a43ffc2b12a1acb3afd1fa7685775bdeda1,d074c686b3ba0ba6843d0a25dca5ac991f919e68,HADOOP-6139,https://issues.apache.org/jira/browse/HADOOP-6139,https://github.com/apache/hadoop/tree/c38c5a43ffc2b12a1acb3afd1fa7685775bdeda1,https://github.com/apache/hadoop/tree/d074c686b3ba0ba6843d0a25dca5ac991f919e68,https://github.com/apache/hadoop/compare/c38c5a43ffc2b12a1acb3afd1fa7685775bdeda1...d074c686b3ba0ba6843d0a25dca5ac991f919e68
8,Hadoop,c02527fd041dc2cb5364d779cffe4b1c2fcb4daa,466f93c8b6ccd88572025df79665f496f8367060,HADOOP-6145,https://issues.apache.org/jira/browse/HADOOP-6145,https://github.com/apache/hadoop/tree/c02527fd041dc2cb5364d779cffe4b1c2fcb4daa,https://github.com/apache/hadoop/tree/466f93c8b6ccd88572025df79665f496f8367060,https://github.com/apache/hadoop/compare/c02527fd041dc2cb5364d779cffe4b1c2fcb4daa...466f93c8b6ccd88572025df79665f496f8367060
9,Hadoop,466f93c8b6ccd88572025df79665f496f8367060,fc1bf705e9b14833385ff0fd31a5bc43ba8fd57d,HADOOP-6142,https://issues.apache.org/jira/browse/HADOOP-6142,https://github.com/apache/hadoop/tree/466f93c8b6ccd88572025df79665f496f8367060,https://github.com/apache/hadoop/tree/fc1bf705e9b14833385ff0fd31a5bc43ba8fd57d,https://github.com/apache/hadoop/compare/466f93c8b6ccd88572025df79665f496f8367060...fc1bf705e9b14833385ff0fd31a5bc43ba8fd57d
10,Hadoop,5478e9a18868c849d8e33cbc9787f04d12a81a32,391112f6ce0af7dbc4390b0ac030451dff23c761,HADOOP-6138,https://issues.apache.org/jira/browse/HADOOP-6138,https://github.com/apache/hadoop/tree/5478e9a18868c849d8e33cbc9787f04d12a81a32,https://github.com/apache/hadoop/tree/391112f6ce0af7dbc4390b0ac030451dff23c761,https://github.com/apache/hadoop/compare/5478e9a18868c849d8e33cbc9787f04d12a81a32...391112f6ce0af7dbc4390b0ac030451dff23c761
