bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Helix,838cfcc7cd7958a5e75a94041ce2d6b5495eab5a,6c276d786858891c2d49570ee2ad4d8790270309,1877,https://github.com/helix-editor/helix/issues/1877,https://github.com/helix-editor/helix/tree/838cfcc7cd7958a5e75a94041ce2d6b5495eab5a,https://github.com/helix-editor/helix/tree/6c276d786858891c2d49570ee2ad4d8790270309,https://github.com/helix-editor/helix/compare/838cfcc7cd7958a5e75a94041ce2d6b5495eab5a...6c276d786858891c2d49570ee2ad4d8790270309
2,Helix,ffdc2f179334de82383670faed68acfc54317f55,36d1df71fc99b0f2e3b594f9d7d0f07ef829b9fc,1894,https://github.com/helix-editor/helix/issues/1894,https://github.com/helix-editor/helix/tree/ffdc2f179334de82383670faed68acfc54317f55,https://github.com/helix-editor/helix/tree/36d1df71fc99b0f2e3b594f9d7d0f07ef829b9fc,https://github.com/helix-editor/helix/compare/ffdc2f179334de82383670faed68acfc54317f55...36d1df71fc99b0f2e3b594f9d7d0f07ef829b9fc
3,Helix,d3c8286ea0c984f69bbab09a480530a827647192,e7beb32fd7b9262e61dad96fdf4b36ebdc5367f7,1954,https://github.com/helix-editor/helix/issues/1954,https://github.com/helix-editor/helix/tree/d3c8286ea0c984f69bbab09a480530a827647192,https://github.com/helix-editor/helix/tree/e7beb32fd7b9262e61dad96fdf4b36ebdc5367f7,https://github.com/helix-editor/helix/compare/d3c8286ea0c984f69bbab09a480530a827647192...e7beb32fd7b9262e61dad96fdf4b36ebdc5367f7
4,Helix,e7beb32fd7b9262e61dad96fdf4b36ebdc5367f7,6fc6f87260a2f11a892f09678fc6c10b01e88e3f,1928,https://github.com/helix-editor/helix/issues/1928,https://github.com/helix-editor/helix/tree/e7beb32fd7b9262e61dad96fdf4b36ebdc5367f7,https://github.com/helix-editor/helix/tree/6fc6f87260a2f11a892f09678fc6c10b01e88e3f,https://github.com/helix-editor/helix/compare/e7beb32fd7b9262e61dad96fdf4b36ebdc5367f7...6fc6f87260a2f11a892f09678fc6c10b01e88e3f
5,Helix,b33318672173fd49ffbd3440b7857ebc9812de08,275c05008fb5bc2f15044738a329939bc6b5befc,1980,https://github.com/helix-editor/helix/issues/1980,https://github.com/helix-editor/helix/tree/b33318672173fd49ffbd3440b7857ebc9812de08,https://github.com/helix-editor/helix/tree/275c05008fb5bc2f15044738a329939bc6b5befc,https://github.com/helix-editor/helix/compare/b33318672173fd49ffbd3440b7857ebc9812de08...275c05008fb5bc2f15044738a329939bc6b5befc
6,Helix,1fb614443292fe723e764782be560bb2ab3dda4e,3deb1c92306877e4d99c45f20f61c17c5e980492,1894,https://github.com/helix-editor/helix/issues/1894,https://github.com/helix-editor/helix/tree/1fb614443292fe723e764782be560bb2ab3dda4e,https://github.com/helix-editor/helix/tree/3deb1c92306877e4d99c45f20f61c17c5e980492,https://github.com/helix-editor/helix/compare/1fb614443292fe723e764782be560bb2ab3dda4e...3deb1c92306877e4d99c45f20f61c17c5e980492
7,Helix,b04c425c63d03f8320eb47ab6e38e4bb79763248,dc8fef5dd311e239150dfcd62c90cc84ee32a8a0,1991,https://github.com/helix-editor/helix/issues/1991,https://github.com/helix-editor/helix/tree/b04c425c63d03f8320eb47ab6e38e4bb79763248,https://github.com/helix-editor/helix/tree/dc8fef5dd311e239150dfcd62c90cc84ee32a8a0,https://github.com/helix-editor/helix/compare/b04c425c63d03f8320eb47ab6e38e4bb79763248...dc8fef5dd311e239150dfcd62c90cc84ee32a8a0
8,Helix,c80ac84978fa224498aaae86e2434b568221d216,0477d0289476c34e6b4d11a28165fee0c49063b3,2390,https://github.com/helix-editor/helix/issues/2390,https://github.com/helix-editor/helix/tree/c80ac84978fa224498aaae86e2434b568221d216,https://github.com/helix-editor/helix/tree/0477d0289476c34e6b4d11a28165fee0c49063b3,https://github.com/helix-editor/helix/compare/c80ac84978fa224498aaae86e2434b568221d216...0477d0289476c34e6b4d11a28165fee0c49063b3
9,Helix,0258cf45f300eb2ac1119be4186a83bfa5835bd9,50dd11985c107b9ed1abb7ca4ebc95f02deff9cf,2474,https://github.com/helix-editor/helix/issues/2474,https://github.com/helix-editor/helix/tree/0258cf45f300eb2ac1119be4186a83bfa5835bd9,https://github.com/helix-editor/helix/tree/50dd11985c107b9ed1abb7ca4ebc95f02deff9cf,https://github.com/helix-editor/helix/compare/0258cf45f300eb2ac1119be4186a83bfa5835bd9...50dd11985c107b9ed1abb7ca4ebc95f02deff9cf
10,Helix,09f9f70576830c328af37b73f96286d80ecf20f9,776686ab2471419b9c9aac8507e8d301f450389a,2157,https://github.com/helix-editor/helix/issues/2157,https://github.com/helix-editor/helix/tree/09f9f70576830c328af37b73f96286d80ecf20f9,https://github.com/helix-editor/helix/tree/776686ab2471419b9c9aac8507e8d301f450389a,https://github.com/helix-editor/helix/compare/09f9f70576830c328af37b73f96286d80ecf20f9...776686ab2471419b9c9aac8507e8d301f450389a
