bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Hivemall_core,bcae1534a2894d98746210ed20985c115a99678e,50867c178784bee74bbb0abcc8209266e7665764,HIVEMALL-72,https://issues.apache.org/jira/browse/HIVEMALL-72,https://github.com/apache/incubator-hivemall/tree/bcae1534a2894d98746210ed20985c115a99678e,https://github.com/apache/incubator-hivemall/tree/50867c178784bee74bbb0abcc8209266e7665764,https://github.com/apache/incubator-hivemall/compare/bcae1534a2894d98746210ed20985c115a99678e...50867c178784bee74bbb0abcc8209266e7665764
2,Hivemall_core,a89b9b8c19dd9fd645792d5e54a03fe697743ae1,19d472b54d611273f6a88d0a8e17eb277fc0e729,HIVEMALL-80,https://issues.apache.org/jira/browse/HIVEMALL-80,https://github.com/apache/incubator-hivemall/tree/a89b9b8c19dd9fd645792d5e54a03fe697743ae1,https://github.com/apache/incubator-hivemall/tree/19d472b54d611273f6a88d0a8e17eb277fc0e729,https://github.com/apache/incubator-hivemall/compare/a89b9b8c19dd9fd645792d5e54a03fe697743ae1...19d472b54d611273f6a88d0a8e17eb277fc0e729
3,Hivemall_core,cb63532aa117b22092ced6b116ed2e4047cae447,2e9617d59543a480dec9fef97efe4ad972734e86,HIVEMALL-93,https://issues.apache.org/jira/browse/HIVEMALL-93,https://github.com/apache/incubator-hivemall/tree/cb63532aa117b22092ced6b116ed2e4047cae447,https://github.com/apache/incubator-hivemall/tree/2e9617d59543a480dec9fef97efe4ad972734e86,https://github.com/apache/incubator-hivemall/compare/cb63532aa117b22092ced6b116ed2e4047cae447...2e9617d59543a480dec9fef97efe4ad972734e86
4,Hivemall_core,c53b9ff9b23755c7d211390ea97bc911a80674bf,8aae974fc39cd16080acdf7e493152d7167aa9e7,HIVEMALL-90,https://issues.apache.org/jira/browse/HIVEMALL-90,https://github.com/apache/incubator-hivemall/tree/c53b9ff9b23755c7d211390ea97bc911a80674bf,https://github.com/apache/incubator-hivemall/tree/8aae974fc39cd16080acdf7e493152d7167aa9e7,https://github.com/apache/incubator-hivemall/compare/c53b9ff9b23755c7d211390ea97bc911a80674bf...8aae974fc39cd16080acdf7e493152d7167aa9e7
5,Hivemall_core,10e7d450fa8257efc5d614957fda514b2b91fdee,78acc428e57aa23e1d89ad757cb0693f9155a277,HIVEMALL-109,https://issues.apache.org/jira/browse/HIVEMALL-109,https://github.com/apache/incubator-hivemall/tree/10e7d450fa8257efc5d614957fda514b2b91fdee,https://github.com/apache/incubator-hivemall/tree/78acc428e57aa23e1d89ad757cb0693f9155a277,https://github.com/apache/incubator-hivemall/compare/10e7d450fa8257efc5d614957fda514b2b91fdee...78acc428e57aa23e1d89ad757cb0693f9155a277
6,Hivemall_core,aafd0f1e35638e71271b0bd392423d3673d9b454,d53e71a3cf71d2c211e0c798e3de50ac65a05235,HIVEMALL-115,https://issues.apache.org/jira/browse/HIVEMALL-115,https://github.com/apache/incubator-hivemall/tree/aafd0f1e35638e71271b0bd392423d3673d9b454,https://github.com/apache/incubator-hivemall/tree/d53e71a3cf71d2c211e0c798e3de50ac65a05235,https://github.com/apache/incubator-hivemall/compare/aafd0f1e35638e71271b0bd392423d3673d9b454...d53e71a3cf71d2c211e0c798e3de50ac65a05235
7,Hivemall_core,ec6d945fe48d64cd5175a2ad0156b8bd387c6138,5a1e79d9dce0a05274014e2906b096b1c2aa62d2,HIVEMALL-80,https://issues.apache.org/jira/browse/HIVEMALL-80,https://github.com/apache/incubator-hivemall/tree/ec6d945fe48d64cd5175a2ad0156b8bd387c6138,https://github.com/apache/incubator-hivemall/tree/5a1e79d9dce0a05274014e2906b096b1c2aa62d2,https://github.com/apache/incubator-hivemall/compare/ec6d945fe48d64cd5175a2ad0156b8bd387c6138...5a1e79d9dce0a05274014e2906b096b1c2aa62d2
8,Hivemall_core,f15379878d25f587e06e0053344be024ec9b1049,8639810d332c408c8eab0882dbb62297dbc8895d,HIVEMALL-140,https://issues.apache.org/jira/browse/HIVEMALL-140,https://github.com/apache/incubator-hivemall/tree/f15379878d25f587e06e0053344be024ec9b1049,https://github.com/apache/incubator-hivemall/tree/8639810d332c408c8eab0882dbb62297dbc8895d,https://github.com/apache/incubator-hivemall/compare/f15379878d25f587e06e0053344be024ec9b1049...8639810d332c408c8eab0882dbb62297dbc8895d
9,Hivemall_core,7b9e6bae691e746521242d0cb71270ede648e0f3,3960cf2cd591f1a371648a0576c2a80bbd50aba8,HIVEMALL-157,https://issues.apache.org/jira/browse/HIVEMALL-157,https://github.com/apache/incubator-hivemall/tree/7b9e6bae691e746521242d0cb71270ede648e0f3,https://github.com/apache/incubator-hivemall/tree/3960cf2cd591f1a371648a0576c2a80bbd50aba8,https://github.com/apache/incubator-hivemall/compare/7b9e6bae691e746521242d0cb71270ede648e0f3...3960cf2cd591f1a371648a0576c2a80bbd50aba8
10,Hivemall_core,5ac14b7d8f1bb3232f3b18009bac060588831a8f,4be8adbc8e6648e15edf5c9ead9b51f3ad9fa45d,HIVEMALL-190,https://issues.apache.org/jira/browse/HIVEMALL-190,https://github.com/apache/incubator-hivemall/tree/5ac14b7d8f1bb3232f3b18009bac060588831a8f,https://github.com/apache/incubator-hivemall/tree/4be8adbc8e6648e15edf5c9ead9b51f3ad9fa45d,https://github.com/apache/incubator-hivemall/compare/5ac14b7d8f1bb3232f3b18009bac060588831a8f...4be8adbc8e6648e15edf5c9ead9b51f3ad9fa45d
