bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Homebrew,21314eb59b83f73910ec48dc11c1d4aa8cf43310,de676841f64c24459e56f42fdc96ef406aab2fa6,10832,https://github.com/Homebrew/brew/issues/10832,https://github.com/Homebrew/brew/tree/21314eb59b83f73910ec48dc11c1d4aa8cf43310,https://github.com/Homebrew/brew/tree/de676841f64c24459e56f42fdc96ef406aab2fa6,https://github.com/Homebrew/brew/compare/21314eb59b83f73910ec48dc11c1d4aa8cf43310...de676841f64c24459e56f42fdc96ef406aab2fa6
2,Homebrew,7e2ba95169593366565e84bce44da28a5aefe62c,85389705679ffa47b5fed4dc2667ca621d7499bf,10897,https://github.com/Homebrew/brew/issues/10897,https://github.com/Homebrew/brew/tree/7e2ba95169593366565e84bce44da28a5aefe62c,https://github.com/Homebrew/brew/tree/85389705679ffa47b5fed4dc2667ca621d7499bf,https://github.com/Homebrew/brew/compare/7e2ba95169593366565e84bce44da28a5aefe62c...85389705679ffa47b5fed4dc2667ca621d7499bf
3,Homebrew,555e9365f913b4099a036cd889e27a4d28b6a580,ae2d0fb0f8e0d81ee02a1e0535a7e6401a9e4825,10906,https://github.com/Homebrew/brew/issues/10906,https://github.com/Homebrew/brew/tree/555e9365f913b4099a036cd889e27a4d28b6a580,https://github.com/Homebrew/brew/tree/ae2d0fb0f8e0d81ee02a1e0535a7e6401a9e4825,https://github.com/Homebrew/brew/compare/555e9365f913b4099a036cd889e27a4d28b6a580...ae2d0fb0f8e0d81ee02a1e0535a7e6401a9e4825
4,Homebrew,28b176567992f8d323d73a0a1367d8239e34e8a4,3bf38a10ee55d87370c19c0581b5baca19821e76,10909,https://github.com/Homebrew/brew/issues/10909,https://github.com/Homebrew/brew/tree/28b176567992f8d323d73a0a1367d8239e34e8a4,https://github.com/Homebrew/brew/tree/3bf38a10ee55d87370c19c0581b5baca19821e76,https://github.com/Homebrew/brew/compare/28b176567992f8d323d73a0a1367d8239e34e8a4...3bf38a10ee55d87370c19c0581b5baca19821e76
5,Homebrew,d81a047544c431ab733f21d8ebd028a44341bfa6,ad22854bcb924fdc103bb3a3ea2b0358d8f0726a,11123,https://github.com/Homebrew/brew/issues/11123,https://github.com/Homebrew/brew/tree/d81a047544c431ab733f21d8ebd028a44341bfa6,https://github.com/Homebrew/brew/tree/ad22854bcb924fdc103bb3a3ea2b0358d8f0726a,https://github.com/Homebrew/brew/compare/d81a047544c431ab733f21d8ebd028a44341bfa6...ad22854bcb924fdc103bb3a3ea2b0358d8f0726a
6,Homebrew,dcd9bf1212c3b22d325b0c009dd042adc6308249,1cb082db945cf76ad15d8a72deef9a659c61b445,10988,https://github.com/Homebrew/brew/issues/10988,https://github.com/Homebrew/brew/tree/dcd9bf1212c3b22d325b0c009dd042adc6308249,https://github.com/Homebrew/brew/tree/1cb082db945cf76ad15d8a72deef9a659c61b445,https://github.com/Homebrew/brew/compare/dcd9bf1212c3b22d325b0c009dd042adc6308249...1cb082db945cf76ad15d8a72deef9a659c61b445
7,Homebrew,302087aa1e784c4b6eda48fb94022d364824bf51,670bea02c1490f8c9ad9bfb8aa7807c11921ccc5,11294,https://github.com/Homebrew/brew/issues/11294,https://github.com/Homebrew/brew/tree/302087aa1e784c4b6eda48fb94022d364824bf51,https://github.com/Homebrew/brew/tree/670bea02c1490f8c9ad9bfb8aa7807c11921ccc5,https://github.com/Homebrew/brew/compare/302087aa1e784c4b6eda48fb94022d364824bf51...670bea02c1490f8c9ad9bfb8aa7807c11921ccc5
8,Homebrew,ae49b0660052e88e53ebffc6e33dd48052d7cc2f,5f410162671c1f61538f107f3e45ab45382ff757,11108,https://github.com/Homebrew/brew/issues/11108,https://github.com/Homebrew/brew/tree/ae49b0660052e88e53ebffc6e33dd48052d7cc2f,https://github.com/Homebrew/brew/tree/5f410162671c1f61538f107f3e45ab45382ff757,https://github.com/Homebrew/brew/compare/ae49b0660052e88e53ebffc6e33dd48052d7cc2f...5f410162671c1f61538f107f3e45ab45382ff757
9,Homebrew,89b8619153ce7f523fcf4d1bb5fa4b3a375c22a4,714bfee81f85c8418c6fbb6d23648addd1009a04,11783,https://github.com/Homebrew/brew/issues/11783,https://github.com/Homebrew/brew/tree/89b8619153ce7f523fcf4d1bb5fa4b3a375c22a4,https://github.com/Homebrew/brew/tree/714bfee81f85c8418c6fbb6d23648addd1009a04,https://github.com/Homebrew/brew/compare/89b8619153ce7f523fcf4d1bb5fa4b3a375c22a4...714bfee81f85c8418c6fbb6d23648addd1009a04
10,Homebrew,f22d140869f5822b8a9b1340464473cb9ba49567,77afe94446e78e688ebde7a5e2b1249fc0a4afcd,11802,https://github.com/Homebrew/brew/issues/11802,https://github.com/Homebrew/brew/tree/f22d140869f5822b8a9b1340464473cb9ba49567,https://github.com/Homebrew/brew/tree/77afe94446e78e688ebde7a5e2b1249fc0a4afcd,https://github.com/Homebrew/brew/compare/f22d140869f5822b8a9b1340464473cb9ba49567...77afe94446e78e688ebde7a5e2b1249fc0a4afcd
