bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Httpie,258fc0cd5fca5701cc9f98879b108a9abbd055fe,71b6b126c05b9a7cdec750c9d923d4f03855b577,1,https://github.com/httpie/cli/issues/1,https://github.com/httpie/httpie/tree/258fc0cd5fca5701cc9f98879b108a9abbd055fe,https://github.com/httpie/httpie/tree/71b6b126c05b9a7cdec750c9d923d4f03855b577,https://github.com/httpie/httpie/compare/258fc0cd5fca5701cc9f98879b108a9abbd055fe...71b6b126c05b9a7cdec750c9d923d4f03855b577
2,Httpie,5cd40916fe622ae02a5df46423e14062444118b4,3442a5d037f0bddb1cf4bad55a56dac41b330515,7,https://github.com/httpie/cli/issues/7,https://github.com/httpie/httpie/tree/5cd40916fe622ae02a5df46423e14062444118b4,https://github.com/httpie/httpie/tree/3442a5d037f0bddb1cf4bad55a56dac41b330515,https://github.com/httpie/httpie/compare/5cd40916fe622ae02a5df46423e14062444118b4...3442a5d037f0bddb1cf4bad55a56dac41b330515
3,Httpie,31c28807c932cb3de2923bd45d5e6b13732b4e94,02622a4135077b2635428fbf6885927b80b55b68,29,https://github.com/httpie/cli/issues/29,https://github.com/httpie/httpie/tree/31c28807c932cb3de2923bd45d5e6b13732b4e94,https://github.com/httpie/httpie/tree/02622a4135077b2635428fbf6885927b80b55b68,https://github.com/httpie/httpie/compare/31c28807c932cb3de2923bd45d5e6b13732b4e94...02622a4135077b2635428fbf6885927b80b55b68
4,Httpie,1f49900db6416690a95829e25bce4b224cab9f73,51aa0409e6cf82a96a0b4f616c6b41e1c5549fee,11,https://github.com/httpie/cli/issues/11,https://github.com/httpie/httpie/tree/1f49900db6416690a95829e25bce4b224cab9f73,https://github.com/httpie/httpie/tree/51aa0409e6cf82a96a0b4f616c6b41e1c5549fee,https://github.com/httpie/httpie/compare/1f49900db6416690a95829e25bce4b224cab9f73...51aa0409e6cf82a96a0b4f616c6b41e1c5549fee
5,Httpie,71d21d1feb831e58080947e570b417fde08e0267,c6c1489212ccfc00c955507779ad87ca9b7c46ef,32,https://github.com/httpie/cli/issues/32,https://github.com/httpie/httpie/tree/71d21d1feb831e58080947e570b417fde08e0267,https://github.com/httpie/httpie/tree/c6c1489212ccfc00c955507779ad87ca9b7c46ef,https://github.com/httpie/httpie/compare/71d21d1feb831e58080947e570b417fde08e0267...c6c1489212ccfc00c955507779ad87ca9b7c46ef
6,Httpie,29e594daafc3b5bdcf0889515ccd0618747b3fb3,67d6426360930b77158cb1fd544e1f1bd4af83c3,31,https://github.com/httpie/cli/issues/31,https://github.com/httpie/httpie/tree/29e594daafc3b5bdcf0889515ccd0618747b3fb3,https://github.com/httpie/httpie/tree/67d6426360930b77158cb1fd544e1f1bd4af83c3,https://github.com/httpie/httpie/compare/29e594daafc3b5bdcf0889515ccd0618747b3fb3...67d6426360930b77158cb1fd544e1f1bd4af83c3
7,Httpie,284a75fa2f80f6372a1fb11a07aa98b95cd91303,cbc6d02127c53f2e0cc2075a11385e24f113f2c9,53,https://github.com/httpie/cli/issues/53,https://github.com/httpie/httpie/tree/284a75fa2f80f6372a1fb11a07aa98b95cd91303,https://github.com/httpie/httpie/tree/cbc6d02127c53f2e0cc2075a11385e24f113f2c9,https://github.com/httpie/httpie/compare/284a75fa2f80f6372a1fb11a07aa98b95cd91303...cbc6d02127c53f2e0cc2075a11385e24f113f2c9
8,Httpie,4613d947a8f1c11b7232e2184e9c81d315a38995,926d3f5caf326c680df8f7525273e803cf2d52b3,54,https://github.com/httpie/cli/issues/54,https://github.com/httpie/httpie/tree/4613d947a8f1c11b7232e2184e9c81d315a38995,https://github.com/httpie/httpie/tree/926d3f5caf326c680df8f7525273e803cf2d52b3,https://github.com/httpie/httpie/compare/4613d947a8f1c11b7232e2184e9c81d315a38995...926d3f5caf326c680df8f7525273e803cf2d52b3
9,Httpie,41d640920c98d54d823460c53970c37b6937846e,50196be0f2142d880048580a96e419f3c4a66120,57,https://github.com/httpie/cli/issues/57,https://github.com/httpie/httpie/tree/41d640920c98d54d823460c53970c37b6937846e,https://github.com/httpie/httpie/tree/50196be0f2142d880048580a96e419f3c4a66120,https://github.com/httpie/httpie/compare/41d640920c98d54d823460c53970c37b6937846e...50196be0f2142d880048580a96e419f3c4a66120
10,Httpie,50196be0f2142d880048580a96e419f3c4a66120,6ab03b21b4cc1c7ddc6c1d46b5bad4f07090955a,62,https://github.com/httpie/cli/issues/62,https://github.com/httpie/httpie/tree/50196be0f2142d880048580a96e419f3c4a66120,https://github.com/httpie/httpie/tree/6ab03b21b4cc1c7ddc6c1d46b5bad4f07090955a,https://github.com/httpie/httpie/compare/50196be0f2142d880048580a96e419f3c4a66120...6ab03b21b4cc1c7ddc6c1d46b5bad4f07090955a
11,Httpie,54e3e5bca4335723739ef82dafa88a71a6141bdb,2dba176aa8d97dc4965b0e848c59c5f8baace520,36,https://github.com/httpie/cli/issues/36,https://github.com/httpie/httpie/tree/54e3e5bca4335723739ef82dafa88a71a6141bdb,https://github.com/httpie/httpie/tree/2dba176aa8d97dc4965b0e848c59c5f8baace520,https://github.com/httpie/httpie/compare/54e3e5bca4335723739ef82dafa88a71a6141bdb...2dba176aa8d97dc4965b0e848c59c5f8baace520
12,Httpie,ab7915d9e0ea30a429332d27dd6f3e1201c6a3fb,16f23d81474584e64c9752988f3df994eedfa154,60,https://github.com/httpie/cli/issues/60,https://github.com/httpie/httpie/tree/ab7915d9e0ea30a429332d27dd6f3e1201c6a3fb,https://github.com/httpie/httpie/tree/16f23d81474584e64c9752988f3df994eedfa154,https://github.com/httpie/httpie/compare/ab7915d9e0ea30a429332d27dd6f3e1201c6a3fb...16f23d81474584e64c9752988f3df994eedfa154
