bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Hyper,4d77477c8316cb473c49eafd4105a5eb32471d42,c760ed063e1fcc69308b0708501e8fd2d74e6444,3,https://github.com/hyperium/hyper/issues/3,https://github.com/hyperium/hyper/tree/4d77477c8316cb473c49eafd4105a5eb32471d42,https://github.com/hyperium/hyper/tree/c760ed063e1fcc69308b0708501e8fd2d74e6444,https://github.com/hyperium/hyper/compare/4d77477c8316cb473c49eafd4105a5eb32471d42...c760ed063e1fcc69308b0708501e8fd2d74e6444
2,Hyper,4d77477c8316cb473c49eafd4105a5eb32471d42,d3bca27e8a65668e70f65be997743aac505610c2,10,https://github.com/hyperium/hyper/issues/10,https://github.com/hyperium/hyper/tree/4d77477c8316cb473c49eafd4105a5eb32471d42,https://github.com/hyperium/hyper/tree/d3bca27e8a65668e70f65be997743aac505610c2,https://github.com/hyperium/hyper/compare/4d77477c8316cb473c49eafd4105a5eb32471d42...d3bca27e8a65668e70f65be997743aac505610c2
3,Hyper,2ac1305b186d88947ec37021a5df50b104663e1a,f9565a9decff5f45b5aa3c9b7d3bb40e5af6fcf6,12,https://github.com/hyperium/hyper/issues/12,https://github.com/hyperium/hyper/tree/2ac1305b186d88947ec37021a5df50b104663e1a,https://github.com/hyperium/hyper/tree/f9565a9decff5f45b5aa3c9b7d3bb40e5af6fcf6,https://github.com/hyperium/hyper/compare/2ac1305b186d88947ec37021a5df50b104663e1a...f9565a9decff5f45b5aa3c9b7d3bb40e5af6fcf6
4,Hyper,fd6b014e7e40d686121b5cdf63818878d4bf2ce2,f2c09c5743fec7ca9687a4e1499090826b03be59,8,https://github.com/hyperium/hyper/issues/8,https://github.com/hyperium/hyper/tree/fd6b014e7e40d686121b5cdf63818878d4bf2ce2,https://github.com/hyperium/hyper/tree/f2c09c5743fec7ca9687a4e1499090826b03be59,https://github.com/hyperium/hyper/compare/fd6b014e7e40d686121b5cdf63818878d4bf2ce2...f2c09c5743fec7ca9687a4e1499090826b03be59
5,Hyper,0285fc2acc6c6f3bbb63ce72691e0d1ee0cdc9ff,76a58940d813c4c6d8e42700e19b53542ba2e29b,5,https://github.com/hyperium/hyper/issues/5,https://github.com/hyperium/hyper/tree/0285fc2acc6c6f3bbb63ce72691e0d1ee0cdc9ff,https://github.com/hyperium/hyper/tree/76a58940d813c4c6d8e42700e19b53542ba2e29b,https://github.com/hyperium/hyper/compare/0285fc2acc6c6f3bbb63ce72691e0d1ee0cdc9ff...76a58940d813c4c6d8e42700e19b53542ba2e29b
6,Hyper,8e95d4bc42e47ff40df8221bdc4f121f6c1f6084,c2d9e343767437b6db746914acfbb0847707bbc0,7,https://github.com/hyperium/hyper/issues/7,https://github.com/hyperium/hyper/tree/8e95d4bc42e47ff40df8221bdc4f121f6c1f6084,https://github.com/hyperium/hyper/tree/c2d9e343767437b6db746914acfbb0847707bbc0,https://github.com/hyperium/hyper/compare/8e95d4bc42e47ff40df8221bdc4f121f6c1f6084...c2d9e343767437b6db746914acfbb0847707bbc0
7,Hyper,1b65d5e2e60c79bc0b033823e5f7712f073abfa6,d00fc1476596a080317676b5b4d90605e743c19c,47,https://github.com/hyperium/hyper/issues/47,https://github.com/hyperium/hyper/tree/1b65d5e2e60c79bc0b033823e5f7712f073abfa6,https://github.com/hyperium/hyper/tree/d00fc1476596a080317676b5b4d90605e743c19c,https://github.com/hyperium/hyper/compare/1b65d5e2e60c79bc0b033823e5f7712f073abfa6...d00fc1476596a080317676b5b4d90605e743c19c
8,Hyper,08402a1cbf1f039e817d8b056e9de506584d0304,61e18141be8f64eec5b87ba60bfece994afbf630,75,https://github.com/hyperium/hyper/issues/75,https://github.com/hyperium/hyper/tree/08402a1cbf1f039e817d8b056e9de506584d0304,https://github.com/hyperium/hyper/tree/61e18141be8f64eec5b87ba60bfece994afbf630,https://github.com/hyperium/hyper/compare/08402a1cbf1f039e817d8b056e9de506584d0304...61e18141be8f64eec5b87ba60bfece994afbf630
9,Hyper,50a6f6103e842102ccb03e8e49bf8f412fd166bc,224cc709c3f38215e62f5130a2ef54fd39086db5,88,https://github.com/hyperium/hyper/issues/88,https://github.com/hyperium/hyper/tree/50a6f6103e842102ccb03e8e49bf8f412fd166bc,https://github.com/hyperium/hyper/tree/224cc709c3f38215e62f5130a2ef54fd39086db5,https://github.com/hyperium/hyper/compare/50a6f6103e842102ccb03e8e49bf8f412fd166bc...224cc709c3f38215e62f5130a2ef54fd39086db5
10,Hyper,caab60e37401d50b574e015d43090260137afa47,3b8c5cac1a5bea9b91bd4aa6eb9ad42d4d6568dd,77,https://github.com/hyperium/hyper/issues/77,https://github.com/hyperium/hyper/tree/caab60e37401d50b574e015d43090260137afa47,https://github.com/hyperium/hyper/tree/3b8c5cac1a5bea9b91bd4aa6eb9ad42d4d6568dd,https://github.com/hyperium/hyper/compare/caab60e37401d50b574e015d43090260137afa47...3b8c5cac1a5bea9b91bd4aa6eb9ad42d4d6568dd
11,Hyper,d51657a8317d5aa61b488669f89bdd31a689fde1,928f63c36835f0ae741f17a7bcc3de8ab36a0913,112,https://github.com/hyperium/hyper/issues/112,https://github.com/hyperium/hyper/tree/d51657a8317d5aa61b488669f89bdd31a689fde1,https://github.com/hyperium/hyper/tree/928f63c36835f0ae741f17a7bcc3de8ab36a0913,https://github.com/hyperium/hyper/compare/d51657a8317d5aa61b488669f89bdd31a689fde1...928f63c36835f0ae741f17a7bcc3de8ab36a0913
12,Hyper,ed6faceec3b26f01c739b047615183518bc9b6d6,07cf414e176b68c947a523b9a004467f1f094bb0,148,https://github.com/hyperium/hyper/issues/148,https://github.com/hyperium/hyper/tree/ed6faceec3b26f01c739b047615183518bc9b6d6,https://github.com/hyperium/hyper/tree/07cf414e176b68c947a523b9a004467f1f094bb0,https://github.com/hyperium/hyper/compare/ed6faceec3b26f01c739b047615183518bc9b6d6...07cf414e176b68c947a523b9a004467f1f094bb0
