bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,IO,8847edc67390b817f611b22f9c211c423983d3d4,eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e,IO-83,https://issues.apache.org/jira/browse/IO-83,https://github.com/apache/commons-io/tree/8847edc67390b817f611b22f9c211c423983d3d4,https://github.com/apache/commons-io/tree/eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e,https://github.com/apache/commons-io/compare/8847edc67390b817f611b22f9c211c423983d3d4...eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e
2,IO,eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e,0a03609ddc6380dd7c9053eb8cb04072baa476a1,IO-90,https://issues.apache.org/jira/browse/IO-90,https://github.com/apache/commons-io/tree/eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e,https://github.com/apache/commons-io/tree/0a03609ddc6380dd7c9053eb8cb04072baa476a1,https://github.com/apache/commons-io/compare/eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e...0a03609ddc6380dd7c9053eb8cb04072baa476a1
3,IO,93910e80b41dfbecca566bda13da7601262f3730,01caaa9ac072f932a83ff894e63dade9df97c465,IO-91,https://issues.apache.org/jira/browse/IO-91,https://github.com/apache/commons-io/tree/93910e80b41dfbecca566bda13da7601262f3730,https://github.com/apache/commons-io/tree/01caaa9ac072f932a83ff894e63dade9df97c465,https://github.com/apache/commons-io/compare/93910e80b41dfbecca566bda13da7601262f3730...01caaa9ac072f932a83ff894e63dade9df97c465
4,IO,a12dd6e3f27c3be0bb02f618dc3ae132bf6e92c9,b4b470096a39bfa51d33782f442505383ecc5e79,IO-93,https://issues.apache.org/jira/browse/IO-93,https://github.com/apache/commons-io/tree/a12dd6e3f27c3be0bb02f618dc3ae132bf6e92c9,https://github.com/apache/commons-io/tree/b4b470096a39bfa51d33782f442505383ecc5e79,https://github.com/apache/commons-io/compare/a12dd6e3f27c3be0bb02f618dc3ae132bf6e92c9...b4b470096a39bfa51d33782f442505383ecc5e79
5,IO,b4b470096a39bfa51d33782f442505383ecc5e79,83af1cb1fe4a4a8f6af79fe8c44258d95e061e31,IO-84,https://issues.apache.org/jira/browse/IO-84,https://github.com/apache/commons-io/tree/b4b470096a39bfa51d33782f442505383ecc5e79,https://github.com/apache/commons-io/tree/83af1cb1fe4a4a8f6af79fe8c44258d95e061e31,https://github.com/apache/commons-io/compare/b4b470096a39bfa51d33782f442505383ecc5e79...83af1cb1fe4a4a8f6af79fe8c44258d95e061e31
6,IO,f63be2b6e74a8e8e6e7f721bd563850ec292aad3,1cd7e93ab1fbd610a3b552d8295d8e565adeecb2,IO-84,https://issues.apache.org/jira/browse/IO-84,https://github.com/apache/commons-io/tree/f63be2b6e74a8e8e6e7f721bd563850ec292aad3,https://github.com/apache/commons-io/tree/1cd7e93ab1fbd610a3b552d8295d8e565adeecb2,https://github.com/apache/commons-io/compare/f63be2b6e74a8e8e6e7f721bd563850ec292aad3...1cd7e93ab1fbd610a3b552d8295d8e565adeecb2
7,IO,d25ed53a78193ec031635f71f29b1f9217c793ef,e03d721bb4dfd2e4ba7719f76ce17e860890dd2e,IO-84,https://issues.apache.org/jira/browse/IO-84,https://github.com/apache/commons-io/tree/d25ed53a78193ec031635f71f29b1f9217c793ef,https://github.com/apache/commons-io/tree/e03d721bb4dfd2e4ba7719f76ce17e860890dd2e,https://github.com/apache/commons-io/compare/d25ed53a78193ec031635f71f29b1f9217c793ef...e03d721bb4dfd2e4ba7719f76ce17e860890dd2e
8,IO,464ebe809781e60e7bd56017bcbd3c0aaa2ecd1f,45a0b1fdfa0dec0ba60dc941e768a4898b8f070a,IO-96,https://issues.apache.org/jira/browse/IO-96,https://github.com/apache/commons-io/tree/464ebe809781e60e7bd56017bcbd3c0aaa2ecd1f,https://github.com/apache/commons-io/tree/45a0b1fdfa0dec0ba60dc941e768a4898b8f070a,https://github.com/apache/commons-io/compare/464ebe809781e60e7bd56017bcbd3c0aaa2ecd1f...45a0b1fdfa0dec0ba60dc941e768a4898b8f070a
9,IO,46c56e67b6c10b1e5f4813f372f19bf1da7ffd38,4147a50bae4e937d0bd41c397b13009b56a8cf2a,IO-84,https://issues.apache.org/jira/browse/IO-84,https://github.com/apache/commons-io/tree/46c56e67b6c10b1e5f4813f372f19bf1da7ffd38,https://github.com/apache/commons-io/tree/4147a50bae4e937d0bd41c397b13009b56a8cf2a,https://github.com/apache/commons-io/compare/46c56e67b6c10b1e5f4813f372f19bf1da7ffd38...4147a50bae4e937d0bd41c397b13009b56a8cf2a
10,IO,4147a50bae4e937d0bd41c397b13009b56a8cf2a,7df4f8c850e512ec7de15ecbf5df78d7f9d44449,IO-82,https://issues.apache.org/jira/browse/IO-82,https://github.com/apache/commons-io/tree/4147a50bae4e937d0bd41c397b13009b56a8cf2a,https://github.com/apache/commons-io/tree/7df4f8c850e512ec7de15ecbf5df78d7f9d44449,https://github.com/apache/commons-io/compare/4147a50bae4e937d0bd41c397b13009b56a8cf2a...7df4f8c850e512ec7de15ecbf5df78d7f9d44449
11,IO,1815c8b4ce117826c614023e5d8897a590174362,a9d448fbed45bed36941cb06dce0fc6139c1e525,IO-84,https://issues.apache.org/jira/browse/IO-84,https://github.com/apache/commons-io/tree/1815c8b4ce117826c614023e5d8897a590174362,https://github.com/apache/commons-io/tree/a9d448fbed45bed36941cb06dce0fc6139c1e525,https://github.com/apache/commons-io/compare/1815c8b4ce117826c614023e5d8897a590174362...a9d448fbed45bed36941cb06dce0fc6139c1e525
12,IO,a56cc14c2dd316cf6439e94444530b3ab4894949,5284ceacdf2b198f17788c967a8f6862a5c1b325,IO-89,https://issues.apache.org/jira/browse/IO-89,https://github.com/apache/commons-io/tree/a56cc14c2dd316cf6439e94444530b3ab4894949,https://github.com/apache/commons-io/tree/5284ceacdf2b198f17788c967a8f6862a5c1b325,https://github.com/apache/commons-io/compare/a56cc14c2dd316cf6439e94444530b3ab4894949...5284ceacdf2b198f17788c967a8f6862a5c1b325
13,IO,e7ca7823f0c4ab695b915d960833a265a383f064,1d0c2d0ba1ddc78070e415d05b2bd26cb288cecb,IO-84,https://issues.apache.org/jira/browse/IO-84,https://github.com/apache/commons-io/tree/e7ca7823f0c4ab695b915d960833a265a383f064,https://github.com/apache/commons-io/tree/1d0c2d0ba1ddc78070e415d05b2bd26cb288cecb,https://github.com/apache/commons-io/compare/e7ca7823f0c4ab695b915d960833a265a383f064...1d0c2d0ba1ddc78070e415d05b2bd26cb288cecb
14,IO,1d0c2d0ba1ddc78070e415d05b2bd26cb288cecb,bf78bafa9586d847996d6d8e426d765026641645,IO-100,https://issues.apache.org/jira/browse/IO-100,https://github.com/apache/commons-io/tree/1d0c2d0ba1ddc78070e415d05b2bd26cb288cecb,https://github.com/apache/commons-io/tree/bf78bafa9586d847996d6d8e426d765026641645,https://github.com/apache/commons-io/compare/1d0c2d0ba1ddc78070e415d05b2bd26cb288cecb...bf78bafa9586d847996d6d8e426d765026641645
15,IO,bf78bafa9586d847996d6d8e426d765026641645,f732c9a50cbaf0675e8b1846c8d3480c06f297a2,IO-100,https://issues.apache.org/jira/browse/IO-100,https://github.com/apache/commons-io/tree/bf78bafa9586d847996d6d8e426d765026641645,https://github.com/apache/commons-io/tree/f732c9a50cbaf0675e8b1846c8d3480c06f297a2,https://github.com/apache/commons-io/compare/bf78bafa9586d847996d6d8e426d765026641645...f732c9a50cbaf0675e8b1846c8d3480c06f297a2
16,IO,f732c9a50cbaf0675e8b1846c8d3480c06f297a2,9c18390762527fe8d1bf7af8ded586566cdbb59c,IO-99,https://issues.apache.org/jira/browse/IO-99,https://github.com/apache/commons-io/tree/f732c9a50cbaf0675e8b1846c8d3480c06f297a2,https://github.com/apache/commons-io/tree/9c18390762527fe8d1bf7af8ded586566cdbb59c,https://github.com/apache/commons-io/compare/f732c9a50cbaf0675e8b1846c8d3480c06f297a2...9c18390762527fe8d1bf7af8ded586566cdbb59c
17,IO,6ca31cd68b732df0ffe5b7734252a71f9f7e7ab0,a354d0a5ebbb00a9758f93e72d51078177576918,IO-102,https://issues.apache.org/jira/browse/IO-102,https://github.com/apache/commons-io/tree/6ca31cd68b732df0ffe5b7734252a71f9f7e7ab0,https://github.com/apache/commons-io/tree/a354d0a5ebbb00a9758f93e72d51078177576918,https://github.com/apache/commons-io/compare/6ca31cd68b732df0ffe5b7734252a71f9f7e7ab0...a354d0a5ebbb00a9758f93e72d51078177576918
18,IO,a354d0a5ebbb00a9758f93e72d51078177576918,740afb04f70a27cee28eb8ade5d1b819be71c502,IO-101,https://issues.apache.org/jira/browse/IO-101,https://github.com/apache/commons-io/tree/a354d0a5ebbb00a9758f93e72d51078177576918,https://github.com/apache/commons-io/tree/740afb04f70a27cee28eb8ade5d1b819be71c502,https://github.com/apache/commons-io/compare/a354d0a5ebbb00a9758f93e72d51078177576918...740afb04f70a27cee28eb8ade5d1b819be71c502
19,IO,740afb04f70a27cee28eb8ade5d1b819be71c502,8c689c63db031223e93df006194baf4bbe39ec5c,IO-101,https://issues.apache.org/jira/browse/IO-101,https://github.com/apache/commons-io/tree/740afb04f70a27cee28eb8ade5d1b819be71c502,https://github.com/apache/commons-io/tree/8c689c63db031223e93df006194baf4bbe39ec5c,https://github.com/apache/commons-io/compare/740afb04f70a27cee28eb8ade5d1b819be71c502...8c689c63db031223e93df006194baf4bbe39ec5c
20,IO,8c689c63db031223e93df006194baf4bbe39ec5c,2e4604700c06619f6f3f69c589fc651aa4c2cd93,IO-103,https://issues.apache.org/jira/browse/IO-103,https://github.com/apache/commons-io/tree/8c689c63db031223e93df006194baf4bbe39ec5c,https://github.com/apache/commons-io/tree/2e4604700c06619f6f3f69c589fc651aa4c2cd93,https://github.com/apache/commons-io/compare/8c689c63db031223e93df006194baf4bbe39ec5c...2e4604700c06619f6f3f69c589fc651aa4c2cd93
