bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Imaging,fed613c08a356532900bb0096575f9c696381606,68be5f9ec6e04c51e5800bdd54f28bac40cc5843,IMAGING-33,https://issues.apache.org/jira/browse/IMAGING-33,https://github.com/apache/commons-imagin/tree/fed613c08a356532900bb0096575f9c696381606,https://github.com/apache/commons-imagin/tree/68be5f9ec6e04c51e5800bdd54f28bac40cc5843,https://github.com/apache/commons-imagin/compare/fed613c08a356532900bb0096575f9c696381606...68be5f9ec6e04c51e5800bdd54f28bac40cc5843
2,Imaging,ea8323b3565d6464519f0bc0712db584a572585f,cce99d1657b1266b8d9c6695bbce14675da2ec48,IMAGING-5,https://issues.apache.org/jira/browse/IMAGING-5,https://github.com/apache/commons-imagin/tree/ea8323b3565d6464519f0bc0712db584a572585f,https://github.com/apache/commons-imagin/tree/cce99d1657b1266b8d9c6695bbce14675da2ec48,https://github.com/apache/commons-imagin/compare/ea8323b3565d6464519f0bc0712db584a572585f...cce99d1657b1266b8d9c6695bbce14675da2ec48
3,Imaging,979c6856b1869ecf1309c926f732ab52af8c3334,39f463da29620668e1a4c6459997be52cce72681,IMAGING-82,https://issues.apache.org/jira/browse/IMAGING-82,https://github.com/apache/commons-imagin/tree/979c6856b1869ecf1309c926f732ab52af8c3334,https://github.com/apache/commons-imagin/tree/39f463da29620668e1a4c6459997be52cce72681,https://github.com/apache/commons-imagin/compare/979c6856b1869ecf1309c926f732ab52af8c3334...39f463da29620668e1a4c6459997be52cce72681
4,Imaging,65a44c7b195f00100f513699f8ddb7cd23755c3c,564009cc6ed26d50ed7f07a08a4f311f83d2050f,IMAGING-86,https://issues.apache.org/jira/browse/IMAGING-86,https://github.com/apache/commons-imagin/tree/65a44c7b195f00100f513699f8ddb7cd23755c3c,https://github.com/apache/commons-imagin/tree/564009cc6ed26d50ed7f07a08a4f311f83d2050f,https://github.com/apache/commons-imagin/compare/65a44c7b195f00100f513699f8ddb7cd23755c3c...564009cc6ed26d50ed7f07a08a4f311f83d2050f
5,Imaging,d9c37438d417f2b626c497676254f14435ab6eeb,352f3a90f78ddb432d844f2c08ce9761650cf33b,IMAGING-88,https://issues.apache.org/jira/browse/IMAGING-88,https://github.com/apache/commons-imagin/tree/d9c37438d417f2b626c497676254f14435ab6eeb,https://github.com/apache/commons-imagin/tree/352f3a90f78ddb432d844f2c08ce9761650cf33b,https://github.com/apache/commons-imagin/compare/d9c37438d417f2b626c497676254f14435ab6eeb...352f3a90f78ddb432d844f2c08ce9761650cf33b
6,Imaging,be971af31a298114769421a89f1cf9d68c40e73b,814d3471b0e1effc894b70d5fa1599479b48fbc5,IMAGING-92,https://issues.apache.org/jira/browse/IMAGING-92,https://github.com/apache/commons-imagin/tree/be971af31a298114769421a89f1cf9d68c40e73b,https://github.com/apache/commons-imagin/tree/814d3471b0e1effc894b70d5fa1599479b48fbc5,https://github.com/apache/commons-imagin/compare/be971af31a298114769421a89f1cf9d68c40e73b...814d3471b0e1effc894b70d5fa1599479b48fbc5
7,Imaging,24cda45bf8351ef4816553212ee00863daa7e219,07ba103fea727e1d91dc41e83694d64191ed664b,IMAGING-95,https://issues.apache.org/jira/browse/IMAGING-95,https://github.com/apache/commons-imagin/tree/24cda45bf8351ef4816553212ee00863daa7e219,https://github.com/apache/commons-imagin/tree/07ba103fea727e1d91dc41e83694d64191ed664b,https://github.com/apache/commons-imagin/compare/24cda45bf8351ef4816553212ee00863daa7e219...07ba103fea727e1d91dc41e83694d64191ed664b
8,Imaging,07ba103fea727e1d91dc41e83694d64191ed664b,fcf027c38ac94ded8cdb248ec41e9d37b32e8b14,IMAGING-93,https://issues.apache.org/jira/browse/IMAGING-93,https://github.com/apache/commons-imagin/tree/07ba103fea727e1d91dc41e83694d64191ed664b,https://github.com/apache/commons-imagin/tree/fcf027c38ac94ded8cdb248ec41e9d37b32e8b14,https://github.com/apache/commons-imagin/compare/07ba103fea727e1d91dc41e83694d64191ed664b...fcf027c38ac94ded8cdb248ec41e9d37b32e8b14
9,Imaging,fcf027c38ac94ded8cdb248ec41e9d37b32e8b14,837cc0b926b2989fbe7ed484ef3460b041e81e27,IMAGING-90,https://issues.apache.org/jira/browse/IMAGING-90,https://github.com/apache/commons-imagin/tree/fcf027c38ac94ded8cdb248ec41e9d37b32e8b14,https://github.com/apache/commons-imagin/tree/837cc0b926b2989fbe7ed484ef3460b041e81e27,https://github.com/apache/commons-imagin/compare/fcf027c38ac94ded8cdb248ec41e9d37b32e8b14...837cc0b926b2989fbe7ed484ef3460b041e81e27
10,Imaging,ac0a2e6eb155d2c42b1339d1f2b6f31dc3a23574,d7d10030b51f5e77b647b8406ba35bc12554c16b,IMAGING-99,https://issues.apache.org/jira/browse/IMAGING-99,https://github.com/apache/commons-imagin/tree/ac0a2e6eb155d2c42b1339d1f2b6f31dc3a23574,https://github.com/apache/commons-imagin/tree/d7d10030b51f5e77b647b8406ba35bc12554c16b,https://github.com/apache/commons-imagin/compare/ac0a2e6eb155d2c42b1339d1f2b6f31dc3a23574...d7d10030b51f5e77b647b8406ba35bc12554c16b
