bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Incubator_tamaya_api,225aabc4648f1d1e1936cf03b00576dbecfa42fe,49d787d8f8086ff077579c63ff57364d01362b53,TAMAYA-134,https://issues.apache.org/jira/browse/TAMAYA-134,https://github.com/apache/incubator-retired-tamaya/tree/225aabc4648f1d1e1936cf03b00576dbecfa42fe,https://github.com/apache/incubator-retired-tamaya/tree/49d787d8f8086ff077579c63ff57364d01362b53,https://github.com/apache/incubator-retired-tamaya/compare/225aabc4648f1d1e1936cf03b00576dbecfa42fe...49d787d8f8086ff077579c63ff57364d01362b53
2,Incubator_tamaya_api,b6f5edf9e3b96b1e239ec410635d15de8f6bcf99,13f69dae9ee4c83ec1114a8d1cc8b9eadd7d36b7,TAMAYA-136,https://issues.apache.org/jira/browse/TAMAYA-136,https://github.com/apache/incubator-retired-tamaya/tree/b6f5edf9e3b96b1e239ec410635d15de8f6bcf99,https://github.com/apache/incubator-retired-tamaya/tree/13f69dae9ee4c83ec1114a8d1cc8b9eadd7d36b7,https://github.com/apache/incubator-retired-tamaya/compare/b6f5edf9e3b96b1e239ec410635d15de8f6bcf99...13f69dae9ee4c83ec1114a8d1cc8b9eadd7d36b7
3,Incubator_tamaya_api,13f69dae9ee4c83ec1114a8d1cc8b9eadd7d36b7,2eef8a5820e9a00ea182659091a2100dd2e8a1e3,TAMAYA-138,https://issues.apache.org/jira/browse/TAMAYA-138,https://github.com/apache/incubator-retired-tamaya/tree/13f69dae9ee4c83ec1114a8d1cc8b9eadd7d36b7,https://github.com/apache/incubator-retired-tamaya/tree/2eef8a5820e9a00ea182659091a2100dd2e8a1e3,https://github.com/apache/incubator-retired-tamaya/compare/13f69dae9ee4c83ec1114a8d1cc8b9eadd7d36b7...2eef8a5820e9a00ea182659091a2100dd2e8a1e3
4,Incubator_tamaya_api,eba49d80e0428c83a9afd848fbab033d357d5388,80432aeb74f64e1d0f8a9cb22c7ebd88f8e7681c,TAMAYA-136,https://issues.apache.org/jira/browse/TAMAYA-136,https://github.com/apache/incubator-retired-tamaya/tree/eba49d80e0428c83a9afd848fbab033d357d5388,https://github.com/apache/incubator-retired-tamaya/tree/80432aeb74f64e1d0f8a9cb22c7ebd88f8e7681c,https://github.com/apache/incubator-retired-tamaya/compare/eba49d80e0428c83a9afd848fbab033d357d5388...80432aeb74f64e1d0f8a9cb22c7ebd88f8e7681c
5,Incubator_tamaya_api,0be037b844450e30ab58a78cab9ddd9bd07585c1,d778cb81476f4f12f5d9b55a65edc686af38311b,TAMAYA-136,https://issues.apache.org/jira/browse/TAMAYA-136,https://github.com/apache/incubator-retired-tamaya/tree/0be037b844450e30ab58a78cab9ddd9bd07585c1,https://github.com/apache/incubator-retired-tamaya/tree/d778cb81476f4f12f5d9b55a65edc686af38311b,https://github.com/apache/incubator-retired-tamaya/compare/0be037b844450e30ab58a78cab9ddd9bd07585c1...d778cb81476f4f12f5d9b55a65edc686af38311b
6,Incubator_tamaya_api,904d1ece3be514fb96a88f9057c07f0f8936d542,0eb9b81a8417360cca43ab9db8a4f007d407b2a3,TAMAYA-134,https://issues.apache.org/jira/browse/TAMAYA-134,https://github.com/apache/incubator-retired-tamaya/tree/904d1ece3be514fb96a88f9057c07f0f8936d542,https://github.com/apache/incubator-retired-tamaya/tree/0eb9b81a8417360cca43ab9db8a4f007d407b2a3,https://github.com/apache/incubator-retired-tamaya/compare/904d1ece3be514fb96a88f9057c07f0f8936d542...0eb9b81a8417360cca43ab9db8a4f007d407b2a3
7,Incubator_tamaya_api,9fd1cee1fa27fe70af0e34e66ef81f0ba243c67e,5701c27e7913765bda8d8332dfdf88859145ec0a,TAMAYA-134,https://issues.apache.org/jira/browse/TAMAYA-134,https://github.com/apache/incubator-retired-tamaya/tree/9fd1cee1fa27fe70af0e34e66ef81f0ba243c67e,https://github.com/apache/incubator-retired-tamaya/tree/5701c27e7913765bda8d8332dfdf88859145ec0a,https://github.com/apache/incubator-retired-tamaya/compare/9fd1cee1fa27fe70af0e34e66ef81f0ba243c67e...5701c27e7913765bda8d8332dfdf88859145ec0a
8,Incubator_tamaya_api,ebb7d90b0a7d63abd8d2012e0ac1383e4ec21f79,7ad4c36ee74a945eb227f73371c0a6d407fb7b07,TAMAYA-134,https://issues.apache.org/jira/browse/TAMAYA-134,https://github.com/apache/incubator-retired-tamaya/tree/ebb7d90b0a7d63abd8d2012e0ac1383e4ec21f79,https://github.com/apache/incubator-retired-tamaya/tree/7ad4c36ee74a945eb227f73371c0a6d407fb7b07,https://github.com/apache/incubator-retired-tamaya/compare/ebb7d90b0a7d63abd8d2012e0ac1383e4ec21f79...7ad4c36ee74a945eb227f73371c0a6d407fb7b07
9,Incubator_tamaya_api,ae4ebe1d34a03f7f6e3dd97859533eec879bc639,b2dddeb864d16f65c48a151103a96f3eccfa1502,TAMAYA-238,https://issues.apache.org/jira/browse/TAMAYA-238,https://github.com/apache/incubator-retired-tamaya/tree/ae4ebe1d34a03f7f6e3dd97859533eec879bc639,https://github.com/apache/incubator-retired-tamaya/tree/b2dddeb864d16f65c48a151103a96f3eccfa1502,https://github.com/apache/incubator-retired-tamaya/compare/ae4ebe1d34a03f7f6e3dd97859533eec879bc639...b2dddeb864d16f65c48a151103a96f3eccfa1502
10,Incubator_tamaya_api,8ad767b484f2e9bb6247b14ca53c8395b773ebe0,0cb070ec21c3b4f4cfc4187f950f38cb875bbd65,TAMAYA-257,https://issues.apache.org/jira/browse/TAMAYA-257,https://github.com/apache/incubator-retired-tamaya/tree/8ad767b484f2e9bb6247b14ca53c8395b773ebe0,https://github.com/apache/incubator-retired-tamaya/tree/0cb070ec21c3b4f4cfc4187f950f38cb875bbd65,https://github.com/apache/incubator-retired-tamaya/compare/8ad767b484f2e9bb6247b14ca53c8395b773ebe0...0cb070ec21c3b4f4cfc4187f950f38cb875bbd65
11,Incubator_tamaya_api,db56ee2264f79bb939cb4117c26d3d48d618f1d4,135792e9f649693684d85d68b83a6a258e782a10,TAMAYA-326,https://issues.apache.org/jira/browse/TAMAYA-326,https://github.com/apache/incubator-retired-tamaya/tree/db56ee2264f79bb939cb4117c26d3d48d618f1d4,https://github.com/apache/incubator-retired-tamaya/tree/135792e9f649693684d85d68b83a6a258e782a10,https://github.com/apache/incubator-retired-tamaya/compare/db56ee2264f79bb939cb4117c26d3d48d618f1d4...135792e9f649693684d85d68b83a6a258e782a10
12,Incubator_tamaya_api,135792e9f649693684d85d68b83a6a258e782a10,ca4de3dc49fefa020e89073b8032be7de20ab27d,TAMAYA-327,https://issues.apache.org/jira/browse/TAMAYA-327,https://github.com/apache/incubator-retired-tamaya/tree/135792e9f649693684d85d68b83a6a258e782a10,https://github.com/apache/incubator-retired-tamaya/tree/ca4de3dc49fefa020e89073b8032be7de20ab27d,https://github.com/apache/incubator-retired-tamaya/compare/135792e9f649693684d85d68b83a6a258e782a10...ca4de3dc49fefa020e89073b8032be7de20ab27d
13,Incubator_tamaya_api,c1ab5ecd830dc5f6308061a0e5d0b9ff10116715,ceb848ab2b14b1422688218afa668b4b4742c857,TAMAYA-383,https://issues.apache.org/jira/browse/TAMAYA-383,https://github.com/apache/incubator-retired-tamaya/tree/c1ab5ecd830dc5f6308061a0e5d0b9ff10116715,https://github.com/apache/incubator-retired-tamaya/tree/ceb848ab2b14b1422688218afa668b4b4742c857,https://github.com/apache/incubator-retired-tamaya/compare/c1ab5ecd830dc5f6308061a0e5d0b9ff10116715...ceb848ab2b14b1422688218afa668b4b4742c857
