bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JUnit5,72be67868ab404bc9ddf8f0b72f16e42d9d01588,26cd9307b4fea03eb2f51860bc18378487591195,42,https://github.com/junit-team/junit-framework/issues/42,https://github.com/junit-team/junit5/tree/72be67868ab404bc9ddf8f0b72f16e42d9d01588,https://github.com/junit-team/junit5/tree/26cd9307b4fea03eb2f51860bc18378487591195,https://github.com/junit-team/junit5/compare/72be67868ab404bc9ddf8f0b72f16e42d9d01588...26cd9307b4fea03eb2f51860bc18378487591195
2,JUnit5,26cd9307b4fea03eb2f51860bc18378487591195,79c6f9f39cdf408a3bc69df6f8bb41746ce65084,33,https://github.com/junit-team/junit-framework/issues/33,https://github.com/junit-team/junit5/tree/26cd9307b4fea03eb2f51860bc18378487591195,https://github.com/junit-team/junit5/tree/79c6f9f39cdf408a3bc69df6f8bb41746ce65084,https://github.com/junit-team/junit5/compare/26cd9307b4fea03eb2f51860bc18378487591195...79c6f9f39cdf408a3bc69df6f8bb41746ce65084
3,JUnit5,5f5065bca31e59d4158c8296bf4935113e9e41c2,f7a365730b02c8e5d21fef849f3255d76be894c4,50,https://github.com/junit-team/junit-framework/issues/50,https://github.com/junit-team/junit5/tree/5f5065bca31e59d4158c8296bf4935113e9e41c2,https://github.com/junit-team/junit5/tree/f7a365730b02c8e5d21fef849f3255d76be894c4,https://github.com/junit-team/junit5/compare/5f5065bca31e59d4158c8296bf4935113e9e41c2...f7a365730b02c8e5d21fef849f3255d76be894c4
4,JUnit5,e9b1bd435dc182d13f610948024659a99bd727da,1fc86dd4c1f5e6d7b4c4402734523eaa1d48855e,49,https://github.com/junit-team/junit-framework/issues/49,https://github.com/junit-team/junit5/tree/e9b1bd435dc182d13f610948024659a99bd727da,https://github.com/junit-team/junit5/tree/1fc86dd4c1f5e6d7b4c4402734523eaa1d48855e,https://github.com/junit-team/junit5/compare/e9b1bd435dc182d13f610948024659a99bd727da...1fc86dd4c1f5e6d7b4c4402734523eaa1d48855e
5,JUnit5,328e70385b947bc2d9cf3688ffcc7097896c76a7,c12dde20514516b8be4d997f9928cafd09c85ce9,66,https://github.com/junit-team/junit-framework/issues/66,https://github.com/junit-team/junit5/tree/328e70385b947bc2d9cf3688ffcc7097896c76a7,https://github.com/junit-team/junit5/tree/c12dde20514516b8be4d997f9928cafd09c85ce9,https://github.com/junit-team/junit5/compare/328e70385b947bc2d9cf3688ffcc7097896c76a7...c12dde20514516b8be4d997f9928cafd09c85ce9
6,JUnit5,a1eb11673e2b7e69bc0c4c2f5c5b81cf572dfeab,0e23f69b7d8a80684b087716738e4aa06bcdcbb2,79,https://github.com/junit-team/junit-framework/issues/79,https://github.com/junit-team/junit5/tree/a1eb11673e2b7e69bc0c4c2f5c5b81cf572dfeab,https://github.com/junit-team/junit5/tree/0e23f69b7d8a80684b087716738e4aa06bcdcbb2,https://github.com/junit-team/junit5/compare/a1eb11673e2b7e69bc0c4c2f5c5b81cf572dfeab...0e23f69b7d8a80684b087716738e4aa06bcdcbb2
7,JUnit5,5956832c1ce23cda1ae91bef5e8a7f81d7af31bf,bd1b597eba1983c241331d1c5113fab43eee1233,84,https://github.com/junit-team/junit-framework/issues/84,https://github.com/junit-team/junit5/tree/5956832c1ce23cda1ae91bef5e8a7f81d7af31bf,https://github.com/junit-team/junit5/tree/bd1b597eba1983c241331d1c5113fab43eee1233,https://github.com/junit-team/junit5/compare/5956832c1ce23cda1ae91bef5e8a7f81d7af31bf...bd1b597eba1983c241331d1c5113fab43eee1233
8,JUnit5,bd1b597eba1983c241331d1c5113fab43eee1233,35dee78eb48c05a839cef0134996420460204f6b,67,https://github.com/junit-team/junit-framework/issues/67,https://github.com/junit-team/junit5/tree/bd1b597eba1983c241331d1c5113fab43eee1233,https://github.com/junit-team/junit5/tree/35dee78eb48c05a839cef0134996420460204f6b,https://github.com/junit-team/junit5/compare/bd1b597eba1983c241331d1c5113fab43eee1233...35dee78eb48c05a839cef0134996420460204f6b
9,JUnit5,72115cc2ad3e69c671af2d1f8faa04ba36d6c5ea,a96882c76771e24d2c88d753e71fb5b80e2f7b5f,35,https://github.com/junit-team/junit-framework/issues/35,https://github.com/junit-team/junit5/tree/72115cc2ad3e69c671af2d1f8faa04ba36d6c5ea,https://github.com/junit-team/junit5/tree/a96882c76771e24d2c88d753e71fb5b80e2f7b5f,https://github.com/junit-team/junit5/compare/72115cc2ad3e69c671af2d1f8faa04ba36d6c5ea...a96882c76771e24d2c88d753e71fb5b80e2f7b5f
10,JUnit5,a36fbbbe0243d33c5e44e62e1f419395255759fe,8afa4f3775436c678db97e71be559d0d48274bad,101,https://github.com/junit-team/junit-framework/issues/101,https://github.com/junit-team/junit5/tree/a36fbbbe0243d33c5e44e62e1f419395255759fe,https://github.com/junit-team/junit5/tree/8afa4f3775436c678db97e71be559d0d48274bad,https://github.com/junit-team/junit5/compare/a36fbbbe0243d33c5e44e62e1f419395255759fe...8afa4f3775436c678db97e71be559d0d48274bad
11,JUnit5,85abcdf006bb8b6498ca7b6068ed008b853ca8ad,d6d6c876ad13b5c99ce23d76f8d8e3f3b2de4377,136,https://github.com/junit-team/junit-framework/issues/136,https://github.com/junit-team/junit5/tree/85abcdf006bb8b6498ca7b6068ed008b853ca8ad,https://github.com/junit-team/junit5/tree/d6d6c876ad13b5c99ce23d76f8d8e3f3b2de4377,https://github.com/junit-team/junit5/compare/85abcdf006bb8b6498ca7b6068ed008b853ca8ad...d6d6c876ad13b5c99ce23d76f8d8e3f3b2de4377
12,JUnit5,3947a125bad3a3d9bc51ed2a6efc6a0bb4645fd2,bed7d38c2c1fbfc7bc4ca3bc7a9800be1e9ec2b9,146,https://github.com/junit-team/junit-framework/issues/146,https://github.com/junit-team/junit5/tree/3947a125bad3a3d9bc51ed2a6efc6a0bb4645fd2,https://github.com/junit-team/junit5/tree/bed7d38c2c1fbfc7bc4ca3bc7a9800be1e9ec2b9,https://github.com/junit-team/junit5/compare/3947a125bad3a3d9bc51ed2a6efc6a0bb4645fd2...bed7d38c2c1fbfc7bc4ca3bc7a9800be1e9ec2b9
13,JUnit5,fbf36ff47bc4c728e7ab8a0f5210c727391c9d7b,442657bb748f6f12ad5ca55d456733340391cec5,189,https://github.com/junit-team/junit-framework/issues/189,https://github.com/junit-team/junit5/tree/fbf36ff47bc4c728e7ab8a0f5210c727391c9d7b,https://github.com/junit-team/junit5/tree/442657bb748f6f12ad5ca55d456733340391cec5,https://github.com/junit-team/junit5/compare/fbf36ff47bc4c728e7ab8a0f5210c727391c9d7b...442657bb748f6f12ad5ca55d456733340391cec5
14,JUnit5,44fca49125a9d937f144ae5bd5659887c3970e0b,f7d9f40d535987a11766fdc57df3d6463b6bbe65,192,https://github.com/junit-team/junit-framework/issues/192,https://github.com/junit-team/junit5/tree/44fca49125a9d937f144ae5bd5659887c3970e0b,https://github.com/junit-team/junit5/tree/f7d9f40d535987a11766fdc57df3d6463b6bbe65,https://github.com/junit-team/junit5/compare/44fca49125a9d937f144ae5bd5659887c3970e0b...f7d9f40d535987a11766fdc57df3d6463b6bbe65
15,JUnit5,b26b1879406878c28dabead3ac690c7bb00ce2ab,a5b026433ed7a5b176fab11096b1e307bb6f9a86,173,https://github.com/junit-team/junit-framework/issues/173,https://github.com/junit-team/junit5/tree/b26b1879406878c28dabead3ac690c7bb00ce2ab,https://github.com/junit-team/junit5/tree/a5b026433ed7a5b176fab11096b1e307bb6f9a86,https://github.com/junit-team/junit5/compare/b26b1879406878c28dabead3ac690c7bb00ce2ab...a5b026433ed7a5b176fab11096b1e307bb6f9a86
16,JUnit5,a5b026433ed7a5b176fab11096b1e307bb6f9a86,37dfe0f9a0025d9ae0fb0f2c9316b1156dac5e5e,146,https://github.com/junit-team/junit-framework/issues/146,https://github.com/junit-team/junit5/tree/a5b026433ed7a5b176fab11096b1e307bb6f9a86,https://github.com/junit-team/junit5/tree/37dfe0f9a0025d9ae0fb0f2c9316b1156dac5e5e,https://github.com/junit-team/junit5/compare/a5b026433ed7a5b176fab11096b1e307bb6f9a86...37dfe0f9a0025d9ae0fb0f2c9316b1156dac5e5e
17,JUnit5,faec1e9397bc7a55c5338153ff19f6aa74a35140,79b9ddd49298d8313294ad705f2de1dbae3decf0,260,https://github.com/junit-team/junit-framework/issues/260,https://github.com/junit-team/junit5/tree/faec1e9397bc7a55c5338153ff19f6aa74a35140,https://github.com/junit-team/junit5/tree/79b9ddd49298d8313294ad705f2de1dbae3decf0,https://github.com/junit-team/junit5/compare/faec1e9397bc7a55c5338153ff19f6aa74a35140...79b9ddd49298d8313294ad705f2de1dbae3decf0
