bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonDatabind,30fc0eed5f562b3b3e05f6d538e060d9cc324cd6,d5fc827d5bb9ed8d48780ca092f146376dc5a7ef,119,https://github.com/FasterXML/jackson-databind/issues/119,https://github.com/FasterXML/jackson-databind/tree/30fc0eed5f562b3b3e05f6d538e060d9cc324cd6,https://github.com/FasterXML/jackson-databind/tree/d5fc827d5bb9ed8d48780ca092f146376dc5a7ef,https://github.com/FasterXML/jackson-databind/compare/30fc0eed5f562b3b3e05f6d538e060d9cc324cd6...d5fc827d5bb9ed8d48780ca092f146376dc5a7ef
2,JacksonDatabind,6c03c65c98d7a93ef3c5bef06bbd42180af44334,a795fa2b56ed3632143908afbc13aa2ce59a1410,118,https://github.com/FasterXML/jackson-databind/issues/118,https://github.com/FasterXML/jackson-databind/tree/6c03c65c98d7a93ef3c5bef06bbd42180af44334,https://github.com/FasterXML/jackson-databind/tree/a795fa2b56ed3632143908afbc13aa2ce59a1410,https://github.com/FasterXML/jackson-databind/compare/6c03c65c98d7a93ef3c5bef06bbd42180af44334...a795fa2b56ed3632143908afbc13aa2ce59a1410
3,JacksonDatabind,192c1dc12b0bd610fe87e4872c9e5077ad176c99,25bb40ce607b2f70ed36a25bdfbf18d25ed0efea,130,https://github.com/FasterXML/jackson-databind/issues/130,https://github.com/FasterXML/jackson-databind/tree/192c1dc12b0bd610fe87e4872c9e5077ad176c99,https://github.com/FasterXML/jackson-databind/tree/25bb40ce607b2f70ed36a25bdfbf18d25ed0efea,https://github.com/FasterXML/jackson-databind/compare/192c1dc12b0bd610fe87e4872c9e5077ad176c99...25bb40ce607b2f70ed36a25bdfbf18d25ed0efea
4,JacksonDatabind,be97826b2c8702639503cc6c7f8398d84073aaf0,db53194c64e2b3d0258f3ec8aa1799f499b4fced,170,https://github.com/FasterXML/jackson-databind/issues/170,https://github.com/FasterXML/jackson-databind/tree/be97826b2c8702639503cc6c7f8398d84073aaf0,https://github.com/FasterXML/jackson-databind/tree/db53194c64e2b3d0258f3ec8aa1799f499b4fced,https://github.com/FasterXML/jackson-databind/compare/be97826b2c8702639503cc6c7f8398d84073aaf0...db53194c64e2b3d0258f3ec8aa1799f499b4fced
5,JacksonDatabind,5757cb08e5253167a5709082bd1a586d48f10c1b,20d53b08cf263f0ef8894ca325f619db600e2f99,188,https://github.com/FasterXML/jackson-databind/issues/188,https://github.com/FasterXML/jackson-databind/tree/5757cb08e5253167a5709082bd1a586d48f10c1b,https://github.com/FasterXML/jackson-databind/tree/20d53b08cf263f0ef8894ca325f619db600e2f99,https://github.com/FasterXML/jackson-databind/compare/5757cb08e5253167a5709082bd1a586d48f10c1b...20d53b08cf263f0ef8894ca325f619db600e2f99
6,JacksonDatabind,301e6bc90d3114e21e1bd41def12466d11b0ba78,9adb08e19934fe80cb4e4a59b8e809fd4e970fb9,206,https://github.com/FasterXML/jackson-databind/issues/206,https://github.com/FasterXML/jackson-databind/tree/301e6bc90d3114e21e1bd41def12466d11b0ba78,https://github.com/FasterXML/jackson-databind/tree/9adb08e19934fe80cb4e4a59b8e809fd4e970fb9,https://github.com/FasterXML/jackson-databind/compare/301e6bc90d3114e21e1bd41def12466d11b0ba78...9adb08e19934fe80cb4e4a59b8e809fd4e970fb9
7,JacksonDatabind,a31445a6323aa2ad246ff2e09fadb06a27e6b2dd,3ef691ca874c0967b18a73db45cdc2c86f45c701,214,https://github.com/FasterXML/jackson-databind/issues/214,https://github.com/FasterXML/jackson-databind/tree/a31445a6323aa2ad246ff2e09fadb06a27e6b2dd,https://github.com/FasterXML/jackson-databind/tree/3ef691ca874c0967b18a73db45cdc2c86f45c701,https://github.com/FasterXML/jackson-databind/compare/a31445a6323aa2ad246ff2e09fadb06a27e6b2dd...3ef691ca874c0967b18a73db45cdc2c86f45c701
8,JacksonDatabind,a1bb6f2dcb82eb9f880f87c480d6086a8e0bee34,88f44d87d4c2251d7cf55d9aa9c3452a397ae19b,223,https://github.com/FasterXML/jackson-databind/issues/223,https://github.com/FasterXML/jackson-databind/tree/a1bb6f2dcb82eb9f880f87c480d6086a8e0bee34,https://github.com/FasterXML/jackson-databind/tree/88f44d87d4c2251d7cf55d9aa9c3452a397ae19b,https://github.com/FasterXML/jackson-databind/compare/a1bb6f2dcb82eb9f880f87c480d6086a8e0bee34...88f44d87d4c2251d7cf55d9aa9c3452a397ae19b
9,JacksonDatabind,9150a0356a3c484e2823a63d3570cdd90c0040da,833680a543eeae627a0e93684355e881c789c80a,238,https://github.com/FasterXML/jackson-databind/issues/238,https://github.com/FasterXML/jackson-databind/tree/9150a0356a3c484e2823a63d3570cdd90c0040da,https://github.com/FasterXML/jackson-databind/tree/833680a543eeae627a0e93684355e881c789c80a,https://github.com/FasterXML/jackson-databind/compare/9150a0356a3c484e2823a63d3570cdd90c0040da...833680a543eeae627a0e93684355e881c789c80a
10,JacksonDatabind,87b62f9e91adc14936eb35a11bedf1a2cf5173e7,07bcd046b2b9b03802a8d1695ec2f6059cbd34f4,280,https://github.com/FasterXML/jackson-databind/issues/280,https://github.com/FasterXML/jackson-databind/tree/87b62f9e91adc14936eb35a11bedf1a2cf5173e7,https://github.com/FasterXML/jackson-databind/tree/07bcd046b2b9b03802a8d1695ec2f6059cbd34f4,https://github.com/FasterXML/jackson-databind/compare/87b62f9e91adc14936eb35a11bedf1a2cf5173e7...07bcd046b2b9b03802a8d1695ec2f6059cbd34f4
11,JacksonDatabind,8cb043560e46d9d12a2c149af634856b68df5003,0f4b5e30e9870b6c75d5620b68e5bed5e3211fbe,281,https://github.com/FasterXML/jackson-databind/issues/281,https://github.com/FasterXML/jackson-databind/tree/8cb043560e46d9d12a2c149af634856b68df5003,https://github.com/FasterXML/jackson-databind/tree/0f4b5e30e9870b6c75d5620b68e5bed5e3211fbe,https://github.com/FasterXML/jackson-databind/compare/8cb043560e46d9d12a2c149af634856b68df5003...0f4b5e30e9870b6c75d5620b68e5bed5e3211fbe
12,JacksonDatabind,c77814e9b5c23e8194222fffeb334dd00a1bc342,6f4306bd8375f6761e27bd619a310c840e212dbc,234,https://github.com/FasterXML/jackson-databind/issues/234,https://github.com/FasterXML/jackson-databind/tree/c77814e9b5c23e8194222fffeb334dd00a1bc342,https://github.com/FasterXML/jackson-databind/tree/6f4306bd8375f6761e27bd619a310c840e212dbc,https://github.com/FasterXML/jackson-databind/compare/c77814e9b5c23e8194222fffeb334dd00a1bc342...6f4306bd8375f6761e27bd619a310c840e212dbc
13,JacksonDatabind,224db283ae81a0cb120d3adbcf208f877aa60dfd,fed24bac3f416bfee9664abbc118529dcdc6ef34,287,https://github.com/FasterXML/jackson-databind/issues/287,https://github.com/FasterXML/jackson-databind/tree/224db283ae81a0cb120d3adbcf208f877aa60dfd,https://github.com/FasterXML/jackson-databind/tree/fed24bac3f416bfee9664abbc118529dcdc6ef34,https://github.com/FasterXML/jackson-databind/compare/224db283ae81a0cb120d3adbcf208f877aa60dfd...fed24bac3f416bfee9664abbc118529dcdc6ef34
14,JacksonDatabind,d8318e17d291e0bc8fe6b21ac67438ff8e534a62,3745034e0883a9d0d22fd4eaf70aa4958fce525e,288,https://github.com/FasterXML/jackson-databind/issues/288,https://github.com/FasterXML/jackson-databind/tree/d8318e17d291e0bc8fe6b21ac67438ff8e534a62,https://github.com/FasterXML/jackson-databind/tree/3745034e0883a9d0d22fd4eaf70aa4958fce525e,https://github.com/FasterXML/jackson-databind/compare/d8318e17d291e0bc8fe6b21ac67438ff8e534a62...3745034e0883a9d0d22fd4eaf70aa4958fce525e
15,JacksonDatabind,661d2118f816bf5c75cd30b4ec7645cf97ec27cc,9fb18f412ad2e377fbcb1847391c3965b7464fff,297,https://github.com/FasterXML/jackson-databind/issues/297,https://github.com/FasterXML/jackson-databind/tree/661d2118f816bf5c75cd30b4ec7645cf97ec27cc,https://github.com/FasterXML/jackson-databind/tree/9fb18f412ad2e377fbcb1847391c3965b7464fff,https://github.com/FasterXML/jackson-databind/compare/661d2118f816bf5c75cd30b4ec7645cf97ec27cc...9fb18f412ad2e377fbcb1847391c3965b7464fff
16,JacksonDatabind,18720ae351d5424673e9c3c6ca9decb733b0dc80,daab1d9afb9e7cbb446bcbe79415c2155a642129,311,https://github.com/FasterXML/jackson-databind/issues/311,https://github.com/FasterXML/jackson-databind/tree/18720ae351d5424673e9c3c6ca9decb733b0dc80,https://github.com/FasterXML/jackson-databind/tree/daab1d9afb9e7cbb446bcbe79415c2155a642129,https://github.com/FasterXML/jackson-databind/compare/18720ae351d5424673e9c3c6ca9decb733b0dc80...daab1d9afb9e7cbb446bcbe79415c2155a642129
17,JacksonDatabind,545e35e459284762cab32fcd4e2d85bd9f276edb,aa321ee8acf015d68a954b714f739b584936a8fd,271,https://github.com/FasterXML/jackson-databind/issues/271,https://github.com/FasterXML/jackson-databind/tree/545e35e459284762cab32fcd4e2d85bd9f276edb,https://github.com/FasterXML/jackson-databind/tree/aa321ee8acf015d68a954b714f739b584936a8fd,https://github.com/FasterXML/jackson-databind/compare/545e35e459284762cab32fcd4e2d85bd9f276edb...aa321ee8acf015d68a954b714f739b584936a8fd
18,JacksonDatabind,83341f7530d341139e5613455dd7a8893d4f0d68,ae242d79f5df3e9fe8671f3cb50f44adf8014bd6,257,https://github.com/FasterXML/jackson-databind/issues/257,https://github.com/FasterXML/jackson-databind/tree/83341f7530d341139e5613455dd7a8893d4f0d68,https://github.com/FasterXML/jackson-databind/tree/ae242d79f5df3e9fe8671f3cb50f44adf8014bd6,https://github.com/FasterXML/jackson-databind/compare/83341f7530d341139e5613455dd7a8893d4f0d68...ae242d79f5df3e9fe8671f3cb50f44adf8014bd6
19,JacksonDatabind,6d2e7c261f55d43c6a9885d96fcd955eb6bb0675,e4670a7278fcc4537d4b114defc9a3bd7e9712df,324,https://github.com/FasterXML/jackson-databind/issues/324,https://github.com/FasterXML/jackson-databind/tree/6d2e7c261f55d43c6a9885d96fcd955eb6bb0675,https://github.com/FasterXML/jackson-databind/tree/e4670a7278fcc4537d4b114defc9a3bd7e9712df,https://github.com/FasterXML/jackson-databind/compare/6d2e7c261f55d43c6a9885d96fcd955eb6bb0675...e4670a7278fcc4537d4b114defc9a3bd7e9712df
20,JacksonDatabind,77c3f1f32eb79941f7cb1b7b530b4ec37d216dba,fc6e3c22e842f2e5ac26942f51419afb5e1268f6,332,https://github.com/FasterXML/jackson-databind/issues/332,https://github.com/FasterXML/jackson-databind/tree/77c3f1f32eb79941f7cb1b7b530b4ec37d216dba,https://github.com/FasterXML/jackson-databind/tree/fc6e3c22e842f2e5ac26942f51419afb5e1268f6,https://github.com/FasterXML/jackson-databind/compare/77c3f1f32eb79941f7cb1b7b530b4ec37d216dba...fc6e3c22e842f2e5ac26942f51419afb5e1268f6
21,JacksonDatabind,4ec01ea0f00d06f41e0c3b0fc75ff0c9fe6380bd,37cf6f243424570e39b5f65280ca673089e55945,346,https://github.com/FasterXML/jackson-databind/issues/346,https://github.com/FasterXML/jackson-databind/tree/4ec01ea0f00d06f41e0c3b0fc75ff0c9fe6380bd,https://github.com/FasterXML/jackson-databind/tree/37cf6f243424570e39b5f65280ca673089e55945,https://github.com/FasterXML/jackson-databind/compare/4ec01ea0f00d06f41e0c3b0fc75ff0c9fe6380bd...37cf6f243424570e39b5f65280ca673089e55945
22,JacksonDatabind,c4a00322e562be3a53b93638b8ea9640a7c27806,9077a58a1325a4e5e610c13849b3509e8cd88111,362,https://github.com/FasterXML/jackson-databind/issues/362,https://github.com/FasterXML/jackson-databind/tree/c4a00322e562be3a53b93638b8ea9640a7c27806,https://github.com/FasterXML/jackson-databind/tree/9077a58a1325a4e5e610c13849b3509e8cd88111,https://github.com/FasterXML/jackson-databind/compare/c4a00322e562be3a53b93638b8ea9640a7c27806...9077a58a1325a4e5e610c13849b3509e8cd88111
