bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonDataformatBinary_avro,06f8cbbd953931dbb624643d01689710081f564e,c087759b243410085dd64cb6baa8eec93d12b45f,21,https://github.com/FasterXML/jackson-dataformats-binary/issues/21,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/06f8cbbd953931dbb624643d01689710081f564e,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/c087759b243410085dd64cb6baa8eec93d12b45f,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/06f8cbbd953931dbb624643d01689710081f564e...c087759b243410085dd64cb6baa8eec93d12b45f
2,JacksonDataformatBinary_avro,a824a83679820b6e958706ce000399308dced6a4,f9ad899efcd35ddcaa38fbf7c4978f7b6cbe3904,28,https://github.com/FasterXML/jackson-dataformats-binary/issues/28,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/a824a83679820b6e958706ce000399308dced6a4,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/f9ad899efcd35ddcaa38fbf7c4978f7b6cbe3904,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/a824a83679820b6e958706ce000399308dced6a4...f9ad899efcd35ddcaa38fbf7c4978f7b6cbe3904
3,JacksonDataformatBinary_avro,d174718b79c514fbd121c98140a5a43b81c5dd5e,af1e155f8e4912cbdc2fa3bc7c9803159bba6cf2,38,https://github.com/FasterXML/jackson-dataformats-binary/issues/38,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/d174718b79c514fbd121c98140a5a43b81c5dd5e,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/af1e155f8e4912cbdc2fa3bc7c9803159bba6cf2,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/d174718b79c514fbd121c98140a5a43b81c5dd5e...af1e155f8e4912cbdc2fa3bc7c9803159bba6cf2
4,JacksonDataformatBinary_avro,57f811b8dbf944f6e52aeb7235492ec6622d1bb6,a837a64be4f1e93545bef21de0219415d930b26f,39,https://github.com/FasterXML/jackson-dataformats-binary/issues/39,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/57f811b8dbf944f6e52aeb7235492ec6622d1bb6,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/a837a64be4f1e93545bef21de0219415d930b26f,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/57f811b8dbf944f6e52aeb7235492ec6622d1bb6...a837a64be4f1e93545bef21de0219415d930b26f
5,JacksonDataformatBinary_avro,60a1bbd07622c5df1c26382f0eea5b5db18049e2,7ed5465919c3b17e57d17d5eaca4f05ae011ce82,4,https://github.com/FasterXML/jackson-dataformats-binary/issues/4,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/60a1bbd07622c5df1c26382f0eea5b5db18049e2,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/7ed5465919c3b17e57d17d5eaca4f05ae011ce82,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/60a1bbd07622c5df1c26382f0eea5b5db18049e2...7ed5465919c3b17e57d17d5eaca4f05ae011ce82
6,JacksonDataformatBinary_avro,a37ada0239bed56caa06556e09a15728c0ec1ee7,33ba7840157c2336558483b4a9f1febf7bab2fb8,61,https://github.com/FasterXML/jackson-dataformats-binary/issues/61,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/a37ada0239bed56caa06556e09a15728c0ec1ee7,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/33ba7840157c2336558483b4a9f1febf7bab2fb8,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/a37ada0239bed56caa06556e09a15728c0ec1ee7...33ba7840157c2336558483b4a9f1febf7bab2fb8
7,JacksonDataformatBinary_avro,feb969624761ead1849eb05456c716c3657dc77e,0723dfa5d9d3964d760cb8f5c6693affaa2a5a24,82,https://github.com/FasterXML/jackson-dataformats-binary/issues/82,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/feb969624761ead1849eb05456c716c3657dc77e,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/0723dfa5d9d3964d760cb8f5c6693affaa2a5a24,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/feb969624761ead1849eb05456c716c3657dc77e...0723dfa5d9d3964d760cb8f5c6693affaa2a5a24
8,JacksonDataformatBinary_avro,35e255f7e0aab66f0814adc90332299ad400a1ae,6ffc0cfdca10beb113e034ac86a47a63040f2fa5,95,https://github.com/FasterXML/jackson-dataformats-binary/issues/95,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/35e255f7e0aab66f0814adc90332299ad400a1ae,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/6ffc0cfdca10beb113e034ac86a47a63040f2fa5,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/35e255f7e0aab66f0814adc90332299ad400a1ae...6ffc0cfdca10beb113e034ac86a47a63040f2fa5
9,JacksonDataformatBinary_avro,977c509f583572a49156fe0d17b7d81cddef12c5,4f02b1560c32d0dc9feb71ee3ae3a49a2f5ce73d,113,https://github.com/FasterXML/jackson-dataformats-binary/issues/113,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/977c509f583572a49156fe0d17b7d81cddef12c5,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/4f02b1560c32d0dc9feb71ee3ae3a49a2f5ce73d,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/977c509f583572a49156fe0d17b7d81cddef12c5...4f02b1560c32d0dc9feb71ee3ae3a49a2f5ce73d
10,JacksonDataformatBinary_avro,071441564c8f0ef1b8e5085a19bded8600c0c131,a56c0c9d22c14bf702ff2d2a810b831a63d3c921,129,https://github.com/FasterXML/jackson-dataformats-binary/issues/129,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/071441564c8f0ef1b8e5085a19bded8600c0c131,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/a56c0c9d22c14bf702ff2d2a810b831a63d3c921,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/071441564c8f0ef1b8e5085a19bded8600c0c131...a56c0c9d22c14bf702ff2d2a810b831a63d3c921
