bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonDataformatBinary_protobuf,06f8cbbd953931dbb624643d01689710081f564e,c087759b243410085dd64cb6baa8eec93d12b45f,21,https://github.com/FasterXML/jackson-dataformats-binary/issues/21,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/06f8cbbd953931dbb624643d01689710081f564e,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/c087759b243410085dd64cb6baa8eec93d12b45f,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/06f8cbbd953931dbb624643d01689710081f564e...c087759b243410085dd64cb6baa8eec93d12b45f
2,JacksonDataformatBinary_protobuf,a37ada0239bed56caa06556e09a15728c0ec1ee7,33ba7840157c2336558483b4a9f1febf7bab2fb8,61,https://github.com/FasterXML/jackson-dataformats-binary/issues/61,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/a37ada0239bed56caa06556e09a15728c0ec1ee7,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/33ba7840157c2336558483b4a9f1febf7bab2fb8,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/a37ada0239bed56caa06556e09a15728c0ec1ee7...33ba7840157c2336558483b4a9f1febf7bab2fb8
3,JacksonDataformatBinary_protobuf,5a61f5049eb8883dcd02990434caf001552e94b0,c5d3cb277c4e12b6a5765afe4ba5f3e9bdb99de6,67,https://github.com/FasterXML/jackson-dataformats-binary/issues/67,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/5a61f5049eb8883dcd02990434caf001552e94b0,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/c5d3cb277c4e12b6a5765afe4ba5f3e9bdb99de6,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/5a61f5049eb8883dcd02990434caf001552e94b0...c5d3cb277c4e12b6a5765afe4ba5f3e9bdb99de6
4,JacksonDataformatBinary_protobuf,60c3381ef465edb2a136e0017cf149af41af2b3a,489cb8124f19a6161019bd3bbd47993a772a5f0d,73,https://github.com/FasterXML/jackson-dataformats-binary/issues/73,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/60c3381ef465edb2a136e0017cf149af41af2b3a,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/489cb8124f19a6161019bd3bbd47993a772a5f0d,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/60c3381ef465edb2a136e0017cf149af41af2b3a...489cb8124f19a6161019bd3bbd47993a772a5f0d
5,JacksonDataformatBinary_protobuf,9f792202770c0e2823332c01a879de8127db7d70,39ff81e6a118212a514c5c20d7a6a9ba2376a84d,79,https://github.com/FasterXML/jackson-dataformats-binary/issues/79,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/9f792202770c0e2823332c01a879de8127db7d70,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/39ff81e6a118212a514c5c20d7a6a9ba2376a84d,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/9f792202770c0e2823332c01a879de8127db7d70...39ff81e6a118212a514c5c20d7a6a9ba2376a84d
6,JacksonDataformatBinary_protobuf,856293349ca6b3c53d16478359f036eaf4f49edf,78bd410affb13482d86e33d770d83ea08e6e1fe5,72,https://github.com/FasterXML/jackson-dataformats-binary/issues/72,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/856293349ca6b3c53d16478359f036eaf4f49edf,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/78bd410affb13482d86e33d770d83ea08e6e1fe5,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/856293349ca6b3c53d16478359f036eaf4f49edf...78bd410affb13482d86e33d770d83ea08e6e1fe5
7,JacksonDataformatBinary_protobuf,78bd410affb13482d86e33d770d83ea08e6e1fe5,1a53cd5b6ce3b856f68badc944248b170bf212ac,85,https://github.com/FasterXML/jackson-dataformats-binary/issues/85,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/78bd410affb13482d86e33d770d83ea08e6e1fe5,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/1a53cd5b6ce3b856f68badc944248b170bf212ac,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/78bd410affb13482d86e33d770d83ea08e6e1fe5...1a53cd5b6ce3b856f68badc944248b170bf212ac
8,JacksonDataformatBinary_protobuf,0a870e1389400852f8b5c0588a93b8d89dfeaabf,6d0a2df0e14627591461c5bb67511dbcb08dbb19,94,https://github.com/FasterXML/jackson-dataformats-binary/issues/94,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/0a870e1389400852f8b5c0588a93b8d89dfeaabf,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/6d0a2df0e14627591461c5bb67511dbcb08dbb19,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/0a870e1389400852f8b5c0588a93b8d89dfeaabf...6d0a2df0e14627591461c5bb67511dbcb08dbb19
9,JacksonDataformatBinary_protobuf,ba93ae2107254b89bec81cb2af463cf1b0e59fb8,f1ddf07ae892a84df7787f935ce8228071c0dfa4,135,https://github.com/FasterXML/jackson-dataformats-binary/issues/135,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/ba93ae2107254b89bec81cb2af463cf1b0e59fb8,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/f1ddf07ae892a84df7787f935ce8228071c0dfa4,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/ba93ae2107254b89bec81cb2af463cf1b0e59fb8...f1ddf07ae892a84df7787f935ce8228071c0dfa4
10,JacksonDataformatBinary_protobuf,d7633f280368054312b438967115ada6d8c73c7f,48794b4faa4c4eafe80ec52085319f0e3bbecae2,140,https://github.com/FasterXML/jackson-dataformats-binary/issues/140,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/d7633f280368054312b438967115ada6d8c73c7f,https://www.github.com/FasterXML/jackson-dataformats-binary/tree/48794b4faa4c4eafe80ec52085319f0e3bbecae2,https://www.github.com/FasterXML/jackson-dataformats-binary/compare/d7633f280368054312b438967115ada6d8c73c7f...48794b4faa4c4eafe80ec52085319f0e3bbecae2
