bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonDataformatsText_properties,50da8132111d18316d03efa09fad2c4a8250632e,36f2f2a17a2463ac995bf29a661ad8225c30d7f9,74,https://github.com/FasterXML/jackson-dataformats-text/issues/74,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/50da8132111d18316d03efa09fad2c4a8250632e,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/36f2f2a17a2463ac995bf29a661ad8225c30d7f9,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/50da8132111d18316d03efa09fad2c4a8250632e...36f2f2a17a2463ac995bf29a661ad8225c30d7f9
2,JacksonDataformatsText_properties,0424524507cb88c522c5fea9866eb82dad6eec4b,3767598bb3080fd10f07209e07f9047176e8a1fc,91,https://github.com/FasterXML/jackson-dataformats-text/issues/91,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/0424524507cb88c522c5fea9866eb82dad6eec4b,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/3767598bb3080fd10f07209e07f9047176e8a1fc,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/0424524507cb88c522c5fea9866eb82dad6eec4b...3767598bb3080fd10f07209e07f9047176e8a1fc
3,JacksonDataformatsText_properties,08afb62f041a02864a9d9a7d9aff1b1e231cd2ed,10f2dc134a5294fbf9e50b05030ae569a67c95d8,50,https://github.com/FasterXML/jackson-dataformats-text/issues/50,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/08afb62f041a02864a9d9a7d9aff1b1e231cd2ed,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/10f2dc134a5294fbf9e50b05030ae569a67c95d8,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/08afb62f041a02864a9d9a7d9aff1b1e231cd2ed...10f2dc134a5294fbf9e50b05030ae569a67c95d8
4,JacksonDataformatsText_properties,456f36f98b084e9cabdd0331e0f39afa12170876,d3e420e6731b79ed437e221da95292b59e48ab5f,139,https://github.com/FasterXML/jackson-dataformats-text/issues/139,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/456f36f98b084e9cabdd0331e0f39afa12170876,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/d3e420e6731b79ed437e221da95292b59e48ab5f,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/456f36f98b084e9cabdd0331e0f39afa12170876...d3e420e6731b79ed437e221da95292b59e48ab5f
5,JacksonDataformatsText_properties,3e481c65e50cdacd41c97ffc17e8187245f9e09d,580159d35721926d31ddae29016bb3fb7b7bc6bc,179,https://github.com/FasterXML/jackson-dataformats-text/issues/179,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/3e481c65e50cdacd41c97ffc17e8187245f9e09d,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/580159d35721926d31ddae29016bb3fb7b7bc6bc,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/3e481c65e50cdacd41c97ffc17e8187245f9e09d...580159d35721926d31ddae29016bb3fb7b7bc6bc
6,JacksonDataformatsText_properties,c2c2d06518708e2ce5ad82363abc9a50e2436c8a,690d49b17a961307bbc089ff839bf1ba2f2c2dfd,184,https://github.com/FasterXML/jackson-dataformats-text/issues/184,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/c2c2d06518708e2ce5ad82363abc9a50e2436c8a,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/690d49b17a961307bbc089ff839bf1ba2f2c2dfd,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/c2c2d06518708e2ce5ad82363abc9a50e2436c8a...690d49b17a961307bbc089ff839bf1ba2f2c2dfd
7,JacksonDataformatsText_properties,447114473fe6a284196fdc69666b899104918c99,080b310b7797024c3a1e278b80dd535d553b8aba,255,https://github.com/FasterXML/jackson-dataformats-text/issues/255,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/447114473fe6a284196fdc69666b899104918c99,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/080b310b7797024c3a1e278b80dd535d553b8aba,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/447114473fe6a284196fdc69666b899104918c99...080b310b7797024c3a1e278b80dd535d553b8aba
8,JacksonDataformatsText_properties,d63d5f954a2a3ea2f82abea4c3f8d88453cc162e,a89ba7f7f06611dd0bac826a128f5669f8aa223d,258,https://github.com/FasterXML/jackson-dataformats-text/issues/258,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/d63d5f954a2a3ea2f82abea4c3f8d88453cc162e,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/a89ba7f7f06611dd0bac826a128f5669f8aa223d,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/d63d5f954a2a3ea2f82abea4c3f8d88453cc162e...a89ba7f7f06611dd0bac826a128f5669f8aa223d
9,JacksonDataformatsText_properties,e90177b9c366a10d6fd5ace95d5a6aaa1456d81b,4f2d6100a5bffa9ddc580a54d7b2affa595b7570,320,https://github.com/FasterXML/jackson-dataformats-text/issues/320,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/e90177b9c366a10d6fd5ace95d5a6aaa1456d81b,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/4f2d6100a5bffa9ddc580a54d7b2affa595b7570,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/e90177b9c366a10d6fd5ace95d5a6aaa1456d81b...4f2d6100a5bffa9ddc580a54d7b2affa595b7570
10,JacksonDataformatsText_properties,ae18262e37a4c931c06fb42d553e40ae1e7bf0f7,148e3c4571f1ae98d910a49bf3db7c5e21b74e69,378,https://github.com/FasterXML/jackson-dataformats-text/issues/378,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/ae18262e37a4c931c06fb42d553e40ae1e7bf0f7,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/148e3c4571f1ae98d910a49bf3db7c5e21b74e69,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/ae18262e37a4c931c06fb42d553e40ae1e7bf0f7...148e3c4571f1ae98d910a49bf3db7c5e21b74e69
