bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonDataformatsText_yaml,67ce0ac3005c0163496a19266c6301a6f738252d,db4cb8a0dc4585f5dd2236814e8dbcf371396d42,34,https://github.com/FasterXML/jackson-dataformats-text/issues/34,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/67ce0ac3005c0163496a19266c6301a6f738252d,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/db4cb8a0dc4585f5dd2236814e8dbcf371396d42,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/67ce0ac3005c0163496a19266c6301a6f738252d...db4cb8a0dc4585f5dd2236814e8dbcf371396d42
2,JacksonDataformatsText_yaml,99be5683f27240c818bd9e28bbf36d236f453450,d95b5c3dd8133523996780df99d9c82efc625135,39,https://github.com/FasterXML/jackson-dataformats-text/issues/39,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/99be5683f27240c818bd9e28bbf36d236f453450,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/d95b5c3dd8133523996780df99d9c82efc625135,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/99be5683f27240c818bd9e28bbf36d236f453450...d95b5c3dd8133523996780df99d9c82efc625135
3,JacksonDataformatsText_yaml,d95b5c3dd8133523996780df99d9c82efc625135,3bb1792c966a775eae045c64b69a2d88da974823,53,https://github.com/FasterXML/jackson-dataformats-text/issues/53,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/d95b5c3dd8133523996780df99d9c82efc625135,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/3bb1792c966a775eae045c64b69a2d88da974823,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/d95b5c3dd8133523996780df99d9c82efc625135...3bb1792c966a775eae045c64b69a2d88da974823
4,JacksonDataformatsText_yaml,4462f0ce3ea64be3bbeb060c7a9fbd73852704b6,f234258456e2238755bd30dddabe697b5bf1a28c,62,https://github.com/FasterXML/jackson-dataformats-text/issues/62,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/4462f0ce3ea64be3bbeb060c7a9fbd73852704b6,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/f234258456e2238755bd30dddabe697b5bf1a28c,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/4462f0ce3ea64be3bbeb060c7a9fbd73852704b6...f234258456e2238755bd30dddabe697b5bf1a28c
5,JacksonDataformatsText_yaml,f234258456e2238755bd30dddabe697b5bf1a28c,632ffb2a6b7ace9dc2628988f3885fb6634f0fc0,65,https://github.com/FasterXML/jackson-dataformats-text/issues/65,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/f234258456e2238755bd30dddabe697b5bf1a28c,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/632ffb2a6b7ace9dc2628988f3885fb6634f0fc0,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/f234258456e2238755bd30dddabe697b5bf1a28c...632ffb2a6b7ace9dc2628988f3885fb6634f0fc0
6,JacksonDataformatsText_yaml,50da8132111d18316d03efa09fad2c4a8250632e,36f2f2a17a2463ac995bf29a661ad8225c30d7f9,74,https://github.com/FasterXML/jackson-dataformats-text/issues/74,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/50da8132111d18316d03efa09fad2c4a8250632e,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/36f2f2a17a2463ac995bf29a661ad8225c30d7f9,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/50da8132111d18316d03efa09fad2c4a8250632e...36f2f2a17a2463ac995bf29a661ad8225c30d7f9
7,JacksonDataformatsText_yaml,7c89130944b4cca72a0e76a97b38c86f25f67287,835ef99211667474d214e3ed09d078385e5ff9de,81,https://github.com/FasterXML/jackson-dataformats-text/issues/81,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/7c89130944b4cca72a0e76a97b38c86f25f67287,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/835ef99211667474d214e3ed09d078385e5ff9de,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/7c89130944b4cca72a0e76a97b38c86f25f67287...835ef99211667474d214e3ed09d078385e5ff9de
8,JacksonDataformatsText_yaml,220203d4e6d65e3640f759c9c48d156775ac5ffd,97952f006486bd4066aec9d4ad7c30f62458d712,99,https://github.com/FasterXML/jackson-dataformats-text/issues/99,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/220203d4e6d65e3640f759c9c48d156775ac5ffd,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/97952f006486bd4066aec9d4ad7c30f62458d712,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/220203d4e6d65e3640f759c9c48d156775ac5ffd...97952f006486bd4066aec9d4ad7c30f62458d712
9,JacksonDataformatsText_yaml,e1ad207f08969bb914d731a0d9cc03ee11170a06,191f1a8ec2442deaeeef25fbea5926d38e2f0400,63,https://github.com/FasterXML/jackson-dataformats-text/issues/63,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/e1ad207f08969bb914d731a0d9cc03ee11170a06,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/191f1a8ec2442deaeeef25fbea5926d38e2f0400,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/e1ad207f08969bb914d731a0d9cc03ee11170a06...191f1a8ec2442deaeeef25fbea5926d38e2f0400
10,JacksonDataformatsText_yaml,9ab666fbc18ac5b5df92c3cc86dd2016ac7669c9,8182fddee276b64a28f302aabb4c4b37e2ca4c08,123,https://github.com/FasterXML/jackson-dataformats-text/issues/123,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/9ab666fbc18ac5b5df92c3cc86dd2016ac7669c9,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/8182fddee276b64a28f302aabb4c4b37e2ca4c08,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/9ab666fbc18ac5b5df92c3cc86dd2016ac7669c9...8182fddee276b64a28f302aabb4c4b37e2ca4c08
11,JacksonDataformatsText_yaml,a4468c064275e9ba69bf3d2d1fdd2cd4cf2f8c70,9ba6852ab9074afc0ee6f217ab46af6cb1d7f43c,90,https://github.com/FasterXML/jackson-dataformats-text/issues/90,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/a4468c064275e9ba69bf3d2d1fdd2cd4cf2f8c70,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/9ba6852ab9074afc0ee6f217ab46af6cb1d7f43c,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/a4468c064275e9ba69bf3d2d1fdd2cd4cf2f8c70...9ba6852ab9074afc0ee6f217ab46af6cb1d7f43c
12,JacksonDataformatsText_yaml,a732d1e6b77408ed6db286edd2b2228e25baed47,0424524507cb88c522c5fea9866eb82dad6eec4b,68,https://github.com/FasterXML/jackson-dataformats-text/issues/68,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/a732d1e6b77408ed6db286edd2b2228e25baed47,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/0424524507cb88c522c5fea9866eb82dad6eec4b,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/a732d1e6b77408ed6db286edd2b2228e25baed47...0424524507cb88c522c5fea9866eb82dad6eec4b
13,JacksonDataformatsText_yaml,08afb62f041a02864a9d9a7d9aff1b1e231cd2ed,10f2dc134a5294fbf9e50b05030ae569a67c95d8,50,https://github.com/FasterXML/jackson-dataformats-text/issues/50,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/08afb62f041a02864a9d9a7d9aff1b1e231cd2ed,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/10f2dc134a5294fbf9e50b05030ae569a67c95d8,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/08afb62f041a02864a9d9a7d9aff1b1e231cd2ed...10f2dc134a5294fbf9e50b05030ae569a67c95d8
14,JacksonDataformatsText_yaml,7092c65fcb17a0efb91b7950dca69473e47ef84d,989274c8ad2043da85a892b24278b31fda09a57d,129,https://github.com/FasterXML/jackson-dataformats-text/issues/129,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/7092c65fcb17a0efb91b7950dca69473e47ef84d,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/989274c8ad2043da85a892b24278b31fda09a57d,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/7092c65fcb17a0efb91b7950dca69473e47ef84d...989274c8ad2043da85a892b24278b31fda09a57d
15,JacksonDataformatsText_yaml,f5bf7a425e208fa22986a3aec8746c715051f79e,24edc02b8389e06669fb8cb99abd800e6acba2f3,83,https://github.com/FasterXML/jackson-dataformats-text/issues/83,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/f5bf7a425e208fa22986a3aec8746c715051f79e,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/24edc02b8389e06669fb8cb99abd800e6acba2f3,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/f5bf7a425e208fa22986a3aec8746c715051f79e...24edc02b8389e06669fb8cb99abd800e6acba2f3
16,JacksonDataformatsText_yaml,65a0693a6fe462a5a20ebcac43fa3d00d7f43f2e,3a839cee4fc90288d9d1c8ff643ac291c99e67e7,163,https://github.com/FasterXML/jackson-dataformats-text/issues/163,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/65a0693a6fe462a5a20ebcac43fa3d00d7f43f2e,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/3a839cee4fc90288d9d1c8ff643ac291c99e67e7,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/65a0693a6fe462a5a20ebcac43fa3d00d7f43f2e...3a839cee4fc90288d9d1c8ff643ac291c99e67e7
17,JacksonDataformatsText_yaml,ca3fa9ad6a1fbd8705b936b9dfc4fdb1ff4332b0,c41a621c5aff69ba663d2491e6fbc861e338e5b5,180,https://github.com/FasterXML/jackson-dataformats-text/issues/180,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/ca3fa9ad6a1fbd8705b936b9dfc4fdb1ff4332b0,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/c41a621c5aff69ba663d2491e6fbc861e338e5b5,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/ca3fa9ad6a1fbd8705b936b9dfc4fdb1ff4332b0...c41a621c5aff69ba663d2491e6fbc861e338e5b5
18,JacksonDataformatsText_yaml,d69291651114b9e7a2ccbe1a3a154f2b84f95b30,c164c6e17e459a6c7cfb484350923e51d4606575,182,https://github.com/FasterXML/jackson-dataformats-text/issues/182,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/d69291651114b9e7a2ccbe1a3a154f2b84f95b30,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/c164c6e17e459a6c7cfb484350923e51d4606575,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/d69291651114b9e7a2ccbe1a3a154f2b84f95b30...c164c6e17e459a6c7cfb484350923e51d4606575
19,JacksonDataformatsText_yaml,580159d35721926d31ddae29016bb3fb7b7bc6bc,14da25652fac0c7e0ef7b1b8fe2b8cdd6d58af39,182,https://github.com/FasterXML/jackson-dataformats-text/issues/182,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/580159d35721926d31ddae29016bb3fb7b7bc6bc,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/14da25652fac0c7e0ef7b1b8fe2b8cdd6d58af39,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/580159d35721926d31ddae29016bb3fb7b7bc6bc...14da25652fac0c7e0ef7b1b8fe2b8cdd6d58af39
20,JacksonDataformatsText_yaml,c2c2d06518708e2ce5ad82363abc9a50e2436c8a,690d49b17a961307bbc089ff839bf1ba2f2c2dfd,184,https://github.com/FasterXML/jackson-dataformats-text/issues/184,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/c2c2d06518708e2ce5ad82363abc9a50e2436c8a,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/690d49b17a961307bbc089ff839bf1ba2f2c2dfd,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/c2c2d06518708e2ce5ad82363abc9a50e2436c8a...690d49b17a961307bbc089ff839bf1ba2f2c2dfd
21,JacksonDataformatsText_yaml,f52abd9275bb2a981f722b8da80f47d1cbdb9347,a2b3d2eab48aec82e54a25feaad198bcd1b5831b,51,https://github.com/FasterXML/jackson-dataformats-text/issues/51,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/f52abd9275bb2a981f722b8da80f47d1cbdb9347,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/a2b3d2eab48aec82e54a25feaad198bcd1b5831b,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/f52abd9275bb2a981f722b8da80f47d1cbdb9347...a2b3d2eab48aec82e54a25feaad198bcd1b5831b
22,JacksonDataformatsText_yaml,810772312735f1fb89d6fa37dd70e150e9cc783b,fc1ee688c05d4814dfbd4d55afa32ff030acc0f9,226,https://github.com/FasterXML/jackson-dataformats-text/issues/226,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/810772312735f1fb89d6fa37dd70e150e9cc783b,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/fc1ee688c05d4814dfbd4d55afa32ff030acc0f9,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/810772312735f1fb89d6fa37dd70e150e9cc783b...fc1ee688c05d4814dfbd4d55afa32ff030acc0f9
23,JacksonDataformatsText_yaml,5cda8c5109a5bf9e8176a83ff02aba0e30633172,e410f323289aefd087b67d17b34016ebd11eab3a,175,https://github.com/FasterXML/jackson-dataformats-text/issues/175,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/5cda8c5109a5bf9e8176a83ff02aba0e30633172,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/e410f323289aefd087b67d17b34016ebd11eab3a,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/5cda8c5109a5bf9e8176a83ff02aba0e30633172...e410f323289aefd087b67d17b34016ebd11eab3a
24,JacksonDataformatsText_yaml,88c2880a4fa717a9d8d653d9f610145f8b3f2b5d,7ca2baad3cce1d6c6c8b95c5f9bbbbdeed3e4e36,71,https://github.com/FasterXML/jackson-dataformats-text/issues/71,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/88c2880a4fa717a9d8d653d9f610145f8b3f2b5d,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/7ca2baad3cce1d6c6c8b95c5f9bbbbdeed3e4e36,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/88c2880a4fa717a9d8d653d9f610145f8b3f2b5d...7ca2baad3cce1d6c6c8b95c5f9bbbbdeed3e4e36
25,JacksonDataformatsText_yaml,a018ddf426f59fdf0189a2c388982065cc5b97f9,2a07652d1d2c449799de476803df05a10e848fc1,232,https://github.com/FasterXML/jackson-dataformats-text/issues/232,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/a018ddf426f59fdf0189a2c388982065cc5b97f9,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/2a07652d1d2c449799de476803df05a10e848fc1,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/a018ddf426f59fdf0189a2c388982065cc5b97f9...2a07652d1d2c449799de476803df05a10e848fc1
26,JacksonDataformatsText_yaml,2a262e05fae77dbd7dc37bf2d423278527a68605,bf3632c6ee9e10ffc7d8ac444c8e427635540493,274,https://github.com/FasterXML/jackson-dataformats-text/issues/274,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/2a262e05fae77dbd7dc37bf2d423278527a68605,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/bf3632c6ee9e10ffc7d8ac444c8e427635540493,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/2a262e05fae77dbd7dc37bf2d423278527a68605...bf3632c6ee9e10ffc7d8ac444c8e427635540493
27,JacksonDataformatsText_yaml,843ae2ab1b143da274afe7cc31b50a59f345c512,20b7de3bc176e01c9147130e09836a6dcf72d6ae,303,https://github.com/FasterXML/jackson-dataformats-text/issues/303,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/843ae2ab1b143da274afe7cc31b50a59f345c512,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/20b7de3bc176e01c9147130e09836a6dcf72d6ae,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/843ae2ab1b143da274afe7cc31b50a59f345c512...20b7de3bc176e01c9147130e09836a6dcf72d6ae
28,JacksonDataformatsText_yaml,416461a836686ab35de2113a705fc9ccb15720dd,df08c1e77b1c5d3a980decf1392115f2da42484e,306,https://github.com/FasterXML/jackson-dataformats-text/issues/306,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/416461a836686ab35de2113a705fc9ccb15720dd,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/df08c1e77b1c5d3a980decf1392115f2da42484e,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/416461a836686ab35de2113a705fc9ccb15720dd...df08c1e77b1c5d3a980decf1392115f2da42484e
29,JacksonDataformatsText_yaml,e90177b9c366a10d6fd5ace95d5a6aaa1456d81b,4f2d6100a5bffa9ddc580a54d7b2affa595b7570,320,https://github.com/FasterXML/jackson-dataformats-text/issues/320,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/e90177b9c366a10d6fd5ace95d5a6aaa1456d81b,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/4f2d6100a5bffa9ddc580a54d7b2affa595b7570,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/e90177b9c366a10d6fd5ace95d5a6aaa1456d81b...4f2d6100a5bffa9ddc580a54d7b2affa595b7570
30,JacksonDataformatsText_yaml,ae18262e37a4c931c06fb42d553e40ae1e7bf0f7,148e3c4571f1ae98d910a49bf3db7c5e21b74e69,378,https://github.com/FasterXML/jackson-dataformats-text/issues/378,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/ae18262e37a4c931c06fb42d553e40ae1e7bf0f7,https://www.github.com/FasterXML/jackson-dataformats-tex/tree/148e3c4571f1ae98d910a49bf3db7c5e21b74e69,https://www.github.com/FasterXML/jackson-dataformats-tex/compare/ae18262e37a4c931c06fb42d553e40ae1e7bf0f7...148e3c4571f1ae98d910a49bf3db7c5e21b74e69
