bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonModuleJsonSchema,d08d9e3119bbb8ea4af930c556d59e82e71a017e,5074a785db6ace5f558a6aa7df8be05af03fe7d3,16,https://github.com/FasterXML/jackson-module-jsonSchema/issues/16,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/d08d9e3119bbb8ea4af930c556d59e82e71a017e,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/5074a785db6ace5f558a6aa7df8be05af03fe7d3,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/d08d9e3119bbb8ea4af930c556d59e82e71a017e...5074a785db6ace5f558a6aa7df8be05af03fe7d3
2,JacksonModuleJsonSchema,10692e81f9d1d5cb5a37f013fc1c34391f18ad96,d924e7fd9f8f62c7af380cedd7fc19687452b38b,47,https://github.com/FasterXML/jackson-module-jsonSchema/issues/47,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/10692e81f9d1d5cb5a37f013fc1c34391f18ad96,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/d924e7fd9f8f62c7af380cedd7fc19687452b38b,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/10692e81f9d1d5cb5a37f013fc1c34391f18ad96...d924e7fd9f8f62c7af380cedd7fc19687452b38b
3,JacksonModuleJsonSchema,8180c0d2a907e18e4e8be734f583a90e25780d4d,c6c5c423aac80c99781cc1218c2f87c6b16dad63,46,https://github.com/FasterXML/jackson-module-jsonSchema/issues/46,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/8180c0d2a907e18e4e8be734f583a90e25780d4d,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/c6c5c423aac80c99781cc1218c2f87c6b16dad63,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/8180c0d2a907e18e4e8be734f583a90e25780d4d...c6c5c423aac80c99781cc1218c2f87c6b16dad63
4,JacksonModuleJsonSchema,491e51c78ecdb6b270966187a22f008394230e41,91b4532f18314432025887f10ca807c8b283824d,62,https://github.com/FasterXML/jackson-module-jsonSchema/issues/62,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/491e51c78ecdb6b270966187a22f008394230e41,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/91b4532f18314432025887f10ca807c8b283824d,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/491e51c78ecdb6b270966187a22f008394230e41...91b4532f18314432025887f10ca807c8b283824d
5,JacksonModuleJsonSchema,129565e95c78344ce29885064f129567ee1cd3a2,671188e19497abd9d403e88b6fb176569405d539,67,https://github.com/FasterXML/jackson-module-jsonSchema/issues/67,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/129565e95c78344ce29885064f129567ee1cd3a2,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/671188e19497abd9d403e88b6fb176569405d539,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/129565e95c78344ce29885064f129567ee1cd3a2...671188e19497abd9d403e88b6fb176569405d539
6,JacksonModuleJsonSchema,5bafab683984793aa971ce6cdd23a5603af6409d,bfced8385d459a24a2e6c504f5edfe8fa04e1e84,77,https://github.com/FasterXML/jackson-module-jsonSchema/issues/77,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/5bafab683984793aa971ce6cdd23a5603af6409d,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/bfced8385d459a24a2e6c504f5edfe8fa04e1e84,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/5bafab683984793aa971ce6cdd23a5603af6409d...bfced8385d459a24a2e6c504f5edfe8fa04e1e84
7,JacksonModuleJsonSchema,192feb61fbb3bdec80de4ba7888a4c1fea2e7b67,110330e3c91ea9371efd331c66d1148aaa7b8720,104,https://github.com/FasterXML/jackson-module-jsonSchema/issues/104,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/192feb61fbb3bdec80de4ba7888a4c1fea2e7b67,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/110330e3c91ea9371efd331c66d1148aaa7b8720,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/192feb61fbb3bdec80de4ba7888a4c1fea2e7b67...110330e3c91ea9371efd331c66d1148aaa7b8720
8,JacksonModuleJsonSchema,bae539da6d250e916e1f67640dae44ada860ea8e,a948d018159ae66010631d1101d57b8c8e8a7835,117,https://github.com/FasterXML/jackson-module-jsonSchema/issues/117,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/bae539da6d250e916e1f67640dae44ada860ea8e,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/a948d018159ae66010631d1101d57b8c8e8a7835,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/bae539da6d250e916e1f67640dae44ada860ea8e...a948d018159ae66010631d1101d57b8c8e8a7835
9,JacksonModuleJsonSchema,a948d018159ae66010631d1101d57b8c8e8a7835,b4d34739884c77de10e4ca7a297816d6066456e9,117,https://github.com/FasterXML/jackson-module-jsonSchema/issues/117,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/a948d018159ae66010631d1101d57b8c8e8a7835,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/b4d34739884c77de10e4ca7a297816d6066456e9,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/a948d018159ae66010631d1101d57b8c8e8a7835...b4d34739884c77de10e4ca7a297816d6066456e9
10,JacksonModuleJsonSchema,2a94ecf5c75730e17d4a6b1f5518b690fab2c35e,e24d5d83300a1ec4f30109a602f4b21bc0770999,117,https://github.com/FasterXML/jackson-module-jsonSchema/issues/117,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/2a94ecf5c75730e17d4a6b1f5518b690fab2c35e,https://www.github.com/FasterXML/jackson-module-jsonSchema/tree/e24d5d83300a1ec4f30109a602f4b21bc0770999,https://www.github.com/FasterXML/jackson-module-jsonSchema/compare/2a94ecf5c75730e17d4a6b1f5518b690fab2c35e...e24d5d83300a1ec4f30109a602f4b21bc0770999
