bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JacksonXml,c57a1cb37f6663b7d3a7d74caafc13b6099b0a50,cf1fa0b0ac89ed0f32cb736174e5865ce8677c9d,47,https://github.com/FasterXML/jackson-dataformat-xml/issues/47,https://github.com/FasterXML/jackson-dataformat-xml/tree/c57a1cb37f6663b7d3a7d74caafc13b6099b0a50,https://github.com/FasterXML/jackson-dataformat-xml/tree/cf1fa0b0ac89ed0f32cb736174e5865ce8677c9d,https://github.com/FasterXML/jackson-dataformat-xml/compare/c57a1cb37f6663b7d3a7d74caafc13b6099b0a50...cf1fa0b0ac89ed0f32cb736174e5865ce8677c9d
2,JacksonXml,bac2191d09c697203ba2a85b333355a6b4d29a4a,e8b9a283e4ba46ec81d02b60f21270c52d8131c0,55,https://github.com/FasterXML/jackson-dataformat-xml/issues/55,https://github.com/FasterXML/jackson-dataformat-xml/tree/bac2191d09c697203ba2a85b333355a6b4d29a4a,https://github.com/FasterXML/jackson-dataformat-xml/tree/e8b9a283e4ba46ec81d02b60f21270c52d8131c0,https://github.com/FasterXML/jackson-dataformat-xml/compare/bac2191d09c697203ba2a85b333355a6b4d29a4a...e8b9a283e4ba46ec81d02b60f21270c52d8131c0
3,JacksonXml,b9e5755ace5b07f9e058bbe98d7693b3cabfd07d,a6df5db642b1e7ed16cffa50f10b1ae6987b3ae3,71,https://github.com/FasterXML/jackson-dataformat-xml/issues/71,https://github.com/FasterXML/jackson-dataformat-xml/tree/b9e5755ace5b07f9e058bbe98d7693b3cabfd07d,https://github.com/FasterXML/jackson-dataformat-xml/tree/a6df5db642b1e7ed16cffa50f10b1ae6987b3ae3,https://github.com/FasterXML/jackson-dataformat-xml/compare/b9e5755ace5b07f9e058bbe98d7693b3cabfd07d...a6df5db642b1e7ed16cffa50f10b1ae6987b3ae3
4,JacksonXml,3fbf5824fe0d4b6d1c5914e403016aaa8afd5dcd,05f77d2103864692b7b20bc1533c1416a66ea3a5,64,https://github.com/FasterXML/jackson-dataformat-xml/issues/64,https://github.com/FasterXML/jackson-dataformat-xml/tree/3fbf5824fe0d4b6d1c5914e403016aaa8afd5dcd,https://github.com/FasterXML/jackson-dataformat-xml/tree/05f77d2103864692b7b20bc1533c1416a66ea3a5,https://github.com/FasterXML/jackson-dataformat-xml/compare/3fbf5824fe0d4b6d1c5914e403016aaa8afd5dcd...05f77d2103864692b7b20bc1533c1416a66ea3a5
5,JacksonXml,fe4babc2afd5ffbcd2ccfda4d1ef76a40f3ac6c2,b45d29af445c6236335cb94ef67d192fce8bf43e,77,https://github.com/FasterXML/jackson-dataformat-xml/issues/77,https://github.com/FasterXML/jackson-dataformat-xml/tree/fe4babc2afd5ffbcd2ccfda4d1ef76a40f3ac6c2,https://github.com/FasterXML/jackson-dataformat-xml/tree/b45d29af445c6236335cb94ef67d192fce8bf43e,https://github.com/FasterXML/jackson-dataformat-xml/compare/fe4babc2afd5ffbcd2ccfda4d1ef76a40f3ac6c2...b45d29af445c6236335cb94ef67d192fce8bf43e
6,JacksonXml,136e5d3a5bb758137001d79fa5f381dceb8a5128,62b87e1bdca8cb1e5e97c8777bfaec33a80c6278,81,https://github.com/FasterXML/jackson-dataformat-xml/issues/81,https://github.com/FasterXML/jackson-dataformat-xml/tree/136e5d3a5bb758137001d79fa5f381dceb8a5128,https://github.com/FasterXML/jackson-dataformat-xml/tree/62b87e1bdca8cb1e5e97c8777bfaec33a80c6278,https://github.com/FasterXML/jackson-dataformat-xml/compare/136e5d3a5bb758137001d79fa5f381dceb8a5128...62b87e1bdca8cb1e5e97c8777bfaec33a80c6278
7,JacksonXml,ab84ac9f6fcbd2c88c548bcdfe05a7fd7b11aa6e,f64d69d92f4d65574aa44335ad844541ec24a9bd,83,https://github.com/FasterXML/jackson-dataformat-xml/issues/83,https://github.com/FasterXML/jackson-dataformat-xml/tree/ab84ac9f6fcbd2c88c548bcdfe05a7fd7b11aa6e,https://github.com/FasterXML/jackson-dataformat-xml/tree/f64d69d92f4d65574aa44335ad844541ec24a9bd,https://github.com/FasterXML/jackson-dataformat-xml/compare/ab84ac9f6fcbd2c88c548bcdfe05a7fd7b11aa6e...f64d69d92f4d65574aa44335ad844541ec24a9bd
8,JacksonXml,4f7255f676db0c5b384395d8caa8321236fec0a7,ebc13fdf7060249de3789ea3417de0c0b32d39ff,103,https://github.com/FasterXML/jackson-dataformat-xml/issues/103,https://github.com/FasterXML/jackson-dataformat-xml/tree/4f7255f676db0c5b384395d8caa8321236fec0a7,https://github.com/FasterXML/jackson-dataformat-xml/tree/ebc13fdf7060249de3789ea3417de0c0b32d39ff,https://github.com/FasterXML/jackson-dataformat-xml/compare/4f7255f676db0c5b384395d8caa8321236fec0a7...ebc13fdf7060249de3789ea3417de0c0b32d39ff
9,JacksonXml,eb05a1c840bbc423160281db9bb30fb6132640d8,51408b837e9bb0119f92c01fc7f31ca743f23f7b,101,https://github.com/FasterXML/jackson-dataformat-xml/issues/101,https://github.com/FasterXML/jackson-dataformat-xml/tree/eb05a1c840bbc423160281db9bb30fb6132640d8,https://github.com/FasterXML/jackson-dataformat-xml/tree/51408b837e9bb0119f92c01fc7f31ca743f23f7b,https://github.com/FasterXML/jackson-dataformat-xml/compare/eb05a1c840bbc423160281db9bb30fb6132640d8...51408b837e9bb0119f92c01fc7f31ca743f23f7b
10,JacksonXml,5b5248302ecbc3877695df3dd53b78dfa6aa10be,8ffed5c09b334980286f1c79db61050ed797eaf7,117,https://github.com/FasterXML/jackson-dataformat-xml/issues/117,https://github.com/FasterXML/jackson-dataformat-xml/tree/5b5248302ecbc3877695df3dd53b78dfa6aa10be,https://github.com/FasterXML/jackson-dataformat-xml/tree/8ffed5c09b334980286f1c79db61050ed797eaf7,https://github.com/FasterXML/jackson-dataformat-xml/compare/5b5248302ecbc3877695df3dd53b78dfa6aa10be...8ffed5c09b334980286f1c79db61050ed797eaf7
