bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JavaClassmate,7c68b5bb73b4d0e7a6678b70c58e163a2e1249c0,69c7ba93803cf98ad46493c64acfd642a1acfd2c,3,https://github.com/FasterXML/java-classmate/issues/3,https://www.github.com/FasterXML/java-classmate/tree/7c68b5bb73b4d0e7a6678b70c58e163a2e1249c0,https://www.github.com/FasterXML/java-classmate/tree/69c7ba93803cf98ad46493c64acfd642a1acfd2c,https://www.github.com/FasterXML/java-classmate/compare/7c68b5bb73b4d0e7a6678b70c58e163a2e1249c0...69c7ba93803cf98ad46493c64acfd642a1acfd2c
2,JavaClassmate,69c7ba93803cf98ad46493c64acfd642a1acfd2c,f0030cf1028c6b3a56d336d01d8d8c22aaafb729,4,https://github.com/FasterXML/java-classmate/issues/4,https://www.github.com/FasterXML/java-classmate/tree/69c7ba93803cf98ad46493c64acfd642a1acfd2c,https://www.github.com/FasterXML/java-classmate/tree/f0030cf1028c6b3a56d336d01d8d8c22aaafb729,https://www.github.com/FasterXML/java-classmate/compare/69c7ba93803cf98ad46493c64acfd642a1acfd2c...f0030cf1028c6b3a56d336d01d8d8c22aaafb729
3,JavaClassmate,f0030cf1028c6b3a56d336d01d8d8c22aaafb729,c0daf3f330d4a9f75445d85697236a64dda4c032,4,https://github.com/FasterXML/java-classmate/issues/4,https://www.github.com/FasterXML/java-classmate/tree/f0030cf1028c6b3a56d336d01d8d8c22aaafb729,https://www.github.com/FasterXML/java-classmate/tree/c0daf3f330d4a9f75445d85697236a64dda4c032,https://www.github.com/FasterXML/java-classmate/compare/f0030cf1028c6b3a56d336d01d8d8c22aaafb729...c0daf3f330d4a9f75445d85697236a64dda4c032
4,JavaClassmate,da299fa902e1e9bbc432ff16b2f16cdf68b51480,1cb746d8640eabbab403a8c7e8e483d5e21df7eb,8,https://github.com/FasterXML/java-classmate/issues/8,https://www.github.com/FasterXML/java-classmate/tree/da299fa902e1e9bbc432ff16b2f16cdf68b51480,https://www.github.com/FasterXML/java-classmate/tree/1cb746d8640eabbab403a8c7e8e483d5e21df7eb,https://www.github.com/FasterXML/java-classmate/compare/da299fa902e1e9bbc432ff16b2f16cdf68b51480...1cb746d8640eabbab403a8c7e8e483d5e21df7eb
5,JavaClassmate,1cb746d8640eabbab403a8c7e8e483d5e21df7eb,c09a9dfe25eae9223543c98244cdc40b631bb9d0,5,https://github.com/FasterXML/java-classmate/issues/5,https://www.github.com/FasterXML/java-classmate/tree/1cb746d8640eabbab403a8c7e8e483d5e21df7eb,https://www.github.com/FasterXML/java-classmate/tree/c09a9dfe25eae9223543c98244cdc40b631bb9d0,https://www.github.com/FasterXML/java-classmate/compare/1cb746d8640eabbab403a8c7e8e483d5e21df7eb...c09a9dfe25eae9223543c98244cdc40b631bb9d0
6,JavaClassmate,e08b00662f3591077a3b00020e70df6e6012a3be,167d723e39af0fad9d19ddbe5233cfc34e7685a1,12,https://github.com/FasterXML/java-classmate/issues/12,https://www.github.com/FasterXML/java-classmate/tree/e08b00662f3591077a3b00020e70df6e6012a3be,https://www.github.com/FasterXML/java-classmate/tree/167d723e39af0fad9d19ddbe5233cfc34e7685a1,https://www.github.com/FasterXML/java-classmate/compare/e08b00662f3591077a3b00020e70df6e6012a3be...167d723e39af0fad9d19ddbe5233cfc34e7685a1
7,JavaClassmate,4c08e3ee875c45136200a2d9fea29dcb2c8782cb,ad634568afe12fff822b6562dc7c6b84e2cbaaf6,11,https://github.com/FasterXML/java-classmate/issues/11,https://www.github.com/FasterXML/java-classmate/tree/4c08e3ee875c45136200a2d9fea29dcb2c8782cb,https://www.github.com/FasterXML/java-classmate/tree/ad634568afe12fff822b6562dc7c6b84e2cbaaf6,https://www.github.com/FasterXML/java-classmate/compare/4c08e3ee875c45136200a2d9fea29dcb2c8782cb...ad634568afe12fff822b6562dc7c6b84e2cbaaf6
8,JavaClassmate,ea5dc2bd9791dbdc240732ffac66a94a8102427d,35666bf8d5cf98563e306a5c3d68ce95649ff1fa,15,https://github.com/FasterXML/java-classmate/issues/15,https://www.github.com/FasterXML/java-classmate/tree/ea5dc2bd9791dbdc240732ffac66a94a8102427d,https://www.github.com/FasterXML/java-classmate/tree/35666bf8d5cf98563e306a5c3d68ce95649ff1fa,https://www.github.com/FasterXML/java-classmate/compare/ea5dc2bd9791dbdc240732ffac66a94a8102427d...35666bf8d5cf98563e306a5c3d68ce95649ff1fa
9,JavaClassmate,229ba4442937d020fc3d5b38afb7df6cf590d4ef,9ed1fab26587ed04e9675cb3984725279148c3a6,16,https://github.com/FasterXML/java-classmate/issues/16,https://www.github.com/FasterXML/java-classmate/tree/229ba4442937d020fc3d5b38afb7df6cf590d4ef,https://www.github.com/FasterXML/java-classmate/tree/9ed1fab26587ed04e9675cb3984725279148c3a6,https://www.github.com/FasterXML/java-classmate/compare/229ba4442937d020fc3d5b38afb7df6cf590d4ef...9ed1fab26587ed04e9675cb3984725279148c3a6
10,JavaClassmate,edaca021cccd720bbedf1e1e0d5b7365e9ed0b59,875d6274bc7fae6c492aba1a681d718229be2b85,22,https://github.com/FasterXML/java-classmate/issues/22,https://www.github.com/FasterXML/java-classmate/tree/edaca021cccd720bbedf1e1e0d5b7365e9ed0b59,https://www.github.com/FasterXML/java-classmate/tree/875d6274bc7fae6c492aba1a681d718229be2b85,https://www.github.com/FasterXML/java-classmate/compare/edaca021cccd720bbedf1e1e0d5b7365e9ed0b59...875d6274bc7fae6c492aba1a681d718229be2b85
11,JavaClassmate,b5b7b3f0ce7ea16fcace792d7176043dcf19eed2,9dbb25794a0acb0acb340f1cea85e7b860880214,28,https://github.com/FasterXML/java-classmate/issues/28,https://www.github.com/FasterXML/java-classmate/tree/b5b7b3f0ce7ea16fcace792d7176043dcf19eed2,https://www.github.com/FasterXML/java-classmate/tree/9dbb25794a0acb0acb340f1cea85e7b860880214,https://www.github.com/FasterXML/java-classmate/compare/b5b7b3f0ce7ea16fcace792d7176043dcf19eed2...9dbb25794a0acb0acb340f1cea85e7b860880214
12,JavaClassmate,8e56d8053e77e526a0cc2f79d407f149f5a732e4,365a99c66b811439e0b5492166f9553dacd7004b,28,https://github.com/FasterXML/java-classmate/issues/28,https://www.github.com/FasterXML/java-classmate/tree/8e56d8053e77e526a0cc2f79d407f149f5a732e4,https://www.github.com/FasterXML/java-classmate/tree/365a99c66b811439e0b5492166f9553dacd7004b,https://www.github.com/FasterXML/java-classmate/compare/8e56d8053e77e526a0cc2f79d407f149f5a732e4...365a99c66b811439e0b5492166f9553dacd7004b
13,JavaClassmate,9f6cc1cbeb5535ac522ae4d26b030f6dada4da8f,80c4619726409b85810c4cbbb82344b5211944d7,30,https://github.com/FasterXML/java-classmate/issues/30,https://www.github.com/FasterXML/java-classmate/tree/9f6cc1cbeb5535ac522ae4d26b030f6dada4da8f,https://www.github.com/FasterXML/java-classmate/tree/80c4619726409b85810c4cbbb82344b5211944d7,https://www.github.com/FasterXML/java-classmate/compare/9f6cc1cbeb5535ac522ae4d26b030f6dada4da8f...80c4619726409b85810c4cbbb82344b5211944d7
