bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Javapoet,737879fb79e3cbc17fe6808e4b6b62e94df6168d,17605c52dfe212a4b9d205f32097e752027fbd0d,8,https://github.com/square/javapoet/issues/8,https://www.github.com/square/javapoe/tree/737879fb79e3cbc17fe6808e4b6b62e94df6168d,https://www.github.com/square/javapoe/tree/17605c52dfe212a4b9d205f32097e752027fbd0d,https://www.github.com/square/javapoe/compare/737879fb79e3cbc17fe6808e4b6b62e94df6168d...17605c52dfe212a4b9d205f32097e752027fbd0d
2,Javapoet,087d2d7983f27e5a405cbd7aa31d6f098b91c13f,7d57a5909c7c54502db6ffa27ea0ccc08d0cd696,6,https://github.com/square/javapoet/issues/6,https://www.github.com/square/javapoe/tree/087d2d7983f27e5a405cbd7aa31d6f098b91c13f,https://www.github.com/square/javapoe/tree/7d57a5909c7c54502db6ffa27ea0ccc08d0cd696,https://www.github.com/square/javapoe/compare/087d2d7983f27e5a405cbd7aa31d6f098b91c13f...7d57a5909c7c54502db6ffa27ea0ccc08d0cd696
3,Javapoet,087d2d7983f27e5a405cbd7aa31d6f098b91c13f,6ecfcee4a4f2f73f9c0212a577e018711e949b56,12,https://github.com/square/javapoet/issues/12,https://www.github.com/square/javapoe/tree/087d2d7983f27e5a405cbd7aa31d6f098b91c13f,https://www.github.com/square/javapoe/tree/6ecfcee4a4f2f73f9c0212a577e018711e949b56,https://www.github.com/square/javapoe/compare/087d2d7983f27e5a405cbd7aa31d6f098b91c13f...6ecfcee4a4f2f73f9c0212a577e018711e949b56
4,Javapoet,4e9ad1ea4f3aeeb8cb4201161b9673302fec4c9e,8107e2f96ca3b0f3ba21d6dada10097a551dd71b,232,https://github.com/square/javapoet/issues/232,https://www.github.com/square/javapoe/tree/4e9ad1ea4f3aeeb8cb4201161b9673302fec4c9e,https://www.github.com/square/javapoe/tree/8107e2f96ca3b0f3ba21d6dada10097a551dd71b,https://www.github.com/square/javapoe/compare/4e9ad1ea4f3aeeb8cb4201161b9673302fec4c9e...8107e2f96ca3b0f3ba21d6dada10097a551dd71b
5,Javapoet,9c15424252db0f8179d381c322439630f97377f0,5963d9ff4f753dedaaf3ef2814403848e3b2fd8d,238,https://github.com/square/javapoet/issues/238,https://www.github.com/square/javapoe/tree/9c15424252db0f8179d381c322439630f97377f0,https://www.github.com/square/javapoe/tree/5963d9ff4f753dedaaf3ef2814403848e3b2fd8d,https://www.github.com/square/javapoe/compare/9c15424252db0f8179d381c322439630f97377f0...5963d9ff4f753dedaaf3ef2814403848e3b2fd8d
6,Javapoet,3bdc6b5c3faa4884684fd0b7ab2457e4bb7e45ff,9d49d102e48c052b71ed64b5e575a38d784f5d49,136,https://github.com/square/javapoet/issues/136,https://www.github.com/square/javapoe/tree/3bdc6b5c3faa4884684fd0b7ab2457e4bb7e45ff,https://www.github.com/square/javapoe/tree/9d49d102e48c052b71ed64b5e575a38d784f5d49,https://www.github.com/square/javapoe/compare/3bdc6b5c3faa4884684fd0b7ab2457e4bb7e45ff...9d49d102e48c052b71ed64b5e575a38d784f5d49
7,Javapoet,b8d1957417d5f313b7ad29c0d6df10bdc2a58fb8,186ccd85c9e448195b9a2a88bf272041dd5f41bb,458,https://github.com/square/javapoet/issues/458,https://www.github.com/square/javapoe/tree/b8d1957417d5f313b7ad29c0d6df10bdc2a58fb8,https://www.github.com/square/javapoe/tree/186ccd85c9e448195b9a2a88bf272041dd5f41bb,https://www.github.com/square/javapoe/compare/b8d1957417d5f313b7ad29c0d6df10bdc2a58fb8...186ccd85c9e448195b9a2a88bf272041dd5f41bb
8,Javapoet,3d54bd91f17fcb212010470f158c5e79c8e79d26,19e1b4e3f253a3169853863199c932f36c5b6584,454,https://github.com/square/javapoet/issues/454,https://www.github.com/square/javapoe/tree/3d54bd91f17fcb212010470f158c5e79c8e79d26,https://www.github.com/square/javapoe/tree/19e1b4e3f253a3169853863199c932f36c5b6584,https://www.github.com/square/javapoe/compare/3d54bd91f17fcb212010470f158c5e79c8e79d26...19e1b4e3f253a3169853863199c932f36c5b6584
9,Javapoet,932695e9f03df31c7ec95c200c5a3d8fd7a0bc28,fdaefdb063880bd83774999b99b3ac910f6ead28,480,https://github.com/square/javapoet/issues/480,https://www.github.com/square/javapoe/tree/932695e9f03df31c7ec95c200c5a3d8fd7a0bc28,https://www.github.com/square/javapoe/tree/fdaefdb063880bd83774999b99b3ac910f6ead28,https://www.github.com/square/javapoe/compare/932695e9f03df31c7ec95c200c5a3d8fd7a0bc28...fdaefdb063880bd83774999b99b3ac910f6ead28
10,Javapoet,7bbcb1fc454285daec6dddef20505ff84f924550,73c6bd309e903ba1eb6501b8dc3a59cc76618984,485,https://github.com/square/javapoet/issues/485,https://www.github.com/square/javapoe/tree/7bbcb1fc454285daec6dddef20505ff84f924550,https://www.github.com/square/javapoe/tree/73c6bd309e903ba1eb6501b8dc3a59cc76618984,https://www.github.com/square/javapoe/compare/7bbcb1fc454285daec6dddef20505ff84f924550...73c6bd309e903ba1eb6501b8dc3a59cc76618984
11,Javapoet,f5b1b622d2d4141898bf850bd3cd54ee3d153aa4,03f3a276b2f330c59e549e73542217c6028caed6,589,https://github.com/square/javapoet/issues/589,https://www.github.com/square/javapoe/tree/f5b1b622d2d4141898bf850bd3cd54ee3d153aa4,https://www.github.com/square/javapoe/tree/03f3a276b2f330c59e549e73542217c6028caed6,https://www.github.com/square/javapoe/compare/f5b1b622d2d4141898bf850bd3cd54ee3d153aa4...03f3a276b2f330c59e549e73542217c6028caed6
12,Javapoet,adced314c48865463594bf58022f509090eef7af,d91f8e1374f7ccdb68d92c206c84864cd09c02f6,614,https://github.com/square/javapoet/issues/614,https://www.github.com/square/javapoe/tree/adced314c48865463594bf58022f509090eef7af,https://www.github.com/square/javapoe/tree/d91f8e1374f7ccdb68d92c206c84864cd09c02f6,https://www.github.com/square/javapoe/compare/adced314c48865463594bf58022f509090eef7af...d91f8e1374f7ccdb68d92c206c84864cd09c02f6
13,Javapoet,791cb9631ab76fc07bf8825f23464ecd616acccc,c054ce927191205b4a870b40eecfe63dffaba0e6,693,https://github.com/square/javapoet/issues/693,https://www.github.com/square/javapoe/tree/791cb9631ab76fc07bf8825f23464ecd616acccc,https://www.github.com/square/javapoe/tree/c054ce927191205b4a870b40eecfe63dffaba0e6,https://www.github.com/square/javapoe/compare/791cb9631ab76fc07bf8825f23464ecd616acccc...c054ce927191205b4a870b40eecfe63dffaba0e6
